municipality,group,variable,month,Mujeres puérperas que recibieron dosis única de vitamina A,TOTAL
MAIRANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,22,22
MALLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,5,5
MAPIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,23,23
MECAPACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,9,9
MINEROS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,22,22
MIZQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,51,51
MOCOMOCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,18,18
MOJINETE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,2,2
MOJOCOYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,12,12
MONTEAGUDO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,51,51
MONTERO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,70,70
MORO MORO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,3,3
MOROCHATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,48,48
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,2,2
NAZACARA DE PACAJES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,1,1
OCURI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,32,32
OKINAWA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,19,19
OMEREQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,11,11
ORURO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,479,479
PADCAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,27,27
PADILLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,24,24
PAILON,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,35,35
PALCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,4,4
PALOS BLANCOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,40,40
PAMPA AULLAGAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,3,3
PAMPA GRANDE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,6,6
PAPEL PAMPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,8,8
PASORAPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,2,2
PATACAMAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,27,27
PAZÑA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,7,7
PELECHUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,5,5
POCOATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,39,39
POCONA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,16,16
POJO (CBBA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,22,22
POOPO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,5,5
PORCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,10,10
POROMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,29,29
PORONGO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,5,5
PORTACHUELO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,20,20
PORVENIR,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,2,2
POSTRER VALLE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,2,2
POTOSI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,93,93
PRESTO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,8,8
PUCARA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,1,1
PUCARANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,26,26
PUERTO ACOSTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,20,20
PUERTO CARABUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,16,16
PUERTO GONZALO MORENO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,11,11
PUERTO PEREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,7,7
PUERTO QUIJARRO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,13,13
PUERTO RICO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,13,13
PUERTO SILES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,2,2
PUERTO SUAREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,31,31
PUERTO VILLARROEL,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,102,102
PUNA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,60,60
PUNATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,74,74
QUIABAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,4,4
QUILLACOLLO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,131,131
QUIME,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,7,7
QUIRUSILLAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,1,1
RAVELO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,28,28
REYES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,23,23
RIBERALTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,498,498
ROBORE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,29,29
RURRENABAQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,32,32
SABAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,6,6
SACABA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,189,189
SACABAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,2,2
SACACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,47,47
SAIPINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,10,10
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,11,11
SAMAIPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,11,11
SAN AGUSTIN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,3,3
SAN ANDRES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,15,15
SAN ANDRES DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,9,9
SAN ANTONIO DE ESMORUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,2,2
SAN ANTONIO DE LOMERIO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,14,14
SAN BENITO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,1,1
SAN BORJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,77,77
SAN BUENA VENTURA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,22,22
SAN CARLOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,49,49
SAN IGNACIO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,44,44
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,125,125
SAN JAVIER(BNI),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,1,1
SAN JAVIER(STC),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,21,21
SAN JOAQUIN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,9,9
SAN JOSE DE CHIQUITOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,41,41
SAN JUAN DE YAPACANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,11,11
SAN JULIAN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,104,104
SAN LORENZO(PND),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,9,9
SAN LORENZO(TJA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,23,23
SAN LUCAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,57,57
SAN MATIAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,27,27
SAN MIGUEL DE VELASCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,16,16
SAN PABLO DE LIPEZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,6,6
SAN PEDRO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,23,23
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,34,34
SAN PEDRO DE CURAHUARA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,5,5
SAN PEDRO DE QUEMES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,1,1
SAN PEDRO DE TIQUINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,5,5
SAN PEDRO(PND),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,3,3
SAN RAFAEL,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,9,9
SAN RAMON,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,22,22
SAN RAMON,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,5,5
SANTA ANA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,44,44
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,1055,1055
SANTA ROSA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,11,11
SANTA ROSA DEL SARA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,13,13
SANTIAGO DE CALLAPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,5,5
SANTIAGO DE HUARI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,12,12
SANTIAGO DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,2,2
SANTIVAÑES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,7,7
SANTUARIO DE QUILLACAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,5,5
SAPAHAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,13,13
SENA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,4,4
SICA SICA (VILLA AROMA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,26,26
SICAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,4,4
SIPE SIPE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,33,33
SOPACHUY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,8,8
SORACACHI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,21,21
SORATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,16,16
SUCRE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,480,480
TACACOMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,17,17
TACOBAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,10,10
TACOPAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,12,12
TAHUA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,1,1
TAPACARI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,33,33
TARABUCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,27,27
TARACO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,6,6
TARATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,12,12
TARIJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,253,253
TARVITA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,29,29
TEOPONTE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,5,5
TIAWANACU,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,23,23
TINGUIPAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,41,41
TIPUANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,13,13
TIQUIPAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,9,9
TIRAQUE (CBBA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,93,93
TOCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,3,3
TOLATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,8,8
TOLEDO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,2,2
TOMAVE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,17,17
TOMINA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,12,12
TORO TORO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,20,20
TOTORA(CBBA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,20,20
TOTORA(ORR),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,6,6
TRIGAL,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,2,2
TRINIDAD,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,247,247
TUPIZA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,57,57
TURCO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,9,9
UMALA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,22,22
UNCIA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,48,48
URIONDO (A. CONCEPCION),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,9,9
URUBICHA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,10,10
UYUNI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,23,23
VACAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,17,17
VALLEGRANDE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,29,29
VIACHA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,47,47
VILA VILA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,4,4
VILLA MONTES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,71,71
VILLA NUEVA (LOMA ALTA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,2,2
VILLA RIVERO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,6,6
VILLA SERRANO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,15,15
VILLA TUNARI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,130,130
VILLA VACA GUZMAN (MUYUPAMPA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,21,21
VILLAZON,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,7,7
VINTO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,17,17
VITICHI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,8,8
WALDO BALLIVIAN,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,1,1
WARNES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,128,128
YACO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,16,16
YACUIBA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,129,129
YAMPARAEZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,7,7
YANACACHI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,1,1
YAPACANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,81,81
YOCALLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,6,6
YOTALA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,8,8
YUNCHARA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,4,4
ZUDAÑEZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-06-01,9,9
ACACIO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,12,12
ACHACACHI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,62,62
ACHOCALLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,7,7
AIQUILE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,36,36
ALALAY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,3,3
ALCALA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,6,6
ANCORAIMES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,17,17
ANDAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,4,4
ANTEQUERA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,2,2
ANZALDO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,8,8
APOLO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,28,28
ARAMPAMPA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,13,13
ARANI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,14,14
ARBIETO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,19,19
ARQUE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,25,25
ASCENCION DE GUARAYOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,63,63
ATOCHA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,10,10
AUCAPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,7,7
AYATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,14,14
AYO AYO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,49,49
AZURDUY,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,16,16
BATALLAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,9,9
BAURES,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,5,5
BELEN DE URMIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,2,2
BELLA FLOR,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,3,3
BERMEJO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,47,47
BETANZOS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,42,42
BOLIVAR,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,11,11
BOLPEBRA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,1,1
BOYUIBE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,6,6
BUENA VISTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,15,15
CABEZAS,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,21,21
CAIROMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,12,12
"CAIZA ""D""",nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,15,15
CAJUATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,18,18
CALACOTO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,2,2
CALAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,15,15
CAMARGO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,21,21
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,3,3
CAMIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,53,53
CAPINOTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,27,27
CAQUIAVIRI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,8,8
CARACOLLO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,31,31
CARANAVI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,86,86
CARAPARI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,7,7
CARIPUYO,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,25,25
CARMEN RIVERO TORREZ,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,9,9
CHACARILLA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,2,2
CHALLAPATA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,49,49
CHAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,8,8
CHARAGUA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,74,74
CHARAÑA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,1,1
CHAYANTA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,32,32
CHIMORE,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,7,7
CHIPAYA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,3,3
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,30,30
CHUMA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,12,12
CLIZA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,16,16
COBIJA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,115,115
COCHABAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,1073,1073
COIPASA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,2,2
COLCAPIRHUA,nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,57,57
"COLCHA ""K""",nutricion y micronutrientes,mujeres puerperas que recibieron dosis unica de vitamina a,2009-07-01,13,13
