municipality,group,variable,month,Control del niño de 2 años a menor de 5 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,1,1,,
CAMIRI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,68,68,,
CAPINOTA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,6,6,,
CARANAVI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,71,71,,
CARANGAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,7,7,,
CARAPARI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,2,2,,
CARIPUYO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,41,41,,
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,21,21,,
CHACARILLA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,44,44,,
CHALLAPATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,15,15,,
CHAQUI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,10,10,,
CHARAGUA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,12,12,,
CHARAÑA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,6,6,,
CHAYANTA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,12,12,,
CHIMORE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,57,57,,
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,23,23,,
CHUMA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,34,34,,
COBIJA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,44,44,,
COCHABAMBA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,1261,1261,,
COLCAPIRHUA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,207,207,,
COLOMI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,63,63,,
COLPA BELGICA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,3,3,,
COLQUECHACA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,8,8,,
COLQUENCHA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,2,2,,
COLQUIRI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,6,6,,
COMANCHE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,4,4,,
CONCEPCION,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,187,187,,
COPACABANA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,1,1,,
CORIPATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,2,2,,
CORO CORO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,1,1,,
COROICO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,60,60,,
CORQUE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,5,5,,
COTAGAITA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,25,25,,
COTOCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,2,2,,
CUATRO CAÑADAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,45,45,,
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,5,5,,
CULPINA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,54,54,,
EL ALTO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,1334,1334,,
EL CHORO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,2,2,,
EL PUENTE(STC),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,59,59,,
EL PUENTE(TJA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,6,6,,
EL TORNO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,19,19,,
EL VILLAR,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,36,36,,
ENTRE RIOS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,36,36,,
ENTRE RIOS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,48,48,,
EXALTACION,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,2,2,,
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,51,51,,
FILADELFIA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,16,16,,
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,143,143,,
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,59,59,,
GUAYARAMERIN,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,12,12,,
HUACARETA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,12,12,,
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,16,16,,
HUANUNI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,16,16,,
HUAYLLAMARCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,1,1,,
ICHOCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,14,14,,
ICLA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,17,17,,
INCAHUASI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,11,11,,
INQUISIVI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,5,5,,
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,3,3,,
IXIAMAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,2,2,,
LA GUARDIA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,29,29,,
LA PAZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,729,729,,
LAGUNILLAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,1,1,,
LAS CARRERAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,3,3,,
LICOMA PAMPA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,3,3,,
LLALLAGUA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,5,5,,
LLICA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,11,11,,
LORETO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,36,36,,
LURIBAY,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,21,21,,
MACHARETI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,7,7,,
MAPIRI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,45,45,,
MECAPACA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,60,60,,
MINEROS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,145,145,,
MIZQUE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,68,68,,
MOCOMOCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,2,2,,
MOJINETE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,1,1,,
MOJOCOYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,113,113,,
MONTEAGUDO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,69,69,,
MONTERO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,212,212,,
MORO MORO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,3,3,,
MOROCHATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,150,150,,
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,12,12,,
OCURI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,48,48,,
OKINAWA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,41,41,,
OMEREQUE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,2,2,,
ORURO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,276,276,,
PADCAYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,27,27,,
PAILON,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,228,228,,
PALCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,10,10,,
PALOS BLANCOS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,63,63,,
PAPEL PAMPA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,31,31,,
PASORAPA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,6,6,,
PATACAMAYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,28,28,,
PELECHUCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,1,1,,
POCONA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,41,41,,
POJO (CBBA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,132,132,,
POROMA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,15,15,,
PORONGO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,33,33,,
PORTACHUELO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,38,38,,
PORVENIR,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,1,1,,
POTOSI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,990,990,,
PRESTO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,108,108,,
PUCARA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,6,6,,
PUCARANI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,11,11,,
PUERTO ACOSTA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,63,63,,
PUERTO CARABUCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,3,3,,
PUERTO PEREZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,8,8,,
PUERTO QUIJARRO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,8,8,,
PUERTO RICO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,141,141,,
PUERTO SILES,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,2,2,,
PUERTO SUAREZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,40,40,,
PUERTO VILLARROEL,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,57,57,,
PUNA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,102,102,,
PUNATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,124,124,,
QUIABAYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,13,13,,
QUILLACOLLO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,269,269,,
QUIME,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,2,2,,
REYES,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,1,1,,
RIBERALTA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,94,94,,
ROBORE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,8,8,,
RURRENABAQUE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,5,5,,
SABAYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,2,2,,
SACABA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,247,247,,
SACABAMBA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,28,28,,
SACACA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,111,111,,
SAIPINA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,4,4,,
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,7,7,,
SAN ANDRES,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,25,25,,
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,2,2,,
SAN BENITO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,33,33,,
SAN BORJA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,16,16,,
SAN BUENA VENTURA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,41,41,,
SAN CARLOS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,137,137,,
SAN IGNACIO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,63,63,,
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,70,70,,
SAN JAVIER(BNI),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,23,23,,
SAN JAVIER(STC),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,119,119,,
SAN JOAQUIN,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,39,39,,
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,21,21,,
SAN JULIAN,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,267,267,,
SAN LORENZO(PND),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,2,2,,
SAN LORENZO(TJA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,33,33,,
SAN LUCAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,64,64,,
SAN MATIAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,9,9,,
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,8,8,,
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,4,4,,
SAN PEDRO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,50,50,,
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,5,5,,
SAN PEDRO DE CURAHUARA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,15,15,,
SAN PEDRO DE TIQUINA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,3,3,,
SAN RAFAEL,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,17,17,,
SAN RAMON,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,25,25,,
SANTA ANA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,18,18,,
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,2536,2536,,
SANTA ROSA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,3,3,,
SANTA ROSA DEL SARA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,1,1,,
SANTIAGO DE CALLAPA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,2,2,,
SANTIVAÑES,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,45,45,,
SANTUARIO DE QUILLACAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,12,12,,
SAPAHAQUI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,1,1,,
SICA SICA (VILLA AROMA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,6,6,,
SICAYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,11,11,,
SIPE SIPE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,42,42,,
SOPACHUY,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,1,1,,
SORACACHI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,12,12,,
SORATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,37,37,,
SUCRE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,310,310,,
TACACHI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,1,1,,
TACACOMA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,45,45,,
TACOBAMBA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,59,59,,
TAPACARI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,181,181,,
TARABUCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,3,3,,
TARATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,3,3,,
TARIJA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,428,428,,
TARVITA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,10,10,,
TINGUIPAYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,274,274,,
TIPUANI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,7,7,,
TIQUIPAYA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,274,274,,
TIRAQUE (CBBA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,211,211,,
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,1,1,,
TOCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,4,4,,
TOLATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,13,13,,
TOLEDO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,3,3,,
TOMAVE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,13,13,,
TOMINA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,137,137,,
TORO TORO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,1,1,,
TOTORA(CBBA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,53,53,,
TRIGAL,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,2,2,,
TRINIDAD,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,413,413,,
TUPIZA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,8,8,,
TURCO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,15,15,,
UMALA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,2,2,,
UNCIA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,64,64,,
VACAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,7,7,,
VALLEGRANDE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,29,29,,
VIACHA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,31,31,,
VILA VILA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,63,63,,
VILLA MONTES,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,46,46,,
VILLA RIVERO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,24,24,,
VILLA SERRANO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,245,245,,
VILLA TUNARI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,219,219,,
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,2,2,,
VINTO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,41,41,,
VITICHI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,36,36,,
WARNES,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,120,120,,
YACO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,1,1,,
YACUIBA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,43,43,,
YAMPARAEZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,11,11,,
YANACACHI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,19,19,,
YOTALA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,6,6,,
YUNCHARA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-07-01,106,106,,
ACACIO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,12,12,,
ACHACACHI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,30,30,,
ACHOCALLA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,3,3,,
AIQUILE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,55,55,,
ALALAY,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,7,7,,
ANCORAIMES,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,4,4,,
ANDAMARCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,6,6,,
ANTEQUERA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,1,1,,
ANZALDO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,65,65,,
APOLO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,36,36,,
ARAMPAMPA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,49,49,,
ARANI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,6,6,,
ARBIETO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,4,4,,
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,23,23,,
AUCAPATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,23,23,,
AYATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,19,19,,
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,93,93,,
AZURDUY,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,10,10,,
BATALLAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,4,4,,
BERMEJO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,93,93,,
BOLIVAR,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,6,6,,
BOLPEBRA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,22,22,,
BOYUIBE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,21,21,,
BUENA VISTA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,176,176,,
CABEZAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,38,38,,
"CAIZA ""D""",control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,7,7,,
CAJUATA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,17,17,,
CALACOTO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,7,7,,
CALAMARCA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,4,4,,
CAMARGO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,5,5,,
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,2,2,,
CAMIRI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,87,87,,
CAPINOTA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,105,105,,
CARACOLLO,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,1,1,,
CARANAVI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,56,56,,
CARANGAS,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,5,5,,
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,11,11,,
CHAQUI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,1,1,,
CHARAGUA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,84,84,,
CHARAÑA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,6,6,,
CHAYANTA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,7,7,,
CHIMORE,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,65,65,,
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,6,6,,
CHUMA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,9,9,,
CLIZA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,14,14,,
COBIJA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,26,26,,
COCHABAMBA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,988,988,,
COLCAPIRHUA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,172,172,,
COLOMI,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,51,51,,
COLPA BELGICA,control de crecimiento infantil,control del nino de 2 anos a menor de 5 anos,2007-08-01,1,1,,
