municipality,group,variable,month,Control del niño menor de 1 año NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
YOTALA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,89,89,,
YUNCHARA,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,18,18,,
ZUDAÑEZ,control de crecimiento infantil,control del nino menor de 1 ano,2007-01-01,36,36,,
ACACIO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,35,35,,
AIQUILE,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,46,46,,
ALCALA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,7,7,,
ANZALDO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,33,33,,
ARAMPAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,34,34,,
ARBIETO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,22,22,,
ARQUE,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,21,21,,
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,4,4,,
AYO AYO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,13,13,,
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,23,23,,
BATALLAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,27,27,,
BAURES,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,7,7,,
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,3,3,,
BERMEJO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,37,37,,
BETANZOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,59,59,,
CABEZAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,3,3,,
CAIROMA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,16,16,,
CAJUATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,35,35,,
CALAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,22,22,,
CAMARGO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,58,58,,
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,17,17,,
CAMIRI,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,4,4,,
CARACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,51,51,,
CARANAVI,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,172,172,,
CARAPARI,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,15,15,,
CARIPUYO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,15,15,,
CHACARILLA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,4,4,,
CHALLAPATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,40,40,,
CHAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,14,14,,
CHAYANTA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,18,18,,
CHIMORE,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,3,3,,
CHIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,4,4,,
CHOQUE COTA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,3,3,,
CHUMA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,9,9,,
CLIZA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,15,15,,
COBIJA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,15,15,,
COCHABAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,24,24,,
COIPASA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,2,2,,
COLCAPIRHUA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,26,26,,
"COLCHA ""K""",control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,21,21,,
COLLANA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,4,4,,
COLOMI,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,120,120,,
COLPA BELGICA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,7,7,,
COLQUENCHA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,11,11,,
COLQUIRI,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,34,34,,
COMARAPA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,35,35,,
COPACABANA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,79,79,,
CORQUE,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,3,3,,
COTAGAITA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,25,25,,
COTOCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,31,31,,
CURAHUARA DE CARANGAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,3,3,,
EL ALTO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,555,555,,
EL PUENTE(TJA),control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,7,7,,
EL TORNO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,140,140,,
ENTRE RIOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,11,11,,
ENTRE RIOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,14,14,,
EUCALIPTUS,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,4,4,,
EUREKA (SANTOS MERCADO),control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,4,4,,
EXALTACION,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,3,3,,
FILADELFIA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,4,4,,
GUANAY,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,2,2,,
GUAYARAMERIN,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,185,185,,
HUACARETA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,39,39,,
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,18,18,,
HUACHACALLA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,6,6,,
HUANUNI,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,94,94,,
HUARACAJE,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,2,2,,
ICHOCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,7,7,,
ICLA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,1,1,,
INCAHUASI,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,7,7,,
INGAVI (HUMAITA),control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,1,1,,
INQUISIVI,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,28,28,,
LA GUARDIA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,153,153,,
LA PAZ,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,108,108,,
LAGUNILLAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,6,6,,
LAS CARRERAS,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,18,18,,
LLALLAGUA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,122,122,,
LLICA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,10,10,,
MACHARETI,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,33,33,,
MAGDALENA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,18,18,,
MAIRANA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,25,25,,
MALLA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,5,5,,
MIZQUE,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,6,6,,
MOCOMOCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,2,2,,
MOJOCOYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,49,49,,
MONTEAGUDO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,164,164,,
MORO MORO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,2,2,,
MOROCHATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,71,71,,
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,4,4,,
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,2,2,,
OMEREQUE,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,15,15,,
ORURO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,645,645,,
PADCAYA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,40,40,,
PADILLA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,33,33,,
PAILON,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,64,64,,
PALCA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,6,6,,
PALOS BLANCOS,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,1,1,,
PAMPA GRANDE,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,11,11,,
PASORAPA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,11,11,,
PAZÑA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,7,7,,
POCONA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,55,55,,
POJO (CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,28,28,,
POROMA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,101,101,,
PORONGO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,63,63,,
PORTACHUELO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,25,25,,
POSTRER VALLE,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,1,1,,
POTOSI,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,54,54,,
PRESTO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,162,162,,
PUCARA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,2,2,,
PUCARANI,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,43,43,,
PUERTO CARABUCO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,2,2,,
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,5,5,,
PUERTO PEREZ,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,34,34,,
PUERTO RICO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,2,2,,
PUERTO VILLARROEL,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,11,11,,
PUNA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,15,15,,
PUNATA,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,199,199,,
QUILLACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2007-02-01,400,400,,
