municipality,group,variable,month,Control del niño de 1 año a menor de 2 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
TACOPAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,1,1,,
TAPACARI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,94,94,,
TARABUCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,3,3,,
TARACO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,9,9,,
TARATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,22,22,,
TARIJA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,625,625,,
TARVITA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,17,17,,
TIAWANACU,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,5,5,,
TINGUIPAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,213,213,,
TIPUANI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,8,8,,
TIQUIPAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,34,34,,
TIRAQUE (CBBA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,129,129,,
TOCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,7,7,,
TOLATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,15,15,,
TOMAVE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,40,40,,
TOMINA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,92,92,,
TORO TORO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,26,26,,
TOTORA(CBBA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,54,54,,
TRINIDAD,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,442,442,,
TUPIZA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,3,3,,
TURCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,3,3,,
UNCIA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,30,30,,
URIONDO (A. CONCEPCION),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,25,25,,
URUBICHA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,2,2,,
UYUNI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,1,1,,
VACAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,10,10,,
VALLEGRANDE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,3,3,,
VIACHA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,103,103,,
VILA VILA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,11,11,,
VILLA MONTES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,29,29,,
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,5,5,,
VILLA RIVERO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,28,28,,
VILLA TUNARI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,214,214,,
VITICHI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,9,9,,
WARNES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,128,128,,
YACO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,3,3,,
YACUIBA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,55,55,,
YAMPARAEZ,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,1,1,,
YANACACHI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,1,1,,
YOCALLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,13,13,,
YOTALA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,14,14,,
YUNCHARA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-06-01,32,32,,
ACACIO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,4,4,,
ACHACACHI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,9,9,,
ACHOCALLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,21,21,,
AIQUILE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,17,17,,
ALALAY,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,5,5,,
ALCALA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
ANCORAIMES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,9,9,,
ANDAMARCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,3,3,,
ANTEQUERA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,32,32,,
ANZALDO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,38,38,,
APOLO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,27,27,,
ARAMPAMPA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,18,18,,
ARANI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,8,8,,
ARBIETO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,3,3,,
AUCAPATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,6,6,,
AYATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,22,22,,
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,131,131,,
AZURDUY,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,131,131,,
BATALLAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,6,6,,
BAURES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
BELEN DE URMIRI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,3,3,,
BERMEJO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,90,90,,
BETANZOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
BOLIVAR,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,2,2,,
BOLPEBRA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,2,2,,
BOYUIBE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,10,10,,
BUENA VISTA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,16,16,,
CABEZAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,10,10,,
"CAIZA ""D""",control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,7,7,,
CALACOTO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,8,8,,
CALAMARCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,4,4,,
CAMARGO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,16,16,,
CAMIRI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,17,17,,
CAPINOTA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,9,9,,
CARACOLLO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,3,3,,
CARANAVI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,44,44,,
CARANGAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,2,2,,
CARAPARI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
CARIPUYO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,19,19,,
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,30,30,,
CHACARILLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,12,12,,
CHALLAPATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,5,5,,
CHAQUI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
CHARAGUA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,23,23,,
CHAYANTA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
CHIMORE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,63,63,,
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,16,16,,
CHUMA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,31,31,,
COBIJA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,69,69,,
COCHABAMBA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1054,1054,,
COLCAPIRHUA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,84,84,,
COLOMI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,47,47,,
COLPA BELGICA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,2,2,,
COLQUECHACA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,12,12,,
COLQUENCHA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,5,5,,
COLQUIRI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
COMANCHE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
CONCEPCION,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,21,21,,
CORIPATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,6,6,,
COROICO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,32,32,,
CORQUE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,3,3,,
COTAGAITA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,44,44,,
COTOCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
CUATRO CAÑADAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,78,78,,
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,5,5,,
CULPINA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,24,24,,
EL ALTO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1241,1241,,
EL TORNO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,121,121,,
EL VILLAR,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,19,19,,
ENTRE RIOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,19,19,,
ENTRE RIOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,39,39,,
ESCARA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
EUCALIPTUS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,2,2,,
EXALTACION,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,5,5,,
FERNANDEZ ALONSO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,26,26,,
FILADELFIA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,7,7,,
GENERAL SAAVEDRA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,127,127,,
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,28,28,,
GUANAY,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,8,8,,
GUAYARAMERIN,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,7,7,,
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,2,2,,
HUANUNI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,10,10,,
ICHOCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,7,7,,
ICLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,38,38,,
INCAHUASI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,5,5,,
INQUISIVI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,2,2,,
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,6,6,,
LA GUARDIA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,4,4,,
LA PAZ,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,537,537,,
LAGUNILLAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
LAS CARRERAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
LICOMA PAMPA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,7,7,,
LLALLAGUA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,32,32,,
LLICA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,9,9,,
LORETO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,19,19,,
LURIBAY,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,15,15,,
MACHARETI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
MECAPACA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,13,13,,
MINEROS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,123,123,,
MIZQUE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,45,45,,
MOJINETE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,2,2,,
MOJOCOYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,54,54,,
MONTEAGUDO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,52,52,,
MONTERO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,138,138,,
MOROCHATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,81,81,,
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,15,15,,
OCURI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,20,20,,
OKINAWA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,9,9,,
OMEREQUE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,2,2,,
ORURO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,269,269,,
PADCAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,10,10,,
PADILLA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
PALCA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,8,8,,
PALOS BLANCOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,19,19,,
PAPEL PAMPA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,22,22,,
PATACAMAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,32,32,,
PELECHUCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,4,4,,
POCONA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,30,30,,
POJO (CBBA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,61,61,,
PORCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
POROMA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,3,3,,
PORONGO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,18,18,,
POSTRER VALLE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,5,5,,
POTOSI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,718,718,,
PRESTO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,45,45,,
PUCARANI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
PUERTO ACOSTA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,28,28,,
PUERTO CARABUCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,5,5,,
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
PUERTO QUIJARRO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,50,50,,
PUERTO RICO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,39,39,,
PUERTO SUAREZ,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,46,46,,
PUERTO VILLARROEL,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,34,34,,
PUNA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,59,59,,
PUNATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,77,77,,
QUIABAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,3,3,,
QUILLACOLLO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,171,171,,
REYES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,3,3,,
RIBERALTA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,96,96,,
ROBORE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,7,7,,
RURRENABAQUE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,11,11,,
SACABA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,237,237,,
SACABAMBA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,7,7,,
SACACA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,54,54,,
SAIPINA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,4,4,,
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,3,3,,
SAN ANDRES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,12,12,,
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,14,14,,
SAN BENITO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,30,30,,
SAN BORJA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,25,25,,
SAN BUENA VENTURA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,12,12,,
SAN CARLOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,195,195,,
SAN IGNACIO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,50,50,,
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,15,15,,
SAN JAVIER(BNI),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,27,27,,
SAN JAVIER(STC),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,58,58,,
SAN JOAQUIN,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,17,17,,
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,14,14,,
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,16,16,,
SAN JULIAN,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,162,162,,
SAN LORENZO(PND),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,5,5,,
SAN LORENZO(TJA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,18,18,,
SAN LUCAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,14,14,,
SAN MATIAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,5,5,,
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,25,25,,
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,2,2,,
SAN PEDRO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,42,42,,
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
SAN PEDRO DE CURAHUARA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,7,7,,
SAN PEDRO DE TIQUINA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,3,3,,
SAN RAFAEL,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,10,10,,
SAN RAMON,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,2,2,,
SAN RAMON,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,26,26,,
SANTA ANA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,11,11,,
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,3109,3109,,
SANTA ROSA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,3,3,,
SANTA ROSA DEL SARA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
SANTIAGO DE CALLAPA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,6,6,,
SANTIAGO DE HUARI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,3,3,,
SANTIVAÑES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,25,25,,
SANTUARIO DE QUILLACAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,6,6,,
SAPAHAQUI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,3,3,,
SENA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,51,51,,
SICA SICA (VILLA AROMA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,26,26,,
SICAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,9,9,,
SIPE SIPE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,28,28,,
SORACACHI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,6,6,,
SORATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,35,35,,
SUCRE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,170,170,,
TACACOMA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,10,10,,
TACOBAMBA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,59,59,,
TAPACARI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,126,126,,
TARABUCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,3,3,,
TARATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,3,3,,
TARIJA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,362,362,,
TARVITA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,24,24,,
TINGUIPAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,167,167,,
TIQUIPAYA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,116,116,,
TIRAQUE (CBBA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,118,118,,
TOCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,4,4,,
TOLATA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,13,13,,
TOLEDO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
TOMAVE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,20,20,,
TOMINA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,73,73,,
TORO TORO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
TOTORA(CBBA),control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,48,48,,
TRINIDAD,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,417,417,,
TUPIZA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,34,34,,
TURCO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,4,4,,
UNCIA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,47,47,,
VACAS,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,17,17,,
VALLEGRANDE,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,8,8,,
VIACHA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,82,82,,
VILA VILA,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,2,2,,
VILLA MONTES,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,19,19,,
VILLA RIVERO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,14,14,,
VILLA SERRANO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,87,87,,
VILLA TUNARI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,218,218,,
VILLAZON,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,1,1,,
VINTO,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,30,30,,
VITICHI,control de crecimiento infantil,control del nino de 1 ano a menor de 2 anos,2007-07-01,25,25,,
