municipality,group,variable,month,Total N° de perros y gatos con vacuna antirrábica,TOTAL
SACACA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,359,359
SAIPINA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1586,1586
SALINAS DE GARCI MENDOZA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,786,786
SAMAIPATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,3323,3323
SAN AGUSTIN,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,185,185
SAN ANDRES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,50,50
SAN ANDRES DE MACHACA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1419,1419
SAN ANTONIO DE ESMORUCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,158,158
SAN ANTONIO DE LOMERIO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1219,1219
SAN BENITO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1043,1043
SAN BORJA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,4807,4807
SAN BUENA VENTURA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1308,1308
SAN CARLOS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,4365,4365
SAN IGNACIO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1742,1742
SAN IGNACIO DE VELASCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,5350,5350
SAN JAVIER(STC),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,2915,2915
SAN JOSE DE CHIQUITOS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,3062,3062
SAN JUAN DE YAPACANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,2100,2100
SAN JULIAN,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,10443,10443
SAN LORENZO(TJA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,2787,2787
SAN LUCAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,4849,4849
SAN MATIAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,2950,2950
SAN MIGUEL DE VELASCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1979,1979
SAN PABLO DE LIPEZ,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,77,77
SAN PEDRO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1025,1025
SAN PEDRO DE BUENA VISTA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,3190,3190
SAN PEDRO DE CURAHUARA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,2112,2112
SAN PEDRO DE QUEMES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,94,94
SAN PEDRO DE TIQUINA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1096,1096
SAN RAFAEL,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,843,843
SAN RAMON SCZ,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1833,1833
SANTA CRUZ DE LA SIERRA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,313114,313114
SANTA ROSA DEL SARA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,5961,5961
SANTIAGO DE CALLAPA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1850,1850
SANTIAGO DE HUARI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1245,1245
SANTIAGO DE HUATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1285,1285
SANTIAGO DE MACHACA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,823,823
SANTIVAÑES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,60,60
SANTUARIO DE QUILLACAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,355,355
SAPAHAQUI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,933,933
SHINAOTA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,988,988
SICA SICA (VILLA AROMA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,6909,6909
SICAYA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,86,86
SIPE SIPE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1043,1043
SOPACHUY,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,30,30
SORACACHI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1566,1566
SORATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1513,1513
SUCRE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,64143,64143
TACACHI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,132,132
TACACOMA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1499,1499
TACOBAMBA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1660,1660
TACOPAYA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,697,697
TAHUA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,66,66
TAPACARI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,208,208
TARABUCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,2937,2937
TARACO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1204,1204
TARATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,14,14
TARIJA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,53696,53696
TARVITA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,949,949
TEOPONTE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1976,1976
TIAWANACU,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1496,1496
TIPUANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1778,1778
TIQUIPAYA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,2248,2248
TIRAQUE (CBBA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,2515,2515
TITO YUPANQUI (PARQUIPUJIO),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,254,254
TOCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,38,38
TODOS SANTOS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,40,40
TOLATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,10,10
TOLEDO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,881,881
TOMAVE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,2237,2237
TOMINA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,243,243
TORO TORO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1602,1602
TOTORA(CBBA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,147,147
TOTORA(ORR),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1000,1000
TRIGAL,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1140,1140
TRINIDAD,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,10503,10503
TUPIZA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,8789,8789
TURCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,399,399
UMALA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,2145,2145
UNCIA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,3384,3384
URIONDO (A. CONCEPCION),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,2097,2097
URUBICHA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1200,1200
UYUNI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,423,423
VACAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,594,594
VALLEGRANDE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,3722,3722
VIACHA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,18162,18162
VILA VILA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,130,130
VILLA CHARCAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,43,43
VILLA MONTES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,93,93
VILLA RIVERO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,360,360
VILLA SERRANO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,878,878
VILLA TUNARI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,3818,3818
VILLA VACA GUZMAN (MUYUPAMPA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,30,30
VILLAZON,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,10472,10472
VINTO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,714,714
VITICHI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,671,671
WALDO BALLIVIAN,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,473,473
WARNES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,22635,22635
YACO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1193,1193
YACUIBA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,29654,29654
YAMPARAEZ,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,20,20
YANACACHI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,506,506
YAPACANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,13046,13046
YOCALLA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,996,996
YOTALA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,940,940
YUNCHARA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,1692,1692
YUNGUYO DE LITORAL,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,50,50
ZUDAÑEZ,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-08-01,288,288
ACACIO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,838,838
ACHACACHI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,2337,2337
AIQUILE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,801,801
ALCALA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,23,23
ANCORAIMES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,331,331
ANDAMARCA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,189,189
ANTEQUERA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,30,30
ANZALDO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,40,40
ARAMPAMPA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,795,795
ARBIETO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,260,260
ARQUE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,188,188
ASCENCION DE GUARAYOS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,295,295
ATOCHA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,1434,1434
AYO AYO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,378,378
AYOPAYA (V. DE INDEPENDENCIA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,824,824
BATALLAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,228,228
BAURES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,438,438
BELEN DE ANDAMARCA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,20,20
BELEN DE URMIRI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,112,112
BELLA FLOR,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,10,10
BETANZOS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,360,360
BOLIVAR,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,111,111
BOLPEBRA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,48,48
BOYUIBE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,13,13
CABEZAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,1690,1690
CAIROMA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,80,80
"CAIZA ""D""",n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,1019,1019
CAJUATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,170,170
CALACOTO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,17,17
CAMARGO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,248,248
CAPINOTA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,87,87
CAQUIAVIRI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,77,77
CARACOLLO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,704,704
CARAPARI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,198,198
CARIPUYO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,186,186
CARMEN RIVERO TORREZ,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,407,407
CHALLAPATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,534,534
CHAQUI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,222,222
CHARAGUA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,503,503
CHARAÑA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,8,8
CHAYANTA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,628,628
CHIMORE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,80,80
CHUA COCANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,20,20
CHULUMANI (V. DE LA LIBERTAD),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,183,183
CHUMA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,171,171
CHUQUIHUTA AYLLU JUCUMANI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,802,802
CKOCHAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,1956,1956
CLIZA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,503,503
COBIJA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,32,32
COCAPATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,365,365
COCHABAMBA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,14314,14314
COLCAPIRHUA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,474,474
"COLCHA ""K""",n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,317,317
COLLANA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,57,57
COLOMI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,147,147
COLPA BELGICA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,20,20
COLQUECHACA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,638,638
COLQUENCHA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,253,253
COLQUIRI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,575,575
COMANCHE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,44,44
COMARAPA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,105,105
COMBAYA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,24,24
CONCEPCION,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,117,117
COPACABANA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,65,65
CORIPATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,60,60
CORO CORO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,100,100
COROICO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,107,107
CORQUE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,86,86
COTAGAITA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,4853,4853
COTOCA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,254,254
CUATRO CAÑADAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,220,220
CUEVO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,785,785
CURAHUARA DE CARANGAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,82,82
CURVA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,28,28
DESAGUADERO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,228,228
EL ALTO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,2212,2212
EL CHORO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,1360,1360
EL PUENTE(STC),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,583,583
EL PUENTE(TJA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,2132,2132
EL TORNO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,18,18
ENTRE RIOS TRJ,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,1942,1942
ENTRE RIOS CBBA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,44,44
ESMERALDA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,17,17
EUCALIPTUS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,31,31
FERNANDEZ ALONSO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,10,10
FILADELFIA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,125,125
GENERAL SAAVEDRA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,7,7
GRAL. J.J. PEREZ (CHARAZANI),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,26,26
GUANAY,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,10,10
GUAQUI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,112,112
GUAYARAMERIN,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,261,261
GUTIERREZ,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,391,391
HUACARETA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,185,185
HUACAYA (VILLA DE HUACAYA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,88,88
HUANUNI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,161,161
HUATAJATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,141,141
HUAYLLAMARCA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,132,132
HUMANATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,60,60
ICHOCA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,660,660
ICLA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,25,25
INQUISIVI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,709,709
IRUPANA (VILLA DE LANZA),n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,290,290
IXIAMAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,200,200
JESUS DE MACHACA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,50,50
LA ASUNTA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,415,415
LA GUARDIA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,53,53
LA PAZ,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,913,913
LAGUNILLAS,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,288,288
LAJA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,530,530
LICOMA PAMPA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,220,220
LLALLAGUA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,1414,1414
LLICA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,206,206
LURIBAY,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,102,102
MACHACAMARCA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,207,207
MALLA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,110,110
MAPIRI,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,270,270
MIZQUE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,579,579
MOCOMOCO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,336,336
MOJINETE,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,100,100
MONTEAGUDO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,93,93
MONTERO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,80,80
MORO MORO,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,2,2
MOROCHATA,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,411,411
NAZACARA DE PACAJES,n de perros y gatos con vacuna antirrabica,total n de perros y gatos con vacuna antirrabica,2015-09-01,20,20
