municipality,group,variable,month,Nº de quejas y reclamos realizadas por los usuarios,TOTAL
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,2,2
SUCRE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,8,8
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,1,1
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,1,1
VINTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,1,1
WARNES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-07-01,1,1
ACHOCALLA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,1,1
ARANI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,4,4
CHUMA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,1,1
HUARINA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,1,1
ICHOCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,2,2
MOROCHATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,1,1
PUCARANI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,1,1
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,3,3
RAVELO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,1,1
SAN ANDRES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,1,1
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,1,1
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,1,1
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,1,1
SAN MATIAS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,2,2
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,1,1
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,1,1
SANTA ANA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,2,2
TARIJA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,1,1
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,2,2
TURCO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,1,1
VILLA MONTES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,1,1
WARNES,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-08-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-09-01,8,8
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-09-01,1,1
CARAPARI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-09-01,1,1
CHARAÑA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-09-01,2,2
CHUMA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-09-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-09-01,4,4
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-09-01,1,1
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-09-01,11,11
ICHOCA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-09-01,2,2
ICLA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-09-01,8,8
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-09-01,3,3
MAGDALENA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-09-01,4,4
POCOATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-09-01,1,1
POROMA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-09-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-09-01,2,2
PRESTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-09-01,1,1
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2020-09-01,1,1
