,group,variable,month,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,TOTAL 6.2 CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
CHARAÑA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,2,0,12,8,14,8,22
CHAYANTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,6,15,97,103,103,118,221
CHIMORE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,82,81,228,176,310,257,567
CHIPAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,2,4,20,10,22,14,36
CHOQUE COTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,0,5,7,5,7,12
CHUA COCANI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,4,0,6,11,10,11,21
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,14,14,64,64,78,78,156
CHUMA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,7,6,64,57,71,63,134
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,4,4,58,29,62,33,95
CKOCHAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,11,9,164,143,175,152,327
CLIZA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,15,12,122,97,137,109,246
COBIJA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,55,62,354,295,409,357,766
COCAPATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,17,11,161,166,178,177,355
COCHABAMBA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,598,573,2355,2335,2953,2908,5861
COIPASA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,0,6,5,6,5,11
COLCAPIRHUA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,51,37,238,270,289,307,596
"COLCHA ""K""",control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,5,6,97,101,102,107,209
COLLANA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,0,14,7,15,7,22
COLOMI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,9,9,179,151,188,160,348
COLPA BELGICA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,2,1,2,2,4,6
COLQUECHACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,38,30,289,279,327,309,636
COLQUENCHA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,4,6,58,55,62,61,123
COLQUIRI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,5,12,74,73,79,85,164
COMANCHE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,1,27,20,27,21,48
COMARAPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,8,9,120,103,128,112,240
COMBAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,4,3,15,17,19,20,39
CONCEPCION,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,19,28,71,80,90,108,198
COPACABANA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,11,8,51,42,62,50,112
CORIPATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,10,11,93,72,103,83,186
CORO CORO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,1,47,47,48,48,96
COROICO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,2,7,95,94,97,101,198
CORQUE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,2,4,45,48,47,52,99
COTAGAITA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,15,9,151,135,166,144,310
COTOCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,66,64,229,188,295,252,547
CRUZ DE MACHACAMARCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,0,0,1,0,1,1
CUATRO CAÑADAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,79,88,50,71,129,159,288
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,2,5,6,6,8,14
CUEVO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,2,3,18,19,20,22,42
CULPINA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,14,12,151,127,165,139,304
CURAHUARA DE CARANGAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,2,36,43,37,45,82
CURVA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,0,25,33,25,33,58
DESAGUADERO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,6,4,32,32,38,36,74
EL ALTO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,739,775,4985,4344,5724,5119,10843
EL CHORO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,2,1,47,37,49,38,87
EL PUENTE(STC),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,5,12,80,75,85,87,172
EL PUENTE(TJA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,6,9,96,79,102,88,190
EL TORNO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,49,40,232,212,281,252,533
EL VILLAR,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,1,34,26,34,27,61
ENTRE RIOS TRJ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,17,15,168,191,185,206,391
ENTRE RIOS CBBA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,23,32,357,293,380,325,705
ESCARA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,1,4,3,4,4,8
ESCOMA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,4,4,28,28,32,32,64
ESMERALDA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,0,3,3,4,3,7
EUCALIPTUS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,7,9,110,72,117,81,198
EUREKA (SANTOS MERCADO),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,1,11,15,12,16,28
EXALTACION,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,3,3,13,11,16,14,30
FERNANDEZ ALONSO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,3,3,116,99,119,102,221
FILADELFIA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,6,4,49,47,55,51,106
GENERAL SAAVEDRA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,22,9,91,107,113,116,229
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,5,3,65,51,70,54,124
GUANAY,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,15,6,100,103,115,109,224
GUAQUI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,6,2,45,40,51,42,93
GUAYARAMERIN,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,5,6,376,365,381,371,752
GUTIERREZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,12,12,125,121,137,133,270
HUACARETA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,4,2,55,66,59,68,127
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,2,30,28,31,30,61
HUACHACALLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,1,10,12,11,13,24
HUANUNI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,23,15,155,128,178,143,321
HUARACAJE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,1,24,28,24,29,53
HUARINA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,7,2,27,24,34,26,60
HUATAJATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,2,11,16,12,18,30
HUAYLLAMARCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,1,28,25,28,26,54
HUMANATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,3,2,25,14,28,16,44
ICHOCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,2,1,32,25,34,26,60
ICLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,5,3,68,65,73,68,141
INCAHUASI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,23,14,99,93,122,107,229
INGAVI (HUMAITA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,0,17,38,18,38,56
INQUISIVI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,5,7,79,71,84,78,162
IRUPANA (VILLA DE LANZA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,19,12,138,95,157,107,264
IXIAMAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,22,12,59,64,81,76,157
JESUS DE MACHACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,10,8,58,70,68,78,146
LA ASUNTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,30,31,386,333,416,364,780
LA GUARDIA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,73,63,269,284,342,347,689
LA PAZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,796,667,2825,2496,3621,3163,6784
LA RIVERA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,2,0,0,1,2,3
LAGUNILLAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,4,6,46,58,50,64,114
LAJA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,17,14,106,91,123,105,228
LAS CARRERAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,2,22,24,23,26,49
LICOMA PAMPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,2,0,19,14,21,14,35
LLALLAGUA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,23,37,301,296,324,333,657
LLICA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,3,0,31,24,34,24,58
LORETO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,7,4,11,14,18,18,36
LURIBAY,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,1,59,44,59,45,104
MACHACAMARCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,3,5,44,36,47,41,88
MACHARETI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,7,7,41,61,48,68,116
MAGDALENA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,6,7,84,80,90,87,177
MAIRANA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,11,3,69,53,80,56,136
MALLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,3,2,14,12,17,14,31
MAPIRI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,7,2,97,91,104,93,197
MECAPACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,13,8,72,87,85,95,180
MINEROS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,12,18,153,117,165,135,300
MIZQUE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,35,24,289,223,324,247,571
MOCOMOCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,2,7,76,89,78,96,174
MOJINETE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,2,8,4,8,6,14
MOJOCOYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,6,48,41,49,47,96
MONTEAGUDO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,16,13,184,173,200,186,386
MONTERO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,119,126,793,742,912,868,1780
MORO MORO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,2,2,16,18,18,20,38
MOROCHATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,7,8,86,99,93,107,200
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,2,1,21,20,23,21,44
NAZACARA DE PACAJES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,0,4,5,4,5,9
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,0,29,8,29,8,37
OCURI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,10,15,125,116,135,131,266
OKINAWA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,4,5,103,97,107,102,209
OMEREQUE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,5,4,60,64,65,68,133
ORURO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,294,284,1583,1544,1877,1828,3705
PADCAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,10,12,134,115,144,127,271
PADILLA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,5,4,75,90,80,94,174
PAILON,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,10,5,116,96,126,101,227
PALCA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,10,3,113,108,123,111,234
PALOS BLANCOS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,15,8,200,201,215,209,424
PAMPA AULLAGAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,4,2,20,17,24,19,43
PAMPA GRANDE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,6,9,61,53,67,62,129
PAPEL PAMPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,1,37,44,37,45,82
PASORAPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,1,30,19,31,20,51
PATACAMAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,6,5,105,113,111,118,229
PAZÑA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,3,5,57,61,60,66,126
PELECHUCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,8,2,71,40,79,42,121
POCOATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,16,19,175,177,191,196,387
POCONA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,6,9,110,87,116,96,212
POJO (CBBA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,19,18,122,97,141,115,256
POOPO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,6,31,35,31,41,72
PORCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,7,5,97,103,104,108,212
POROMA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,7,10,123,135,130,145,275
PORONGO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,8,10,44,23,52,33,85
PORTACHUELO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,6,5,44,47,50,52,102
PORVENIR,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,3,5,41,43,44,48,92
POSTRER VALLE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,0,14,10,14,10,24
POTOSI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,198,201,969,929,1167,1130,2297
PRESTO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,7,6,75,67,82,73,155
PUCARA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,0,21,1,21,1,22
PUCARANI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,22,16,174,160,196,176,372
PUERTO ACOSTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,7,7,61,64,68,71,139
PUERTO CARABUCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,10,68,76,69,86,155
PUERTO GONZALO MORENO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,7,9,85,91,92,100,192
PUERTO PEREZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,5,3,34,45,39,48,87
PUERTO QUIJARRO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,4,3,102,104,106,107,213
PUERTO RICO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,7,8,52,48,59,56,115
PUERTO SILES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,1,15,13,15,14,29
PUERTO SUAREZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,8,9,81,80,89,89,178
PUERTO VILLARROEL,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,31,41,559,473,590,514,1104
PUNA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,19,13,174,153,193,166,359
PUNATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,21,20,185,192,206,212,418
QUIABAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,3,4,16,27,19,31,50
QUILLACOLLO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,479,366,1073,997,1552,1363,2915
QUIME,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,9,10,71,90,80,100,180
QUIRUSILLAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,2,10,14,11,16,27
RAVELO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,7,12,116,114,123,126,249
REYES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,1,90,90,90,91,181
RIBERALTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,87,86,769,794,856,880,1736
ROBORE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,1,78,78,79,79,158
RURRENABAQUE,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,5,7,77,93,82,100,182
SABAYA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,2,21,24,21,26,47
SACABA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,98,77,1033,962,1131,1039,2170
SACABAMBA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,5,4,22,23,27,27,54
SACACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,20,23,184,157,204,180,384
SAIPINA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,2,53,50,54,52,106
SALINAS DE GARCI MENDOZA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,5,10,129,112,134,122,256
SAMAIPATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,9,16,47,55,56,71,127
SAN AGUSTIN,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,1,12,20,13,21,34
SAN ANDRES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,7,10,56,39,63,49,112
SAN ANDRES DE MACHACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,6,2,25,14,31,16,47
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,3,1,12,5,15,6,21
SAN ANTONIO DE LOMERIO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,8,64,70,65,78,143
SAN BENITO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,9,15,72,89,81,104,185
SAN BORJA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,4,36,315,334,319,370,689
SAN BUENA VENTURA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,9,3,56,82,65,85,150
SAN CARLOS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,25,24,142,135,167,159,326
SAN IGNACIO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,55,52,164,138,219,190,409
SAN IGNACIO DE VELASCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,48,38,395,388,443,426,869
SAN JAVIER(BNI),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,9,6,14,18,23,24,47
SAN JAVIER(STC),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,10,13,59,69,69,82,151
SAN JOAQUIN,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,0,37,31,37,31,68
SAN JOSE DE CHIQUITOS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,7,10,57,91,64,101,165
SAN JUAN DE YAPACANI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,8,7,50,35,58,42,100
SAN JULIAN,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,44,30,223,218,267,248,515
SAN LORENZO(PND),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,2,4,42,48,44,52,96
SAN LORENZO(TJA),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,17,22,187,177,204,199,403
SAN LUCAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,25,22,347,277,372,299,671
SAN MATIAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,7,7,99,60,106,67,173
SAN MIGUEL DE VELASCO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,5,7,91,83,96,90,186
SAN PABLO DE LIPEZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,3,1,10,23,13,24,37
SAN PEDRO,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,15,16,106,103,121,119,240
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,10,20,218,198,228,218,446
SAN PEDRO DE CURAHUARA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,1,32,21,33,22,55
SAN PEDRO DE QUEMES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,1,5,5,5,6,11
SAN PEDRO DE TIQUINA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,7,1,17,13,24,14,38
SAN PEDRO(PND),control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,4,2,14,12,18,14,32
SAN RAFAEL,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,3,2,67,47,70,49,119
SAN RAMON BENI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,2,32,22,33,24,57
SAN RAMON SCZ,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,11,7,47,51,58,58,116
SANTA ANA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,28,37,55,75,83,112,195
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1123,1051,3595,3686,4718,4737,9455
SANTA ROSA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,0,72,75,72,75,147
SANTA ROSA DEL SARA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,10,12,100,104,110,116,226
SANTIAGO DE CALLAPA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,0,4,24,19,24,23,47
SANTIAGO DE HUARI,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,11,6,80,54,91,60,151
SANTIAGO DE HUATA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,2,6,46,24,48,30,78
SANTIAGO DE MACHACA,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,2,2,21,34,23,36,59
SANTIVAÑES,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,2,0,45,36,47,36,83
SANTUARIO DE QUILLACAS,control de crecimiento infantil, control del nino (a) de 1 ano a menor de 2 anos,2014-06-01,1,1,27,24,28,25,53
