,group,variable,month,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS NUEVO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTAL 6.3 CONTROL DEL NIÑO (A) DE 2 AÑOS A MENOR DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
CHALLAPATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,26,18,225,224,251,242,493
CHAQUI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,6,11,45,45,51,56,107
CHARAGUA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,18,14,196,177,214,191,405
CHARAÑA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,2,8,8,8,10,18
CHAYANTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,8,8,63,69,71,77,148
CHIMORE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,118,87,271,268,389,355,744
CHIPAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,2,18,16,18,18,36
CHOQUE COTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1,1,1,10,2,11,13
CHUA COCANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,0,10,12,10,12,22
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,12,10,77,106,89,116,205
CHUMA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,7,7,76,64,83,71,154
CHUQUIHUTA AYLLU JUCUMANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,5,1,45,48,50,49,99
CKOCHAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,11,18,131,147,142,165,307
CLIZA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,17,11,146,126,163,137,300
COBIJA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,28,29,292,301,320,330,650
COCAPATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,14,13,213,216,227,229,456
COCHABAMBA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,696,619,2059,1889,2755,2508,5263
COIPASA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,0,5,1,5,1,6
COLCAPIRHUA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,47,40,197,182,244,222,466
"COLCHA ""K""",control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,8,11,98,106,106,117,223
COLLANA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,2,2,11,24,13,26,39
COLOMI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,7,13,103,96,110,109,219
COLPA BELGICA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,2,1,2,2,4,3,7
COLQUECHACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,23,23,177,171,200,194,394
COLQUENCHA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,7,5,33,33,40,38,78
COLQUIRI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,3,8,55,66,58,74,132
COMANCHE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,0,5,11,5,11,16
COMARAPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,8,11,78,66,86,77,163
COMBAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1,1,14,19,15,20,35
CONCEPCION,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,32,36,96,91,128,127,255
COPACABANA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,7,7,82,65,89,72,161
CORIPATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,6,7,112,80,118,87,205
CORO CORO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1,2,36,52,37,54,91
COROICO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,2,7,110,70,112,77,189
CORQUE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1,1,60,54,61,55,116
COTAGAITA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,14,17,181,169,195,186,381
COTOCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,59,57,160,143,219,200,419
CRUZ DE MACHACAMARCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,0,1,2,1,2,3
CUATRO CAÑADAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,152,110,73,58,225,168,393
CUCHUMUELA (V. G. VILLARROEL),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,2,0,10,5,12,5,17
CUEVO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,6,3,31,41,37,44,81
CULPINA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,25,18,185,227,210,245,455
CURAHUARA DE CARANGAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,2,1,72,45,74,46,120
CURVA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,0,37,43,37,43,80
DESAGUADERO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,2,1,39,30,41,31,72
EL ALTO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,934,824,5249,4880,6183,5704,11887
EL CHORO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,3,5,70,60,73,65,138
EL PUENTE(STC),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,14,9,57,36,71,45,116
EL PUENTE(TJA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,12,8,107,95,119,103,222
EL TORNO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,36,49,217,198,253,247,500
EL VILLAR,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,0,58,62,58,62,120
ENTRE RIOS TRJ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,15,11,188,182,203,193,396
ENTRE RIOS CBBA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,38,28,296,286,334,314,648
ESCARA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,0,11,6,11,6,17
ESCOMA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,1,42,42,42,43,85
ESMERALDA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,0,1,3,1,3,4
EUCALIPTUS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,12,13,67,52,79,65,144
EUREKA (SANTOS MERCADO),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,5,2,22,12,27,14,41
EXALTACION,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,5,4,9,12,14,16,30
FERNANDEZ ALONSO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,15,14,166,158,181,172,353
FILADELFIA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,6,5,51,47,57,52,109
GENERAL SAAVEDRA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,22,17,105,73,127,90,217
GRAL. J.J. PEREZ (CHARAZANI),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1,1,34,51,35,52,87
GUANAY,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,12,9,106,120,118,129,247
GUAQUI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,2,2,30,32,32,34,66
GUAYARAMERIN,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,27,15,289,319,316,334,650
GUTIERREZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,12,24,128,158,140,182,322
HUACARETA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,4,5,102,116,106,121,227
HUACAYA (VILLA DE HUACAYA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,3,6,50,42,53,48,101
HUACHACALLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,3,4,15,12,18,16,34
HUANUNI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,18,20,167,150,185,170,355
HUARACAJE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,0,32,28,32,28,60
HUARINA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,3,2,28,28,31,30,61
HUATAJATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,3,2,20,8,23,10,33
HUAYLLAMARCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1,2,45,25,46,27,73
HUMANATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,0,21,13,21,13,34
ICHOCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1,1,35,28,36,29,65
ICLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,4,9,162,177,166,186,352
INCAHUASI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,36,26,170,191,206,217,423
INGAVI (HUMAITA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,4,1,37,43,41,44,85
INQUISIVI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,2,5,65,65,67,70,137
IRUPANA (VILLA DE LANZA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,7,7,125,172,132,179,311
IXIAMAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,21,15,80,73,101,88,189
JESUS DE MACHACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,10,6,70,74,80,80,160
LA ASUNTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,42,23,346,339,388,362,750
LA GUARDIA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,19,37,186,183,205,220,425
LA PAZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1192,1085,2806,2508,3998,3593,7591
LA RIVERA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,2,3,0,0,2,3,5
LAGUNILLAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,15,7,114,101,129,108,237
LAJA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,7,7,75,56,82,63,145
LAS CARRERAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,8,8,43,43,51,51,102
LICOMA PAMPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1,0,24,9,25,9,34
LLALLAGUA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,309,353,127,164,436,517,953
LLICA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,1,19,21,19,22,41
LORETO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,20,23,17,31,37,54,91
LURIBAY,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,1,50,43,50,44,94
MACHACAMARCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1,2,37,34,38,36,74
MACHARETI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,11,12,118,87,129,99,228
MAGDALENA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,7,9,88,61,95,70,165
MAIRANA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,10,4,40,43,50,47,97
MALLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,2,0,23,22,25,22,47
MAPIRI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,8,4,119,116,127,120,247
MECAPACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,12,7,102,84,114,91,205
MINEROS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,32,18,119,136,151,154,305
MIZQUE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,27,39,237,215,264,254,518
MOCOMOCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,5,6,60,71,65,77,142
MOJINETE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,0,2,11,2,11,13
MOJOCOYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,22,6,84,123,106,129,235
MONTEAGUDO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,22,18,232,203,254,221,475
MONTERO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,184,152,574,632,758,784,1542
MORO MORO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1,3,17,16,18,19,37
MOROCHATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,11,4,166,180,177,184,361
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,4,2,23,25,27,27,54
NAZACARA DE PACAJES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,0,12,2,12,2,14
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,0,39,35,39,35,74
OCURI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,8,11,159,135,167,146,313
OKINAWA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,7,15,124,119,131,134,265
OMEREQUE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,6,9,52,62,58,71,129
ORURO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,262,234,981,1041,1243,1275,2518
PADCAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,11,9,129,129,140,138,278
PADILLA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,7,13,184,206,191,219,410
PAILON,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,7,13,95,85,102,98,200
PALCA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,5,14,100,101,105,115,220
PALOS BLANCOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,14,8,281,280,295,288,583
PAMPA AULLAGAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,5,1,27,24,32,25,57
PAMPA GRANDE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,8,5,38,37,46,42,88
PAPEL PAMPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,3,0,59,51,62,51,113
PASORAPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,1,41,39,41,40,81
PATACAMAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,4,2,99,80,103,82,185
PAZÑA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,5,4,92,83,97,87,184
PELECHUCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,2,0,59,65,61,65,126
POCOATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,37,56,208,228,245,284,529
POCONA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,7,5,115,108,122,113,235
POJO (CBBA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,27,23,128,96,155,119,274
POOPO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,3,1,16,29,19,30,49
PORCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1,1,63,73,64,74,138
POROMA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,6,5,252,244,258,249,507
PORONGO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,14,14,45,61,59,75,134
PORTACHUELO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1,3,45,25,46,28,74
PORVENIR,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,4,4,41,58,45,62,107
POSTRER VALLE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,2,0,6,15,8,15,23
POTOSI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,209,194,508,595,717,789,1506
PRESTO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1,7,118,123,119,130,249
PUCARA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1,0,30,24,31,24,55
PUCARANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,7,13,112,116,119,129,248
PUERTO ACOSTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,6,5,29,36,35,41,76
PUERTO CARABUCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,8,4,82,69,90,73,163
PUERTO GONZALO MORENO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,4,6,187,186,191,192,383
PUERTO PEREZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,2,2,42,29,44,31,75
PUERTO QUIJARRO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,0,74,82,74,82,156
PUERTO RICO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,4,9,43,56,47,65,112
PUERTO SILES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,0,18,23,18,23,41
PUERTO SUAREZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,17,14,60,42,77,56,133
PUERTO VILLARROEL,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,32,37,510,515,542,552,1094
PUNA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,14,19,159,187,173,206,379
PUNATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,39,33,187,228,226,261,487
QUIABAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,6,6,19,21,25,27,52
QUILLACOLLO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,614,587,1184,1044,1798,1631,3429
QUIME,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,11,8,70,57,81,65,146
QUIRUSILLAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,4,10,13,10,17,27
RAVELO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,12,14,215,243,227,257,484
REYES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1,0,107,112,108,112,220
RIBERALTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,195,203,629,698,824,901,1725
ROBORE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1,2,48,58,49,60,109
RURRENABAQUE,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,2,4,47,55,49,59,108
SABAYA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,1,18,35,18,36,54
SACABA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,87,85,875,763,962,848,1810
SACABAMBA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,2,2,35,32,37,34,71
SACACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,12,14,187,188,199,202,401
SAIPINA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,2,6,45,40,47,46,93
SALINAS DE GARCI MENDOZA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,8,10,169,167,177,177,354
SAMAIPATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,6,4,66,60,72,64,136
SAN AGUSTIN,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,0,24,28,24,28,52
SAN ANDRES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,36,34,94,96,130,130,260
SAN ANDRES DE MACHACA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,2,13,21,13,23,36
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1,1,12,11,13,12,25
SAN ANTONIO DE LOMERIO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,16,16,139,146,155,162,317
SAN BENITO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,20,12,85,86,105,98,203
SAN BORJA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,4,1,370,331,374,332,706
SAN BUENA VENTURA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,5,5,59,72,64,77,141
SAN CARLOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,33,29,115,114,148,143,291
SAN IGNACIO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,66,77,174,164,240,241,481
SAN IGNACIO DE VELASCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,52,46,332,381,384,427,811
SAN JAVIER(BNI),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,6,7,34,29,40,36,76
SAN JAVIER(STC),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,13,19,58,48,71,67,138
SAN JOAQUIN,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,0,47,31,47,31,78
SAN JOSE DE CHIQUITOS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,17,25,50,64,67,89,156
SAN JUAN DE YAPACANI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,13,10,26,21,39,31,70
SAN JULIAN,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,41,40,264,261,305,301,606
SAN LORENZO(PND),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,1,49,77,49,78,127
SAN LORENZO(TJA),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,21,29,199,213,220,242,462
SAN LUCAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,67,56,597,608,664,664,1328
SAN MATIAS,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,6,5,62,45,68,50,118
SAN MIGUEL DE VELASCO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,16,15,107,111,123,126,249
SAN PABLO DE LIPEZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,5,13,6,10,11,23,34
SAN PEDRO,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,26,14,110,127,136,141,277
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,14,8,220,186,234,194,428
SAN PEDRO DE CURAHUARA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,0,36,25,36,25,61
SAN PEDRO DE QUEMES,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1,0,5,2,6,2,8
SAN PEDRO DE TIQUINA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,2,1,46,34,48,35,83
SAN PEDRO(PND),control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1,0,37,21,38,21,59
SAN RAFAEL,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,19,13,36,41,55,54,109
SAN RAMON BENI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,2,0,20,20,22,20,42
SAN RAMON SCZ,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,31,16,51,34,82,50,132
SANTA ANA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,58,72,45,35,103,107,210
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,1219,1160,3085,2840,4304,4000,8304
SANTA ROSA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,0,84,93,84,93,177
SANTA ROSA DEL SARA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,19,25,55,56,74,81,155
SANTIAGO DE CALLAPA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,2,13,10,13,12,25
SANTIAGO DE HUARI,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,22,10,106,89,128,99,227
SANTIAGO DE HUATA,control de crecimiento infantil, control del nino (a) de 2 anos a menor de 5 anos,2014-06-01,0,5,44,36,44,41,85
