,group,variable,month,NRO. DE TRATAMIENTOS INCIADOS CON SUERO ANTIOFIDICO CANTIDAD,NRO. DE TRATAMIENTOS INCIADOS CON SUERO ANTIOFIDICO CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
VILLA TUNARI,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-10-01,9,7,9,7,16
CHARAGUA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-11-01,1,0,1,0,1
CHIMORE,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-11-01,1,1,1,1,2
COTOCA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-11-01,2,0,2,0,2
ENTRE RIOS CBBA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-11-01,4,0,4,0,4
PADILLA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-11-01,2,0,2,0,2
PAMPA GRANDE,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-11-01,1,0,1,0,1
PUERTO VILLARROEL,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-11-01,3,8,3,8,11
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-11-01,1,0,1,0,1
RURRENABAQUE,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-11-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-11-01,1,0,1,0,1
VILLA TUNARI,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-11-01,11,5,11,5,16
CARANAVI,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-12-01,1,0,1,0,1
CHIMORE,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-12-01,3,1,3,1,4
EL TORNO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-12-01,2,0,2,0,2
ENTRE RIOS CBBA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-12-01,1,0,1,0,1
LA ASUNTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-12-01,1,1,1,1,2
MONTEAGUDO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-12-01,1,0,1,0,1
RIBERALTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-12-01,1,0,1,0,1
ROBORE,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-12-01,0,1,0,1,1
RURRENABAQUE,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-12-01,0,1,0,1,1
SAN IGNACIO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-12-01,1,1,1,1,2
SAN MIGUEL DE VELASCO,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-12-01,1,0,1,0,1
SHINAOTA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-12-01,1,0,1,0,1
TACACOMA,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-12-01,0,1,0,1,1
VILLA TUNARI,accidentes por ofidios y animales ponzonosos,nro. de tratamientos inciados con suero antiofidico,2024-12-01,8,2,8,2,10
