municipality,group,variable,month,Fallecidos a partir de las 48 horas,TOTAL
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2005-09-01,4,4
SAN BORJA,internaciones,fallecidos a partir de las 48 horas,2005-09-01,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2005-09-01,2,2
SAN JOAQUIN,internaciones,fallecidos a partir de las 48 horas,2005-09-01,2,2
SAN JUAN DE YAPACANI,internaciones,fallecidos a partir de las 48 horas,2005-09-01,1,1
SAN LUCAS,internaciones,fallecidos a partir de las 48 horas,2005-09-01,1,1
SAN RAMON,internaciones,fallecidos a partir de las 48 horas,2005-09-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2005-09-01,95,95
SUCRE,internaciones,fallecidos a partir de las 48 horas,2005-09-01,31,31
TARIJA,internaciones,fallecidos a partir de las 48 horas,2005-09-01,26,26
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2005-09-01,1,1
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2005-09-01,5,5
UNCIA,internaciones,fallecidos a partir de las 48 horas,2005-09-01,5,5
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2005-09-01,2,2
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2005-09-01,1,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2005-09-01,4,4
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2005-10-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,fallecidos a partir de las 48 horas,2005-10-01,1,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2005-10-01,2,2
CAMARGO,internaciones,fallecidos a partir de las 48 horas,2005-10-01,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2005-10-01,7,7
CARANAVI,internaciones,fallecidos a partir de las 48 horas,2005-10-01,1,1
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2005-10-01,59,59
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 horas,2005-10-01,2,2
COROICO,internaciones,fallecidos a partir de las 48 horas,2005-10-01,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 horas,2005-10-01,13,13
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 horas,2005-10-01,4,4
IXIAMAS,internaciones,fallecidos a partir de las 48 horas,2005-10-01,1,1
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2005-10-01,124,124
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2005-10-01,2,2
MAGDALENA,internaciones,fallecidos a partir de las 48 horas,2005-10-01,2,2
