municipality,group,variable,month,Total 11.7 Mujeres con primer control post parto,TOTAL
"COLCHA ""K""",atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,9,9
COLLANA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,2,2
COLOMI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,5,5
COLPA BELGICA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,12,12
COLQUECHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,59,59
COLQUENCHA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,8,8
COLQUIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,22,22
COMANCHE,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,2,2
COMARAPA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,22,22
COMBAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,3,3
CONCEPCION,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,41,41
COPACABANA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,17,17
CORIPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,13,13
CORO CORO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,7,7
COROICO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,39,39
CORQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,7,7
COTAGAITA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,13,13
COTOCA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,53,53
CUATRO CAÑADAS,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,26,26
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,1,1
CUEVO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,7,7
CULPINA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,25,25
CURAHUARA DE CARANGAS,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,4,4
CURVA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,5,5
DESAGUADERO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,6,6
EL ALTO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,785,785
EL CHORO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,1,1
EL PUENTE(STC),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,10,10
EL PUENTE(TJA),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,6,6
EL TORNO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,94,94
EL VILLAR,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,6,6
ENTRE RIOS TRJ,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,23,23
ENTRE RIOS CBBA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,26,26
ESCOMA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,9,9
EUCALIPTUS,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,3,3
EUREKA (SANTOS MERCADO),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,2,2
FERNANDEZ ALONSO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,10,10
FILADELFIA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,1,1
GENERAL SAAVEDRA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,11,11
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,16,16
GUANAY,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,17,17
GUAQUI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,9,9
GUAYARAMERIN,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,15,15
GUTIERREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,12,12
HUACARETA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,8,8
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,3,3
HUACHACALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,2,2
HUANUNI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,44,44
HUARACAJE,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,5,5
HUARINA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,2,2
HUATAJATA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,3,3
HUMANATA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,4,4
ICHOCA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,4,4
ICLA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,10,10
INCAHUASI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,12,12
INGAVI (HUMAITA),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,1,1
INQUISIVI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,3,3
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,18,18
IXIAMAS,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,5,5
JESUS DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,18,18
LA ASUNTA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,50,50
LA GUARDIA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,45,45
LA PAZ,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,1148,1148
LAGUNILLAS,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,8,8
LAJA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,13,13
LAS CARRERAS,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,2,2
LLALLAGUA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,49,49
LLICA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,4,4
LORETO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,3,3
LURIBAY,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,6,6
MACHACAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,3,3
MACHARETI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,5,5
MAGDALENA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,26,26
MAIRANA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,33,33
MALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,5,5
MAPIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,21,21
MECAPACA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,3,3
MINEROS,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,11,11
MIZQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,31,31
MOCOMOCO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,12,12
MOJINETE,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,1,1
MOJOCOYA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,8,8
MONTEAGUDO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,63,63
MONTERO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,98,98
MOROCHATA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,19,19
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,3,3
NAZACARA DE PACAJES,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,1,1
OCURI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,17,17
OKINAWA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,22,22
OMEREQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,5,5
ORURO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,601,601
PADCAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,8,8
PADILLA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,9,9
PAILON,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,16,16
PALCA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,20,20
PALOS BLANCOS,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,21,21
PAMPA AULLAGAS,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,3,3
PAMPA GRANDE,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,8,8
PAPEL PAMPA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,9,9
PASORAPA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,3,3
PATACAMAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,21,21
PAZÑA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,6,6
PELECHUCO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,7,7
POCOATA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,30,30
POCONA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,11,11
POJO (CBBA),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,19,19
PORCO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,13,13
POROMA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,15,15
PORONGO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,4,4
PORTACHUELO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,43,43
PORVENIR,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,3,3
POTOSI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,236,236
PRESTO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,4,4
PUCARANI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,40,40
PUERTO ACOSTA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,11,11
PUERTO CARABUCO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,11,11
PUERTO GONZALO MORENO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,8,8
PUERTO PEREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,6,6
PUERTO QUIJARRO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,30,30
PUERTO RICO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,10,10
PUERTO SUAREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,39,39
PUERTO VILLARROEL,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,82,82
PUNA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,21,21
PUNATA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,19,19
QUIABAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,3,3
QUILLACOLLO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,92,92
QUIME,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,7,7
RAVELO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,8,8
REYES,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,33,33
RIBERALTA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,227,227
ROBORE,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,23,23
RURRENABAQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,2,2
SABAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,2,2
SACABA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,134,134
SACABAMBA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,8,8
SACACA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,22,22
SAIPINA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,4,4
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,16,16
SAMAIPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,12,12
SAN ANDRES,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,11,11
SAN ANDRES DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,2,2
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,13,13
SAN BENITO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,7,7
SAN BORJA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,68,68
SAN BUENA VENTURA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,13,13
SAN CARLOS,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,67,67
SAN IGNACIO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,32,32
SAN IGNACIO DE VELASCO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,115,115
SAN JAVIER(BNI),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,5,5
SAN JAVIER(STC),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,31,31
SAN JOAQUIN,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,13,13
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,34,34
SAN JULIAN,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,41,41
SAN LORENZO(PND),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,4,4
SAN LORENZO(TJA),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,11,11
SAN LUCAS,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,22,22
SAN MATIAS,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,9,9
SAN MIGUEL DE VELASCO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,28,28
SAN PABLO DE LIPEZ,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,1,1
SAN PEDRO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,23,23
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,26,26
SAN PEDRO DE QUEMES,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,3,3
SAN PEDRO DE TIQUINA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,6,6
SAN PEDRO(PND),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,3,3
SAN RAFAEL,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,6,6
SAN RAMON BENI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,11,11
SAN RAMON SCZ,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,18,18
SANTA ANA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,40,40
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,958,958
SANTA ROSA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,3,3
SANTA ROSA DEL SARA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,10,10
SANTIAGO DE CALLAPA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,2,2
SANTIAGO DE HUARI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,8,8
SANTIAGO DE HUATA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,8,8
SANTIAGO DE MACHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,2,2
SANTIVAÑES,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,13,13
SANTUARIO DE QUILLACAS,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,3,3
SAPAHAQUI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,7,7
SENA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,10,10
SHINAOTA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,16,16
SICA SICA (VILLA AROMA),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,30,30
SICAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,9,9
SIPE SIPE,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,22,22
SOPACHUY,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,5,5
SORACACHI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,10,10
SORATA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,13,13
SUCRE,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,91,91
TACACOMA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,4,4
TACOBAMBA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,11,11
TACOPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,5,5
TAHUA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,2,2
TAPACARI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,25,25
TARABUCO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,18,18
TARACO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,6,6
TARATA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,5,5
TARIJA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,153,153
TARVITA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,12,12
TEOPONTE,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,18,18
TIAWANACU,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,15,15
TINGUIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,8,8
TIPUANI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,10,10
TIQUIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,85,85
TIRAQUE (CBBA),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,24,24
TOCO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,2,2
TOLATA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,6,6
TOLEDO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,6,6
TOMAVE,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,11,11
TOMINA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,10,10
TORO TORO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,10,10
TOTORA(CBBA),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,12,12
TOTORA(ORR),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,2,2
TRINIDAD,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,113,113
TUPIZA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,65,65
TURCO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,1,1
UMALA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,10,10
UNCIA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,12,12
URIONDO (A. CONCEPCION),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,13,13
URUBICHA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,11,11
UYUNI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,21,21
VACAS,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,14,14
VALLEGRANDE,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,25,25
VIACHA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,57,57
VILA VILA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,8,8
VILLA CHARCAS,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,23,23
VILLA MONTES,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,38,38
VILLA RIVERO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,7,7
VILLA SERRANO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,8,8
VILLA TUNARI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,107,107
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,13,13
VINTO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,9,9
VITICHI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,8,8
WALDO BALLIVIAN,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,2,2
WARNES,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,145,145
YACO,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,4,4
YACUIBA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,115,115
YAMPARAEZ,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,4,4
YANACACHI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,8,8
YAPACANI,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,73,73
YOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,5,5
YOTALA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,5,5
YUNCHARA,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,1,1
ZUDAÑEZ,atencion de partos en servicios,mujeres con primer control post parto,2014-06-01,11,11
ACACIO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,5,5
ACHACACHI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,50,50
ACHOCALLA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,5,5
AIQUILE,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,20,20
ALALAY,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,3,3
ALCALA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,2,2
ALTO BENI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,7,7
ANCORAIMES,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,25,25
ANDAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,4,4
ANTEQUERA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,2,2
ANZALDO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,4,4
APOLO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,23,23
ARANI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,10,10
ARBIETO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,14,14
ARQUE,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,13,13
ASCENCION DE GUARAYOS,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,67,67
ATOCHA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,7,7
AUCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
AYATA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,14,14
AYO AYO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,33,33
AZURDUY,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,17,17
BATALLAS,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,12,12
BAURES,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,8,8
BELEN DE ANDAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,4,4
BELEN DE URMIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,1,1
BELLA FLOR,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,2,2
BERMEJO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
BETANZOS,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,10,10
BOLIVAR,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,7,7
BOLPEBRA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,1,1
BOYUIBE,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,5,5
BUENA VISTA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,8,8
CABEZAS,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,17,17
CAIROMA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,9,9
"CAIZA ""D""",atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,5,5
CAJUATA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,9,9
CALACOTO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
CALAMARCA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,12,12
CAMARGO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,20,20
CAMIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,11,11
CAPINOTA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,21,21
CAQUIAVIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
CARACOLLO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,25,25
CARANAVI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,43,43
CARAPARI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,11,11
CARIPUYO,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,7,7
CARMEN RIVERO TORREZ,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,4,4
CATACORA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,1,1
CHACARILLA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,1,1
CHALLAPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,62,62
CHAQUI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,9,9
CHARAGUA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,20,20
CHARAÑA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,1,1
CHAYANTA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,24,24
CHIMORE,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,4,4
CHIPAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,4,4
CHOQUE COTA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,2,2
CHUA COCANI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,3,3
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,22,22
CHUMA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,6,6
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,11,11
CKOCHAS,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,24,24
CLIZA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,40,40
COBIJA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,85,85
COCAPATA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,16,16
COCHABAMBA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,802,802
COIPASA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,1,1
COLCAPIRHUA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,12,12
"COLCHA ""K""",atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,14,14
COLLANA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,5,5
COLOMI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,16,16
COLPA BELGICA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,9,9
COLQUECHACA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,52,52
COLQUENCHA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,9,9
COLQUIRI,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,8,8
COMANCHE,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,3,3
COMARAPA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,14,14
COMBAYA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,3,3
CONCEPCION,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,32,32
COPACABANA,atencion de partos en servicios,mujeres con primer control post parto,2014-07-01,19,19
