municipality,group,variable,month,Total 11.1 Vaginales,TOTAL
BETANZOS,atencion de partos en servicios,vaginales,2014-07-01,25,25
BOYUIBE,atencion de partos en servicios,vaginales,2014-07-01,4,4
BUENA VISTA,atencion de partos en servicios,vaginales,2014-07-01,9,9
CABEZAS,atencion de partos en servicios,vaginales,2014-07-01,22,22
CAIROMA,atencion de partos en servicios,vaginales,2014-07-01,6,6
"CAIZA ""D""",atencion de partos en servicios,vaginales,2014-07-01,2,2
CAJUATA,atencion de partos en servicios,vaginales,2014-07-01,8,8
CALAMARCA,atencion de partos en servicios,vaginales,2014-07-01,7,7
CAMARGO,atencion de partos en servicios,vaginales,2014-07-01,16,16
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,vaginales,2014-07-01,3,3
CAMIRI,atencion de partos en servicios,vaginales,2014-07-01,36,36
CAPINOTA,atencion de partos en servicios,vaginales,2014-07-01,17,17
CAQUIAVIRI,atencion de partos en servicios,vaginales,2014-07-01,2,2
CARACOLLO,atencion de partos en servicios,vaginales,2014-07-01,20,20
CARANAVI,atencion de partos en servicios,vaginales,2014-07-01,77,77
CARAPARI,atencion de partos en servicios,vaginales,2014-07-01,9,9
CARIPUYO,atencion de partos en servicios,vaginales,2014-07-01,2,2
CARMEN RIVERO TORREZ,atencion de partos en servicios,vaginales,2014-07-01,8,8
CHALLAPATA,atencion de partos en servicios,vaginales,2014-07-01,39,39
CHAQUI,atencion de partos en servicios,vaginales,2014-07-01,7,7
CHARAGUA,atencion de partos en servicios,vaginales,2014-07-01,53,53
CHAYANTA,atencion de partos en servicios,vaginales,2014-07-01,10,10
CHIMORE,atencion de partos en servicios,vaginales,2014-07-01,12,12
CHIPAYA,atencion de partos en servicios,vaginales,2014-07-01,2,2
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,vaginales,2014-07-01,12,12
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,vaginales,2014-07-01,10,10
CKOCHAS,atencion de partos en servicios,vaginales,2014-07-01,4,4
CLIZA,atencion de partos en servicios,vaginales,2014-07-01,25,25
COBIJA,atencion de partos en servicios,vaginales,2014-07-01,88,88
COCAPATA,atencion de partos en servicios,vaginales,2014-07-01,12,12
COCHABAMBA,atencion de partos en servicios,vaginales,2014-07-01,760,760
COIPASA,atencion de partos en servicios,vaginales,2014-07-01,1,1
COLCAPIRHUA,atencion de partos en servicios,vaginales,2014-07-01,18,18
"COLCHA ""K""",atencion de partos en servicios,vaginales,2014-07-01,3,3
COLLANA,atencion de partos en servicios,vaginales,2014-07-01,4,4
COLOMI,atencion de partos en servicios,vaginales,2014-07-01,18,18
COLPA BELGICA,atencion de partos en servicios,vaginales,2014-07-01,5,5
COLQUECHACA,atencion de partos en servicios,vaginales,2014-07-01,8,8
COLQUENCHA,atencion de partos en servicios,vaginales,2014-07-01,6,6
COLQUIRI,atencion de partos en servicios,vaginales,2014-07-01,6,6
COMARAPA,atencion de partos en servicios,vaginales,2014-07-01,15,15
COMBAYA,atencion de partos en servicios,vaginales,2014-07-01,1,1
CONCEPCION,atencion de partos en servicios,vaginales,2014-07-01,23,23
COPACABANA,atencion de partos en servicios,vaginales,2014-07-01,9,9
CORIPATA,atencion de partos en servicios,vaginales,2014-07-01,7,7
CORO CORO,atencion de partos en servicios,vaginales,2014-07-01,3,3
COROICO,atencion de partos en servicios,vaginales,2014-07-01,27,27
CORQUE,atencion de partos en servicios,vaginales,2014-07-01,1,1
COTAGAITA,atencion de partos en servicios,vaginales,2014-07-01,14,14
COTOCA,atencion de partos en servicios,vaginales,2014-07-01,75,75
CUATRO CAÑADAS,atencion de partos en servicios,vaginales,2014-07-01,13,13
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,vaginales,2014-07-01,2,2
CUEVO,atencion de partos en servicios,vaginales,2014-07-01,6,6
CULPINA,atencion de partos en servicios,vaginales,2014-07-01,18,18
CURAHUARA DE CARANGAS,atencion de partos en servicios,vaginales,2014-07-01,5,5
DESAGUADERO,atencion de partos en servicios,vaginales,2014-07-01,4,4
EL ALTO,atencion de partos en servicios,vaginales,2014-07-01,991,991
EL CHORO,atencion de partos en servicios,vaginales,2014-07-01,6,6
EL PUENTE(STC),atencion de partos en servicios,vaginales,2014-07-01,5,5
EL PUENTE(TJA),atencion de partos en servicios,vaginales,2014-07-01,10,10
EL TORNO,atencion de partos en servicios,vaginales,2014-07-01,53,53
EL VILLAR,atencion de partos en servicios,vaginales,2014-07-01,5,5
ENTRE RIOS TRJ,atencion de partos en servicios,vaginales,2014-07-01,22,22
ENTRE RIOS CBBA,atencion de partos en servicios,vaginales,2014-07-01,18,18
ESCOMA,atencion de partos en servicios,vaginales,2014-07-01,4,4
EUCALIPTUS,atencion de partos en servicios,vaginales,2014-07-01,4,4
EXALTACION,atencion de partos en servicios,vaginales,2014-07-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,vaginales,2014-07-01,10,10
FILADELFIA,atencion de partos en servicios,vaginales,2014-07-01,1,1
GENERAL SAAVEDRA,atencion de partos en servicios,vaginales,2014-07-01,13,13
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,vaginales,2014-07-01,2,2
GUANAY,atencion de partos en servicios,vaginales,2014-07-01,9,9
GUAQUI,atencion de partos en servicios,vaginales,2014-07-01,2,2
GUAYARAMERIN,atencion de partos en servicios,vaginales,2014-07-01,69,69
GUTIERREZ,atencion de partos en servicios,vaginales,2014-07-01,15,15
HUACARETA,atencion de partos en servicios,vaginales,2014-07-01,5,5
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,vaginales,2014-07-01,5,5
HUANUNI,atencion de partos en servicios,vaginales,2014-07-01,23,23
HUARACAJE,atencion de partos en servicios,vaginales,2014-07-01,1,1
HUATAJATA,atencion de partos en servicios,vaginales,2014-07-01,1,1
HUAYLLAMARCA,atencion de partos en servicios,vaginales,2014-07-01,1,1
HUMANATA,atencion de partos en servicios,vaginales,2014-07-01,1,1
ICHOCA,atencion de partos en servicios,vaginales,2014-07-01,1,1
ICLA,atencion de partos en servicios,vaginales,2014-07-01,6,6
INCAHUASI,atencion de partos en servicios,vaginales,2014-07-01,6,6
INQUISIVI,atencion de partos en servicios,vaginales,2014-07-01,4,4
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,vaginales,2014-07-01,12,12
IXIAMAS,atencion de partos en servicios,vaginales,2014-07-01,4,4
JESUS DE MACHACA,atencion de partos en servicios,vaginales,2014-07-01,14,14
LA ASUNTA,atencion de partos en servicios,vaginales,2014-07-01,65,65
LA GUARDIA,atencion de partos en servicios,vaginales,2014-07-01,65,65
LA PAZ,atencion de partos en servicios,vaginales,2014-07-01,947,947
LA RIVERA,atencion de partos en servicios,vaginales,2014-07-01,1,1
LAGUNILLAS,atencion de partos en servicios,vaginales,2014-07-01,2,2
LAJA,atencion de partos en servicios,vaginales,2014-07-01,11,11
LAS CARRERAS,atencion de partos en servicios,vaginales,2014-07-01,6,6
LLALLAGUA,atencion de partos en servicios,vaginales,2014-07-01,46,46
LLICA,atencion de partos en servicios,vaginales,2014-07-01,6,6
LORETO,atencion de partos en servicios,vaginales,2014-07-01,1,1
LURIBAY,atencion de partos en servicios,vaginales,2014-07-01,4,4
MACHACAMARCA,atencion de partos en servicios,vaginales,2014-07-01,4,4
MACHARETI,atencion de partos en servicios,vaginales,2014-07-01,5,5
MAGDALENA,atencion de partos en servicios,vaginales,2014-07-01,18,18
MAIRANA,atencion de partos en servicios,vaginales,2014-07-01,7,7
MAPIRI,atencion de partos en servicios,vaginales,2014-07-01,21,21
MECAPACA,atencion de partos en servicios,vaginales,2014-07-01,1,1
MINEROS,atencion de partos en servicios,vaginales,2014-07-01,14,14
MIZQUE,atencion de partos en servicios,vaginales,2014-07-01,28,28
MOCOMOCO,atencion de partos en servicios,vaginales,2014-07-01,1,1
MOJOCOYA,atencion de partos en servicios,vaginales,2014-07-01,9,9
MONTEAGUDO,atencion de partos en servicios,vaginales,2014-07-01,34,34
MONTERO,atencion de partos en servicios,vaginales,2014-07-01,44,44
MOROCHATA,atencion de partos en servicios,vaginales,2014-07-01,8,8
NACEBE (SANTA ROSA DEL ABUNA),atencion de partos en servicios,vaginales,2014-07-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en servicios,vaginales,2014-07-01,1,1
OCURI,atencion de partos en servicios,vaginales,2014-07-01,9,9
OKINAWA,atencion de partos en servicios,vaginales,2014-07-01,14,14
OMEREQUE,atencion de partos en servicios,vaginales,2014-07-01,3,3
ORURO,atencion de partos en servicios,vaginales,2014-07-01,377,377
PADCAYA,atencion de partos en servicios,vaginales,2014-07-01,9,9
PADILLA,atencion de partos en servicios,vaginales,2014-07-01,10,10
PAILON,atencion de partos en servicios,vaginales,2014-07-01,31,31
PALCA,atencion de partos en servicios,vaginales,2014-07-01,8,8
PALOS BLANCOS,atencion de partos en servicios,vaginales,2014-07-01,32,32
PAMPA AULLAGAS,atencion de partos en servicios,vaginales,2014-07-01,2,2
PAMPA GRANDE,atencion de partos en servicios,vaginales,2014-07-01,10,10
PAPEL PAMPA,atencion de partos en servicios,vaginales,2014-07-01,1,1
PATACAMAYA,atencion de partos en servicios,vaginales,2014-07-01,35,35
PAZÑA,atencion de partos en servicios,vaginales,2014-07-01,8,8
PELECHUCO,atencion de partos en servicios,vaginales,2014-07-01,1,1
POCOATA,atencion de partos en servicios,vaginales,2014-07-01,11,11
POCONA,atencion de partos en servicios,vaginales,2014-07-01,13,13
POJO (CBBA),atencion de partos en servicios,vaginales,2014-07-01,19,19
POOPO,atencion de partos en servicios,vaginales,2014-07-01,5,5
PORCO,atencion de partos en servicios,vaginales,2014-07-01,9,9
POROMA,atencion de partos en servicios,vaginales,2014-07-01,8,8
PORONGO,atencion de partos en servicios,vaginales,2014-07-01,5,5
PORTACHUELO,atencion de partos en servicios,vaginales,2014-07-01,17,17
PORVENIR,atencion de partos en servicios,vaginales,2014-07-01,6,6
POTOSI,atencion de partos en servicios,vaginales,2014-07-01,313,313
PRESTO,atencion de partos en servicios,vaginales,2014-07-01,2,2
PUCARA,atencion de partos en servicios,vaginales,2014-07-01,1,1
PUCARANI,atencion de partos en servicios,vaginales,2014-07-01,12,12
PUERTO ACOSTA,atencion de partos en servicios,vaginales,2014-07-01,2,2
PUERTO GONZALO MORENO,atencion de partos en servicios,vaginales,2014-07-01,5,5
PUERTO QUIJARRO,atencion de partos en servicios,vaginales,2014-07-01,24,24
PUERTO RICO,atencion de partos en servicios,vaginales,2014-07-01,14,14
PUERTO SUAREZ,atencion de partos en servicios,vaginales,2014-07-01,31,31
PUERTO VILLARROEL,atencion de partos en servicios,vaginales,2014-07-01,92,92
PUNA,atencion de partos en servicios,vaginales,2014-07-01,13,13
PUNATA,atencion de partos en servicios,vaginales,2014-07-01,43,43
QUIABAYA,atencion de partos en servicios,vaginales,2014-07-01,6,6
QUILLACOLLO,atencion de partos en servicios,vaginales,2014-07-01,110,110
QUIME,atencion de partos en servicios,vaginales,2014-07-01,8,8
RAVELO,atencion de partos en servicios,vaginales,2014-07-01,8,8
REYES,atencion de partos en servicios,vaginales,2014-07-01,18,18
RIBERALTA,atencion de partos en servicios,vaginales,2014-07-01,211,211
ROBORE,atencion de partos en servicios,vaginales,2014-07-01,14,14
RURRENABAQUE,atencion de partos en servicios,vaginales,2014-07-01,28,28
SABAYA,atencion de partos en servicios,vaginales,2014-07-01,1,1
SACABA,atencion de partos en servicios,vaginales,2014-07-01,162,162
SACABAMBA,atencion de partos en servicios,vaginales,2014-07-01,3,3
SACACA,atencion de partos en servicios,vaginales,2014-07-01,15,15
SAIPINA,atencion de partos en servicios,vaginales,2014-07-01,10,10
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,vaginales,2014-07-01,5,5
SAMAIPATA,atencion de partos en servicios,vaginales,2014-07-01,5,5
SAN AGUSTIN,atencion de partos en servicios,vaginales,2014-07-01,1,1
SAN ANDRES,atencion de partos en servicios,vaginales,2014-07-01,7,7
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,vaginales,2014-07-01,5,5
SAN BENITO,atencion de partos en servicios,vaginales,2014-07-01,4,4
SAN BORJA,atencion de partos en servicios,vaginales,2014-07-01,45,45
SAN BUENA VENTURA,atencion de partos en servicios,vaginales,2014-07-01,11,11
SAN CARLOS,atencion de partos en servicios,vaginales,2014-07-01,20,20
SAN IGNACIO,atencion de partos en servicios,vaginales,2014-07-01,37,37
SAN IGNACIO DE VELASCO,atencion de partos en servicios,vaginales,2014-07-01,72,72
SAN JAVIER(BNI),atencion de partos en servicios,vaginales,2014-07-01,3,3
SAN JAVIER(STC),atencion de partos en servicios,vaginales,2014-07-01,14,14
SAN JOAQUIN,atencion de partos en servicios,vaginales,2014-07-01,4,4
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,vaginales,2014-07-01,15,15
SAN JUAN DE YAPACANI,atencion de partos en servicios,vaginales,2014-07-01,5,5
SAN JULIAN,atencion de partos en servicios,vaginales,2014-07-01,60,60
SAN LORENZO(PND),atencion de partos en servicios,vaginales,2014-07-01,4,4
SAN LORENZO(TJA),atencion de partos en servicios,vaginales,2014-07-01,4,4
SAN LUCAS,atencion de partos en servicios,vaginales,2014-07-01,32,32
SAN MATIAS,atencion de partos en servicios,vaginales,2014-07-01,12,12
SAN MIGUEL DE VELASCO,atencion de partos en servicios,vaginales,2014-07-01,6,6
SAN PEDRO,atencion de partos en servicios,vaginales,2014-07-01,13,13
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,vaginales,2014-07-01,27,27
SAN PEDRO DE CURAHUARA,atencion de partos en servicios,vaginales,2014-07-01,1,1
SAN PEDRO DE QUEMES,atencion de partos en servicios,vaginales,2014-07-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en servicios,vaginales,2014-07-01,3,3
SAN RAFAEL,atencion de partos en servicios,vaginales,2014-07-01,5,5
SAN RAMON BENI,atencion de partos en servicios,vaginales,2014-07-01,2,2
SAN RAMON SCZ,atencion de partos en servicios,vaginales,2014-07-01,11,11
SANTA ANA,atencion de partos en servicios,vaginales,2014-07-01,29,29
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,vaginales,2014-07-01,1030,1030
SANTA ROSA,atencion de partos en servicios,vaginales,2014-07-01,10,10
SANTA ROSA DEL SARA,atencion de partos en servicios,vaginales,2014-07-01,12,12
SANTIAGO DE CALLAPA,atencion de partos en servicios,vaginales,2014-07-01,3,3
SANTIAGO DE HUARI,atencion de partos en servicios,vaginales,2014-07-01,14,14
SANTIAGO DE HUATA,atencion de partos en servicios,vaginales,2014-07-01,1,1
SANTIVAÑES,atencion de partos en servicios,vaginales,2014-07-01,3,3
SAPAHAQUI,atencion de partos en servicios,vaginales,2014-07-01,5,5
SENA,atencion de partos en servicios,vaginales,2014-07-01,7,7
SHINAOTA,atencion de partos en servicios,vaginales,2014-07-01,28,28
SICA SICA (VILLA AROMA),atencion de partos en servicios,vaginales,2014-07-01,12,12
SICAYA,atencion de partos en servicios,vaginales,2014-07-01,1,1
SIPE SIPE,atencion de partos en servicios,vaginales,2014-07-01,45,45
SOPACHUY,atencion de partos en servicios,vaginales,2014-07-01,9,9
SORACACHI,atencion de partos en servicios,vaginales,2014-07-01,2,2
SORATA,atencion de partos en servicios,vaginales,2014-07-01,10,10
SUCRE,atencion de partos en servicios,vaginales,2014-07-01,348,348
TACACOMA,atencion de partos en servicios,vaginales,2014-07-01,8,8
TACOBAMBA,atencion de partos en servicios,vaginales,2014-07-01,1,1
TACOPAYA,atencion de partos en servicios,vaginales,2014-07-01,1,1
TAHUA,atencion de partos en servicios,vaginales,2014-07-01,2,2
TAPACARI,atencion de partos en servicios,vaginales,2014-07-01,2,2
TARABUCO,atencion de partos en servicios,vaginales,2014-07-01,16,16
TARACO,atencion de partos en servicios,vaginales,2014-07-01,1,1
TARATA,atencion de partos en servicios,vaginales,2014-07-01,7,7
TARIJA,atencion de partos en servicios,vaginales,2014-07-01,274,274
TARVITA,atencion de partos en servicios,vaginales,2014-07-01,12,12
TEOPONTE,atencion de partos en servicios,vaginales,2014-07-01,13,13
TIAWANACU,atencion de partos en servicios,vaginales,2014-07-01,11,11
TINGUIPAYA,atencion de partos en servicios,vaginales,2014-07-01,2,2
TIPUANI,atencion de partos en servicios,vaginales,2014-07-01,11,11
TIQUIPAYA,atencion de partos en servicios,vaginales,2014-07-01,54,54
TIRAQUE (CBBA),atencion de partos en servicios,vaginales,2014-07-01,26,26
TOCO,atencion de partos en servicios,vaginales,2014-07-01,4,4
TOLATA,atencion de partos en servicios,vaginales,2014-07-01,5,5
TOLEDO,atencion de partos en servicios,vaginales,2014-07-01,1,1
TOMAVE,atencion de partos en servicios,vaginales,2014-07-01,10,10
TOMINA,atencion de partos en servicios,vaginales,2014-07-01,8,8
TORO TORO,atencion de partos en servicios,vaginales,2014-07-01,6,6
TOTORA(CBBA),atencion de partos en servicios,vaginales,2014-07-01,24,24
TOTORA(ORR),atencion de partos en servicios,vaginales,2014-07-01,5,5
TRINIDAD,atencion de partos en servicios,vaginales,2014-07-01,186,186
TUPIZA,atencion de partos en servicios,vaginales,2014-07-01,59,59
TURCO,atencion de partos en servicios,vaginales,2014-07-01,2,2
UMALA,atencion de partos en servicios,vaginales,2014-07-01,2,2
UNCIA,atencion de partos en servicios,vaginales,2014-07-01,27,27
URIONDO (A. CONCEPCION),atencion de partos en servicios,vaginales,2014-07-01,5,5
URUBICHA,atencion de partos en servicios,vaginales,2014-07-01,12,12
UYUNI,atencion de partos en servicios,vaginales,2014-07-01,39,39
VACAS,atencion de partos en servicios,vaginales,2014-07-01,7,7
VALLEGRANDE,atencion de partos en servicios,vaginales,2014-07-01,19,19
VIACHA,atencion de partos en servicios,vaginales,2014-07-01,40,40
VILA VILA,atencion de partos en servicios,vaginales,2014-07-01,1,1
VILLA CHARCAS,atencion de partos en servicios,vaginales,2014-07-01,11,11
VILLA MONTES,atencion de partos en servicios,vaginales,2014-07-01,49,49
VILLA RIVERO,atencion de partos en servicios,vaginales,2014-07-01,6,6
VILLA SERRANO,atencion de partos en servicios,vaginales,2014-07-01,6,6
VILLA TUNARI,atencion de partos en servicios,vaginales,2014-07-01,91,91
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,vaginales,2014-07-01,3,3
VILLAZON,atencion de partos en servicios,vaginales,2014-07-01,45,45
VINTO,atencion de partos en servicios,vaginales,2014-07-01,76,76
VITICHI,atencion de partos en servicios,vaginales,2014-07-01,10,10
WARNES,atencion de partos en servicios,vaginales,2014-07-01,115,115
YACO,atencion de partos en servicios,vaginales,2014-07-01,2,2
YACUIBA,atencion de partos en servicios,vaginales,2014-07-01,119,119
YAMPARAEZ,atencion de partos en servicios,vaginales,2014-07-01,10,10
YANACACHI,atencion de partos en servicios,vaginales,2014-07-01,3,3
YAPACANI,atencion de partos en servicios,vaginales,2014-07-01,41,41
YOCALLA,atencion de partos en servicios,vaginales,2014-07-01,2,2
YOTALA,atencion de partos en servicios,vaginales,2014-07-01,5,5
YUNCHARA,atencion de partos en servicios,vaginales,2014-07-01,3,3
ZUDAÑEZ,atencion de partos en servicios,vaginales,2014-07-01,6,6
ACACIO,atencion de partos en servicios,vaginales,2014-08-01,3,3
ACHACACHI,atencion de partos en servicios,vaginales,2014-08-01,24,24
ACHOCALLA,atencion de partos en servicios,vaginales,2014-08-01,6,6
AIQUILE,atencion de partos en servicios,vaginales,2014-08-01,33,33
ALCALA,atencion de partos en servicios,vaginales,2014-08-01,4,4
ALTO BENI,atencion de partos en servicios,vaginales,2014-08-01,10,10
ANCORAIMES,atencion de partos en servicios,vaginales,2014-08-01,3,3
ANZALDO,atencion de partos en servicios,vaginales,2014-08-01,5,5
APOLO,atencion de partos en servicios,vaginales,2014-08-01,14,14
ARAMPAMPA,atencion de partos en servicios,vaginales,2014-08-01,2,2
ARANI,atencion de partos en servicios,vaginales,2014-08-01,6,6
ARBIETO,atencion de partos en servicios,vaginales,2014-08-01,15,15
ARQUE,atencion de partos en servicios,vaginales,2014-08-01,7,7
ASCENCION DE GUARAYOS,atencion de partos en servicios,vaginales,2014-08-01,46,46
ATOCHA,atencion de partos en servicios,vaginales,2014-08-01,16,16
AYATA,atencion de partos en servicios,vaginales,2014-08-01,3,3
AYO AYO,atencion de partos en servicios,vaginales,2014-08-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,vaginales,2014-08-01,11,11
AZURDUY,atencion de partos en servicios,vaginales,2014-08-01,10,10
BATALLAS,atencion de partos en servicios,vaginales,2014-08-01,7,7
BAURES,atencion de partos en servicios,vaginales,2014-08-01,5,5
BELEN DE ANDAMARCA,atencion de partos en servicios,vaginales,2014-08-01,2,2
BELLA FLOR,atencion de partos en servicios,vaginales,2014-08-01,1,1
BERMEJO,atencion de partos en servicios,vaginales,2014-08-01,28,28
BETANZOS,atencion de partos en servicios,vaginales,2014-08-01,27,27
BOLPEBRA,atencion de partos en servicios,vaginales,2014-08-01,2,2
BOYUIBE,atencion de partos en servicios,vaginales,2014-08-01,4,4
BUENA VISTA,atencion de partos en servicios,vaginales,2014-08-01,5,5
CABEZAS,atencion de partos en servicios,vaginales,2014-08-01,23,23
CAIROMA,atencion de partos en servicios,vaginales,2014-08-01,7,7
"CAIZA ""D""",atencion de partos en servicios,vaginales,2014-08-01,3,3
CAJUATA,atencion de partos en servicios,vaginales,2014-08-01,10,10
CALACOTO,atencion de partos en servicios,vaginales,2014-08-01,1,1
CALAMARCA,atencion de partos en servicios,vaginales,2014-08-01,5,5
CAMARGO,atencion de partos en servicios,vaginales,2014-08-01,18,18
CAMIRI,atencion de partos en servicios,vaginales,2014-08-01,46,46
CAPINOTA,atencion de partos en servicios,vaginales,2014-08-01,17,17
CAQUIAVIRI,atencion de partos en servicios,vaginales,2014-08-01,1,1
CARACOLLO,atencion de partos en servicios,vaginales,2014-08-01,16,16
CARANAVI,atencion de partos en servicios,vaginales,2014-08-01,82,82
CARAPARI,atencion de partos en servicios,vaginales,2014-08-01,9,9
CARIPUYO,atencion de partos en servicios,vaginales,2014-08-01,6,6
CARMEN RIVERO TORREZ,atencion de partos en servicios,vaginales,2014-08-01,2,2
CHALLAPATA,atencion de partos en servicios,vaginales,2014-08-01,43,43
CHAQUI,atencion de partos en servicios,vaginales,2014-08-01,6,6
CHARAGUA,atencion de partos en servicios,vaginales,2014-08-01,25,25
CHAYANTA,atencion de partos en servicios,vaginales,2014-08-01,10,10
CHIMORE,atencion de partos en servicios,vaginales,2014-08-01,3,3
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,vaginales,2014-08-01,23,23
CHUMA,atencion de partos en servicios,vaginales,2014-08-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,vaginales,2014-08-01,16,16
CKOCHAS,atencion de partos en servicios,vaginales,2014-08-01,5,5
CLIZA,atencion de partos en servicios,vaginales,2014-08-01,32,32
COBIJA,atencion de partos en servicios,vaginales,2014-08-01,82,82
COCAPATA,atencion de partos en servicios,vaginales,2014-08-01,7,7
COCHABAMBA,atencion de partos en servicios,vaginales,2014-08-01,737,737
COIPASA,atencion de partos en servicios,vaginales,2014-08-01,1,1
COLCAPIRHUA,atencion de partos en servicios,vaginales,2014-08-01,26,26
"COLCHA ""K""",atencion de partos en servicios,vaginales,2014-08-01,10,10
COLLANA,atencion de partos en servicios,vaginales,2014-08-01,1,1
COLOMI,atencion de partos en servicios,vaginales,2014-08-01,23,23
COLPA BELGICA,atencion de partos en servicios,vaginales,2014-08-01,1,1
COLQUECHACA,atencion de partos en servicios,vaginales,2014-08-01,16,16
COLQUENCHA,atencion de partos en servicios,vaginales,2014-08-01,2,2
COLQUIRI,atencion de partos en servicios,vaginales,2014-08-01,7,7
COMARAPA,atencion de partos en servicios,vaginales,2014-08-01,11,11
CONCEPCION,atencion de partos en servicios,vaginales,2014-08-01,24,24
COPACABANA,atencion de partos en servicios,vaginales,2014-08-01,8,8
CORIPATA,atencion de partos en servicios,vaginales,2014-08-01,12,12
COROICO,atencion de partos en servicios,vaginales,2014-08-01,27,27
CORQUE,atencion de partos en servicios,vaginales,2014-08-01,2,2
COTAGAITA,atencion de partos en servicios,vaginales,2014-08-01,20,20
COTOCA,atencion de partos en servicios,vaginales,2014-08-01,45,45
CUATRO CAÑADAS,atencion de partos en servicios,vaginales,2014-08-01,21,21
CUEVO,atencion de partos en servicios,vaginales,2014-08-01,1,1
CULPINA,atencion de partos en servicios,vaginales,2014-08-01,18,18
CURAHUARA DE CARANGAS,atencion de partos en servicios,vaginales,2014-08-01,6,6
DESAGUADERO,atencion de partos en servicios,vaginales,2014-08-01,10,10
EL ALTO,atencion de partos en servicios,vaginales,2014-08-01,927,927
EL PUENTE(STC),atencion de partos en servicios,vaginales,2014-08-01,10,10
EL PUENTE(TJA),atencion de partos en servicios,vaginales,2014-08-01,17,17
EL TORNO,atencion de partos en servicios,vaginales,2014-08-01,61,61
EL VILLAR,atencion de partos en servicios,vaginales,2014-08-01,2,2
ENTRE RIOS TRJ,atencion de partos en servicios,vaginales,2014-08-01,17,17
ENTRE RIOS CBBA,atencion de partos en servicios,vaginales,2014-08-01,31,31
ESCOMA,atencion de partos en servicios,vaginales,2014-08-01,10,10
EUCALIPTUS,atencion de partos en servicios,vaginales,2014-08-01,3,3
EXALTACION,atencion de partos en servicios,vaginales,2014-08-01,1,1
FERNANDEZ ALONSO,atencion de partos en servicios,vaginales,2014-08-01,9,9
GENERAL SAAVEDRA,atencion de partos en servicios,vaginales,2014-08-01,15,15
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,vaginales,2014-08-01,2,2
GUANAY,atencion de partos en servicios,vaginales,2014-08-01,15,15
GUAQUI,atencion de partos en servicios,vaginales,2014-08-01,2,2
GUAYARAMERIN,atencion de partos en servicios,vaginales,2014-08-01,52,52
GUTIERREZ,atencion de partos en servicios,vaginales,2014-08-01,13,13
HUACARETA,atencion de partos en servicios,vaginales,2014-08-01,14,14
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,vaginales,2014-08-01,2,2
HUACHACALLA,atencion de partos en servicios,vaginales,2014-08-01,1,1
HUANUNI,atencion de partos en servicios,vaginales,2014-08-01,17,17
HUARACAJE,atencion de partos en servicios,vaginales,2014-08-01,4,4
HUARINA,atencion de partos en servicios,vaginales,2014-08-01,2,2
HUATAJATA,atencion de partos en servicios,vaginales,2014-08-01,1,1
HUAYLLAMARCA,atencion de partos en servicios,vaginales,2014-08-01,3,3
HUMANATA,atencion de partos en servicios,vaginales,2014-08-01,1,1
ICLA,atencion de partos en servicios,vaginales,2014-08-01,7,7
INCAHUASI,atencion de partos en servicios,vaginales,2014-08-01,10,10
INGAVI (HUMAITA),atencion de partos en servicios,vaginales,2014-08-01,1,1
INQUISIVI,atencion de partos en servicios,vaginales,2014-08-01,7,7
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,vaginales,2014-08-01,6,6
IXIAMAS,atencion de partos en servicios,vaginales,2014-08-01,3,3
JESUS DE MACHACA,atencion de partos en servicios,vaginales,2014-08-01,11,11
LA ASUNTA,atencion de partos en servicios,vaginales,2014-08-01,52,52
LA GUARDIA,atencion de partos en servicios,vaginales,2014-08-01,59,59
LA PAZ,atencion de partos en servicios,vaginales,2014-08-01,962,962
LAGUNILLAS,atencion de partos en servicios,vaginales,2014-08-01,5,5
LAJA,atencion de partos en servicios,vaginales,2014-08-01,12,12
LAS CARRERAS,atencion de partos en servicios,vaginales,2014-08-01,3,3
LICOMA PAMPA,atencion de partos en servicios,vaginales,2014-08-01,1,1
LLALLAGUA,atencion de partos en servicios,vaginales,2014-08-01,51,51
LLICA,atencion de partos en servicios,vaginales,2014-08-01,5,5
