municipality,group,variable,month,Total 11.2 Cesáreas,TOTAL
SAMAIPATA,atencion de partos en servicios,cesareas,2014-10-01,3,3
SAN BORJA,atencion de partos en servicios,cesareas,2014-10-01,28,28
SAN CARLOS,atencion de partos en servicios,cesareas,2014-10-01,12,12
SAN IGNACIO,atencion de partos en servicios,cesareas,2014-10-01,6,6
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2014-10-01,39,39
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2014-10-01,2,2
SAN JOAQUIN,atencion de partos en servicios,cesareas,2014-10-01,5,5
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2014-10-01,6,6
SAN JULIAN,atencion de partos en servicios,cesareas,2014-10-01,11,11
SAN MATIAS,atencion de partos en servicios,cesareas,2014-10-01,4,4
SAN RAMON BENI,atencion de partos en servicios,cesareas,2014-10-01,2,2
SAN RAMON SCZ,atencion de partos en servicios,cesareas,2014-10-01,1,1
SANTA ANA,atencion de partos en servicios,cesareas,2014-10-01,8,8
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2014-10-01,1484,1484
SHINAOTA,atencion de partos en servicios,cesareas,2014-10-01,2,2
SUCRE,atencion de partos en servicios,cesareas,2014-10-01,226,226
TARABUCO,atencion de partos en servicios,cesareas,2014-10-01,3,3
TARIJA,atencion de partos en servicios,cesareas,2014-10-01,214,214
TARVITA,atencion de partos en servicios,cesareas,2014-10-01,1,1
TIQUIPAYA,atencion de partos en servicios,cesareas,2014-10-01,35,35
TOTORA(CBBA),atencion de partos en servicios,cesareas,2014-10-01,1,1
TRINIDAD,atencion de partos en servicios,cesareas,2014-10-01,146,146
TUPIZA,atencion de partos en servicios,cesareas,2014-10-01,15,15
UYUNI,atencion de partos en servicios,cesareas,2014-10-01,14,14
VALLEGRANDE,atencion de partos en servicios,cesareas,2014-10-01,12,12
VIACHA,atencion de partos en servicios,cesareas,2014-10-01,7,7
VILLA MONTES,atencion de partos en servicios,cesareas,2014-10-01,34,34
VILLA TUNARI,atencion de partos en servicios,cesareas,2014-10-01,44,44
VILLAZON,atencion de partos en servicios,cesareas,2014-10-01,11,11
VINTO,atencion de partos en servicios,cesareas,2014-10-01,14,14
WARNES,atencion de partos en servicios,cesareas,2014-10-01,22,22
YACUIBA,atencion de partos en servicios,cesareas,2014-10-01,76,76
YAPACANI,atencion de partos en servicios,cesareas,2014-10-01,42,42
AIQUILE,atencion de partos en servicios,cesareas,2014-11-01,5,5
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2014-11-01,17,17
ATOCHA,atencion de partos en servicios,cesareas,2014-11-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,cesareas,2014-11-01,2,2
BAURES,atencion de partos en servicios,cesareas,2014-11-01,2,2
BERMEJO,atencion de partos en servicios,cesareas,2014-11-01,19,19
BETANZOS,atencion de partos en servicios,cesareas,2014-11-01,2,2
CAMARGO,atencion de partos en servicios,cesareas,2014-11-01,6,6
CAMIRI,atencion de partos en servicios,cesareas,2014-11-01,53,53
CARACOLLO,atencion de partos en servicios,cesareas,2014-11-01,2,2
CARANAVI,atencion de partos en servicios,cesareas,2014-11-01,21,21
CHALLAPATA,atencion de partos en servicios,cesareas,2014-11-01,9,9
CHARAGUA,atencion de partos en servicios,cesareas,2014-11-01,5,5
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2014-11-01,8,8
CLIZA,atencion de partos en servicios,cesareas,2014-11-01,12,12
COBIJA,atencion de partos en servicios,cesareas,2014-11-01,42,42
COCHABAMBA,atencion de partos en servicios,cesareas,2014-11-01,800,800
COLCAPIRHUA,atencion de partos en servicios,cesareas,2014-11-01,6,6
COMARAPA,atencion de partos en servicios,cesareas,2014-11-01,12,12
COROICO,atencion de partos en servicios,cesareas,2014-11-01,10,10
COTOCA,atencion de partos en servicios,cesareas,2014-11-01,18,18
EL ALTO,atencion de partos en servicios,cesareas,2014-11-01,265,265
EL PUENTE(TJA),atencion de partos en servicios,cesareas,2014-11-01,1,1
EL TORNO,atencion de partos en servicios,cesareas,2014-11-01,60,60
ESCOMA,atencion de partos en servicios,cesareas,2014-11-01,2,2
GUAYARAMERIN,atencion de partos en servicios,cesareas,2014-11-01,54,54
HUANUNI,atencion de partos en servicios,cesareas,2014-11-01,13,13
HUARACAJE,atencion de partos en servicios,cesareas,2014-11-01,3,3
LA PAZ,atencion de partos en servicios,cesareas,2014-11-01,668,668
LAGUNILLAS,atencion de partos en servicios,cesareas,2014-11-01,1,1
LLALLAGUA,atencion de partos en servicios,cesareas,2014-11-01,35,35
MAGDALENA,atencion de partos en servicios,cesareas,2014-11-01,6,6
MAIRANA,atencion de partos en servicios,cesareas,2014-11-01,19,19
MIZQUE,atencion de partos en servicios,cesareas,2014-11-01,3,3
MONTEAGUDO,atencion de partos en servicios,cesareas,2014-11-01,21,21
MONTERO,atencion de partos en servicios,cesareas,2014-11-01,108,108
ORURO,atencion de partos en servicios,cesareas,2014-11-01,319,319
PADILLA,atencion de partos en servicios,cesareas,2014-11-01,11,11
PORTACHUELO,atencion de partos en servicios,cesareas,2014-11-01,31,31
POTOSI,atencion de partos en servicios,cesareas,2014-11-01,103,103
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2014-11-01,7,7
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2014-11-01,17,17
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2014-11-01,20,20
PUNA,atencion de partos en servicios,cesareas,2014-11-01,1,1
PUNATA,atencion de partos en servicios,cesareas,2014-11-01,30,30
QUILLACOLLO,atencion de partos en servicios,cesareas,2014-11-01,55,55
REYES,atencion de partos en servicios,cesareas,2014-11-01,3,3
RIBERALTA,atencion de partos en servicios,cesareas,2014-11-01,85,85
ROBORE,atencion de partos en servicios,cesareas,2014-11-01,8,8
RURRENABAQUE,atencion de partos en servicios,cesareas,2014-11-01,11,11
SACABA,atencion de partos en servicios,cesareas,2014-11-01,38,38
SAN BORJA,atencion de partos en servicios,cesareas,2014-11-01,32,32
SAN CARLOS,atencion de partos en servicios,cesareas,2014-11-01,6,6
SAN IGNACIO,atencion de partos en servicios,cesareas,2014-11-01,2,2
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2014-11-01,36,36
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2014-11-01,4,4
SAN JOAQUIN,atencion de partos en servicios,cesareas,2014-11-01,4,4
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2014-11-01,14,14
SAN JULIAN,atencion de partos en servicios,cesareas,2014-11-01,11,11
SAN LUCAS,atencion de partos en servicios,cesareas,2014-11-01,1,1
SAN RAMON BENI,atencion de partos en servicios,cesareas,2014-11-01,2,2
SANTA ANA,atencion de partos en servicios,cesareas,2014-11-01,19,19
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2014-11-01,1230,1230
SANTA ROSA,atencion de partos en servicios,cesareas,2014-11-01,2,2
SHINAOTA,atencion de partos en servicios,cesareas,2014-11-01,2,2
SUCRE,atencion de partos en servicios,cesareas,2014-11-01,242,242
TARABUCO,atencion de partos en servicios,cesareas,2014-11-01,5,5
TARIJA,atencion de partos en servicios,cesareas,2014-11-01,229,229
TARVITA,atencion de partos en servicios,cesareas,2014-11-01,1,1
TIQUIPAYA,atencion de partos en servicios,cesareas,2014-11-01,13,13
TOTORA(CBBA),atencion de partos en servicios,cesareas,2014-11-01,3,3
TRINIDAD,atencion de partos en servicios,cesareas,2014-11-01,152,152
TUPIZA,atencion de partos en servicios,cesareas,2014-11-01,11,11
UYUNI,atencion de partos en servicios,cesareas,2014-11-01,13,13
VALLEGRANDE,atencion de partos en servicios,cesareas,2014-11-01,11,11
VIACHA,atencion de partos en servicios,cesareas,2014-11-01,6,6
VILLA CHARCAS,atencion de partos en servicios,cesareas,2014-11-01,1,1
VILLA MONTES,atencion de partos en servicios,cesareas,2014-11-01,36,36
VILLA TUNARI,atencion de partos en servicios,cesareas,2014-11-01,47,47
VILLAZON,atencion de partos en servicios,cesareas,2014-11-01,15,15
VINTO,atencion de partos en servicios,cesareas,2014-11-01,8,8
WARNES,atencion de partos en servicios,cesareas,2014-11-01,20,20
YACUIBA,atencion de partos en servicios,cesareas,2014-11-01,69,69
YAPACANI,atencion de partos en servicios,cesareas,2014-11-01,31,31
YOTALA,atencion de partos en servicios,cesareas,2014-11-01,1,1
AIQUILE,atencion de partos en servicios,cesareas,2014-12-01,4,4
ASCENCION DE GUARAYOS,atencion de partos en servicios,cesareas,2014-12-01,30,30
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,cesareas,2014-12-01,2,2
BAURES,atencion de partos en servicios,cesareas,2014-12-01,2,2
BERMEJO,atencion de partos en servicios,cesareas,2014-12-01,26,26
CAMARGO,atencion de partos en servicios,cesareas,2014-12-01,4,4
CAMIRI,atencion de partos en servicios,cesareas,2014-12-01,42,42
CARACOLLO,atencion de partos en servicios,cesareas,2014-12-01,2,2
CARANAVI,atencion de partos en servicios,cesareas,2014-12-01,23,23
CHALLAPATA,atencion de partos en servicios,cesareas,2014-12-01,3,3
CHAQUI,atencion de partos en servicios,cesareas,2014-12-01,3,3
CHARAGUA,atencion de partos en servicios,cesareas,2014-12-01,9,9
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,cesareas,2014-12-01,5,5
CLIZA,atencion de partos en servicios,cesareas,2014-12-01,19,19
COBIJA,atencion de partos en servicios,cesareas,2014-12-01,70,70
COCHABAMBA,atencion de partos en servicios,cesareas,2014-12-01,833,833
COLCAPIRHUA,atencion de partos en servicios,cesareas,2014-12-01,9,9
COMARAPA,atencion de partos en servicios,cesareas,2014-12-01,12,12
COROICO,atencion de partos en servicios,cesareas,2014-12-01,9,9
COTOCA,atencion de partos en servicios,cesareas,2014-12-01,5,5
EL ALTO,atencion de partos en servicios,cesareas,2014-12-01,255,255
EL TORNO,atencion de partos en servicios,cesareas,2014-12-01,48,48
ENTRE RIOS TRJ,atencion de partos en servicios,cesareas,2014-12-01,6,6
GUAYARAMERIN,atencion de partos en servicios,cesareas,2014-12-01,41,41
HUANUNI,atencion de partos en servicios,cesareas,2014-12-01,9,9
HUARACAJE,atencion de partos en servicios,cesareas,2014-12-01,1,1
LA PAZ,atencion de partos en servicios,cesareas,2014-12-01,669,669
LLALLAGUA,atencion de partos en servicios,cesareas,2014-12-01,28,28
MAGDALENA,atencion de partos en servicios,cesareas,2014-12-01,7,7
MAIRANA,atencion de partos en servicios,cesareas,2014-12-01,12,12
MIZQUE,atencion de partos en servicios,cesareas,2014-12-01,6,6
MONTEAGUDO,atencion de partos en servicios,cesareas,2014-12-01,11,11
MONTERO,atencion de partos en servicios,cesareas,2014-12-01,133,133
ORURO,atencion de partos en servicios,cesareas,2014-12-01,315,315
PADILLA,atencion de partos en servicios,cesareas,2014-12-01,12,12
PAILON,atencion de partos en servicios,cesareas,2014-12-01,5,5
PATACAMAYA,atencion de partos en servicios,cesareas,2014-12-01,1,1
PORTACHUELO,atencion de partos en servicios,cesareas,2014-12-01,25,25
POTOSI,atencion de partos en servicios,cesareas,2014-12-01,122,122
PUERTO QUIJARRO,atencion de partos en servicios,cesareas,2014-12-01,2,2
PUERTO SUAREZ,atencion de partos en servicios,cesareas,2014-12-01,22,22
PUERTO VILLARROEL,atencion de partos en servicios,cesareas,2014-12-01,18,18
PUNATA,atencion de partos en servicios,cesareas,2014-12-01,31,31
QUILLACOLLO,atencion de partos en servicios,cesareas,2014-12-01,70,70
REYES,atencion de partos en servicios,cesareas,2014-12-01,5,5
RIBERALTA,atencion de partos en servicios,cesareas,2014-12-01,82,82
ROBORE,atencion de partos en servicios,cesareas,2014-12-01,3,3
RURRENABAQUE,atencion de partos en servicios,cesareas,2014-12-01,12,12
SACABA,atencion de partos en servicios,cesareas,2014-12-01,43,43
SAN BORJA,atencion de partos en servicios,cesareas,2014-12-01,24,24
SAN IGNACIO,atencion de partos en servicios,cesareas,2014-12-01,4,4
SAN IGNACIO DE VELASCO,atencion de partos en servicios,cesareas,2014-12-01,35,35
SAN JAVIER(STC),atencion de partos en servicios,cesareas,2014-12-01,7,7
SAN JOAQUIN,atencion de partos en servicios,cesareas,2014-12-01,4,4
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,cesareas,2014-12-01,8,8
SAN JULIAN,atencion de partos en servicios,cesareas,2014-12-01,16,16
SAN LUCAS,atencion de partos en servicios,cesareas,2014-12-01,1,1
SAN MATIAS,atencion de partos en servicios,cesareas,2014-12-01,8,8
SAN PEDRO,atencion de partos en servicios,cesareas,2014-12-01,2,2
SAN RAMON BENI,atencion de partos en servicios,cesareas,2014-12-01,2,2
SAN RAMON SCZ,atencion de partos en servicios,cesareas,2014-12-01,2,2
SANTA ANA,atencion de partos en servicios,cesareas,2014-12-01,17,17
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,cesareas,2014-12-01,1342,1342
SANTA ROSA,atencion de partos en servicios,cesareas,2014-12-01,1,1
SHINAOTA,atencion de partos en servicios,cesareas,2014-12-01,11,11
SUCRE,atencion de partos en servicios,cesareas,2014-12-01,266,266
TARABUCO,atencion de partos en servicios,cesareas,2014-12-01,5,5
TARIJA,atencion de partos en servicios,cesareas,2014-12-01,203,203
TIQUIPAYA,atencion de partos en servicios,cesareas,2014-12-01,18,18
TOTORA(CBBA),atencion de partos en servicios,cesareas,2014-12-01,6,6
TRINIDAD,atencion de partos en servicios,cesareas,2014-12-01,139,139
TUPIZA,atencion de partos en servicios,cesareas,2014-12-01,6,6
UYUNI,atencion de partos en servicios,cesareas,2014-12-01,7,7
VALLEGRANDE,atencion de partos en servicios,cesareas,2014-12-01,21,21
VIACHA,atencion de partos en servicios,cesareas,2014-12-01,6,6
VILLA MONTES,atencion de partos en servicios,cesareas,2014-12-01,36,36
VILLA TUNARI,atencion de partos en servicios,cesareas,2014-12-01,35,35
VILLAZON,atencion de partos en servicios,cesareas,2014-12-01,19,19
VINTO,atencion de partos en servicios,cesareas,2014-12-01,9,9
WARNES,atencion de partos en servicios,cesareas,2014-12-01,19,19
YACO,atencion de partos en servicios,cesareas,2014-12-01,1,1
YACUIBA,atencion de partos en servicios,cesareas,2014-12-01,114,114
YAPACANI,atencion de partos en servicios,cesareas,2014-12-01,33,33
YOTALA,atencion de partos en servicios,cesareas,2014-12-01,1,1
