municipality,group,variable,month,l 25.6 Viviendas Evaluadas,TOTAL
TOTORA(CBBA),chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,56,56
TUPIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,1053,1053
URIONDO (A. CONCEPCION),chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,174,174
VALLEGRANDE,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,35,35
VILLA CHARCAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,114,114
VILLA RIVERO,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,138,138
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,235,235
VILLAZON,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,114,114
VINTO,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,262,262
VITICHI,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,247,247
YACUIBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,149,149
YOTALA,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,617,617
ZUDAÑEZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-10-01,310,310
ACACIO,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,357,357
ALCALA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,132,132
ARAMPAMPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,165,165
ARANI,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,314,314
ARBIETO,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,37,37
ARQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,134,134
BETANZOS,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,112,112
BOYUIBE,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,6,6
CAMARGO,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,616,616
CAPINOTA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,184,184
CHAQUI,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,509,509
CKOCHAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,141,141
CLIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,402,402
COCHABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,57,57
COLCAPIRHUA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,273,273
EL PUENTE(TJA),chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,95,95
EL TORNO,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,66,66
ENTRE RIOS TRJ,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,24,24
GUTIERREZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,434,434
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,36,36
ICLA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,36,36
INQUISIVI,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,301,301
MACHARETI,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,189,189
MOJOCOYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,49,49
MONTERO,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,7,7
MORO MORO,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,182,182
OCURI,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,259,259
PADCAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,139,139
PADILLA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,341,341
PAMPA GRANDE,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,116,116
PASORAPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,35,35
POCOATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,227,227
POCONA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,111,111
POJO (CBBA),chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,28,28
POROMA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,411,411
POSTRER VALLE,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,21,21
PUCARA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,40,40
QUILLACOLLO,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,706,706
QUIRUSILLAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,70,70
RAVELO,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,738,738
SACABA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,333,333
SACABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,180,180
SAIPINA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,33,33
SAN BENITO,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,203,203
SAN LORENZO(TJA),chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,269,269
SAN LUCAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,692,692
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,358,358
SANTA CRUZ DE LA SIERRA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,53,53
SICAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,67,67
SIPE SIPE,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,205,205
SOPACHUY,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,12,12
TACOBAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,458,458
TACOPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,119,119
TAPACARI,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,266,266
TARABUCO,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,485,485
TARATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,260,260
TARIJA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,178,178
TIQUIPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,224,224
TOCO,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,111,111
TOMAVE,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,29,29
TOMINA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,283,283
TOTORA(CBBA),chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,369,369
TUPIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,1000,1000
URIONDO (A. CONCEPCION),chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,390,390
VACAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,42,42
VALLEGRANDE,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,18,18
VILLA RIVERO,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,164,164
VILLAZON,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,67,67
VINTO,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,211,211
VITICHI,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,516,516
YOTALA,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,205,205
ZUDAÑEZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-11-01,169,169
ACACIO,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,340,340
ALCALA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,111,111
ARAMPAMPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,67,67
ARANI,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,594,594
ARBIETO,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,407,407
ARQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,66,66
AZURDUY,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,492,492
CAPINOTA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,209,209
CHIMORE,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,20,20
CKOCHAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,345,345
CLIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,425,425
COCHABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,6,6
COLCAPIRHUA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,166,166
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,154,154
EL PUENTE(TJA),chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,371,371
EL TORNO,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,56,56
ENTRE RIOS TRJ,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,126,126
GUTIERREZ,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,99,99
HUACAYA (VILLA DE HUACAYA),chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,21,21
ICLA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,339,339
INQUISIVI,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,535,535
LAGUNILLAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,74,74
MOJINETE,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,234,234
MONTERO,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,10,10
OCURI,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,95,95
OMEREQUE,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,1182,1182
PADCAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,309,309
PADILLA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,711,711
PASORAPA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,66,66
POCONA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,227,227
PUCARA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,30,30
QUILLACOLLO,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,180,180
QUIRUSILLAS,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,41,41
RAVELO,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,246,246
SACABA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,294,294
SACABAMBA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,180,180
SAIPINA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,60,60
SAN JULIAN,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,540,540
SAN LORENZO(TJA),chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,155,155
SAN PEDRO DE BUENA VISTA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,451,451
SANTIVAÑES,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,55,55
SICAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,24,24
SIPE SIPE,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,230,230
TACACHI,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,5,5
TACOPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,64,64
TAPACARI,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,319,319
TARABUCO,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,231,231
TARATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,313,313
TARIJA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,82,82
TIQUIPAYA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,310,310
TIRAQUE (CBBA),chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,352,352
TOCO,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,279,279
TOLATA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,167,167
TOTORA(CBBA),chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,119,119
TUPIZA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,764,764
URIONDO (A. CONCEPCION),chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,18,18
VALLEGRANDE,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,97,97
VILLA RIVERO,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,168,168
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,99,99
VILLAZON,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,355,355
VITICHI,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,373,373
YOTALA,chagas viviendas,l 25.6        viviendas evaluadas,2012-12-01,89,89
