municipality,group,variable,month,Adultos(as) mayores de 60 años que reciben Complemento Nutricional,TOTAL
GUANAY,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,32,32
GUAQUI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,280,280
GUAYARAMERIN,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,520,520
GUTIERREZ,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,2,2
HUACARETA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,5,5
HUACHACALLA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,41,41
HUANUNI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,587,587
HUARINA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,243,243
HUATAJATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,74,74
HUAYLLAMARCA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,416,416
HUMANATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,327,327
ICHOCA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,389,389
ICLA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,283,283
INCAHUASI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,389,389
INGAVI (HUMAITA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,47,47
INQUISIVI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,396,396
IRUPANA (VILLA DE LANZA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,145,145
IXIAMAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,179,179
JESUS DE MACHACA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,880,880
LA ASUNTA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,539,539
LA GUARDIA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1901,1901
LA PAZ,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,7637,7637
LA RIVERA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,21,21
LAGUNILLAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,7,7
LAJA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,723,723
LAS CARRERAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,45,45
LICOMA PAMPA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,158,158
LLALLAGUA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,763,763
LLICA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,122,122
LURIBAY,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,524,524
MACHACAMARCA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,104,104
MACHARETI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,152,152
MAGDALENA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,66,66
MAIRANA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,195,195
MALLA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,123,123
MAPIRI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,356,356
MECAPACA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,71,71
MINEROS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,387,387
MIZQUE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1395,1395
MOCOMOCO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,695,695
MOJINETE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,50,50
MOJOCOYA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,602,602
MONTEAGUDO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,446,446
MONTERO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1863,1863
MOROCHATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,935,935
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,77,77
OCURI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,877,877
OKINAWA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,495,495
OMEREQUE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,325,325
ORURO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,2958,2958
PAILON,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,250,250
PALCA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,472,472
PALOS BLANCOS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,454,454
PAMPA AULLAGAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,199,199
PAPEL PAMPA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,158,158
PASORAPA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,150,150
PATACAMAYA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,633,633
PAZÑA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,176,176
PELECHUCO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,66,66
POCOATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,2104,2104
POCONA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1125,1125
POJO (CBBA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,372,372
POOPO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,142,142
PORCO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,147,147
POROMA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1279,1279
PORONGO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,449,449
PORTACHUELO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,143,143
PORVENIR,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,155,155
POTOSI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,2491,2491
PRESTO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,660,660
PUCARA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,124,124
PUCARANI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1241,1241
PUERTO ACOSTA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,582,582
PUERTO CARABUCO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,715,715
PUERTO GONZALO MORENO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,48,48
PUERTO PEREZ,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,365,365
PUERTO SUAREZ,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1,1
PUERTO VILLARROEL,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1125,1125
PUNA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,2043,2043
PUNATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1246,1246
QUIABAYA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,35,35
QUILLACOLLO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,3702,3702
QUIME,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,255,255
QUIRUSILLAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,99,99
RAQAYPAMPA(ETA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,461,461
RAVELO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1983,1983
REYES,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,41,41
RIBERALTA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,899,899
ROBORE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,788,788
RURRENABAQUE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,510,510
SABAYA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,202,202
SACABA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,4391,4391
SACABAMBA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,376,376
SACACA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1013,1013
SAIPINA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,177,177
SALINAS DE GARCI MENDOZA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,651,651
SAMAIPATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,433,433
SAN AGUSTIN,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,124,124
SAN ANDRES,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,63,63
SAN ANDRES DE MACHACA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,392,392
SAN ANTONIO DE ESMORUCO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,79,79
SAN ANTONIO DE LOMERIO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,106,106
SAN BENITO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,916,916
SAN BORJA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,28,28
SAN CARLOS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,483,483
SAN IGNACIO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,133,133
SAN IGNACIO DE VELASCO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,213,213
SAN JAVIER(STC),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,154,154
SAN JOSE DE CHIQUITOS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,183,183
SAN JULIAN,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1797,1797
SAN LORENZO(TJA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,337,337
SAN LUCAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,2056,2056
SAN MATIAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,64,64
SAN MIGUEL DE VELASCO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,16,16
SAN PABLO DE LIPEZ,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,125,125
SAN PEDRO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,149,149
SAN PEDRO DE BUENA VISTA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,2356,2356
SAN PEDRO DE CURAHUARA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,36,36
SAN PEDRO DE MACHA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1243,1243
SAN PEDRO DE QUEMES,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,23,23
SAN PEDRO DE TIQUINA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,153,153
SAN PEDRO(PND),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,48,48
SAN RAFAEL,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,103,103
SAN RAMON BENI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,102,102
SAN RAMON SCZ,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,139,139
SANTA ANA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,13,13
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,19620,19620
SANTA ROSA DEL SARA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,548,548
SANTIAGO DE CALLAPA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,703,703
SANTIAGO DE HUARI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,520,520
SANTIAGO DE HUATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,333,333
SANTIAGO DE MACHACA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,266,266
SANTIVAÑES,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,607,607
SANTUARIO DE QUILLACAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,176,176
SAPAHAQUI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,278,278
SHINAOTA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,676,676
SICA SICA (VILLA AROMA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,893,893
SICAYA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,295,295
SIPE SIPE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,2023,2023
SOPACHUY,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,180,180
SORACACHI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,936,936
SORATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,637,637
SUCRE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,5354,5354
TACACHI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,26,26
TACOBAMBA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,758,758
TACOPAYA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,983,983
TAHUA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,82,82
TAPACARI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1963,1963
TARABUCO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1020,1020
TARACO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,407,407
TARATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,428,428
TARIJA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,4470,4470
TARVITA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,272,272
TEOPONTE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,43,43
TIAHUANACU,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,629,629
TINGUIPAYA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1598,1598
TIPUANI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,140,140
TIQUIPAYA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1300,1300
TIRAQUE (CBBA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1265,1265
TITO YUPANQUI (PARQUIPUJIO),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,105,105
TOCO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,319,319
TODOS SANTOS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,21,21
TOLATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,246,246
TOLEDO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,492,492
TOMAVE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,652,652
TOMINA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,583,583
TORO TORO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,751,751
TOTORA(CBBA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,670,670
TOTORA(ORR),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,497,497
TRIGAL,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,58,58
TRINIDAD,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,469,469
TUPIZA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1236,1236
TURCO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,350,350
UMALA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,400,400
UNCIA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,966,966
URIONDO (A. CONCEPCION),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,592,592
UYUNI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,842,842
VACAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,842,842
VALLEGRANDE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1009,1009
VIACHA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,162,162
VILA VILA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,417,417
VILLA CHARCAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,658,658
VILLA MONTES,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1302,1302
VILLA RIVERO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,340,340
VILLA SERRANO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,301,301
VILLA TUNARI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,2040,2040
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,330,330
VILLAZON,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1224,1224
VINTO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,1488,1488
VITICHI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,4,4
WALDO BALLIVIAN,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,110,110
WARNES,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,2486,2486
YACO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,299,299
YACUIBA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,2854,2854
YAMPARAEZ,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,837,837
YANACACHI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,123,123
YAPACANI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,831,831
YOCALLA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,520,520
YOTALA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,642,642
YUNCHARA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,322,322
YUNGUYO DE LITORAL,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,5,5
ZUDAÑEZ,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-07-01,614,614
ACACIO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,619,619
ACHACACHI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,104,104
ACHOCALLA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,809,809
AIQUILE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,1701,1701
ALALAY,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,225,225
ALCALA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,283,283
ALTO BENI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,394,394
ANCORAIMES,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,450,450
ANDAMARCA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,376,376
ANTEQUERA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,113,113
ANZALDO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,596,596
APOLO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,328,328
ARAMPAMPA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,297,297
ARANI,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,233,233
ARBIETO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,1002,1002
ARQUE,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,474,474
ASCENCION DE GUARAYOS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,268,268
ATOCHA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,274,274
AUCAPATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,80,80
AYATA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,606,606
AYO AYO,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,474,474
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,1769,1769
BATALLAS,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,635,635
BELEN DE ANDAMARCA,micronutrientes y lactancia materna,adultos(as) mayores de 60 anos que reciben complemento nutricional,2024-08-01,138,138
