municipality,group,variable,month,Mujeres embarazadas que reciben Alimento Complementario Nutri Mamá,TOTAL
CAMIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,18,18
CAQUIAVIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,5,5
CARACOLLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,20,20
CARANAVI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,20,20
CARIPUYO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,12,12
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,9,9
CHALLAPATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,12,12
CHAYANTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,4,4
CHOQUE COTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,25,25
CHUMA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,5,5
CLIZA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,8,8
COCAPATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,34,34
COLCAPIRHUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,45,45
COLPA BELGICA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,10,10
COLQUECHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,6,6
COLQUIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,5,5
COTOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,79,79
CUEVO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,8,8
CURAHUARA DE CARANGAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,2,2
EL ALTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,462,462
EL CHORO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,7,7
EL TORNO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,7,7
ESCARA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,2,2
GUTIERREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,3,3
HUANUNI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,2,2
HUMANATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,7,7
ICHOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,13,13
JESUS DE MACHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,5,5
LA GUARDIA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,380,380
LAGUNILLAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,2,2
LICOMA PAMPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,4,4
LLALLAGUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,71,71
MACHACAMARCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,2,2
MACHARETI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,8,8
MAIRANA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,13,13
MIZQUE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,43,43
MONTEAGUDO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,56,56
MONTERO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,119,119
MOROCHATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,2,2
ORURO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,178,178
PALOS BLANCOS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,8,8
PAMPA AULLAGAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,6,6
PASORAPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,1,1
POCOATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,29,29
POCONA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,19,19
POJO (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,22,22
POOPO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,5,5
PORCO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,28,28
POROMA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,67,67
PORONGO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,20,20
POTOSI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,370,370
PUERTO QUIJARRO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,22,22
PUERTO SUAREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,27,27
PUERTO VILLARROEL,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,128,128
QUILLACOLLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,26,26
RAVELO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,8,8
SABAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,5,5
SACABAMBA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,4,4
SACACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,5,5
SAN ANDRES DE MACHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,7,7
SAN BORJA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,62,62
SAN IGNACIO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,1,1
SAN JOSE DE CHIQUITOS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,2,2
SAN LUCAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,101,101
SAN PEDRO DE BUENA VISTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,19,19
SAN PEDRO DE MACHA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,2,2
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,1168,1168
SANTA ROSA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,29,29
SANTIAGO DE HUARI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,11,11
SANTIVAÑES,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,2,2
SANTUARIO DE QUILLACAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,2,2
SHINAOTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,2,2
SICA SICA (VILLA AROMA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,7,7
SOPACHUY,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,13,13
SORACACHI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,2,2
TACOPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,12,12
TAPACARI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,27,27
TARIJA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,244,244
TINGUIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,7,7
TIQUIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,26,26
TIRAQUE (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,87,87
TOCO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,5,5
TOLATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,28,28
TOLEDO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,22,22
TOMAVE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,4,4
TORO TORO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,4,4
TOTORA(CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,28,28
TRINIDAD,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,1,1
TUPIZA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,46,46
UNCIA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,31,31
UYUNI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,62,62
VACAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,10,10
VILLA SERRANO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,36,36
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,1,1
VILLAZON,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,45,45
VINTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,87,87
YAMPARAEZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-07-01,7,7
AIQUILE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,9,9
ANDAMARCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,2,2
ANTEQUERA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,3,3
APOLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,6,6
ARAMPAMPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,6,6
ARBIETO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,32,32
ASCENCION DE GUARAYOS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,33,33
ATOCHA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,26,26
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,13,13
BOLIVAR,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,3,3
BOYUIBE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,8,8
CABEZAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,41,41
"CAIZA ""D""",micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,16,16
CAMATAQUI (C. VILLA ABECIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,3,3
CAMIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,25,25
CAQUIAVIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,34,34
CARACOLLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,27,27
CARANAVI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,36,36
CARIPUYO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,11,11
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,14,14
CHALLAPATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,11,11
CHAYANTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,5,5
CHOQUE COTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,28,28
CHUMA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,6,6
CLIZA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,16,16
COBIJA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,2,2
COCAPATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,36,36
COIPASA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,6,6
COLCAPIRHUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,72,72
COLPA BELGICA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,33,33
COLQUECHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,4,4
COLQUIRI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,9,9
CORO CORO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,4,4
COTOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,105,105
CUEVO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,1,1
CURAHUARA DE CARANGAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,2,2
EL ALTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,804,804
EL CHORO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,12,12
EL TORNO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,10,10
ESCARA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,1,1
EUCALIPTUS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,5,5
GUTIERREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,2,2
HUANUNI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,14,14
HUAYLLAMARCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,2,2
HUMANATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,6,6
ICHOCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,8,8
ICLA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,3,3
JESUS DE MACHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,7,7
LA GUARDIA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,374,374
LA PAZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,84,84
LAGUNILLAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,2,2
LICOMA PAMPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,2,2
LLALLAGUA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,65,65
MACHACAMARCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,3,3
MACHARETI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,2,2
MAIRANA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,16,16
MIZQUE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,39,39
MOJINETE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,1,1
MONTEAGUDO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,66,66
MONTERO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,211,211
MOROCHATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,6,6
OCURI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,13,13
ORURO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,145,145
PAILON,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,4,4
PAMPA AULLAGAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,5,5
PAPEL PAMPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,2,2
POCOATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,49,49
POCONA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,14,14
POJO (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,32,32
POOPO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,4,4
PORCO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,26,26
POROMA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,41,41
PORONGO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,21,21
POTOSI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,435,435
PUERTO GONZALO MORENO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,9,9
PUERTO PEREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,39,39
PUERTO QUIJARRO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,39,39
PUERTO SUAREZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,11,11
PUERTO VILLARROEL,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,175,175
QUILLACOLLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,27,27
RAVELO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,1,1
SABAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,1,1
SACABAMBA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,6,6
SACACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,11,11
SALINAS DE GARCI MENDOZA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,2,2
SAN ANDRES DE MACHACA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,3,3
SAN ANTONIO DE ESMORUCO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,13,13
SAN BORJA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,38,38
SAN BUENA VENTURA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,1,1
SAN JUAN DE YAPACANI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,1,1
SAN JULIAN,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,2,2
SAN LUCAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,114,114
SAN PEDRO DE BUENA VISTA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,10,10
SAN PEDRO DE MACHA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,8,8
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,1169,1169
SANTIAGO DE HUARI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,9,9
SANTIVAÑES,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,11,11
SANTUARIO DE QUILLACAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,2,2
SICA SICA (VILLA AROMA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,53,53
SICAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,3,3
SORACACHI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,9,9
TACOPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,9,9
TAPACARI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,20,20
TARIJA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,320,320
TINGUIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,41,41
TIQUIPAYA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,41,41
TIRAQUE (CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,98,98
TOCO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,14,14
TOLATA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,25,25
TOLEDO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,9,9
TOMAVE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,3,3
TORO TORO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,6,6
TOTORA(CBBA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,27,27
TOTORA(ORR),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,5,5
TUPIZA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,79,79
UNCIA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,58,58
UYUNI,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,34,34
VACAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,2,2
VILLA SERRANO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,23,23
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,1,1
VILLAZON,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,82,82
VINTO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,92,92
YAMPARAEZ,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-08-01,10,10
AIQUILE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,8,8
ALALAY,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,2,2
ANDAMARCA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,7,7
ANTEQUERA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,1,1
APOLO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,7,7
ARAMPAMPA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,3,3
ARBIETO,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,31,31
ASCENCION DE GUARAYOS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,3,3
ATOCHA,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,22,22
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,153,153
BOLIVAR,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,13,13
BOYUIBE,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,3,3
CABEZAS,micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,64,64
"CAIZA ""D""",micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,13,13
CAMATAQUI (C. VILLA ABECIA),micronutrientes y lactancia materna,mujeres embarazadas que reciben alimento complementario nutri mama,2024-09-01,4,4
