municipality,group,variable,month,Niñas(os) de 1 año con dosis completa de hierro,TOTAL
SAMAIPATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,14,14
SAN AGUSTIN,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,1,1
SAN ANDRES,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,28,28
SAN ANDRES DE MACHACA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,4,4
SAN ANTONIO DE ESMORUCO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,3,3
SAN ANTONIO DE LOMERIO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,5,5
SAN BENITO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,14,14
SAN BORJA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,73,73
SAN BUENA VENTURA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,16,16
SAN CARLOS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,40,40
SAN IGNACIO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,14,14
SAN IGNACIO DE VELASCO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,90,90
SAN JAVIER(STC),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,37,37
SAN JOAQUIN,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,2,2
SAN JOSE DE CHIQUITOS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,92,92
SAN JULIAN,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,102,102
SAN LORENZO(PND),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,7,7
SAN LORENZO(TJA),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,25,25
SAN LUCAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,39,39
SAN MATIAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,32,32
SAN MIGUEL DE VELASCO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,25,25
SAN PABLO DE LIPEZ,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,1,1
SAN PEDRO,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,27,27
SAN PEDRO DE BUENA VISTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,33,33
SAN PEDRO DE CURAHUARA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,4,4
SAN PEDRO DE MACHA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,22,22
SAN PEDRO DE QUEMES,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,3,3
SAN PEDRO DE TIQUINA,micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,6,6
SAN PEDRO(PND),micronutrientes y lactancia materna,ninas(os) de 1 ano con dosis completa de hierro,2024-01-01,2,2
