municipality,group,variable,month,Mujeres en periodo de lactancia que reciben Alimento Complementario Nutri Mamá,TOTAL
COLQUECHACA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,37,37
COLQUIRI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,29,29
COTOCA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,102,102
CUEVO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,10,10
CURAHUARA DE CARANGAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,34,34
EL ALTO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,278,278
EL CHORO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,50,50
EL TORNO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,1,1
ESCARA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,6,6
EUCALIPTUS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,28,28
GUTIERREZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,5,5
HUANUNI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,5,5
HUMANATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,6,6
ICHOCA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,70,70
ICLA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,3,3
JESUS DE MACHACA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,65,65
LA GUARDIA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,714,714
LA PAZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,178,178
LA RIVERA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,1,1
LAGUNILLAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,4,4
LICOMA PAMPA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,45,45
LLALLAGUA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,22,22
MACHACAMARCA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,31,31
MACHARETI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,10,10
MIZQUE,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,82,82
MONTEAGUDO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,13,13
MONTERO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,43,43
MOROCHATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,98,98
OCURI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,7,7
ORURO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,244,244
PAMPA AULLAGAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,41,41
PASORAPA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,25,25
POCOATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,77,77
POCONA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,199,199
POJO (CBBA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,194,194
POOPO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,32,32
PORCO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,248,248
PORONGO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,22,22
POTOSI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,1044,1044
PUERTO SUAREZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,79,79
PUERTO VILLARROEL,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,3,3
QUILLACOLLO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,259,259
RAVELO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,8,8
SABAYA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,56,56
SACABAMBA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,27,27
SACACA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,3,3
SAN ANDRES DE MACHACA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,1,1
SAN ANTONIO DE ESMORUCO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,2,2
SAN BORJA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,98,98
SAN PEDRO DE BUENA VISTA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,11,11
SAN PEDRO DE MACHA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,4,4
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,1195,1195
SANTIAGO DE HUARI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,93,93
SANTIVAÑES,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,4,4
SANTUARIO DE QUILLACAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,32,32
SICA SICA (VILLA AROMA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,29,29
TACOPAYA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,115,115
TAPACARI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,433,433
TARIJA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,1231,1231
TINGUIPAYA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,38,38
TIQUIPAYA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,70,70
TIRAQUE (CBBA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,691,691
TOCO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,21,21
TODOS SANTOS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,3,3
TOLATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,76,76
TOLEDO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,23,23
TOMAVE,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,96,96
TORO TORO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,9,9
TOTORA(CBBA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,328,328
TUPIZA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,106,106
UYUNI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,317,317
VACAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,45,45
VILLAZON,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,33,33
VINTO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,1064,1064
YAMPARAEZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-07-01,23,23
AIQUILE,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,335,335
ALALAY,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,30,30
ANDAMARCA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,12,12
ANTEQUERA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,5,5
APOLO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,23,23
ARAMPAMPA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,1,1
ARBIETO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,400,400
ATOCHA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,65,65
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,296,296
BERMEJO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,11,11
BOLIVAR,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,24,24
BOYUIBE,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,2,2
CABEZAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,15,15
"CAIZA ""D""",micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,6,6
CAMIRI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,6,6
CAQUIAVIRI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,70,70
CARACOLLO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,102,102
CARANAVI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,19,19
CARIPUYO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,35,35
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,5,5
CHALLAPATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,8,8
CHARAÑA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,20,20
CHAYANTA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,1,1
CHIMORE,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,44,44
CHIPAYA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,2,2
CHOQUE COTA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,3,3
CHUMA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,11,11
CLIZA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,174,174
COCAPATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,8,8
COCHABAMBA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,7,7
COLCAPIRHUA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,218,218
COLPA BELGICA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,2,2
COLQUECHACA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,103,103
COLQUIRI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,38,38
CORO CORO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,16,16
COTOCA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,74,74
CUEVO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,1,1
CULPINA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,22,22
CURAHUARA DE CARANGAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,30,30
EL ALTO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,1063,1063
EL CHORO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,41,41
EL TORNO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,3,3
ESCARA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,7,7
EUCALIPTUS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,41,41
GUTIERREZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,1,1
HUANUNI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,8,8
HUAYLLAMARCA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,21,21
HUMANATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,31,31
ICHOCA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,44,44
JESUS DE MACHACA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,151,151
LA GUARDIA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,781,781
LAGUNILLAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,3,3
LAS CARRERAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,22,22
LICOMA PAMPA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,53,53
LLALLAGUA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,24,24
MACHACAMARCA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,25,25
MACHARETI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,24,24
MINEROS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,19,19
MIZQUE,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,219,219
MOJINETE,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,3,3
MONTEAGUDO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,3,3
MONTERO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,38,38
MOROCHATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,59,59
OCURI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,109,109
ORURO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,165,165
PAMPA AULLAGAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,42,42
PAPEL PAMPA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,16,16
PASORAPA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,33,33
POCOATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,92,92
POCONA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,201,201
POJO (CBBA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,268,268
POOPO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,31,31
PORCO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,244,244
PORONGO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,26,26
POTOSI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,1281,1281
PUERTO GONZALO MORENO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,11,11
PUERTO QUIJARRO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,32,32
PUERTO SUAREZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,65,65
PUERTO VILLARROEL,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,2,2
QUILLACOLLO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,281,281
QUIME,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,17,17
RAVELO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,12,12
SABAYA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,62,62
SACABAMBA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,16,16
SACACA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,27,27
SALINAS DE GARCI MENDOZA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,99,99
SAN ANDRES DE MACHACA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,13,13
SAN ANTONIO DE ESMORUCO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,2,2
SAN BORJA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,66,66
SAN PABLO DE LIPEZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,1,1
SAN PEDRO DE BUENA VISTA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,9,9
SAN PEDRO DE MACHA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,1,1
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,1384,1384
SANTIAGO DE HUARI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,110,110
SANTIAGO DE MACHACA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,37,37
SANTIVAÑES,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,2,2
SANTUARIO DE QUILLACAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,23,23
SICA SICA (VILLA AROMA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,137,137
SICAYA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,25,25
SUCRE,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,57,57
TACOPAYA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,116,116
TAPACARI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,455,455
TARIJA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,1186,1186
TINGUIPAYA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,143,143
TIQUIPAYA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,190,190
TIRAQUE (CBBA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,791,791
TOCO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,26,26
TOLATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,57,57
TOLEDO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,44,44
TOMAVE,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,101,101
TOMINA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,53,53
TORO TORO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,59,59
TOTORA(CBBA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,228,228
TOTORA(ORR),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,2,2
TUPIZA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,88,88
UMALA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,51,51
UNCIA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,4,4
UYUNI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,379,379
VILLAZON,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,89,89
VINTO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,1074,1074
YAMPARAEZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-08-01,49,49
ACHOCALLA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,45,45
AIQUILE,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,338,338
ALALAY,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,27,27
ANDAMARCA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,22,22
ANTEQUERA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,6,6
ANZALDO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,41,41
APOLO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,61,61
ARAMPAMPA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,1,1
ARBIETO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,394,394
ASCENCION DE GUARAYOS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,2,2
ATOCHA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,55,55
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,327,327
BOLIVAR,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,10,10
BOYUIBE,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,14,14
CABEZAS,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,7,7
"CAIZA ""D""",micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,11,11
CALACOTO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,3,3
CAQUIAVIRI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,59,59
CARACOLLO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,86,86
CARANAVI,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,14,14
CARIPUYO,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,28,28
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,7,7
CHALLAPATA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,43,43
CHARAGUA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,27,27
CHAYANTA,micronutrientes y lactancia materna,mujeres en periodo de lactancia que reciben alimento complementario nutri mama,2024-09-01,1,1
