,group,variable,month,TOTAL 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTAL 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL DENTRO,TOTAL FUERA,TOTAL
PUNATA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,15,40.0,15,40.0,55.0
QUILLACOLLO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,178,696.0,178,696.0,874.0
RAVELO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,18,111.0,18,111.0,129.0
ROBORE,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,52.0,0,52.0,52.0
SACABA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,114,2669.0,114,2669.0,2783.0
SAN ANTONIO DE ESMORUCO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,7,0.0,7,0.0,7.0
SAN ANTONIO DE LOMERIO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,412.0,0,412.0,412.0
SAN BORJA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,50.0,0,50.0,50.0
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,105,13.0,105,13.0,118.0
SAN JULIAN,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,7,7.0,7,7.0,14.0
SAN PEDRO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,50.0,0,50.0,50.0
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,540,1036.0,540,1036.0,1576.0
SANTA ROSA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,300.0,0,300.0,300.0
SHINAOTA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,83.0,0,83.0,83.0
SIPE SIPE,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,2324.0,0,2324.0,2324.0
TACACHI,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,10.0,0,10.0,10.0
TACOBAMBA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,19.0,0,19.0,19.0
TAPACARI,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,39.0,0,39.0,39.0
TARABUCO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,10.0,0,10.0,10.0
TARATA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,51.0,0,51.0,51.0
TINGUIPAYA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,4,24.0,4,24.0,28.0
TIQUIPAYA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,28,169.0,28,169.0,197.0
TOLATA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,12,4.0,12,4.0,16.0
TORO TORO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,11.0,0,11.0,11.0
TOTORA(ORR),otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,10.0,0,10.0,10.0
TRINIDAD,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,180,7.0,180,7.0,187.0
UYUNI,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,38,0.0,38,0.0,38.0
VALLEGRANDE,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,1188.0,0,1188.0,1188.0
VILLA TUNARI,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,56,105.0,56,105.0,161.0
VILLAZON,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,769.0,0,769.0,769.0
VINTO,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,35,111.0,35,111.0,146.0
WARNES,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,133,1209.0,133,1209.0,1342.0
YACUIBA,otras vacunaciones,      antirrabica en perros y gatos,2014-02-01,0,234.0,0,234.0,234.0
AIQUILE,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,20.0,0,20.0,20.0
ALTO BENI,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,30.0,0,30.0,30.0
ANDAMARCA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,10,20.0,10,20.0,30.0
ANZALDO,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,10,68.0,10,68.0,78.0
ARBIETO,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,500,3413.0,500,3413.0,3913.0
AYATA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,2.0,0,2.0,2.0
BATALLAS,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,143.0,0,143.0,143.0
BELEN DE ANDAMARCA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,10.0,0,10.0,10.0
BETANZOS,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,110.0,0,110.0,110.0
CABEZAS,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,533.0,0,533.0,533.0
"CAIZA ""D""",otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,10.0,0,10.0,10.0
CARANAVI,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,15,20.0,15,20.0,35.0
CHALLAPATA,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,0,513.0,0,513.0,513.0
CHAQUI,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,1,127.0,1,127.0,128.0
CKOCHAS,otras vacunaciones,      antirrabica en perros y gatos,2014-03-01,38,110.0,38,110.0,148.0
