municipality,group,variable,month,9.25 Nro de actividades de educacion integral en sexualidad a adolescentes,TOTAL
MOJINETE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,13,13
MONTERO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,425,425
ORURO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,2,2
PALCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
PAZÑA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
POCOATA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,3,3
POTOSI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,36,36
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,2,2
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,6,6
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
QUIME,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,6,6
RIBERALTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
RURRENABAQUE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,3,3
SACABA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,4,4
SACACA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,2,2
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
SAN ANDRES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
SAN BORJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,17,17
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
SAN JOAQUIN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,9,9
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,5,5
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,5,5
SANTA ANA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,8,8
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,2,2
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,2,2
SHINAOTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,2,2
SORACACHI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,3,3
TACOPAYA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,11,11
TOLEDO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
TOMINA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
TRINIDAD,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,2,2
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
URUBICHA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,15,15
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,3,3
VILLA MONTES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,2,2
VILLA SERRANO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,1,1
VITICHI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,3,3
WARNES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,11,11
YACUIBA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,3,3
YAPACANI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-10-01,6,6
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,3,3
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,2,2
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
ATOCHA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
AYATA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
BAURES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,3,3
CARACOLLO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,3,3
CARAPARI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
COBIJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,4,4
COMARAPA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
COPACABANA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,4,4
EL ALTO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,83,83
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
GIA-TIM,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,4,4
HUATAJATA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
ICHOCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,2,2
LA PAZ,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,5,5
LURIBAY,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,4,4
MAGDALENA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
MALLA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
MOCOMOCO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,33,33
MOJINETE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,26,26
MONTEAGUDO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,264,264
PAMPA GRANDE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
PAZÑA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
POCOATA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,2,2
PORONGO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
PORVENIR,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,46,46
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,5,5
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
QUIME,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,5,5
RAVELO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
SAN AGUSTIN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,2,2
SAN BORJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,13,13
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,3,3
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,2,2
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,2,2
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,4,4
SANTA ANA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,7,7
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
SAPAHAQUI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
SENA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
SOPACHUY,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
SORATA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,2,2
SUCRE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,12,12
TARIJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,13,13
TINGUIPAYA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,5,5
TORO TORO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
TRINIDAD,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
UYUNI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,3,3
VILLA CHARCAS,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,1,1
WARNES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,32,32
YACUIBA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,4,4
YAPACANI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-11-01,9,9
ACHOCALLA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,3,3
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,3,3
BAURES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,1,1
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,2,2
CAIROMA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,2,2
CARACOLLO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,1,1
CARANAVI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,1,1
CHOQUE COTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,1,1
COBIJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,87,87
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,1,1
GIA-TIM,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,1,1
INQUISIVI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,2,2
LA ASUNTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,59,59
MOCOMOCO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,2,2
MOJINETE,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,6,6
PAILON,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,1,1
PAZÑA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,1,1
POTOSI,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,6,6
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,7,7
RIBERALTA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,3,3
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,1,1
SAN BORJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,6,6
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,1,1
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,13,13
TARIJA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,3,3
TOLEDO,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,1,1
WARNES,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,22,22
YACUIBA,actividades del establecimiento y con la comunidad,nro de actividades de educacion integral en sexualidad a adolescentes,2024-12-01,3,3
