municipality,group,variable,month,Nº de comunidades que participaron en el CAI de se,TOTAL
TITO YUPANQUI (PARQUIPUJIO),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
TOLEDO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
TOMINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,9,9
TOTORA(CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,2,2
TRIGAL,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,5,5
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,22,22
URIONDO (A. CONCEPCION),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,5,5
URUBICHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,3,3
UYUNI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
VALLEGRANDE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,13,13
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,12,12
VILA VILA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,7,7
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,4,4
VILLA TUNARI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,5,5
VINTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,10,10
WALDO BALLIVIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,4,4
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,7,7
YACUIBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,2,2
YAMPARAEZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,18,18
YUNCHARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-05-01,1,1
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,28,28
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,7,7
ALCALA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,28,28
ANTEQUERA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,2,2
ARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,5,5
ARBIETO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,4,4
ARQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,9,9
ASCENCION DE GUARAYOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,12,12
AZURDUY,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,7,7
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,22,22
BELEN DE URMIRI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,3,3
BELLA FLOR,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,8,8
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,7,7
"CAIZA ""D""",actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,4,4
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,12,12
CAPINOTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,8,8
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,5,5
CARANGAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,8,8
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,5,5
CHAYANTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,5,5
CLIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,2,2
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,14,14
COLCAPIRHUA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,4,4
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,7,7
COLQUECHACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,20,20
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,14,14
COMANCHE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,4,4
CONCEPCION,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,2,2
COROICO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,15,15
COTOCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,7,7
CUATRO CAÑADAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,2,2
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
CULPINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,20,20
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,34,34
EL PUENTE(TJA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,22,22
EL TORNO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,19,19
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,12,12
ESMERALDA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
EUCALIPTUS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,2,2
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,3,3
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,8,8
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,11,11
ICHOCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,4,4
INCAHUASI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,34,34
LA GUARDIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,8,8
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,86,86
LAGUNILLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,4,4
LICOMA PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,2,2
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,3,3
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,5,5
MOCOMOCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,6,6
MOJOCOYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,3,3
MORO MORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,3,3
NUEVO MANOA (NUEVA ESPERANZA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,3,3
OCURI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,10,10
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,4,4
OMEREQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,14,14
PADCAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,5,5
PAILON,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,5,5
PALCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
PAPEL PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,5,5
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,5,5
POCONA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,5,5
POJO (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
PORCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
PORONGO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,14,14
PORVENIR,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,3,3
PUCARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,26,26
PUERTO ACOSTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
PUERTO CARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,5,5
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,19,19
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,7,7
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,2,2
QUIRUSILLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
RAVELO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,16,16
RIBERALTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,7,7
ROBORE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,2,2
RURRENABAQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
SACABA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,15,15
SACABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,10,10
SACACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,35,35
SAMAIPATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,4,4
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,14,14
SAN CARLOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,56,56
SAN IGNACIO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
SAN JOSE DE CHIQUITOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,2,2
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,37,37
SAN LUCAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,61,61
SAN MATIAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,5,5
SAN PABLO DE LIPEZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,4,4
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,14,14
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,7,7
SANTA ANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,6,6
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,15,15
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,4,4
SANTIAGO DE CALLAPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,6,6
SANTIVAÑES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,2,2
SAPAHAQUI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,7,7
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,14,14
SIPE SIPE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,6,6
SORATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,18,18
SUCRE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,24,24
TAPACARI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,16,16
TARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
TARIJA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,3,3
TEOPONTE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
TIPUANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,6,6
TIQUIPAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,5,5
TITO YUPANQUI (PARQUIPUJIO),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
TOMINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,11,11
TOTORA(CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,2,2
TRIGAL,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,7,7
UMALA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,9,9
UNCIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,14,14
URIONDO (A. CONCEPCION),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,8,8
UYUNI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,1,1
VALLEGRANDE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,6,6
VIACHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,15,15
VILA VILA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,4,4
VILLA RIVERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,2,2
VILLA SERRANO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,5,5
VILLA TUNARI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,17,17
VINTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,11,11
WALDO BALLIVIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,4,4
WARNES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,7,7
YAMPARAEZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,12,12
YOTALA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,42,42
YUNCHARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-06-01,23,23
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,29,29
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,2,2
ALCALA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,17,17
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,22,22
ANDAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,15,15
ANTEQUERA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,4,4
APOLO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,10,10
ARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,5,5
ARBIETO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,2,2
ARQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
AUCAPATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,3,3
AZURDUY,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,3,3
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,9,9
BELEN DE ANDAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,3,3
BELEN DE URMIRI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,3,3
BERMEJO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,10,10
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,9,9
CALACOTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,2,2
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,15,15
CAMARGO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,21,21
CAPINOTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,14,14
CARACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,5,5
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,6,6
CARAPARI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,3,3
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,5,5
CLIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,3,3
COIPASA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
COLCAPIRHUA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,4,4
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,7,7
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,10,10
COLQUIRI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,6,6
COMARAPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
COPACABANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
CORQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,20,20
COTAGAITA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,5,5
CUATRO CAÑADAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,12,12
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,2,2
CULPINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,17,17
CURAHUARA DE CARANGAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,6,6
CURVA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,2,2
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,43,43
EL PUENTE(STC),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,2,2
EL TORNO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
EL VILLAR,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,5,5
ENTRE RIOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
EUCALIPTUS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,3,3
EUREKA (SANTOS MERCADO),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,2,2
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,4,4
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,3,3
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,44,44
HUACHACALLA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,4,4
HUANUNI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,57,57
HUAYLLAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,23,23
INCAHUASI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,11,11
LA GUARDIA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,9,9
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,69,69
LAGUNILLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,14,14
LICOMA PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,2,2
MACHACAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,4,4
MAGDALENA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,7,7
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,3,3
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,10,10
MOCOMOCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,7,7
MOJINETE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,2,2
MOJOCOYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,10,10
MONTERO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,6,6
MORO MORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,2,2
MOROCHATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,13,13
OCURI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,9,9
OKINAWA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,3,3
OMEREQUE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,7,7
ORURO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,80,80
PADILLA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
PAILON,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,4,4
PALCA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,5,5
PAMPA AULLAGAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,3,3
PATACAMAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,5,5
POCONA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,5,5
POJO (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
PORONGO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,15,15
PORTACHUELO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,6,6
PORVENIR,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,5,5
POTOSI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,13,13
PUCARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,2,2
PUCARANI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,18,18
PUERTO CARABUCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,10,10
PUERTO GONZALO MORENO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,11,11
PUERTO PEREZ,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,4,4
PUERTO QUIJARRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
PUNA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,8,8
PUNATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,7,7
QUIABAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,10,10
QUILLACOLLO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,11,11
QUIRUSILLAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
RAVELO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,6,6
REYES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
RIBERALTA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
ROBORE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,8,8
SABAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,7,7
SACABA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,29,29
SACABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,7,7
SACACA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,63,63
SALINAS DE GARCI MENDOZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,21,21
SAN ANTONIO DE LOMERIO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,6,6
SAN BENITO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,4,4
SAN BORJA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,2,2
SAN BUENA VENTURA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
SAN CARLOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,6,6
SAN JOSE DE CHIQUITOS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,5,5
SAN JULIAN,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,10,10
SAN LUCAS,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,68,68
SAN PEDRO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,27,27
SAN PEDRO DE TIQUINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
SAN PEDRO(PND),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,4,4
SAN RAMON,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,4,4
SANTA CRUZ DE LA SIERRA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,13,13
SANTA ROSA DEL SARA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,14,14
SANTIAGO DE CALLAPA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,9,9
SANTIVAÑES,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,5,5
SAPAHAQUI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
SICA SICA (VILLA AROMA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,10,10
SIPE SIPE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,18,18
SORACACHI,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,27,27
SORATA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,13,13
TARIJA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,40,40
TEOPONTE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
TIQUIPAYA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,17,17
TIRAQUE (CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,12,12
TOLEDO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,2,2
TOMAVE,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
TOMINA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,4,4
TORO TORO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,30,30
TOTORA(CBBA),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,3,3
TOTORA(ORR),actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,14,14
TUPIZA,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,8,8
TURCO,actividades con la comunidad,no de comunidades que participaron en el cai de se,2008-07-01,1,1
