municipality,group,variable,month,Ingresos referidos de otros establecim,TOTAL
SANTA ROSA DEL SARA,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
SIPE SIPE,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
SOPACHUY,internaciones,ingresos referidos de otros establecim,2008-07-01,3,3
SORATA,internaciones,ingresos referidos de otros establecim,2008-07-01,2,2
SUCRE,internaciones,ingresos referidos de otros establecim,2008-07-01,66,66
TARABUCO,internaciones,ingresos referidos de otros establecim,2008-07-01,7,7
TARIJA,internaciones,ingresos referidos de otros establecim,2008-07-01,259,259
TARVITA,internaciones,ingresos referidos de otros establecim,2008-07-01,10,10
TOMAVE,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
TOTORA(CBBA),internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
TRINIDAD,internaciones,ingresos referidos de otros establecim,2008-07-01,4,4
TUPIZA,internaciones,ingresos referidos de otros establecim,2008-07-01,44,44
UNCIA,internaciones,ingresos referidos de otros establecim,2008-07-01,28,28
VALLEGRANDE,internaciones,ingresos referidos de otros establecim,2008-07-01,6,6
VILLA MONTES,internaciones,ingresos referidos de otros establecim,2008-07-01,37,37
VILLA SERRANO,internaciones,ingresos referidos de otros establecim,2008-07-01,2,2
VILLA TUNARI,internaciones,ingresos referidos de otros establecim,2008-07-01,42,42
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
VILLAZON,internaciones,ingresos referidos de otros establecim,2008-07-01,10,10
VITICHI,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
WARNES,internaciones,ingresos referidos de otros establecim,2008-07-01,3,3
YACUIBA,internaciones,ingresos referidos de otros establecim,2008-07-01,3,3
YAMPARAEZ,internaciones,ingresos referidos de otros establecim,2008-07-01,1,1
YAPACANI,internaciones,ingresos referidos de otros establecim,2008-07-01,10,10
YOTALA,internaciones,ingresos referidos de otros establecim,2008-07-01,2,2
ACACIO,internaciones,ingresos referidos de otros establecim,2008-08-01,4,4
ACHACACHI,internaciones,ingresos referidos de otros establecim,2008-08-01,4,4
AIQUILE,internaciones,ingresos referidos de otros establecim,2008-08-01,6,6
ALALAY,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
APOLO,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecim,2008-08-01,14,14
ATOCHA,internaciones,ingresos referidos de otros establecim,2008-08-01,29,29
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecim,2008-08-01,10,10
BERMEJO,internaciones,ingresos referidos de otros establecim,2008-08-01,16,16
BETANZOS,internaciones,ingresos referidos de otros establecim,2008-08-01,2,2
CABEZAS,internaciones,ingresos referidos de otros establecim,2008-08-01,5,5
CAMARGO,internaciones,ingresos referidos de otros establecim,2008-08-01,5,5
CAMIRI,internaciones,ingresos referidos de otros establecim,2008-08-01,18,18
CAPINOTA,internaciones,ingresos referidos de otros establecim,2008-08-01,8,8
CARACOLLO,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
CARANAVI,internaciones,ingresos referidos de otros establecim,2008-08-01,25,25
CHALLAPATA,internaciones,ingresos referidos de otros establecim,2008-08-01,6,6
CHARAGUA,internaciones,ingresos referidos de otros establecim,2008-08-01,7,7
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
COBIJA,internaciones,ingresos referidos de otros establecim,2008-08-01,71,71
COCHABAMBA,internaciones,ingresos referidos de otros establecim,2008-08-01,22,22
COPACABANA,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
CORO CORO,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
COROICO,internaciones,ingresos referidos de otros establecim,2008-08-01,5,5
COTAGAITA,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
COTOCA,internaciones,ingresos referidos de otros establecim,2008-08-01,17,17
CUEVO,internaciones,ingresos referidos de otros establecim,2008-08-01,2,2
CULPINA,internaciones,ingresos referidos de otros establecim,2008-08-01,2,2
EL ALTO,internaciones,ingresos referidos de otros establecim,2008-08-01,203,203
EL TORNO,internaciones,ingresos referidos de otros establecim,2008-08-01,2,2
GUAYARAMERIN,internaciones,ingresos referidos de otros establecim,2008-08-01,18,18
GUTIERREZ,internaciones,ingresos referidos de otros establecim,2008-08-01,2,2
HUACARETA,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
HUANUNI,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
ICLA,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
LA GUARDIA,internaciones,ingresos referidos de otros establecim,2008-08-01,5,5
LA PAZ,internaciones,ingresos referidos de otros establecim,2008-08-01,1462,1462
LAGUNILLAS,internaciones,ingresos referidos de otros establecim,2008-08-01,2,2
LLALLAGUA,internaciones,ingresos referidos de otros establecim,2008-08-01,4,4
MACHARETI,internaciones,ingresos referidos de otros establecim,2008-08-01,5,5
MAGDALENA,internaciones,ingresos referidos de otros establecim,2008-08-01,7,7
MAIRANA,internaciones,ingresos referidos de otros establecim,2008-08-01,5,5
MIZQUE,internaciones,ingresos referidos de otros establecim,2008-08-01,3,3
MONTEAGUDO,internaciones,ingresos referidos de otros establecim,2008-08-01,16,16
MONTERO,internaciones,ingresos referidos de otros establecim,2008-08-01,97,97
OCURI,internaciones,ingresos referidos de otros establecim,2008-08-01,3,3
ORURO,internaciones,ingresos referidos de otros establecim,2008-08-01,148,148
PADILLA,internaciones,ingresos referidos de otros establecim,2008-08-01,18,18
PAILON,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
PALOS BLANCOS,internaciones,ingresos referidos de otros establecim,2008-08-01,6,6
PORTACHUELO,internaciones,ingresos referidos de otros establecim,2008-08-01,2,2
POTOSI,internaciones,ingresos referidos de otros establecim,2008-08-01,53,53
PUERTO ACOSTA,internaciones,ingresos referidos de otros establecim,2008-08-01,15,15
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecim,2008-08-01,9,9
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecim,2008-08-01,25,25
PUNA,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
PUNATA,internaciones,ingresos referidos de otros establecim,2008-08-01,23,23
QUIME,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
REYES,internaciones,ingresos referidos de otros establecim,2008-08-01,8,8
RIBERALTA,internaciones,ingresos referidos de otros establecim,2008-08-01,70,70
RURRENABAQUE,internaciones,ingresos referidos de otros establecim,2008-08-01,47,47
SACABA,internaciones,ingresos referidos de otros establecim,2008-08-01,5,5
SACACA,internaciones,ingresos referidos de otros establecim,2008-08-01,2,2
SAN BORJA,internaciones,ingresos referidos de otros establecim,2008-08-01,3,3
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecim,2008-08-01,10,10
SAN CARLOS,internaciones,ingresos referidos de otros establecim,2008-08-01,11,11
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecim,2008-08-01,18,18
SAN JOAQUIN,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
SAN JUAN DE YAPACANI,internaciones,ingresos referidos de otros establecim,2008-08-01,7,7
SAN JULIAN,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
SAN LUCAS,internaciones,ingresos referidos de otros establecim,2008-08-01,11,11
SAN MATIAS,internaciones,ingresos referidos de otros establecim,2008-08-01,3,3
SAN PEDRO DE BUENA VISTA,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecim,2008-08-01,226,226
SANTA ROSA,internaciones,ingresos referidos de otros establecim,2008-08-01,5,5
SOPACHUY,internaciones,ingresos referidos de otros establecim,2008-08-01,5,5
SUCRE,internaciones,ingresos referidos de otros establecim,2008-08-01,71,71
TAPACARI,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
TARIJA,internaciones,ingresos referidos de otros establecim,2008-08-01,179,179
TARVITA,internaciones,ingresos referidos de otros establecim,2008-08-01,8,8
TEOPONTE,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
TIPUANI,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
TOLEDO,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
TOMINA,internaciones,ingresos referidos de otros establecim,2008-08-01,2,2
TORO TORO,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
TOTORA(CBBA),internaciones,ingresos referidos de otros establecim,2008-08-01,4,4
TRINIDAD,internaciones,ingresos referidos de otros establecim,2008-08-01,5,5
TUPIZA,internaciones,ingresos referidos de otros establecim,2008-08-01,45,45
UNCIA,internaciones,ingresos referidos de otros establecim,2008-08-01,37,37
VALLEGRANDE,internaciones,ingresos referidos de otros establecim,2008-08-01,8,8
VILLA MONTES,internaciones,ingresos referidos de otros establecim,2008-08-01,33,33
VILLA SERRANO,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
VILLA TUNARI,internaciones,ingresos referidos de otros establecim,2008-08-01,50,50
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
VILLAZON,internaciones,ingresos referidos de otros establecim,2008-08-01,6,6
WARNES,internaciones,ingresos referidos de otros establecim,2008-08-01,4,4
YACUIBA,internaciones,ingresos referidos de otros establecim,2008-08-01,2,2
YAPACANI,internaciones,ingresos referidos de otros establecim,2008-08-01,10,10
ZUDAÑEZ,internaciones,ingresos referidos de otros establecim,2008-08-01,1,1
ACHACACHI,internaciones,ingresos referidos de otros establecim,2008-09-01,5,5
AIQUILE,internaciones,ingresos referidos de otros establecim,2008-09-01,5,5
ALCALA,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
ANCORAIMES,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
APOLO,internaciones,ingresos referidos de otros establecim,2008-09-01,2,2
ARQUE,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecim,2008-09-01,16,16
ATOCHA,internaciones,ingresos referidos de otros establecim,2008-09-01,37,37
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecim,2008-09-01,5,5
AZURDUY,internaciones,ingresos referidos de otros establecim,2008-09-01,5,5
BERMEJO,internaciones,ingresos referidos de otros establecim,2008-09-01,11,11
BETANZOS,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
BOYUIBE,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
BUENA VISTA,internaciones,ingresos referidos de otros establecim,2008-09-01,2,2
CABEZAS,internaciones,ingresos referidos de otros establecim,2008-09-01,2,2
CAMARGO,internaciones,ingresos referidos de otros establecim,2008-09-01,6,6
CAMIRI,internaciones,ingresos referidos de otros establecim,2008-09-01,28,28
CAPINOTA,internaciones,ingresos referidos de otros establecim,2008-09-01,4,4
CARANAVI,internaciones,ingresos referidos de otros establecim,2008-09-01,21,21
CARMEN RIVERO TORREZ,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
CHALLAPATA,internaciones,ingresos referidos de otros establecim,2008-09-01,7,7
CHARAGUA,internaciones,ingresos referidos de otros establecim,2008-09-01,7,7
COBIJA,internaciones,ingresos referidos de otros establecim,2008-09-01,66,66
COCHABAMBA,internaciones,ingresos referidos de otros establecim,2008-09-01,42,42
COLQUECHACA,internaciones,ingresos referidos de otros establecim,2008-09-01,2,2
COMARAPA,internaciones,ingresos referidos de otros establecim,2008-09-01,3,3
CONCEPCION,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
COROICO,internaciones,ingresos referidos de otros establecim,2008-09-01,6,6
COTOCA,internaciones,ingresos referidos de otros establecim,2008-09-01,60,60
CULPINA,internaciones,ingresos referidos de otros establecim,2008-09-01,28,28
EL ALTO,internaciones,ingresos referidos de otros establecim,2008-09-01,175,175
EL TORNO,internaciones,ingresos referidos de otros establecim,2008-09-01,4,4
ENTRE RIOS,internaciones,ingresos referidos de otros establecim,2008-09-01,3,3
GRAL. J.J. PEREZ (CHARAZANI),internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
GUANAY,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
GUAYARAMERIN,internaciones,ingresos referidos de otros establecim,2008-09-01,27,27
HUACHACALLA,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
HUANUNI,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
IRUPANA (VILLA DE LANZA),internaciones,ingresos referidos de otros establecim,2008-09-01,29,29
JESUS DE MACHACA,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
LA GUARDIA,internaciones,ingresos referidos de otros establecim,2008-09-01,11,11
LA PAZ,internaciones,ingresos referidos de otros establecim,2008-09-01,928,928
LAGUNILLAS,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
LLALLAGUA,internaciones,ingresos referidos de otros establecim,2008-09-01,9,9
MACHARETI,internaciones,ingresos referidos de otros establecim,2008-09-01,4,4
MAGDALENA,internaciones,ingresos referidos de otros establecim,2008-09-01,8,8
MAIRANA,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
MAPIRI,internaciones,ingresos referidos de otros establecim,2008-09-01,3,3
MINEROS,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
MIZQUE,internaciones,ingresos referidos de otros establecim,2008-09-01,3,3
MONTEAGUDO,internaciones,ingresos referidos de otros establecim,2008-09-01,18,18
MONTERO,internaciones,ingresos referidos de otros establecim,2008-09-01,103,103
OCURI,internaciones,ingresos referidos de otros establecim,2008-09-01,3,3
ORURO,internaciones,ingresos referidos de otros establecim,2008-09-01,99,99
PADILLA,internaciones,ingresos referidos de otros establecim,2008-09-01,33,33
PAILON,internaciones,ingresos referidos de otros establecim,2008-09-01,32,32
PALOS BLANCOS,internaciones,ingresos referidos de otros establecim,2008-09-01,3,3
PATACAMAYA,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
POCOATA,internaciones,ingresos referidos de otros establecim,2008-09-01,5,5
PORTACHUELO,internaciones,ingresos referidos de otros establecim,2008-09-01,6,6
POSTRER VALLE,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
POTOSI,internaciones,ingresos referidos de otros establecim,2008-09-01,35,35
PUERTO ACOSTA,internaciones,ingresos referidos de otros establecim,2008-09-01,9,9
PUERTO QUIJARRO,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecim,2008-09-01,11,11
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecim,2008-09-01,24,24
PUNATA,internaciones,ingresos referidos de otros establecim,2008-09-01,35,35
QUILLACOLLO,internaciones,ingresos referidos de otros establecim,2008-09-01,11,11
QUIME,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
REYES,internaciones,ingresos referidos de otros establecim,2008-09-01,4,4
RIBERALTA,internaciones,ingresos referidos de otros establecim,2008-09-01,60,60
ROBORE,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
RURRENABAQUE,internaciones,ingresos referidos de otros establecim,2008-09-01,47,47
SACABA,internaciones,ingresos referidos de otros establecim,2008-09-01,12,12
SACACA,internaciones,ingresos referidos de otros establecim,2008-09-01,5,5
SAMAIPATA,internaciones,ingresos referidos de otros establecim,2008-09-01,2,2
SAN BORJA,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecim,2008-09-01,9,9
SAN CARLOS,internaciones,ingresos referidos de otros establecim,2008-09-01,6,6
SAN IGNACIO,internaciones,ingresos referidos de otros establecim,2008-09-01,2,2
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecim,2008-09-01,25,25
SAN JAVIER(BNI),internaciones,ingresos referidos de otros establecim,2008-09-01,5,5
SAN JOAQUIN,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
SAN JOSE DE CHIQUITOS,internaciones,ingresos referidos de otros establecim,2008-09-01,2,2
SAN JUAN DE YAPACANI,internaciones,ingresos referidos de otros establecim,2008-09-01,3,3
SAN JULIAN,internaciones,ingresos referidos de otros establecim,2008-09-01,6,6
SAN LORENZO(TJA),internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
SAN LUCAS,internaciones,ingresos referidos de otros establecim,2008-09-01,4,4
SAN MATIAS,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
SAN MIGUEL DE VELASCO,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
SAN PEDRO DE BUENA VISTA,internaciones,ingresos referidos de otros establecim,2008-09-01,2,2
SAN RAFAEL,internaciones,ingresos referidos de otros establecim,2008-09-01,2,2
SAN RAMON,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecim,2008-09-01,152,152
SANTA ROSA,internaciones,ingresos referidos de otros establecim,2008-09-01,5,5
SANTA ROSA DEL SARA,internaciones,ingresos referidos de otros establecim,2008-09-01,3,3
SICA SICA (VILLA AROMA),internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
SOPACHUY,internaciones,ingresos referidos de otros establecim,2008-09-01,7,7
SORATA,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
SUCRE,internaciones,ingresos referidos de otros establecim,2008-09-01,89,89
TARABUCO,internaciones,ingresos referidos de otros establecim,2008-09-01,3,3
TARIJA,internaciones,ingresos referidos de otros establecim,2008-09-01,133,133
TARVITA,internaciones,ingresos referidos de otros establecim,2008-09-01,2,2
TIPUANI,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
TOMINA,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
TOTORA(CBBA),internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
TRINIDAD,internaciones,ingresos referidos de otros establecim,2008-09-01,8,8
TUPIZA,internaciones,ingresos referidos de otros establecim,2008-09-01,45,45
UNCIA,internaciones,ingresos referidos de otros establecim,2008-09-01,33,33
UYUNI,internaciones,ingresos referidos de otros establecim,2008-09-01,2,2
VALLEGRANDE,internaciones,ingresos referidos de otros establecim,2008-09-01,7,7
VIACHA,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
VILLA MONTES,internaciones,ingresos referidos de otros establecim,2008-09-01,21,21
VILLA TUNARI,internaciones,ingresos referidos de otros establecim,2008-09-01,31,31
VILLAZON,internaciones,ingresos referidos de otros establecim,2008-09-01,7,7
VINTO,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
VITICHI,internaciones,ingresos referidos de otros establecim,2008-09-01,3,3
WARNES,internaciones,ingresos referidos de otros establecim,2008-09-01,2,2
YACUIBA,internaciones,ingresos referidos de otros establecim,2008-09-01,4,4
YAMPARAEZ,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
YANACACHI,internaciones,ingresos referidos de otros establecim,2008-09-01,1,1
YAPACANI,internaciones,ingresos referidos de otros establecim,2008-09-01,6,6
YOTALA,internaciones,ingresos referidos de otros establecim,2008-09-01,2,2
ACHACACHI,internaciones,ingresos referidos de otros establecim,2008-10-01,8,8
AIQUILE,internaciones,ingresos referidos de otros establecim,2008-10-01,10,10
APOLO,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecim,2008-10-01,11,11
ATOCHA,internaciones,ingresos referidos de otros establecim,2008-10-01,42,42
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecim,2008-10-01,9,9
BERMEJO,internaciones,ingresos referidos de otros establecim,2008-10-01,16,16
BETANZOS,internaciones,ingresos referidos de otros establecim,2008-10-01,4,4
CABEZAS,internaciones,ingresos referidos de otros establecim,2008-10-01,2,2
CAMARGO,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
CAMIRI,internaciones,ingresos referidos de otros establecim,2008-10-01,22,22
CAPINOTA,internaciones,ingresos referidos de otros establecim,2008-10-01,7,7
CARACOLLO,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
CARANAVI,internaciones,ingresos referidos de otros establecim,2008-10-01,14,14
CARMEN RIVERO TORREZ,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
CHALLAPATA,internaciones,ingresos referidos de otros establecim,2008-10-01,4,4
CHARAGUA,internaciones,ingresos referidos de otros establecim,2008-10-01,17,17
CHAYANTA,internaciones,ingresos referidos de otros establecim,2008-10-01,5,5
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecim,2008-10-01,4,4
COBIJA,internaciones,ingresos referidos de otros establecim,2008-10-01,76,76
COCHABAMBA,internaciones,ingresos referidos de otros establecim,2008-10-01,38,38
COLOMI,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
COPACABANA,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
CORO CORO,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
COROICO,internaciones,ingresos referidos de otros establecim,2008-10-01,13,13
COTAGAITA,internaciones,ingresos referidos de otros establecim,2008-10-01,3,3
COTOCA,internaciones,ingresos referidos de otros establecim,2008-10-01,56,56
CULPINA,internaciones,ingresos referidos de otros establecim,2008-10-01,6,6
CURAHUARA DE CARANGAS,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
EL ALTO,internaciones,ingresos referidos de otros establecim,2008-10-01,188,188
EUCALIPTUS,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
GUANAY,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
GUAYARAMERIN,internaciones,ingresos referidos de otros establecim,2008-10-01,30,30
GUTIERREZ,internaciones,ingresos referidos de otros establecim,2008-10-01,3,3
HUANUNI,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
ICHOCA,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
INCAHUASI,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
LA GUARDIA,internaciones,ingresos referidos de otros establecim,2008-10-01,5,5
LA PAZ,internaciones,ingresos referidos de otros establecim,2008-10-01,949,949
LLALLAGUA,internaciones,ingresos referidos de otros establecim,2008-10-01,16,16
MACHARETI,internaciones,ingresos referidos de otros establecim,2008-10-01,8,8
MAIRANA,internaciones,ingresos referidos de otros establecim,2008-10-01,2,2
MIZQUE,internaciones,ingresos referidos de otros establecim,2008-10-01,3,3
MONTEAGUDO,internaciones,ingresos referidos de otros establecim,2008-10-01,19,19
MONTERO,internaciones,ingresos referidos de otros establecim,2008-10-01,84,84
OCURI,internaciones,ingresos referidos de otros establecim,2008-10-01,5,5
ORURO,internaciones,ingresos referidos de otros establecim,2008-10-01,131,131
PADILLA,internaciones,ingresos referidos de otros establecim,2008-10-01,31,31
PAILON,internaciones,ingresos referidos de otros establecim,2008-10-01,3,3
PATACAMAYA,internaciones,ingresos referidos de otros establecim,2008-10-01,3,3
POJO (CBBA),internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
POROMA,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
PORTACHUELO,internaciones,ingresos referidos de otros establecim,2008-10-01,2,2
POTOSI,internaciones,ingresos referidos de otros establecim,2008-10-01,41,41
PUERTO ACOSTA,internaciones,ingresos referidos de otros establecim,2008-10-01,19,19
PUERTO SUAREZ,internaciones,ingresos referidos de otros establecim,2008-10-01,14,14
PUERTO VILLARROEL,internaciones,ingresos referidos de otros establecim,2008-10-01,26,26
PUNATA,internaciones,ingresos referidos de otros establecim,2008-10-01,41,41
QUILLACOLLO,internaciones,ingresos referidos de otros establecim,2008-10-01,8,8
REYES,internaciones,ingresos referidos de otros establecim,2008-10-01,4,4
RIBERALTA,internaciones,ingresos referidos de otros establecim,2008-10-01,62,62
RURRENABAQUE,internaciones,ingresos referidos de otros establecim,2008-10-01,50,50
SACABA,internaciones,ingresos referidos de otros establecim,2008-10-01,8,8
SACACA,internaciones,ingresos referidos de otros establecim,2008-10-01,2,2
SAN AGUSTIN,internaciones,ingresos referidos de otros establecim,2008-10-01,3,3
SAN ANTONIO DE LOMERIO,internaciones,ingresos referidos de otros establecim,2008-10-01,2,2
SAN BUENA VENTURA,internaciones,ingresos referidos de otros establecim,2008-10-01,12,12
SAN CARLOS,internaciones,ingresos referidos de otros establecim,2008-10-01,8,8
SAN IGNACIO DE VELASCO,internaciones,ingresos referidos de otros establecim,2008-10-01,27,27
SAN JOSE DE CHIQUITOS,internaciones,ingresos referidos de otros establecim,2008-10-01,2,2
SAN JUAN DE YAPACANI,internaciones,ingresos referidos de otros establecim,2008-10-01,5,5
SAN JULIAN,internaciones,ingresos referidos de otros establecim,2008-10-01,8,8
SAN LUCAS,internaciones,ingresos referidos de otros establecim,2008-10-01,4,4
SAN MATIAS,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
SAN PEDRO DE BUENA VISTA,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
SAN RAMON,internaciones,ingresos referidos de otros establecim,2008-10-01,33,33
SANTA ANA,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
SANTA CRUZ DE LA SIERRA,internaciones,ingresos referidos de otros establecim,2008-10-01,90,90
SANTA ROSA,internaciones,ingresos referidos de otros establecim,2008-10-01,4,4
SOPACHUY,internaciones,ingresos referidos de otros establecim,2008-10-01,2,2
SORATA,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
SUCRE,internaciones,ingresos referidos de otros establecim,2008-10-01,77,77
TARABUCO,internaciones,ingresos referidos de otros establecim,2008-10-01,7,7
TARATA,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
TARIJA,internaciones,ingresos referidos de otros establecim,2008-10-01,138,138
TARVITA,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
TEOPONTE,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
TIRAQUE (CBBA),internaciones,ingresos referidos de otros establecim,2008-10-01,6,6
TRINIDAD,internaciones,ingresos referidos de otros establecim,2008-10-01,4,4
TUPIZA,internaciones,ingresos referidos de otros establecim,2008-10-01,66,66
UNCIA,internaciones,ingresos referidos de otros establecim,2008-10-01,4,4
UYUNI,internaciones,ingresos referidos de otros establecim,2008-10-01,3,3
VALLEGRANDE,internaciones,ingresos referidos de otros establecim,2008-10-01,8,8
VILLA MONTES,internaciones,ingresos referidos de otros establecim,2008-10-01,46,46
VILLA SERRANO,internaciones,ingresos referidos de otros establecim,2008-10-01,2,2
VILLA TUNARI,internaciones,ingresos referidos de otros establecim,2008-10-01,31,31
VILLAZON,internaciones,ingresos referidos de otros establecim,2008-10-01,9,9
YACUIBA,internaciones,ingresos referidos de otros establecim,2008-10-01,9,9
YAMPARAEZ,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
YAPACANI,internaciones,ingresos referidos de otros establecim,2008-10-01,3,3
ZUDAÑEZ,internaciones,ingresos referidos de otros establecim,2008-10-01,1,1
AIQUILE,internaciones,ingresos referidos de otros establecim,2008-11-01,3,3
ALALAY,internaciones,ingresos referidos de otros establecim,2008-11-01,1,1
APOLO,internaciones,ingresos referidos de otros establecim,2008-11-01,2,2
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecim,2008-11-01,16,16
ATOCHA,internaciones,ingresos referidos de otros establecim,2008-11-01,19,19
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecim,2008-11-01,8,8
BATALLAS,internaciones,ingresos referidos de otros establecim,2008-11-01,1,1
BERMEJO,internaciones,ingresos referidos de otros establecim,2008-11-01,6,6
BETANZOS,internaciones,ingresos referidos de otros establecim,2008-11-01,3,3
BOYUIBE,internaciones,ingresos referidos de otros establecim,2008-11-01,1,1
BUENA VISTA,internaciones,ingresos referidos de otros establecim,2008-11-01,5,5
CABEZAS,internaciones,ingresos referidos de otros establecim,2008-11-01,2,2
