municipality,group,variable,month,Total 8.3 Niños (as) de 6 meses a menores de 2 años con dosis completa de hierro,TOTAL
TIAWANACU,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,42,42
TINGUIPAYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,83,83
TIPUANI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,53,53
TIQUIPAYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,199,199
TIRAQUE (CBBA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,116,116
TITO YUPANQUI (PARQUIPUJIO),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,2,2
TOCO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,35,35
TOLATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,14,14
TOLEDO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,9,9
TOMAVE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,58,58
TOMINA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,34,34
TORO TORO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,34,34
TOTORA(CBBA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,64,64
TOTORA(ORR),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,21,21
TRIGAL,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,7,7
TRINIDAD,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,319,319
TUPIZA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,115,115
TURCO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,4,4
UMALA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,22,22
UNCIA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,93,93
URIONDO (A. CONCEPCION),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,46,46
URUBICHA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,22,22
UYUNI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,122,122
VACAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,10,10
VALLEGRANDE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,36,36
VIACHA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,104,104
VILA VILA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,22,22
VILLA CHARCAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,61,61
VILLA MONTES,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,65,65
VILLA NUEVA (LOMA ALTA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,15,15
VILLA RIVERO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,39,39
VILLA SERRANO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,34,34
VILLA TUNARI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,368,368
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,50,50
VILLAZON,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,148,148
VINTO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,165,165
VITICHI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,77,77
WALDO BALLIVIAN,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,9,9
WARNES,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,458,458
YACO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,23,23
YACUIBA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,317,317
YAMPARAEZ,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,19,19
YANACACHI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,18,18
YAPACANI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,215,215
YOCALLA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,30,30
YOTALA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,20,20
YUNCHARA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,20,20
ZUDAÑEZ,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-05-01,22,22
ACACIO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,17,17
ACHACACHI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,85,85
ACHOCALLA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,58,58
AIQUILE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,77,77
ALALAY,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,4,4
ALCALA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,8,8
ALTO BENI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,39,39
ANCORAIMES,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,49,49
ANDAMARCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,12,12
ANTEQUERA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,10,10
ANZALDO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,20,20
APOLO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,31,31
ARAMPAMPA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,16,16
ARANI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,53,53
ARBIETO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,77,77
ARQUE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,41,41
ASCENCION DE GUARAYOS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,60,60
ATOCHA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,42,42
AUCAPATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,7,7
AYATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,28,28
AYO AYO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,33,33
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,94,94
AZURDUY,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,53,53
BATALLAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,48,48
BAURES,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,47,47
BELEN DE ANDAMARCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,5,5
BELEN DE URMIRI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,2,2
BELLA FLOR,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,15,15
BERMEJO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,132,132
BETANZOS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,81,81
BOLIVAR,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,8,8
BOLPEBRA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,7,7
BOYUIBE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,20,20
BUENA VISTA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,58,58
CABEZAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,135,135
CAIROMA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,28,28
"CAIZA ""D""",micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,38,38
CAJUATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,30,30
CALACOTO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,10,10
CALAMARCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,42,42
CAMARGO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,68,68
CAMATAQUI (C. VILLA ABECIA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,4,4
CAMIRI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,84,84
CAPINOTA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,183,183
CAQUIAVIRI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,35,35
CARACOLLO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,79,79
CARANAVI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,165,165
CARAPARI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,71,71
CARIPUYO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,47,47
CARMEN RIVERO TORREZ,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,25,25
CHACARILLA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,1,1
CHALLAPATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,122,122
CHAQUI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,34,34
CHARAGUA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,102,102
CHARAÑA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,6,6
CHAYANTA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,46,46
CHIMORE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,124,124
CHIPAYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,14,14
CHUA COCANI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,9,9
CHULUMANI (V. DE LA LIBERTAD),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,53,53
CHUMA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,19,19
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,25,25
CKOCHAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,42,42
CLIZA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,81,81
COBIJA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,156,156
COCAPATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,79,79
COCHABAMBA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,1426,1426
COIPASA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,2,2
COLCAPIRHUA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,179,179
"COLCHA ""K""",micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,40,40
COLLANA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,7,7
COLOMI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,61,61
COLPA BELGICA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,104,104
COLQUECHACA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,71,71
COLQUENCHA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,34,34
COLQUIRI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,48,48
COMANCHE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,12,12
COMARAPA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,63,63
COMBAYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,19,19
CONCEPCION,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,78,78
COPACABANA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,53,53
CORIPATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,46,46
CORO CORO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,14,14
COROICO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,59,59
CORQUE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,14,14
COTAGAITA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,66,66
COTOCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,220,220
CUATRO CAÑADAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,73,73
CUEVO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,12,12
CULPINA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,49,49
CURAHUARA DE CARANGAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,8,8
CURVA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,13,13
DESAGUADERO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,18,18
EL ALTO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,2242,2242
EL CHORO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,16,16
EL PUENTE(STC),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,20,20
EL PUENTE(TJA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,39,39
EL TORNO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,173,173
EL VILLAR,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,11,11
ENTRE RIOS TRJ,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,74,74
ENTRE RIOS CBBA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,172,172
ESCARA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,3,3
ESCOMA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,18,18
ESMERALDA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,1,1
EUCALIPTUS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,13,13
EUREKA (SANTOS MERCADO),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,5,5
EXALTACION,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,12,12
FERNANDEZ ALONSO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,45,45
FILADELFIA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,17,17
GENERAL SAAVEDRA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,57,57
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,38,38
GUANAY,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,33,33
GUAQUI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,18,18
GUAYARAMERIN,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,170,170
GUTIERREZ,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,41,41
HUACARETA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,28,28
HUACAYA (VILLA DE HUACAYA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,6,6
HUACHACALLA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,1,1
HUANUNI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,99,99
HUARACAJE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,21,21
HUARINA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,16,16
HUATAJATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,6,6
HUAYLLAMARCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,11,11
HUMANATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,19,19
ICHOCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,17,17
ICLA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,19,19
INCAHUASI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,81,81
INGAVI (HUMAITA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,7,7
INQUISIVI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,49,49
IRUPANA (VILLA DE LANZA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,91,91
IXIAMAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,15,15
JESUS DE MACHACA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,35,35
LA ASUNTA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,211,211
LA GUARDIA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,238,238
LA PAZ,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,1809,1809
LAGUNILLAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,19,19
LAJA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,50,50
LAS CARRERAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,10,10
LICOMA PAMPA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,5,5
LLALLAGUA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,169,169
LLICA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,22,22
LORETO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,4,4
LURIBAY,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,26,26
MACHACAMARCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,19,19
MACHARETI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,37,37
MAGDALENA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,50,50
MAIRANA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,51,51
MALLA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,10,10
MAPIRI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,39,39
MECAPACA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,43,43
MINEROS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,80,80
MIZQUE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,115,115
MOCOMOCO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,48,48
MOJINETE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,2,2
MOJOCOYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,16,16
MONTEAGUDO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,79,79
MONTERO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,437,437
MORO MORO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,7,7
MOROCHATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,39,39
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,13,13
NAZACARA DE PACAJES,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,6,6
OCURI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,52,52
OKINAWA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,45,45
OMEREQUE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,19,19
ORURO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,713,713
PADCAYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,60,60
PADILLA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,31,31
PAILON,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,109,109
PALCA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,53,53
PALOS BLANCOS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,80,80
PAMPA AULLAGAS,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,10,10
PAMPA GRANDE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,33,33
PAPEL PAMPA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,8,8
PASORAPA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,20,20
PATACAMAYA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,61,61
PAZÑA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,41,41
PELECHUCO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,47,47
POCOATA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,99,99
POCONA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,17,17
POJO (CBBA),micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,59,59
POOPO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,1,1
PORCO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,96,96
POROMA,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,74,74
PORONGO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,48,48
PORTACHUELO,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,39,39
PORVENIR,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,27,27
POSTRER VALLE,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,5,5
POTOSI,micronutrientes, ninos (as) de 6 meses a menores de 2 anos con dosis completa de hierro,2014-06-01,735,735
