municipality,group,variable,month,Total 8.8 Niños (as) de 1 año a menores de 5 años con 2da dosis vitamina A,TOTAL
CARACOLLO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,71,71
CARANAVI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,243,243
CARAPARI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,85,85
CARIPUYO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,56,56
CARMEN RIVERO TORREZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,4,4
CATACORA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,6,6
CHACARILLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,2,2
CHALLAPATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,97,97
CHAQUI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,27,27
CHARAGUA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,125,125
CHARAÑA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,5,5
CHAYANTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,59,59
CHIMORE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,68,68
CHIPAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,10,10
CHOQUE COTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,3,3
CHUA COCANI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,14,14
CHULUMANI (V. DE LA LIBERTAD),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,27,27
CHUMA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,34,34
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,26,26
CKOCHAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,67,67
CLIZA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,69,69
COBIJA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,274,274
COCAPATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,75,75
COCHABAMBA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,983,983
COIPASA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,2,2
COLCAPIRHUA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,258,258
"COLCHA ""K""",micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,40,40
COLLANA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,10,10
COLOMI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,60,60
COLPA BELGICA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,15,15
COLQUECHACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,114,114
COLQUENCHA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,41,41
COLQUIRI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,61,61
COMANCHE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,2,2
COMARAPA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,52,52
COMBAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,15,15
CONCEPCION,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,58,58
COPACABANA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,64,64
CORIPATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,32,32
CORO CORO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,21,21
COROICO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,34,34
CORQUE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,15,15
COTAGAITA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,115,115
COTOCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,254,254
CUATRO CAÑADAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,74,74
CUCHUMUELA (V. G. VILLARROEL),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,7,7
CUEVO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,19,19
CULPINA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,131,131
CURAHUARA DE CARANGAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,14,14
CURVA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,7,7
DESAGUADERO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,17,17
EL ALTO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,2146,2146
EL CHORO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,23,23
EL PUENTE(STC),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,48,48
EL PUENTE(TJA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,50,50
EL TORNO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,161,161
EL VILLAR,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,27,27
ENTRE RIOS TRJ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,159,159
ENTRE RIOS CBBA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,85,85
ESCARA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,1,1
ESCOMA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,21,21
ESMERALDA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,1,1
EUCALIPTUS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,31,31
EUREKA (SANTOS MERCADO),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,13,13
EXALTACION,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,11,11
FERNANDEZ ALONSO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,42,42
FILADELFIA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,45,45
GENERAL SAAVEDRA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,88,88
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,21,21
GUANAY,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,62,62
GUAQUI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,18,18
GUAYARAMERIN,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,201,201
GUTIERREZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,59,59
HUACARETA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,77,77
HUACAYA (VILLA DE HUACAYA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,21,21
HUACHACALLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,1,1
HUANUNI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,84,84
HUARACAJE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,18,18
HUARINA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,18,18
HUATAJATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,8,8
HUAYLLAMARCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,8,8
HUMANATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,5,5
ICHOCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,5,5
ICLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,51,51
INCAHUASI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,91,91
INGAVI (HUMAITA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,2,2
INQUISIVI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,32,32
IRUPANA (VILLA DE LANZA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,37,37
IXIAMAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,39,39
JESUS DE MACHACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,23,23
LA ASUNTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,145,145
LA GUARDIA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,262,262
LA PAZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,1729,1729
LAGUNILLAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,19,19
LAJA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,82,82
LAS CARRERAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,18,18
LICOMA PAMPA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,8,8
LLALLAGUA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,309,309
LLICA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,1,1
LORETO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,6,6
LURIBAY,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,27,27
MACHACAMARCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,13,13
MACHARETI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,40,40
MAGDALENA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,33,33
MAIRANA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,24,24
MALLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,12,12
MAPIRI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,30,30
MECAPACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,33,33
MINEROS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,79,79
MIZQUE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,122,122
MOCOMOCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,53,53
MOJINETE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,4,4
MOJOCOYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,46,46
MONTEAGUDO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,125,125
MONTERO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,466,466
MORO MORO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,13,13
MOROCHATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,58,58
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,15,15
NAZACARA DE PACAJES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,4,4
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,24,24
OCURI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,54,54
OKINAWA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,58,58
OMEREQUE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,36,36
ORURO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,958,958
PADCAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,117,117
PADILLA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,55,55
PAILON,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,159,159
PALCA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,72,72
PALOS BLANCOS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,97,97
PAMPA AULLAGAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,10,10
PAMPA GRANDE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,20,20
PAPEL PAMPA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,20,20
PASORAPA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,15,15
PATACAMAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,16,16
PAZÑA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,19,19
PELECHUCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,16,16
POCOATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,108,108
POCONA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,39,39
POJO (CBBA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,62,62
POOPO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,25,25
PORCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,29,29
POROMA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,93,93
PORONGO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,56,56
PORTACHUELO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,51,51
PORVENIR,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,39,39
POSTRER VALLE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,13,13
POTOSI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,665,665
PRESTO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,57,57
PUCARA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,10,10
PUCARANI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,69,69
PUERTO ACOSTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,28,28
PUERTO CARABUCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,42,42
PUERTO GONZALO MORENO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,37,37
PUERTO PEREZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,31,31
PUERTO QUIJARRO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,51,51
PUERTO RICO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,34,34
PUERTO SILES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,4,4
PUERTO SUAREZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,16,16
PUERTO VILLARROEL,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,198,198
PUNA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,85,85
PUNATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,94,94
QUIABAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,7,7
QUILLACOLLO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,652,652
QUIME,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,46,46
QUIRUSILLAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,11,11
RAVELO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,100,100
REYES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,61,61
RIBERALTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,469,469
ROBORE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,55,55
RURRENABAQUE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,31,31
SABAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,13,13
SACABA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,368,368
SACABAMBA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,27,27
SACACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,86,86
SAIPINA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,23,23
SALINAS DE GARCI MENDOZA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,43,43
SAMAIPATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,27,27
SAN AGUSTIN,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,3,3
SAN ANDRES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,48,48
SAN ANDRES DE MACHACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,18,18
SAN ANTONIO DE ESMORUCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,8,8
SAN ANTONIO DE LOMERIO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,47,47
SAN BENITO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,30,30
SAN BORJA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,103,103
SAN BUENA VENTURA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,33,33
SAN CARLOS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,66,66
SAN IGNACIO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,77,77
SAN IGNACIO DE VELASCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,156,156
SAN JAVIER(BNI),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,25,25
SAN JAVIER(STC),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,74,74
SAN JOAQUIN,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,29,29
SAN JOSE DE CHIQUITOS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,60,60
SAN JUAN DE YAPACANI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,32,32
SAN JULIAN,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,198,198
SAN LORENZO(PND),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,13,13
SAN LORENZO(TJA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,81,81
SAN LUCAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,252,252
SAN MATIAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,55,55
SAN MIGUEL DE VELASCO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,31,31
SAN PABLO DE LIPEZ,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,5,5
SAN PEDRO,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,76,76
SAN PEDRO DE BUENA VISTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,172,172
SAN PEDRO DE CURAHUARA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,6,6
SAN PEDRO DE TIQUINA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,25,25
SAN PEDRO(PND),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,8,8
SAN RAFAEL,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,28,28
SAN RAMON BENI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,11,11
SANTA ANA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,67,67
SANTA CRUZ DE LA SIERRA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,2276,2276
SANTA ROSA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,21,21
SANTA ROSA DEL SARA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,55,55
SANTIAGO DE CALLAPA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,19,19
SANTIAGO DE HUARI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,17,17
SANTIAGO DE HUATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,15,15
SANTIAGO DE MACHACA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,14,14
SANTIVAÑES,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,23,23
SANTUARIO DE QUILLACAS,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,18,18
SAPAHAQUI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,33,33
SENA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,31,31
SHINAOTA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,61,61
SICA SICA (VILLA AROMA),micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,52,52
SICAYA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,23,23
SIPE SIPE,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,180,180
SOPACHUY,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,30,30
SORACACHI,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,78,78
SORATA,micronutrientes, ninos (as) de 1 ano a menores de 5 anos con 2da dosis vitamina a,2014-07-01,71,71
