municipality,group,variable,month,Total 8.4 Niños (as) de 2 años a menores de 5 años con dosis completa de hierro,TOTAL
COLQUECHACA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,73,73
COLQUENCHA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,31,31
COLQUIRI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,68,68
COMANCHE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,3,3
COMARAPA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,58,58
COMBAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,5,5
CONCEPCION,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,109,109
COPACABANA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,70,70
CORIPATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,43,43
CORO CORO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,10,10
COROICO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,43,43
CORQUE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,33,33
COTAGAITA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,89,89
COTOCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,305,305
CRUZ DE MACHACAMARCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,2,2
CUATRO CAÑADAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,102,102
CUCHUMUELA (V. G. VILLARROEL),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,5,5
CUEVO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,25,25
CULPINA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,86,86
CURAHUARA DE CARANGAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,11,11
CURVA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,8,8
DESAGUADERO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,21,21
EL ALTO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,2594,2594
EL CHORO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,26,26
EL PUENTE(STC),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,49,49
EL PUENTE(TJA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,47,47
EL TORNO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,120,120
EL VILLAR,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,20,20
ENTRE RIOS TRJ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,122,122
ENTRE RIOS CBBA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,127,127
ESCOMA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,42,42
ESMERALDA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,1,1
EUCALIPTUS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,36,36
EUREKA (SANTOS MERCADO),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,23,23
FERNANDEZ ALONSO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,70,70
FILADELFIA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,56,56
GENERAL SAAVEDRA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,65,65
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,43,43
GUANAY,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,59,59
GUAQUI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,18,18
GUAYARAMERIN,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,171,171
GUTIERREZ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,72,72
HUACARETA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,33,33
HUACAYA (VILLA DE HUACAYA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,32,32
HUACHACALLA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,2,2
HUANUNI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,116,116
HUARACAJE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,9,9
HUARINA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,21,21
HUATAJATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,11,11
HUAYLLAMARCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,11,11
HUMANATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,22,22
ICHOCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,15,15
ICLA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,31,31
INCAHUASI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,63,63
INGAVI (HUMAITA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,11,11
INQUISIVI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,53,53
IRUPANA (VILLA DE LANZA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,26,26
IXIAMAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,35,35
JESUS DE MACHACA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,31,31
LA ASUNTA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,148,148
LA GUARDIA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,255,255
LA PAZ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,1736,1736
LAGUNILLAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,26,26
LAJA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,78,78
LAS CARRERAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,14,14
LICOMA PAMPA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,7,7
LLALLAGUA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,270,270
LLICA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,9,9
LORETO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,8,8
LURIBAY,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,25,25
MACHACAMARCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,23,23
MACHARETI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,29,29
MAGDALENA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,66,66
MAIRANA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,12,12
MALLA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,10,10
MAPIRI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,56,56
MECAPACA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,45,45
MINEROS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,122,122
MIZQUE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,112,112
MOCOMOCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,48,48
MOJINETE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,6,6
MOJOCOYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,24,24
MONTEAGUDO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,107,107
MONTERO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,544,544
MORO MORO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,15,15
MOROCHATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,59,59
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,11,11
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,11,11
OCURI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,69,69
OKINAWA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,63,63
OMEREQUE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,34,34
ORURO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,829,829
PADCAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,61,61
PADILLA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,35,35
PAILON,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,186,186
PALCA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,66,66
PALOS BLANCOS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,122,122
PAMPA AULLAGAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,10,10
PAMPA GRANDE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,32,32
PAPEL PAMPA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,26,26
PASORAPA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,30,30
PATACAMAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,36,36
PAZÑA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,21,21
PELECHUCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,22,22
POCOATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,102,102
POCONA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,58,58
POJO (CBBA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,69,69
POOPO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,17,17
PORCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,37,37
POROMA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,91,91
PORONGO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,55,55
PORTACHUELO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,105,105
PORVENIR,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,26,26
POSTRER VALLE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,25,25
POTOSI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,660,660
PRESTO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,51,51
PUCARA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,4,4
PUCARANI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,90,90
PUERTO ACOSTA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,37,37
PUERTO CARABUCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,62,62
PUERTO GONZALO MORENO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,26,26
PUERTO PEREZ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,22,22
PUERTO QUIJARRO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,59,59
PUERTO RICO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,39,39
PUERTO SILES,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,4,4
PUERTO SUAREZ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,46,46
PUERTO VILLARROEL,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,498,498
PUNA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,85,85
PUNATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,120,120
QUIABAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,8,8
QUILLACOLLO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,542,542
QUIME,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,33,33
QUIRUSILLAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,3,3
RAVELO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,112,112
REYES,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,62,62
RIBERALTA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,512,512
ROBORE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,30,30
RURRENABAQUE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,32,32
SABAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,21,21
SACABA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,554,554
SACABAMBA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,24,24
SACACA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,70,70
SAIPINA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,12,12
SALINAS DE GARCI MENDOZA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,40,40
SAMAIPATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,31,31
SAN AGUSTIN,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,2,2
SAN ANDRES,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,45,45
SAN ANDRES DE MACHACA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,22,22
SAN ANTONIO DE ESMORUCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,7,7
SAN ANTONIO DE LOMERIO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,36,36
SAN BENITO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,54,54
SAN BORJA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,162,162
SAN BUENA VENTURA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,49,49
SAN CARLOS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,85,85
SAN IGNACIO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,103,103
SAN IGNACIO DE VELASCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,214,214
SAN JAVIER(BNI),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,25,25
SAN JAVIER(STC),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,127,127
SAN JOAQUIN,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,34,34
SAN JOSE DE CHIQUITOS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,166,166
SAN JUAN DE YAPACANI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,46,46
SAN JULIAN,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,165,165
SAN LORENZO(PND),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,31,31
SAN LORENZO(TJA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,96,96
SAN LUCAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,177,177
SAN MATIAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,38,38
SAN MIGUEL DE VELASCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,72,72
SAN PABLO DE LIPEZ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,6,6
SAN PEDRO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,68,68
SAN PEDRO DE BUENA VISTA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,148,148
SAN PEDRO DE CURAHUARA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,19,19
SAN PEDRO DE QUEMES,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,4,4
SAN PEDRO DE TIQUINA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,26,26
SAN PEDRO(PND),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,16,16
SAN RAFAEL,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,22,22
SAN RAMON BENI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,12,12
SAN RAMON SCZ,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,38,38
SANTA ANA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,56,56
SANTA CRUZ DE LA SIERRA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,2467,2467
SANTA ROSA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,33,33
SANTA ROSA DEL SARA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,73,73
SANTIAGO DE CALLAPA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,25,25
SANTIAGO DE HUARI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,53,53
SANTIAGO DE HUATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,11,11
SANTIAGO DE MACHACA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,10,10
SANTIVAÑES,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,16,16
SANTUARIO DE QUILLACAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,26,26
SAPAHAQUI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,39,39
SENA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,30,30
SHINAOTA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,96,96
SICA SICA (VILLA AROMA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,72,72
SICAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,34,34
SIPE SIPE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,212,212
SOPACHUY,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,35,35
SORACACHI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,68,68
SORATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,98,98
SUCRE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,1207,1207
TACACHI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,5,5
TACACOMA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,33,33
TACOBAMBA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,46,46
TACOPAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,23,23
TAHUA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,6,6
TAPACARI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,82,82
TARABUCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,67,67
TARACO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,12,12
TARATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,55,55
TARIJA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,455,455
TARVITA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,68,68
TEOPONTE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,70,70
TIAWANACU,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,52,52
TINGUIPAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,35,35
TIPUANI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,47,47
TIQUIPAYA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,285,285
TIRAQUE (CBBA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,102,102
TOCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,9,9
TODOS SANTOS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,1,1
TOLATA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,22,22
TOLEDO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,13,13
TOMAVE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,46,46
TOMINA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,34,34
TORO TORO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,59,59
TOTORA(CBBA),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,30,30
TOTORA(ORR),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,35,35
TRIGAL,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,6,6
TRINIDAD,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,267,267
TUPIZA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,192,192
TURCO,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,19,19
UMALA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,41,41
UNCIA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,77,77
URIONDO (A. CONCEPCION),micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,48,48
URUBICHA,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,23,23
UYUNI,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,56,56
VACAS,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,53,53
VALLEGRANDE,micronutrientes, ninos (as) de 2 anos a menores de 5 anos con dosis completa de hierro,2014-07-01,55,55
