municipality,group,variable,month,Total 8.1 Mujeres embarazadas con dosis completa de hierro,TOTAL
CULPINA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,39,39
CURAHUARA DE CARANGAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,6,6
CURVA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,5,5
DESAGUADERO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,15,15
EL ALTO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,1710,1710
EL CHORO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,9,9
EL PUENTE(STC),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,19,19
EL PUENTE(TJA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,17,17
EL TORNO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,277,277
EL VILLAR,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,7,7
ENTRE RIOS TRJ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,44,44
ENTRE RIOS CBBA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,58,58
ESCARA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,2,2
ESCOMA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,19,19
EUCALIPTUS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,9,9
EUREKA (SANTOS MERCADO),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,3,3
EXALTACION,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,8,8
FERNANDEZ ALONSO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,28,28
FILADELFIA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,7,7
GENERAL SAAVEDRA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,42,42
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,21,21
GUANAY,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,54,54
GUAQUI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,10,10
GUAYARAMERIN,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,168,168
GUTIERREZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,32,32
HUACARETA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,19,19
HUACAYA (VILLA DE HUACAYA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,9,9
HUACHACALLA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,1,1
HUANUNI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,76,76
HUARACAJE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,11,11
HUARINA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,9,9
HUATAJATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,5,5
HUAYLLAMARCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,6,6
HUMANATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,3,3
ICHOCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,6,6
ICLA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,12,12
INCAHUASI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,10,10
INGAVI (HUMAITA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,6,6
INQUISIVI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,15,15
IRUPANA (VILLA DE LANZA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,40,40
IXIAMAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,15,15
JESUS DE MACHACA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,31,31
LA ASUNTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,136,136
LA GUARDIA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,285,285
LA PAZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,1832,1832
LA RIVERA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,1,1
LAGUNILLAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,17,17
LAJA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,36,36
LAS CARRERAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,7,7
LICOMA PAMPA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,4,4
LLALLAGUA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,66,66
LLICA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,11,11
LORETO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,7,7
LURIBAY,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,10,10
MACHACAMARCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,8,8
MACHARETI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,15,15
MAGDALENA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,19,19
MAIRANA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,18,18
MALLA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,2,2
MAPIRI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,37,37
MECAPACA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,18,18
MINEROS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,59,59
MIZQUE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,62,62
MOCOMOCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,17,17
MOJINETE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,1,1
MOJOCOYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,10,10
MONTEAGUDO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,46,46
MONTERO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,311,311
MORO MORO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,2,2
MOROCHATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,20,20
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,3,3
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,7,7
OCURI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,21,21
OKINAWA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,41,41
OMEREQUE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,8,8
ORURO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,468,468
PADCAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,29,29
PADILLA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,15,15
PAILON,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,61,61
PALCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,46,46
PALOS BLANCOS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,65,65
PAMPA AULLAGAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,5,5
PAMPA GRANDE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,22,22
PAPEL PAMPA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,11,11
PASORAPA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,5,5
PATACAMAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,51,51
PAZÑA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,9,9
PELECHUCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,7,7
POCOATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,29,29
POCONA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,20,20
POJO (CBBA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,25,25
POOPO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,8,8
PORCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,53,53
POROMA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,31,31
PORONGO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,20,20
PORTACHUELO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,48,48
PORVENIR,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,10,10
POSTRER VALLE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,1,1
POTOSI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,462,462
PRESTO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,13,13
PUCARA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,1,1
PUCARANI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,51,51
PUERTO ACOSTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,15,15
PUERTO CARABUCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,15,15
PUERTO GONZALO MORENO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,16,16
PUERTO PEREZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,11,11
PUERTO QUIJARRO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,58,58
PUERTO RICO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,13,13
PUERTO SUAREZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,43,43
PUERTO VILLARROEL,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,52,52
PUNA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,54,54
PUNATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,60,60
QUIABAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,4,4
QUILLACOLLO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,258,258
QUIME,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,18,18
QUIRUSILLAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,4,4
RAVELO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,16,16
REYES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,26,26
RIBERALTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,296,296
ROBORE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,43,43
RURRENABAQUE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,57,57
SABAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,4,4
SACABA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,280,280
SACABAMBA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,7,7
SACACA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,55,55
SAIPINA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,17,17
SALINAS DE GARCI MENDOZA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,24,24
SAMAIPATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,13,13
SAN AGUSTIN,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,3,3
SAN ANDRES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,21,21
SAN ANDRES DE MACHACA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,8,8
SAN ANTONIO DE ESMORUCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,7,7
SAN ANTONIO DE LOMERIO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,9,9
SAN BENITO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,17,17
SAN BORJA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,111,111
SAN BUENA VENTURA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,31,31
SAN CARLOS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,49,49
SAN IGNACIO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,28,28
SAN IGNACIO DE VELASCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,108,108
SAN JAVIER(BNI),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,6,6
SAN JOAQUIN,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,8,8
SAN JOSE DE CHIQUITOS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,52,52
SAN JUAN DE YAPACANI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,10,10
SAN JULIAN,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,207,207
SAN LORENZO(PND),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,16,16
SAN LORENZO(TJA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,48,48
SAN LUCAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,58,58
SAN MATIAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,38,38
SAN MIGUEL DE VELASCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,27,27
SAN PABLO DE LIPEZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,3,3
SAN PEDRO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,20,20
SAN PEDRO DE BUENA VISTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,89,89
SAN PEDRO DE CURAHUARA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,6,6
SAN PEDRO DE QUEMES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,1,1
SAN PEDRO DE TIQUINA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,4,4
SAN PEDRO(PND),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,3,3
SAN RAFAEL,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,13,13
SAN RAMON BENI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,13,13
SAN RAMON SCZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,35,35
SANTA ANA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,70,70
SANTA CRUZ DE LA SIERRA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,3112,3112
SANTA ROSA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,24,24
SANTA ROSA DEL SARA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,28,28
SANTIAGO DE CALLAPA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,5,5
SANTIAGO DE HUARI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,8,8
SANTIAGO DE HUATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,10,10
SANTIAGO DE MACHACA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,7,7
SANTIVAÑES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,11,11
SANTUARIO DE QUILLACAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,7,7
SAPAHAQUI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,8,8
SENA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,16,16
SHINAOTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,53,53
SICA SICA (VILLA AROMA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,26,26
SICAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,9,9
SIPE SIPE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,104,104
SOPACHUY,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,17,17
SORACACHI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,10,10
SORATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,42,42
SUCRE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,744,744
TACACOMA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,12,12
TACOBAMBA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,12,12
TACOPAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,12,12
TAHUA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,1,1
TAPACARI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,60,60
TARABUCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,25,25
TARACO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,7,7
TARATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,28,28
TARIJA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,355,355
TARVITA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,15,15
TEOPONTE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,29,29
TIAWANACU,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,22,22
TINGUIPAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,27,27
TIPUANI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,27,27
TIQUIPAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,109,109
TIRAQUE (CBBA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,41,41
TOCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,12,12
TOLATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,14,14
TOLEDO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,7,7
TOMAVE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,21,21
TOMINA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,13,13
TORO TORO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,29,29
TOTORA(CBBA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,28,28
TOTORA(ORR),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,10,10
TRIGAL,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,1,1
TRINIDAD,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,553,553
TUPIZA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,59,59
TURCO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,2,2
UMALA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,8,8
UNCIA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,48,48
URIONDO (A. CONCEPCION),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,32,32
URUBICHA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,12,12
UYUNI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,64,64
VACAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,7,7
VALLEGRANDE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,20,20
VIACHA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,130,130
VILA VILA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,9,9
VILLA CHARCAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,22,22
VILLA MONTES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,148,148
VILLA NUEVA (LOMA ALTA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,6,6
VILLA RIVERO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,19,19
VILLA SERRANO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,17,17
VILLA TUNARI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,158,158
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,26,26
VILLAZON,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,94,94
VINTO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,82,82
VITICHI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,15,15
WARNES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,162,162
YACO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,15,15
YACUIBA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,198,198
YAMPARAEZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,16,16
YANACACHI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,8,8
YAPACANI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,154,154
YOCALLA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,17,17
YOTALA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,11,11
YUNCHARA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,15,15
ZUDAÑEZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-07-01,11,11
ACACIO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,10,10
ACHACACHI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,82,82
ACHOCALLA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,49,49
AIQUILE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,34,34
ALALAY,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,5,5
ALCALA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,8,8
ALTO BENI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,16,16
ANCORAIMES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,20,20
ANDAMARCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,5,5
ANTEQUERA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,2,2
ANZALDO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,9,9
APOLO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,42,42
ARAMPAMPA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,11,11
ARANI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,36,36
ARBIETO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,30,30
ARQUE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,23,23
ASCENCION DE GUARAYOS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,49,49
ATOCHA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,24,24
AUCAPATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,5,5
AYATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,16,16
AYO AYO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,42,42
AZURDUY,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,19,19
BATALLAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,27,27
BAURES,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,12,12
BELEN DE ANDAMARCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,3,3
BELEN DE URMIRI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,5,5
BELLA FLOR,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,5,5
BERMEJO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,21,21
BETANZOS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,61,61
BOLIVAR,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,7,7
BOLPEBRA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,1,1
BOYUIBE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,7,7
BUENA VISTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,17,17
CABEZAS,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,55,55
CAIROMA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,34,34
"CAIZA ""D""",micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,15,15
CAJUATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,24,24
CALACOTO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,4,4
CALAMARCA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,22,22
CAMARGO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,27,27
CAMATAQUI (C. VILLA ABECIA),micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,4,4
CAMIRI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,80,80
CAPINOTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,33,33
CAQUIAVIRI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,18,18
CARACOLLO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,30,30
CARANAVI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,130,130
CARAPARI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,18,18
CARIPUYO,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,30,30
CARMEN RIVERO TORREZ,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,15,15
CHACARILLA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,4,4
CHALLAPATA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,44,44
CHAQUI,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,17,17
CHARAGUA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,56,56
CHARAÑA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,5,5
CHAYANTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,28,28
CHIMORE,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,53,53
CHIPAYA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,4,4
CHOQUE COTA,micronutrientes, mujeres embarazadas con dosis completa de hierro,2014-08-01,1,1
