municipality,group,variable,month,Total 8.2 Mujeres puérperas con dosis completa de hierro,TOTAL
SAN IGNACIO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,41,41
SAN IGNACIO DE VELASCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,116,116
SAN JAVIER(BNI),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,3,3
SAN JAVIER(STC),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,31,31
SAN JOAQUIN,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,3,3
SAN JOSE DE CHIQUITOS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,43,43
SAN JUAN DE YAPACANI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,8,8
SAN JULIAN,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,74,74
SAN LORENZO(PND),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,8,8
SAN LORENZO(TJA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,15,15
SAN LUCAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,66,66
SAN MATIAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,21,21
SAN MIGUEL DE VELASCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,13,13
SAN PABLO DE LIPEZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,2,2
SAN PEDRO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,17,17
SAN PEDRO DE BUENA VISTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,41,41
SAN PEDRO DE CURAHUARA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,7,7
SAN PEDRO DE QUEMES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,1,1
SAN PEDRO DE TIQUINA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,5,5
SAN PEDRO(PND),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,2,2
SAN RAFAEL,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,7,7
SAN RAMON BENI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,7,7
SAN RAMON SCZ,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,19,19
SANTA ANA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,1,1
SANTA CRUZ DE LA SIERRA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,1020,1020
SANTA ROSA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,21,21
SANTA ROSA DEL SARA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,18,18
SANTIAGO DE CALLAPA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,2,2
SANTIAGO DE HUARI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,6,6
SANTIAGO DE HUATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,5,5
SANTIAGO DE MACHACA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,2,2
SANTIVAÑES,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,3,3
SANTUARIO DE QUILLACAS,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,4,4
SAPAHAQUI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,5,5
SENA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,17,17
SHINAOTA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,28,28
SICA SICA (VILLA AROMA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,20,20
SICAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,3,3
SIPE SIPE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,44,44
SOPACHUY,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,7,7
SORACACHI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,7,7
SORATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,13,13
SUCRE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,283,283
TACACHI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,1,1
TACACOMA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,6,6
TACOBAMBA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,14,14
TACOPAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,14,14
TAHUA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,2,2
TAPACARI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,36,36
TARABUCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,23,23
TARACO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,4,4
TARATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,15,15
TARIJA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,294,294
TARVITA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,22,22
TEOPONTE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,19,19
TIAWANACU,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,18,18
TINGUIPAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,29,29
TIPUANI,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,12,12
TIQUIPAYA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,99,99
TIRAQUE (CBBA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,22,22
TITO YUPANQUI (PARQUIPUJIO),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,1,1
TOCO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,4,4
TOLATA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,6,6
TOMAVE,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,15,15
TOMINA,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,10,10
TORO TORO,micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,15,15
TOTORA(CBBA),micronutrientes, mujeres puerperas con dosis completa de hierro,2014-01-01,28,28
