municipality,group,variable,month,Total 1310 Días camas disponibles otros servicios,TOTAL
ARAMPAMPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,150,150
ARANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
ARBIETO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,180,180
ARQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,120,120
ASCENCION DE GUARAYOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,988,988
ATOCHA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1320,1320
AYATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,930,930
AZURDUY,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,298,298
BAURES,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
BERMEJO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1369,1369
BETANZOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,240,240
BOLIVAR,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
BOYUIBE,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,330,330
BUENA VISTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,227,227
CABEZAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,300,300
CAIROMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,180,180
"CAIZA ""D""",internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,30,30
CALACOTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
CAMARGO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,780,780
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,90,90
CAMIRI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,2010,2010
CAPINOTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,450,450
CARACOLLO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,150,150
CARANAVI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1050,1050
CARIPUYO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,150,150
CARMEN RIVERO TORREZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,314,314
CHALLAPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,750,750
CHAQUI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,30,30
CHARAGUA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,990,990
CHAYANTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,120,120
CHIMORE,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,120,120
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,690,690
CHUMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,150,150
CKOCHAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,30,30
CLIZA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,390,390
COBIJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,2588,2588
COCAPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,180,180
COCHABAMBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,50310,50310
COLCAPIRHUA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1011,1011
"COLCHA ""K""",internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
COLOMI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,180,180
COLPA BELGICA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,258,258
COLQUECHACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,120,120
COMARAPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,536,536
CORO CORO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,120,120
COROICO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,960,960
CORQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
COTAGAITA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,270,270
COTOCA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,630,630
CUATRO CAÑADAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,540,540
CUEVO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,180,180
CULPINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,480,480
CURAHUARA DE CARANGAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,240,240
EL ALTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,13069,13069
EL PUENTE(STC),internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,180,180
EL PUENTE(TJA),internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,9,9
EL TORNO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,2820,2820
EL VILLAR,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,270,270
ENTRE RIOS CBBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,213,213
ESCOMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,420,420
EUCALIPTUS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,150,150
EXALTACION,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
FERNANDEZ ALONSO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,540,540
FILADELFIA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
GENERAL SAAVEDRA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,240,240
GUAQUI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,6,6
GUAYARAMERIN,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1374,1374
GUTIERREZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,300,300
HUACARETA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,608,608
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,132,132
HUACHACALLA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
HUANUNI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1560,1560
HUARACAJE,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
HUAYLLAMARCA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,90,90
ICHOCA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,30,30
ICLA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,286,286
INCAHUASI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,160,160
INGAVI (HUMAITA),internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,56,56
INQUISIVI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,31,31
IRUPANA (VILLA DE LANZA),internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,360,360
IXIAMAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,180,180
JESUS DE MACHACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,390,390
LA ASUNTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,300,300
LA GUARDIA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1110,1110
LA PAZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,67481,67481
LAGUNILLAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,120,120
LAS CARRERAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,150,150
LICOMA PAMPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
LLALLAGUA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1024,1024
LLICA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
LURIBAY,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
MACHACAMARCA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
MACHARETI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,90,90
MAGDALENA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,271,271
MAIRANA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,150,150
MAPIRI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,120,120
MINEROS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,240,240
MIZQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,960,960
MOJINETE,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,26,26
MOJOCOYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,287,287
MONTEAGUDO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,778,778
MONTERO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,3296,3296
MORO MORO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
MOROCHATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,240,240
OCURI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,360,360
OKINAWA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,210,210
OMEREQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,150,150
ORURO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,13092,13092
PADILLA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,450,450
PAILON,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,441,441
PALOS BLANCOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,270,270
PAMPA AULLAGAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,30,30
PAMPA GRANDE,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,30,30
PASORAPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,90,90
PATACAMAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,180,180
PAZÑA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,30,30
PELECHUCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,120,120
POCOATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,120,120
POCONA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,240,240
POJO (CBBA),internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,180,180
POOPO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,90,90
POROMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,660,660
PORONGO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,300,300
PORTACHUELO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1058,1058
PORVENIR,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,145,145
POTOSI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,11460,11460
PRESTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,181,181
PUCARANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,210,210
PUERTO GONZALO MORENO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,115,115
PUERTO QUIJARRO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,360,360
PUERTO RICO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,359,359
PUERTO SUAREZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,720,720
PUERTO VILLARROEL,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1651,1651
PUNA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
PUNATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1529,1529
QUILLACOLLO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,930,930
QUIME,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,210,210
QUIRUSILLAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
RAVELO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
REYES,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,180,180
RIBERALTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,2430,2430
ROBORE,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1242,1242
RURRENABAQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,630,630
SACABA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1920,1920
SACABAMBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,210,210
SACACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,300,300
SAIPINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,149,149
SALINAS DE GARCI MENDOZA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,210,210
SAMAIPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,90,90
SAN ANTONIO DE LOMERIO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,120,120
SAN BENITO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
SAN BORJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,570,570
SAN BUENA VENTURA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,210,210
SAN CARLOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,900,900
SAN IGNACIO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,720,720
SAN IGNACIO DE VELASCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,2520,2520
SAN JAVIER(BNI),internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,30,30
SAN JAVIER(STC),internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,300,300
SAN JOAQUIN,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,120,120
SAN JOSE DE CHIQUITOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1257,1257
SAN JUAN DE YAPACANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,526,526
SAN JULIAN,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1170,1170
SAN LUCAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,742,742
SAN MATIAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,541,541
SAN MIGUEL DE VELASCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,210,210
SAN PEDRO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,630,630
SAN PEDRO DE BUENA VISTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,150,150
SAN RAFAEL,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,240,240
SAN RAMON BENI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,210,210
SAN RAMON SCZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,300,300
SANTA ANA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,420,420
SANTA CRUZ DE LA SIERRA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,47316,47316
SANTA ROSA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,180,180
SANTA ROSA DEL SARA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,210,210
SANTIAGO DE HUARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,120,120
SANTIAGO DE MACHACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
SANTIVAÑES,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,240,240
SANTUARIO DE QUILLACAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,210,210
SENA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,61,61
SHINAOTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,681,681
SICAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,30,30
SOPACHUY,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1050,1050
SORACACHI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
SORATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,279,279
SUCRE,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,34977,34977
TACACOMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,30,30
TACOPAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,117,117
TAPACARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,272,272
TARABUCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,570,570
TARATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,120,120
TARIJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,14838,14838
TARVITA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,540,540
TIPUANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
TIQUIPAYA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,720,720
TIRAQUE (CBBA),internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,90,90
TOCO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,90,90
TOLATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
TOMINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,450,450
TORO TORO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,270,270
TOTORA(CBBA),internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,660,660
TRIGAL,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,60,60
TRINIDAD,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,6596,6596
TUPIZA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,2520,2520
UNCIA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,90,90
URUBICHA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,120,120
UYUNI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1530,1530
VACAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,150,150
VALLEGRANDE,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,690,690
VIACHA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,870,870
VILA VILA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,120,120
VILLA CHARCAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,57,57
VILLA MONTES,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1080,1080
VILLA RIVERO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,90,90
VILLA SERRANO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,240,240
VILLA TUNARI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1826,1826
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,296,296
VILLAZON,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1200,1200
VINTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,259,259
VITICHI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,90,90
WARNES,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,720,720
YACO,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,120,120
YACUIBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,3150,3150
YAMPARAEZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,180,180
YANACACHI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,90,90
YAPACANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,1165,1165
YOTALA,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,210,210
ZUDAÑEZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-06-01,90,90
ACACIO,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,124,124
ACHACACHI,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,496,496
AIQUILE,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,1612,1612
ALALAY,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,62,62
ALCALA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,62,62
ANCORAIMES,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,124,124
ANTEQUERA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,31,31
ANZALDO,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,403,403
APOLO,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,279,279
ARAMPAMPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,155,155
ARANI,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,62,62
ARBIETO,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,186,186
ARQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,62,62
ASCENCION DE GUARAYOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,1022,1022
ATOCHA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,1302,1302
AUCAPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,31,31
AYATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,31,31
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,868,868
AZURDUY,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,365,365
BAURES,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,62,62
BERMEJO,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,1402,1402
BETANZOS,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,217,217
BOLIVAR,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,31,31
BOYUIBE,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,330,330
BUENA VISTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,108,108
CABEZAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,310,310
CAIROMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,124,124
"CAIZA ""D""",internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,62,62
CAMARGO,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,899,899
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,93,93
CAMIRI,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,1674,1674
CAPINOTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,465,465
CARACOLLO,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,155,155
CARANAVI,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,1085,1085
CARMEN RIVERO TORREZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,349,349
CHALLAPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,775,775
CHAQUI,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,31,31
CHARAGUA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,800,800
CHAYANTA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,120,120
CHIMORE,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,93,93
CKOCHAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,31,31
CLIZA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,402,402
COBIJA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,3223,3223
COCAPATA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,152,152
COCHABAMBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,50995,50995
COLCAPIRHUA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,1016,1016
"COLCHA ""K""",internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,62,62
COLLANA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,30,30
COLOMI,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,186,186
COLPA BELGICA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,263,263
COLQUECHACA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,124,124
COLQUIRI,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,217,217
COMARAPA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,554,554
CONCEPCION,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,403,403
COPACABANA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,248,248
CORO CORO,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,124,124
COROICO,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,992,992
CORQUE,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,62,62
COTAGAITA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,279,279
COTOCA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,713,713
CUATRO CAÑADAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,248,248
CUEVO,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,217,217
CULPINA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,495,495
CURAHUARA DE CARANGAS,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,248,248
DESAGUADERO,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,62,62
EL ALTO,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,13204,13204
EL PUENTE(STC),internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,186,186
EL PUENTE(TJA),internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,90,90
EL TORNO,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,3069,3069
EL VILLAR,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,248,248
ENTRE RIOS TRJ,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,384,384
ENTRE RIOS CBBA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,155,155
ESCOMA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,434,434
EUCALIPTUS,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,155,155
EXALTACION,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,60,60
FERNANDEZ ALONSO,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,558,558
FILADELFIA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,28,28
GENERAL SAAVEDRA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,248,248
GUANAY,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,186,186
GUAYARAMERIN,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,1394,1394
GUTIERREZ,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,640,640
HUACARETA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,607,607
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,152,152
HUACHACALLA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,62,62
HUANUNI,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,1612,1612
HUARACAJE,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,62,62
HUAYLLAMARCA,internaciones dias camas,       dias camas disponibles otros servicios,2014-07-01,124,124
