municipality,group,variable,month,Total 13.8 Días camas ocupadas otros servicios,TOTAL
PUERTO QUIJARRO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,118,118
PUERTO RICO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,40,40
PUERTO SUAREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,386,386
PUERTO VILLARROEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,631,631
PUNATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,797,797
QUILLACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,158,158
QUIME,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,3,3
QUIRUSILLAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,4,4
REYES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,42,42
RIBERALTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,2276,2276
ROBORE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,160,160
RURRENABAQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,459,459
SACABA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,762,762
SACACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,14,14
SAIPINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,5,5
SAMAIPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,17,17
SAN ANDRES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,18,18
SAN ANDRES DE MACHACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,30,30
SAN ANTONIO DE LOMERIO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,9,9
SAN BENITO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,21,21
SAN BORJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,266,266
SAN BUENA VENTURA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,36,36
SAN CARLOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,324,324
SAN IGNACIO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,139,139
SAN IGNACIO DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,978,978
SAN JAVIER(STC),internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,60,60
SAN JOAQUIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,59,59
SAN JOSE DE CHIQUITOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,232,232
SAN JUAN DE YAPACANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,194,194
SAN JULIAN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,344,344
SAN LUCAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,116,116
SAN MATIAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,73,73
SAN MIGUEL DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,38,38
SAN PEDRO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,487,487
SAN PEDRO DE BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,14,14
SAN RAFAEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,73,73
SAN RAMON BENI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,30,30
SAN RAMON SCZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,58,58
SANTA ANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,322,322
SANTA CRUZ DE LA SIERRA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,34027,34027
SANTA ROSA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,72,72
SANTA ROSA DEL SARA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,16,16
SANTIVAÑES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,3,3
SANTUARIO DE QUILLACAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,5,5
SENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,29,29
SHINAOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,143,143
SICAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,30,30
SOPACHUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,38,38
SORACACHI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,2,2
SORATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,34,34
SUCRE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,24882,24882
TACOPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,7,7
TARABUCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,148,148
TARIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,10709,10709
TARVITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,31,31
TIPUANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,40,40
TIQUIPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,223,223
TIRAQUE (CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,18,18
TOLATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,11,11
TOMINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,20,20
TOTORA(CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,48,48
TOTORA(ORR),internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,1,1
TRIGAL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,11,11
TRINIDAD,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,3564,3564
TUPIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,923,923
UNCIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,12,12
URUBICHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,4,4
UYUNI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,374,374
VACAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,3,3
VALLEGRANDE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,290,290
VIACHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,235,235
VILA VILA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,2,2
VILLA CHARCAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,3,3
VILLA MONTES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,535,535
VILLA RIVERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,9,9
VILLA SERRANO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,17,17
VILLA TUNARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,498,498
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,27,27
VILLAZON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,598,598
VINTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,260,260
WARNES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,554,554
YACUIBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,1849,1849
YAMPARAEZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,7,7
YANACACHI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,5,5
YAPACANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,543,543
YOTALA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,24,24
ZUDAÑEZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-06-01,84,84
ACHACACHI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,188,188
AIQUILE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,213,213
ANZALDO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,95,95
APOLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,2,2
ARQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,31,31
ASCENCION DE GUARAYOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,405,405
ATOCHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,409,409
AUCAPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,1,1
AYATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,72,72
AZURDUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,37,37
BAURES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,44,44
BERMEJO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,617,617
BETANZOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,14,14
BOYUIBE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,73,73
BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,64,64
CABEZAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,41,41
CAIROMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,2,2
"CAIZA ""D""",internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,3,3
CAMARGO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,175,175
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,4,4
CAMIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,922,922
CAPINOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,62,62
CARACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,16,16
CARANAVI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,324,324
CARMEN RIVERO TORREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,14,14
CHALLAPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,322,322
CHARAGUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,264,264
CHAYANTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,3,3
CLIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,75,75
COBIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,1934,1934
COCAPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,2,2
COCHABAMBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,31998,31998
COLCAPIRHUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,168,168
"COLCHA ""K""",internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,4,4
COLLANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,10,10
COLOMI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,1,1
COLPA BELGICA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,57,57
COLQUIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,13,13
COMARAPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,173,173
CONCEPCION,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,71,71
COPACABANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,13,13
COROICO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,420,420
CORQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,12,12
COTAGAITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,11,11
COTOCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,173,173
CUATRO CAÑADAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,128,128
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,3,3
CUEVO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,32,32
CULPINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,34,34
EL ALTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,8523,8523
EL PUENTE(STC),internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,45,45
EL TORNO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,953,953
ENTRE RIOS TRJ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,162,162
ENTRE RIOS CBBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,19,19
ESCOMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,5,5
FERNANDEZ ALONSO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,35,35
FILADELFIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,3,3
GENERAL SAAVEDRA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,95,95
GUANAY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,1,1
GUAYARAMERIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,1269,1269
GUTIERREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,72,72
HUACARETA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,115,115
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,1,1
HUACHACALLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,11,11
HUANUNI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,719,719
HUARACAJE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,25,25
HUAYLLAMARCA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,11,11
ICLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,11,11
INCAHUASI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,24,24
INQUISIVI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,1,1
IRUPANA (VILLA DE LANZA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,48,48
IXIAMAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,5,5
JESUS DE MACHACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,16,16
LA ASUNTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,39,39
LA GUARDIA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,101,101
LA PAZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,53453,53453
LAGUNILLAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,13,13
LLALLAGUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,568,568
MACHARETI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,9,9
MAGDALENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,242,242
MAIRANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,78,78
MAPIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,15,15
MINEROS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,54,54
MIZQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,77,77
MOJOCOYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,8,8
MONTEAGUDO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,635,635
MONTERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,455,455
MORO MORO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,2,2
MOROCHATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,3,3
OKINAWA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,217,217
OMEREQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,6,6
ORURO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,7595,7595
PADILLA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,356,356
PAILON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,181,181
PALOS BLANCOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,51,51
PAMPA AULLAGAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,1,1
PAMPA GRANDE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,19,19
PASORAPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,20,20
PATACAMAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,34,34
POCOATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,5,5
POCONA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,2,2
POJO (CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,6,6
PORONGO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,8,8
PORTACHUELO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,586,586
PORVENIR,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,14,14
POTOSI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,8566,8566
PRESTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,37,37
PUERTO GONZALO MORENO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,7,7
PUERTO QUIJARRO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,169,169
PUERTO RICO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,41,41
PUERTO SUAREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,564,564
PUERTO VILLARROEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,570,570
PUNATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,739,739
QUILLACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,264,264
QUIME,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,3,3
QUIRUSILLAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,1,1
REYES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,76,76
RIBERALTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,1854,1854
ROBORE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,237,237
RURRENABAQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,415,415
SACABA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,918,918
SACABAMBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,18,18
SACACA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,1,1
SAIPINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,5,5
SAMAIPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,46,46
SAN ANDRES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,22,22
SAN ANTONIO DE LOMERIO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,1,1
SAN BENITO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,12,12
SAN BORJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,89,89
SAN BUENA VENTURA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,18,18
SAN CARLOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,341,341
SAN IGNACIO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,158,158
SAN IGNACIO DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,1096,1096
SAN JAVIER(STC),internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,90,90
SAN JOAQUIN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,66,66
SAN JOSE DE CHIQUITOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,187,187
SAN JUAN DE YAPACANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,166,166
SAN JULIAN,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,340,340
SAN LUCAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,121,121
SAN MATIAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,133,133
SAN MIGUEL DE VELASCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,41,41
SAN PEDRO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,480,480
SAN PEDRO DE BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,13,13
SAN RAFAEL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,90,90
SAN RAMON BENI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,42,42
SAN RAMON SCZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,39,39
SANTA ANA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,301,301
SANTA CRUZ DE LA SIERRA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,33286,33286
SANTA ROSA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,64,64
SANTA ROSA DEL SARA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,7,7
SANTIAGO DE HUARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,2,2
SANTUARIO DE QUILLACAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,1,1
SENA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,26,26
SHINAOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,230,230
SOPACHUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,41,41
SORATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,16,16
SUCRE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,25256,25256
TACACOMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,1,1
TACOPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,12,12
TARABUCO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,119,119
TARIJA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,10916,10916
TARVITA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,40,40
TIPUANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,36,36
TIQUIPAYA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,247,247
TIRAQUE (CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,5,5
TOLATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,3,3
TOMINA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,4,4
TOTORA(CBBA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,18,18
TRIGAL,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,36,36
TRINIDAD,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,3902,3902
TUPIZA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,1460,1460
URUBICHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,20,20
UYUNI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,412,412
VACAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,6,6
VALLEGRANDE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,300,300
VIACHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,271,271
VILLA MONTES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,556,556
VILLA RIVERO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,10,10
VILLA SERRANO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,69,69
VILLA TUNARI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,568,568
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,17,17
VILLAZON,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,600,600
VINTO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,237,237
WARNES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,482,482
YACUIBA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,1808,1808
YAMPARAEZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,4,4
YAPACANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,954,954
YOTALA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,47,47
ZUDAÑEZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-07-01,30,30
ACHACACHI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,83,83
AIQUILE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,195,195
ANTEQUERA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,2,2
ANZALDO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,107,107
APOLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,17,17
ARAMPAMPA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,1,1
ARANI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,1,1
ARQUE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,31,31
ASCENCION DE GUARAYOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,405,405
ATOCHA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,422,422
AYATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,63,63
AZURDUY,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,20,20
BAURES,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,73,73
BERMEJO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,768,768
BETANZOS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,21,21
BOYUIBE,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,66,66
BUENA VISTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,85,85
CABEZAS,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,43,43
CAIROMA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,2,2
"CAIZA ""D""",internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,7,7
CAMARGO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,315,315
CAMIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,1054,1054
CAPINOTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,47,47
CAQUIAVIRI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,1,1
CARACOLLO,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,57,57
CARANAVI,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,470,470
CARMEN RIVERO TORREZ,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,34,34
CHALLAPATA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,265,265
CHARAGUA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,326,326
CHAYANTA,internaciones dias camas,      dias camas ocupadas otros servicios,2014-08-01,6,6
