municipality,group,variable,month,l 13.9 Días camas disponibles maternidad,TOTAL
PALOS BLANCOS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,434,434
PAMPA AULLAGAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,31,31
PAMPA GRANDE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,31,31
PAPEL PAMPA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,31,31
PASORAPA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,186,186
PATACAMAYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,310,310
PAZÑA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,61,61
POCOATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,93,93
POCONA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,527,527
POJO (CBBA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,248,248
POOPO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,93,93
POROMA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,557,557
PORONGO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,341,341
PORTACHUELO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,620,620
PORVENIR,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,93,93
POSTRER VALLE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,62,62
POTOSI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,2170,2170
PRESTO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,242,242
PUCARA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,31,31
PUCARANI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,186,186
PUERTO ACOSTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,31,31
PUERTO CARABUCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,124,124
PUERTO GONZALO MORENO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,61,61
PUERTO RICO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,137,137
PUERTO SILES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,28,28
PUERTO SUAREZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,341,341
PUERTO VILLARROEL,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,1271,1271
PUNA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,124,124
PUNATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,712,712
QUIABAYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,31,31
QUILLACOLLO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,434,434
QUIME,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,124,124
QUIRUSILLAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,31,31
RAVELO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,62,62
REYES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,93,93
RIBERALTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,837,837
ROBORE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,337,337
RURRENABAQUE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,124,124
SABAYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,61,61
SACABA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,1395,1395
SACABAMBA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,92,92
SACACA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,93,93
SAIPINA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,153,153
SALINAS DE GARCI MENDOZA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,155,155
SAMAIPATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,155,155
SAN ANDRES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,2,2
SAN ANDRES DE MACHACA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,31,31
SAN ANTONIO DE LOMERIO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,93,93
SAN BENITO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,186,186
SAN BORJA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,432,432
SAN BUENA VENTURA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,121,121
SAN CARLOS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,403,403
SAN IGNACIO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,403,403
SAN IGNACIO DE VELASCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,1395,1395
SAN JAVIER(STC),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,124,124
SAN JOAQUIN,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,120,120
SAN JOSE DE CHIQUITOS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,992,992
SAN JUAN DE YAPACANI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,194,194
SAN JULIAN,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,589,589
SAN LORENZO(PND),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,86,86
SAN LUCAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,615,615
SAN MATIAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,217,217
SAN MIGUEL DE VELASCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,155,155
SAN PEDRO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,365,365
SAN PEDRO DE BUENA VISTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,31,31
SAN PEDRO DE CURAHUARA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,31,31
SAN RAFAEL,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,124,124
SAN RAMON BENI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,93,93
SAN RAMON SCZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,744,744
SANTA ANA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,246,246
SANTA CRUZ DE LA SIERRA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,15035,15035
SANTA ROSA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,93,93
SANTA ROSA DEL SARA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,372,372
SANTIAGO DE CALLAPA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,31,31
SANTIAGO DE HUARI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,186,186
SANTIVAÑES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,217,217
SANTUARIO DE QUILLACAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,31,31
SENA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,85,85
SHINAOTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,432,432
SICA SICA (VILLA AROMA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,217,217
SICAYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,124,124
SIPE SIPE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,587,587
SOPACHUY,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,160,160
SORACACHI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,92,92
SORATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,155,155
SUCRE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,4524,4524
TACACHI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,62,62
TACACOMA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,61,61
TACOPAYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,279,279
TAPACARI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,396,396
TARABUCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,245,245
TARACO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,31,31
TARATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,248,248
TARIJA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,1364,1364
TARVITA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,651,651
TEOPONTE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,123,123
TIAWANACU,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,62,62
TINGUIPAYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,31,31
TIPUANI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,186,186
TIQUIPAYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,558,558
TIRAQUE (CBBA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,558,558
TITO YUPANQUI (PARQUIPUJIO),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,31,31
TOCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,155,155
TOLATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,62,62
TOLEDO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,124,124
TOMAVE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,62,62
TOMINA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,620,620
TORO TORO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,31,31
TOTORA(CBBA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,372,372
TOTORA(ORR),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,62,62
TRIGAL,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,31,31
TRINIDAD,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,1612,1612
TUPIZA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,465,465
TURCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,124,124
UMALA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,62,62
UNCIA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,155,155
URUBICHA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,62,62
UYUNI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,433,433
VACAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,248,248
VALLEGRANDE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,217,217
VIACHA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,736,736
VILA VILA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,155,155
VILLA CHARCAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,166,166
VILLA MONTES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,248,248
VILLA RIVERO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,93,93
VILLA SERRANO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,465,465
VILLA TUNARI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,1426,1426
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,217,217
VILLAZON,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,403,403
VINTO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,244,244
VITICHI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,62,62
WARNES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,1328,1328
YACO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,124,124
YACUIBA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,496,496
YAMPARAEZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,152,152
YANACACHI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,124,124
YAPACANI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,667,667
YOTALA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,93,93
ZUDAÑEZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-07-01,124,124
ACACIO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,31,31
ACHACACHI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,217,217
ACHOCALLA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,31,31
AIQUILE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,527,527
ALALAY,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,248,248
ALCALA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,124,124
ALTO BENI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,124,124
ANCORAIMES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,93,93
ANDAMARCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,92,92
ANTEQUERA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,31,31
ANZALDO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
APOLO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,124,124
ARAMPAMPA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,31,31
ARANI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,187,187
ARBIETO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,186,186
ARQUE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,248,248
ASCENCION DE GUARAYOS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,271,271
ATOCHA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,465,465
AYO AYO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,124,124
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,1240,1240
AZURDUY,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,209,209
BATALLAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
BAURES,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,31,31
BERMEJO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,403,403
BETANZOS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,248,248
BOLIVAR,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,186,186
BOYUIBE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,124,124
BUENA VISTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,186,186
CABEZAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,124,124
CAIROMA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,124,124
"CAIZA ""D""",internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,31,31
CAJUATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,186,186
CALAMARCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,155,155
CAMARGO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,461,461
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,93,93
CAMIRI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,589,589
CAPINOTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,217,217
CARACOLLO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,124,124
CARANAVI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,341,341
CARAPARI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,60,60
CARIPUYO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,31,31
CARMEN RIVERO TORREZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,137,137
CHALLAPATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,310,310
CHAQUI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,31,31
CHARAGUA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,276,276
CHAYANTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
CHIMORE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,310,310
CHOQUE COTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,248,248
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,15,15
CKOCHAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
CLIZA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,217,217
COBIJA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,815,815
COCAPATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,464,464
COCHABAMBA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,11840,11840
COIPASA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
COLCAPIRHUA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,491,491
"COLCHA ""K""",internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,31,31
COLOMI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,403,403
COLPA BELGICA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
COLQUECHACA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,124,124
COLQUENCHA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
COLQUIRI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,31,31
COMARAPA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,280,280
CONCEPCION,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,155,155
COPACABANA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,93,93
CORIPATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,31,31
CORO CORO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,186,186
COROICO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,248,248
CORQUE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
COTAGAITA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,93,93
COTOCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,713,713
CUATRO CAÑADAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,463,463
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,59,59
CUEVO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
CULPINA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,417,417
CURAHUARA DE CARANGAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,155,155
DESAGUADERO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
EL ALTO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,5797,5797
EL CHORO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
EL PUENTE(STC),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,186,186
EL TORNO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,589,589
EL VILLAR,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,217,217
ENTRE RIOS TRJ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,180,180
ENTRE RIOS CBBA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,434,434
ESCOMA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,124,124
EUCALIPTUS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
EXALTACION,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,31,31
FERNANDEZ ALONSO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,304,304
FILADELFIA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,29,29
GENERAL SAAVEDRA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,124,124
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
GUANAY,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,217,217
GUAQUI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,31,31
GUAYARAMERIN,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,622,622
GUTIERREZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,155,155
HUACARETA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,396,396
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,121,121
HUACHACALLA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,89,89
HUANUNI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,434,434
HUARINA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,31,31
HUMANATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
ICHOCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
ICLA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,178,178
INCAHUASI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,299,299
INQUISIVI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,124,124
IXIAMAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,93,93
JESUS DE MACHACA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,92,92
LA ASUNTA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,337,337
LA GUARDIA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,744,744
LA PAZ,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,13421,13421
LAGUNILLAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
LAJA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,155,155
LAS CARRERAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,217,217
LICOMA PAMPA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,31,31
LLALLAGUA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,372,372
LLICA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
LURIBAY,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,186,186
MACHACAMARCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
MACHARETI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,217,217
MAGDALENA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,124,124
MAIRANA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,93,93
MALLA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
MAPIRI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,124,124
MECAPACA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,31,31
MINEROS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,155,155
MIZQUE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,837,837
MOCOMOCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,31,31
MOJOCOYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,239,239
MONTEAGUDO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,650,650
MONTERO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,1209,1209
MORO MORO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,93,93
MOROCHATA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,310,310
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,58,58
OCURI,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,93,93
OKINAWA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,242,242
OMEREQUE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,279,279
ORURO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,3783,3783
PADILLA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,341,341
PAILON,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,320,320
PALCA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
PALOS BLANCOS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,434,434
PAMPA AULLAGAS,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,31,31
PAMPA GRANDE,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,62,62
PAPEL PAMPA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,93,93
PASORAPA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,155,155
PATACAMAYA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,310,310
PAZÑA,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,89,89
PELECHUCO,internaciones dias camas,l 13.9       dias camas disponibles maternidad,2012-08-01,124,124
