municipality,group,variable,month,l 13.7 Días camas ocupadas maternidad,TOTAL
TOMAVE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,8,8
TOMINA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,19,19
TORO TORO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,7,7
TOTORA(CBBA),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,31,31
TOTORA(ORR),internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,4,4
TRINIDAD,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,1053,1053
TUPIZA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,156,156
TURCO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,4,4
UMALA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,5,5
UNCIA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,40,40
URUBICHA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,9,9
UYUNI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,174,174
VACAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,15,15
VALLEGRANDE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,93,93
VIACHA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,99,99
VILA VILA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,3,3
VILLA CHARCAS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,42,42
VILLA MONTES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,210,210
VILLA RIVERO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,2,2
VILLA SERRANO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,18,18
VILLA TUNARI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,568,568
VILLAZON,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,162,162
VINTO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,99,99
VITICHI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,7,7
WARNES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,249,249
YACO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,2,2
YACUIBA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,355,355
YAMPARAEZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,15,15
YANACACHI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,5,5
YAPACANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,123,123
YOCALLA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,4,4
YOTALA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,26,26
ZUDAÑEZ,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-01-01,28,28
ACHACACHI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-02-01,36,36
ACHOCALLA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-02-01,9,9
AIQUILE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-02-01,67,67
ALALAY,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-02-01,2,2
ALCALA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-02-01,6,6
ALTO BENI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-02-01,2,2
ANCORAIMES,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-02-01,5,5
ANTEQUERA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-02-01,1,1
ANZALDO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-02-01,4,4
APOLO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-02-01,24,24
ARANI,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-02-01,9,9
ARBIETO,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-02-01,9,9
ARQUE,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-02-01,2,2
ASCENCION DE GUARAYOS,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-02-01,169,169
ATOCHA,internaciones dias camas,l 13.7       dias camas ocupadas maternidad,2012-02-01,37,37
