municipality,group,variable,month,l 13.8 Días camas ocupadas otros servicios,TOTAL
SAN CARLOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,1443,1443
SAN IGNACIO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,235,235
SAN IGNACIO DE VELASCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,1098,1098
SAN JAVIER(STC),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,53,53
SAN JOAQUIN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,118,118
SAN JOSE DE CHIQUITOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,226,226
SAN JUAN DE YAPACANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,239,239
SAN JULIAN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,529,529
SAN LORENZO(PND),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,14,14
SAN LUCAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,127,127
SAN MATIAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,66,66
SAN MIGUEL DE VELASCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,42,42
SAN PEDRO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,1152,1152
SAN PEDRO DE BUENA VISTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,13,13
SAN PEDRO DE CURAHUARA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,30,30
SAN RAFAEL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,45,45
SAN RAMON BENI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,63,63
SAN RAMON SCZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,44,44
SANTA ANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,229,229
SANTA CRUZ DE LA SIERRA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,37067,37067
SANTA ROSA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,110,110
SANTA ROSA DEL SARA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,14,14
SANTIAGO DE HUARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,5,5
SENA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,2,2
SHINAOTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,314,314
SOPACHUY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,94,94
SORATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,25,25
SUCRE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,25260,25260
TACOPAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,7,7
TAPACARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,3,3
TARABUCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,102,102
TARIJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,10396,10396
TARVITA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,170,170
TEOPONTE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,6,6
TIPUANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,104,104
TIQUIPAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,272,272
TIRAQUE (CBBA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,2,2
TOLATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,23,23
TOMAVE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,15,15
TOMINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,5,5
TORO TORO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,3,3
TOTORA(CBBA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,55,55
TRIGAL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,8,8
TRINIDAD,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,2815,2815
TUPIZA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,572,572
UNCIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,17,17
URUBICHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,17,17
UYUNI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,413,413
VACAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,1,1
VALLEGRANDE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,443,443
VIACHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,250,250
VILA VILA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,6,6
VILLA CHARCAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,1,1
VILLA MONTES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,475,475
VILLA RIVERO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,12,12
VILLA SERRANO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,11,11
VILLA TUNARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,927,927
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,9,9
VILLAZON,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,812,812
VINTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,98,98
VITICHI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,12,12
WARNES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,410,410
YACUIBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,1736,1736
YAMPARAEZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,27,27
YANACACHI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,9,9
YAPACANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,528,528
YOTALA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,30,30
ZUDAÑEZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-06-01,34,34
ACHACACHI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,61,61
AIQUILE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,417,417
ALCALA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,3,3
ANZALDO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,2,2
APOLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,54,54
ARAMPAMPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,1,1
ASCENCION DE GUARAYOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,470,470
ATOCHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,463,463
AYATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,85,85
AZURDUY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,40,40
BAURES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,32,32
BERMEJO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,621,621
BETANZOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,46,46
BOYUIBE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,81,81
BUENA VISTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,46,46
CABEZAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,48,48
CAMARGO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,481,481
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,27,27
CAMIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,1331,1331
CAPINOTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,63,63
CARACOLLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,24,24
CARANAVI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,571,571
CARAPARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,6,6
CARIPUYO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,7,7
CARMEN RIVERO TORREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,18,18
CHALLAPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,279,279
CHARAGUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,198,198
CHAYANTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,3,3
CHIMORE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,8,8
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,275,275
CHUMA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,2,2
CLIZA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,31,31
COBIJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,1641,1641
COCHABAMBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,34208,34208
COLCAPIRHUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,261,261
COLOMI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,2,2
COLPA BELGICA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,64,64
COLQUECHACA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,3,3
COLQUIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,9,9
COMARAPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,249,249
CONCEPCION,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,98,98
CORIPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,10,10
CORO CORO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,5,5
COROICO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,335,335
COTAGAITA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,7,7
COTOCA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,223,223
CUATRO CAÑADAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,126,126
CUEVO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,11,11
CULPINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,93,93
EL ALTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,7913,7913
EL CHORO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,62,62
EL PUENTE(STC),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,25,25
EL TORNO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,905,905
EL VILLAR,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,3,3
ENTRE RIOS TRJ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,95,95
ENTRE RIOS CBBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,22,22
ESCOMA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,52,52
EUCALIPTUS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,3,3
EXALTACION,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,3,3
FERNANDEZ ALONSO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,171,171
FILADELFIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,10,10
GENERAL SAAVEDRA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,32,32
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,1,1
GUANAY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,13,13
GUAYARAMERIN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,969,969
GUTIERREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,84,84
HUACARETA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,70,70
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,11,11
HUANUNI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,369,369
HUARACAJE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,33,33
ICHOCA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,3,3
ICLA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,8,8
INCAHUASI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,15,15
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,65,65
IXIAMAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,19,19
JESUS DE MACHACA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,24,24
LA ASUNTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,42,42
LA GUARDIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,186,186
LA PAZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,49104,49104
LAGUNILLAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,9,9
LLALLAGUA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,471,471
LURIBAY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,6,6
MACHARETI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,21,21
MAGDALENA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,188,188
MAIRANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,93,93
MAPIRI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,40,40
MINEROS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,51,51
MIZQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,41,41
MOJOCOYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,16,16
MONTEAGUDO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,489,489
MONTERO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,1939,1939
MORO MORO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,6,6
MOROCHATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,4,4
OCURI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,9,9
OKINAWA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,115,115
OMEREQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,12,12
ORURO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,4193,4193
PADILLA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,274,274
PAILON,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,56,56
PALOS BLANCOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,168,168
PASORAPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,3,3
PATACAMAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,66,66
POCOATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,7,7
POJO (CBBA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,2,2
POOPO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,2,2
POROMA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,5,5
PORTACHUELO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,599,599
PORVENIR,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,5,5
POSTRER VALLE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,2,2
POTOSI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,7770,7770
PRESTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,21,21
PUCARANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,40,40
PUERTO GONZALO MORENO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,8,8
PUERTO QUIJARRO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,95,95
PUERTO RICO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,100,100
PUERTO SILES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,1,1
PUERTO SUAREZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,302,302
PUERTO VILLARROEL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,287,287
PUNA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,21,21
PUNATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,740,740
QUIABAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,2,2
QUILLACOLLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,119,119
QUIME,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,8,8
REYES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,23,23
RIBERALTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,2982,2982
ROBORE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,208,208
RURRENABAQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,340,340
SACABA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,895,895
SACABAMBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,12,12
SACACA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,9,9
SAIPINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,24,24
SAMAIPATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,74,74
SAN ANTONIO DE LOMERIO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,18,18
SAN BENITO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,3,3
SAN BORJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,194,194
SAN BUENA VENTURA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,73,73
SAN CARLOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,1461,1461
SAN IGNACIO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,216,216
SAN IGNACIO DE VELASCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,972,972
SAN JAVIER(STC),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,92,92
SAN JOAQUIN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,71,71
SAN JOSE DE CHIQUITOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,265,265
SAN JUAN DE YAPACANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,261,261
SAN JULIAN,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,420,420
SAN LORENZO(PND),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,5,5
SAN LUCAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,84,84
SAN MATIAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,32,32
SAN MIGUEL DE VELASCO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,18,18
SAN PEDRO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,1046,1046
SAN PEDRO DE BUENA VISTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,42,42
SAN RAFAEL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,59,59
SAN RAMON BENI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,74,74
SAN RAMON SCZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,41,41
SANTA ANA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,310,310
SANTA CRUZ DE LA SIERRA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,33619,33619
SANTA ROSA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,98,98
SANTA ROSA DEL SARA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,28,28
SENA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,4,4
SHINAOTA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,137,137
SOPACHUY,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,85,85
SORATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,35,35
SUCRE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,25587,25587
TACOPAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,13,13
TAPACARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,33,33
TARIJA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,10413,10413
TARVITA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,55,55
TEOPONTE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,2,2
TIAWANACU,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,1,1
TIPUANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,110,110
TIQUIPAYA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,213,213
TOLATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,17,17
TOMAVE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,12,12
TOMINA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,12,12
TORO TORO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,5,5
TOTORA(CBBA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,69,69
TRIGAL,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,24,24
TRINIDAD,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,3427,3427
TUPIZA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,733,733
UNCIA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,27,27
URUBICHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,9,9
UYUNI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,355,355
VACAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,5,5
VALLEGRANDE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,367,367
VIACHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,226,226
VILLA CHARCAS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,5,5
VILLA MONTES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,528,528
VILLA RIVERO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,4,4
VILLA SERRANO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,2,2
VILLA TUNARI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,768,768
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,24,24
VILLAZON,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,640,640
VINTO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,233,233
VITICHI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,7,7
WARNES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,455,455
YACUIBA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,1697,1697
YAMPARAEZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,17,17
YAPACANI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,480,480
YOTALA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,10,10
ZUDAÑEZ,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-07-01,26,26
ACHACACHI,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-08-01,66,66
AIQUILE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-08-01,216,216
ANCORAIMES,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-08-01,2,2
ANZALDO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-08-01,1,1
APOLO,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-08-01,74,74
ARAMPAMPA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-08-01,1,1
ARQUE,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-08-01,4,4
ASCENCION DE GUARAYOS,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-08-01,399,399
ATOCHA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-08-01,310,310
AYATA,internaciones dias camas,l 13.8       dias camas ocupadas otros servicios,2012-08-01,1,1
