municipality,group,variable,month,l 1310 Días camas disponibles otros servicios,TOTAL
COCAPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,371,371
COCHABAMBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,52326,52326
COLCAPIRHUA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,1110,1110
COLOMI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,217,217
COLPA BELGICA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,259,259
COLQUECHACA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,124,124
COLQUIRI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,247,247
COMARAPA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,743,743
CONCEPCION,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,420,420
COPACABANA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,217,217
CORIPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,31,31
CORO CORO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,186,186
COROICO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,992,992
CORQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
COTAGAITA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,279,279
COTOCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,682,682
CUATRO CAÑADAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,584,584
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,31,31
CUEVO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,186,186
CULPINA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,370,370
CURAHUARA DE CARANGAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,279,279
EL ALTO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,11935,11935
EL PUENTE(STC),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,154,154
EL PUENTE(TJA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,60,60
EL TORNO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,2697,2697
EL VILLAR,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,217,217
ENTRE RIOS TRJ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,448,448
ENTRE RIOS CBBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,310,310
ESCOMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,744,744
EUCALIPTUS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,155,155
EXALTACION,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
FERNANDEZ ALONSO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,527,527
FILADELFIA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,21,21
GENERAL SAAVEDRA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,248,248
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
GUANAY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,124,124
GUAYARAMERIN,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,1242,1242
GUTIERREZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,651,651
HUACARETA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,496,496
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,120,120
HUACHACALLA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
HUANUNI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,1426,1426
HUARACAJE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,31,31
HUAYLLAMARCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
HUMANATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
ICHOCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,31,31
ICLA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,216,216
INCAHUASI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,270,270
IRUPANA (VILLA DE LANZA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,372,372
IXIAMAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,217,217
JESUS DE MACHACA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,434,434
LA ASUNTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,403,403
LA GUARDIA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,1147,1147
LA PAZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,69121,69121
LAGUNILLAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,124,124
LAS CARRERAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,185,185
LLALLAGUA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,1023,1023
LLICA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
LURIBAY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,124,124
MACHACAMARCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
MACHARETI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,433,433
MAGDALENA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,248,248
MAIRANA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
MAPIRI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,124,124
MINEROS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,310,310
MIZQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,899,899
MOCOMOCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
MOJOCOYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,325,325
MONTEAGUDO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,1488,1488
MONTERO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,2852,2852
MORO MORO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,93,93
MOROCHATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,217,217
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,60,60
OCURI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,124,124
OKINAWA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,420,420
OMEREQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,155,155
ORURO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,11237,11237
PADILLA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,496,496
PAILON,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,345,345
PALOS BLANCOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,434,434
PASORAPA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,93,93
PATACAMAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,403,403
PAZÑA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
POCOATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,124,124
POCONA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,248,248
POJO (CBBA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,186,186
POOPO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,93,93
POROMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,556,556
PORONGO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,341,341
PORTACHUELO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,1178,1178
PORVENIR,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,124,124
POSTRER VALLE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
POTOSI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,11346,11346
PRESTO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,258,258
PUCARA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
PUCARANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,124,124
PUERTO CARABUCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
PUERTO GONZALO MORENO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,53,53
PUERTO RICO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,240,240
PUERTO SILES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,30,30
PUERTO SUAREZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,1257,1257
PUERTO VILLARROEL,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,1178,1178
PUNA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,124,124
PUNATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,1580,1580
QUIABAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,31,31
QUILLACOLLO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,713,713
QUIME,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,186,186
QUIRUSILLAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,31,31
RAVELO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
REYES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,186,186
RIBERALTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,3007,3007
ROBORE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,1417,1417
RURRENABAQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,403,403
SABAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,124,124
SACABA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,2139,2139
SACABAMBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,216,216
SACACA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,310,310
SAIPINA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,133,133
SALINAS DE GARCI MENDOZA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
SAMAIPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,93,93
SAN ANTONIO DE LOMERIO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,124,124
SAN BENITO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,124,124
SAN BORJA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,554,554
SAN BUENA VENTURA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,211,211
SAN CARLOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,2604,2604
SAN IGNACIO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,682,682
SAN IGNACIO DE VELASCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,2945,2945
SAN JAVIER(STC),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,310,310
SAN JOAQUIN,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,120,120
SAN JOSE DE CHIQUITOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,1240,1240
SAN JUAN DE YAPACANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,489,489
SAN JULIAN,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,1302,1302
SAN LORENZO(PND),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,98,98
SAN LUCAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,709,709
SAN MATIAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,620,620
SAN MIGUEL DE VELASCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,217,217
SAN PEDRO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,577,577
SAN PEDRO DE BUENA VISTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,155,155
SAN RAFAEL,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,248,248
SAN RAMON BENI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,124,124
SAN RAMON SCZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,1271,1271
SANTA ANA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,434,434
SANTA CRUZ DE LA SIERRA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,45253,45253
SANTA ROSA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,186,186
SANTA ROSA DEL SARA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,186,186
SANTIAGO DE HUARI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,124,124
SANTIVAÑES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,279,279
SENA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,89,89
SHINAOTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,682,682
SOPACHUY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,409,409
SORATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,620,620
SUCRE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,35884,35884
TACACOMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,92,92
TACOPAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,155,155
TAPACARI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,244,244
TARATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,155,155
TARIJA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,13552,13552
TARVITA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,651,651
TEOPONTE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
TINGUIPAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,31,31
TIPUANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,186,186
TIQUIPAYA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,744,744
TIRAQUE (CBBA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,93,93
TOCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,93,93
TOLATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
TOMAVE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,186,186
TOMINA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,621,621
TORO TORO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,31,31
TOTORA(CBBA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,651,651
TRIGAL,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
TRINIDAD,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,6777,6777
TUPIZA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,3565,3565
TURCO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,155,155
UNCIA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,93,93
URUBICHA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,186,186
UYUNI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,1267,1267
VACAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,155,155
VALLEGRANDE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,713,713
VIACHA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,1141,1141
VILA VILA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,93,93
VILLA CHARCAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,58,58
VILLA MONTES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,1240,1240
VILLA RIVERO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,93,93
VILLA SERRANO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,279,279
VILLA TUNARI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,2201,2201
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,275,275
VILLAZON,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,1271,1271
VINTO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,264,264
VITICHI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,62,62
WARNES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,775,775
YACO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,124,124
YACUIBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,2387,2387
YAMPARAEZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,341,341
YANACACHI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,93,93
YAPACANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,1264,1264
YOTALA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,217,217
ZUDAÑEZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-07-01,93,93
ACACIO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,155,155
ACHACACHI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,310,310
AIQUILE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,1457,1457
ALALAY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,155,155
ALCALA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,62,62
ANCORAIMES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,124,124
ANTEQUERA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,31,31
ANZALDO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,62,62
APOLO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,279,279
ARAMPAMPA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,155,155
ARANI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,42,42
ARBIETO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,93,93
ARQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,155,155
ASCENCION DE GUARAYOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,1025,1025
ATOCHA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,1457,1457
AYATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,62,62
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,868,868
AZURDUY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,247,247
BATALLAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,186,186
BAURES,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,31,31
BERMEJO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,1134,1134
BETANZOS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,248,248
BOLIVAR,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,124,124
BOYUIBE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,341,341
BUENA VISTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,366,366
CABEZAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,310,310
CAIROMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,124,124
"CAIZA ""D""",internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,31,31
CAMARGO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,1207,1207
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,93,93
CAMIRI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,2232,2232
CAPINOTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,372,372
CARACOLLO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,217,217
CARANAVI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,1085,1085
CARAPARI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,70,70
CARIPUYO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,155,155
CARMEN RIVERO TORREZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,350,350
CHALLAPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,589,589
CHAQUI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,31,31
CHARAGUA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,862,862
CHAYANTA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,124,124
CHIMORE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,186,186
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,806,806
CKOCHAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,62,62
CLIZA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,279,279
COBIJA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,2055,2055
COCAPATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,309,309
COCHABAMBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,52690,52690
COLCAPIRHUA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,1121,1121
COLOMI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,217,217
COLPA BELGICA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,155,155
COLQUECHACA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,124,124
COLQUIRI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,90,90
COMARAPA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,745,745
CONCEPCION,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,434,434
COPACABANA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,248,248
CORO CORO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,186,186
COROICO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,992,992
CORQUE,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,62,62
COTAGAITA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,279,279
COTOCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,682,682
CUATRO CAÑADAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,556,556
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,60,60
CUEVO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,186,186
CULPINA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,495,495
CURAHUARA DE CARANGAS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,279,279
DESAGUADERO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,62,62
EL ALTO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,11904,11904
EL PUENTE(STC),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,186,186
EL TORNO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,2945,2945
EL VILLAR,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,217,217
ENTRE RIOS TRJ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,496,496
ENTRE RIOS CBBA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,310,310
ESCOMA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,527,527
EUCALIPTUS,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,155,155
EXALTACION,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,62,62
FERNANDEZ ALONSO,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,520,520
FILADELFIA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,29,29
GENERAL SAAVEDRA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,248,248
GRAL. J.J. PEREZ (CHARAZANI),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,62,62
GUANAY,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,124,124
GUAYARAMERIN,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,1264,1264
GUTIERREZ,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,651,651
HUACARETA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,492,492
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,153,153
HUACHACALLA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,55,55
HUANUNI,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,1426,1426
HUMANATA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,62,62
ICHOCA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,31,31
ICLA,internaciones dias camas,l 1310        dias camas disponibles otros servicios,2012-08-01,155,155
