,group,variable,month,TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES
PUERTO RICO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,10,0,10
PUERTO SILES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,1,0,1
PUERTO SUAREZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,30,0,30
PUERTO VILLARROEL,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,77,0,77
PUNA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,16,1,17
PUNATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,28,0,28
QUIABAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,3,0,3
QUILLACOLLO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,280,15,295
QUIME,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,15,0,15
QUIRUSILLAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,3,0,3
RAVELO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,23,8,31
REYES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,18,18,36
RIBERALTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,184,15,199
ROBORE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,20,0,20
RURRENABAQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,22,0,22
SACABA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,221,0,221
SACABAMBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,4,0,4
SACACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,14,2,16
SAIPINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,8,0,8
SALINAS DE GARCI MENDOZA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,7,5,12
SAMAIPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,16,0,16
SAN AGUSTIN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,1,0,1
SAN ANDRES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,7,1,8
SAN ANTONIO DE ESMORUCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,1,0,1
SAN ANTONIO DE LOMERIO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,3,1,4
SAN BENITO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,13,0,13
SAN BORJA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,59,2,61
SAN BUENA VENTURA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,17,1,18
SAN CARLOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,38,0,38
SAN IGNACIO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,47,1,48
SAN IGNACIO DE VELASCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,55,5,60
SAN JAVIER(BNI),consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,3,1,4
SAN JAVIER(STC),consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,21,0,21
SAN JOAQUIN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,3,2,5
SAN JOSE DE CHIQUITOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,72,0,72
SAN JUAN DE YAPACANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,13,0,13
SAN JULIAN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,41,3,44
SAN LORENZO(PND),consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,2,5,7
SAN LORENZO(TJA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,19,3,22
SAN LUCAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,34,20,54
SAN MATIAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,24,0,24
SAN MIGUEL DE VELASCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,20,4,24
SAN PABLO DE LIPEZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,4,0,4
SAN PEDRO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,23,0,23
SAN PEDRO DE BUENA VISTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,13,12,25
SAN PEDRO DE CURAHUARA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,2,0,2
SAN PEDRO DE QUEMES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,2,0,2
SAN PEDRO DE TIQUINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,2,0,2
SAN PEDRO(PND),consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,0,2,2
SAN RAFAEL,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,11,0,11
SAN RAMON BENI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,11,0,11
SAN RAMON SCZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,15,0,15
SANTA ANA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,61,0,61
SANTA CRUZ DE LA SIERRA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,2165,11,2176
SANTA ROSA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,13,0,13
SANTA ROSA DEL SARA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,23,0,23
SANTIAGO DE CALLAPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,1,3,4
SANTIAGO DE HUARI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,17,0,17
SANTIAGO DE HUATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,5,0,5
SANTIAGO DE MACHACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,3,0,3
SANTIVAÑES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,7,0,7
SANTUARIO DE QUILLACAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,2,2,4
SAPAHAQUI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,6,0,6
SENA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,5,0,5
SHINAOTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,7,0,7
SICA SICA (VILLA AROMA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,15,0,15
SICAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,5,0,5
SIPE SIPE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,85,0,85
SOPACHUY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,9,2,11
SORACACHI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,7,1,8
SORATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,4,4,8
SUCRE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,647,2,649
TACACHI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,1,0,1
TACACOMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,11,0,11
TACOBAMBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,7,5,12
TACOPAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,5,0,5
TAHUA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,3,1,4
TAPACARI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,19,5,24
TARABUCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,22,5,27
TARACO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,4,0,4
TARATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,6,2,8
TARIJA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,363,5,368
TARVITA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,7,3,10
TEOPONTE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,3,2,5
TIAWANACU,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,17,0,17
TINGUIPAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,19,8,27
TIPUANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,12,0,12
TIQUIPAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,78,4,82
TIRAQUE (CBBA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,21,1,22
TOCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,3,0,3
TOLATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,18,0,18
TOLEDO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,0,1,1
TOMAVE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,7,3,10
TOMINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,21,2,23
TORO TORO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,9,1,10
TOTORA(CBBA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,15,1,16
TOTORA(ORR),consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,4,1,5
TRIGAL,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,1,0,1
TRINIDAD,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,279,0,279
TUPIZA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,69,0,69
TURCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,2,0,2
UMALA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,6,4,10
UNCIA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,22,4,26
URIONDO (A. CONCEPCION),consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,16,0,16
URUBICHA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,9,0,9
UYUNI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,52,3,55
VACAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,8,0,8
VALLEGRANDE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,24,0,24
VIACHA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,86,1,87
VILA VILA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,4,0,4
VILLA CHARCAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,24,9,33
VILLA MONTES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,63,3,66
VILLA NUEVA (LOMA ALTA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,2,1,3
VILLA RIVERO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,12,0,12
VILLA SERRANO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,15,3,18
VILLA TUNARI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,113,0,113
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,12,0,12
VILLAZON,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,68,1,69
VINTO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,85,0,85
VITICHI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,8,0,8
WALDO BALLIVIAN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,3,0,3
WARNES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,130,0,130
YACO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,3,2,5
YACUIBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,122,0,122
YAMPARAEZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,7,4,11
YANACACHI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,8,0,8
YAPACANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,95,0,95
YOCALLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,9,0,9
YOTALA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,10,2,12
YUNCHARA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,4,8,12
ZUDAÑEZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-06-01,7,4,11
ACACIO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,2,1,3
ACHACACHI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,93,2,95
ACHOCALLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,13,1,14
AIQUILE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,34,1,35
ALALAY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,2,1,3
ALCALA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,8,0,8
ALTO BENI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,11,0,11
ANCORAIMES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,18,1,19
ANDAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,4,0,4
ANTEQUERA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,0,2,2
APOLO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,29,1,30
ARAMPAMPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,4,6,10
ARANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,19,1,20
ARBIETO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,27,0,27
ARQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,10,0,10
ASCENCION DE GUARAYOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,63,0,63
ATOCHA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,11,0,11
AUCAPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,4,4,8
AYATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,4,0,4
AYO AYO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,56,2,58
AZURDUY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,13,8,21
BATALLAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,13,1,14
BAURES,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,5,1,6
BELEN DE ANDAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,1,0,1
BELLA FLOR,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,2,0,2
BERMEJO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,53,3,56
BETANZOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,32,8,40
BOLIVAR,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,3,0,3
BOYUIBE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,9,2,11
BUENA VISTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,13,0,13
CABEZAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,30,0,30
CAIROMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,7,1,8
"CAIZA ""D""",consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,5,1,6
CAJUATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,8,0,8
CALACOTO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,4,2,6
CALAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,5,0,5
CAMARGO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,21,2,23
CAMATAQUI (C. VILLA ABECIA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,2,0,2
CAMIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,40,0,40
CAPINOTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,15,0,15
CAQUIAVIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,5,0,5
CARACOLLO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,28,0,28
CARANAVI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,197,7,204
CARAPARI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,16,1,17
CARIPUYO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,5,5,10
CARMEN RIVERO TORREZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,3,0,3
CATACORA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,1,1,2
CHACARILLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,0,1,1
CHALLAPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,35,2,37
CHAQUI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,1,1,2
CHARAGUA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,31,1,32
CHAYANTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,11,7,18
CHIMORE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,16,1,17
CHIPAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,2,0,2
CHUA COCANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,48,0,48
CHUMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,5,1,6
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,15,0,15
CKOCHAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,13,1,14
CLIZA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,15,0,15
COBIJA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,131,0,131
COCAPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,7,10,17
COCHABAMBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,1263,0,1263
COLCAPIRHUA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,85,0,85
"COLCHA ""K""",consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,17,0,17
COLOMI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,26,2,28
COLPA BELGICA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,10,0,10
COLQUECHACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,21,13,34
COLQUENCHA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,10,0,10
COLQUIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,13,3,16
COMANCHE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,3,0,3
COMARAPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,28,0,28
COMBAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,1,0,1
CONCEPCION,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,40,2,42
COPACABANA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,16,1,17
CORIPATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,14,0,14
CORO CORO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,2,0,2
COROICO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,21,1,22
CORQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,4,2,6
COTAGAITA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,18,4,22
COTOCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,119,0,119
CUATRO CAÑADAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,17,0,17
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,0,1,1
CUEVO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,4,0,4
CULPINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,21,3,24
CURAHUARA DE CARANGAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,7,0,7
CURVA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,4,0,4
DESAGUADERO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,9,0,9
EL ALTO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,1121,80,1201
EL CHORO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,4,2,6
EL PUENTE(STC),consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,10,0,10
EL PUENTE(TJA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,14,5,19
EL TORNO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,157,1,158
EL VILLAR,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,1,1,2
ENTRE RIOS TRJ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,36,3,39
ENTRE RIOS CBBA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,78,0,78
ESCARA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,1,0,1
ESCOMA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,5,0,5
EUCALIPTUS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,11,0,11
EUREKA (SANTOS MERCADO),consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,1,2,3
EXALTACION,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,4,0,4
FERNANDEZ ALONSO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,24,0,24
FILADELFIA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,6,0,6
GENERAL SAAVEDRA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,19,0,19
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,3,1,4
GUANAY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,24,0,24
GUAQUI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,6,1,7
GUAYARAMERIN,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,101,0,101
GUTIERREZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,20,1,21
HUACARETA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,16,1,17
HUACAYA (VILLA DE HUACAYA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,7,1,8
HUACHACALLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,1,0,1
HUANUNI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,49,0,49
HUARACAJE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,8,0,8
HUARINA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,8,0,8
HUATAJATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,1,0,1
ICHOCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,3,0,3
ICLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,5,4,9
INCAHUASI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,15,7,22
INGAVI (HUMAITA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,1,0,1
INQUISIVI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,4,0,4
IRUPANA (VILLA DE LANZA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,30,0,30
IXIAMAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,14,1,15
JESUS DE MACHACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,14,2,16
LA ASUNTA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,78,0,78
LA GUARDIA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,143,0,143
LA PAZ,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,1032,0,1032
LAGUNILLAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,2,0,2
LAJA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,12,1,13
LAS CARRERAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,8,0,8
LICOMA PAMPA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,0,3,3
LLALLAGUA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,56,0,56
LLICA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,4,0,4
LURIBAY,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,8,0,8
MACHACAMARCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,5,0,5
MACHARETI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,12,0,12
MAGDALENA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,19,0,19
MAIRANA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,16,0,16
MAPIRI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,33,0,33
MECAPACA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,8,1,9
MINEROS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,24,0,24
MIZQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,37,0,37
MOCOMOCO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,10,3,13
MOJINETE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,1,0,1
MOJOCOYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,8,2,10
MONTEAGUDO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,46,1,47
MONTERO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,163,0,163
MOROCHATA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,1,3,4
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,6,0,6
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,2,0,2
OCURI,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,16,9,25
OKINAWA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,19,0,19
OMEREQUE,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,10,0,10
ORURO,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,419,0,419
PADCAYA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,27,2,29
PADILLA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,23,1,24
PAILON,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,14,0,14
PALCA,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,15,0,15
PALOS BLANCOS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,46,0,46
PAMPA AULLAGAS,consultas prenatales, mujeres con 4ta consulta prenatal,2014-07-01,6,0,6
