,group,variable,month,FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
LA PAZ,internaciones,fallecidos a partir de las 48 horas,2011-07-01,62,57,62,57,119
LAGUNILLAS,internaciones,fallecidos a partir de las 48 horas,2011-07-01,1,0,1,0,1
LLALLAGUA,internaciones,fallecidos a partir de las 48 horas,2011-07-01,0,1,0,1,1
MAIRANA,internaciones,fallecidos a partir de las 48 horas,2011-07-01,0,1,0,1,1
ORURO,internaciones,fallecidos a partir de las 48 horas,2011-07-01,40,5,40,5,45
PORTACHUELO,internaciones,fallecidos a partir de las 48 horas,2011-07-01,2,0,2,0,2
POTOSI,internaciones,fallecidos a partir de las 48 horas,2011-07-01,10,9,10,9,19
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 horas,2011-07-01,1,0,1,0,1
PUNATA,internaciones,fallecidos a partir de las 48 horas,2011-07-01,2,1,2,1,3
RIBERALTA,internaciones,fallecidos a partir de las 48 horas,2011-07-01,3,0,3,0,3
ROBORE,internaciones,fallecidos a partir de las 48 horas,2011-07-01,1,0,1,0,1
RURRENABAQUE,internaciones,fallecidos a partir de las 48 horas,2011-07-01,1,0,1,0,1
SAN CARLOS,internaciones,fallecidos a partir de las 48 horas,2011-07-01,0,1,0,1,1
SAN IGNACIO,internaciones,fallecidos a partir de las 48 horas,2011-07-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 horas,2011-07-01,0,2,0,2,2
SAN JOSE DE CHIQUITOS,internaciones,fallecidos a partir de las 48 horas,2011-07-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 horas,2011-07-01,88,64,88,64,152
SANTA ROSA,internaciones,fallecidos a partir de las 48 horas,2011-07-01,1,0,1,0,1
SUCRE,internaciones,fallecidos a partir de las 48 horas,2011-07-01,18,23,18,23,41
TARIJA,internaciones,fallecidos a partir de las 48 horas,2011-07-01,29,22,29,22,51
TORO TORO,internaciones,fallecidos a partir de las 48 horas,2011-07-01,1,0,1,0,1
TRINIDAD,internaciones,fallecidos a partir de las 48 horas,2011-07-01,9,7,9,7,16
TUPIZA,internaciones,fallecidos a partir de las 48 horas,2011-07-01,1,1,1,1,2
UYUNI,internaciones,fallecidos a partir de las 48 horas,2011-07-01,0,1,0,1,1
VALLEGRANDE,internaciones,fallecidos a partir de las 48 horas,2011-07-01,2,0,2,0,2
VILLA MONTES,internaciones,fallecidos a partir de las 48 horas,2011-07-01,1,0,1,0,1
VILLAZON,internaciones,fallecidos a partir de las 48 horas,2011-07-01,2,0,2,0,2
VINTO,internaciones,fallecidos a partir de las 48 horas,2011-07-01,0,1,0,1,1
WARNES,internaciones,fallecidos a partir de las 48 horas,2011-07-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos a partir de las 48 horas,2011-07-01,1,1,1,1,2
ATOCHA,internaciones,fallecidos a partir de las 48 horas,2011-08-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos a partir de las 48 horas,2011-08-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos a partir de las 48 horas,2011-08-01,1,0,1,0,1
CHALLAPATA,internaciones,fallecidos a partir de las 48 horas,2011-08-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 horas,2011-08-01,1,0,1,0,1
COBIJA,internaciones,fallecidos a partir de las 48 horas,2011-08-01,3,2,3,2,5
COCHABAMBA,internaciones,fallecidos a partir de las 48 horas,2011-08-01,53,43,53,43,96
