municipality,group,variable,month,Total Viviendas Roceadas,TOTAL
SANTIVAÑES,chagas viviendas,total viviendas roceadas,2015-08-01,58,58
SICAYA,chagas viviendas,total viviendas roceadas,2015-08-01,10,10
SIPE SIPE,chagas viviendas,total viviendas roceadas,2015-08-01,44,44
SOPACHUY,chagas viviendas,total viviendas roceadas,2015-08-01,2,2
TACACHI,chagas viviendas,total viviendas roceadas,2015-08-01,3,3
TAPACARI,chagas viviendas,total viviendas roceadas,2015-08-01,8,8
TARATA,chagas viviendas,total viviendas roceadas,2015-08-01,2,2
TARIJA,chagas viviendas,total viviendas roceadas,2015-08-01,1,1
TARVITA,chagas viviendas,total viviendas roceadas,2015-08-01,34,34
TOMINA,chagas viviendas,total viviendas roceadas,2015-08-01,20,20
TORO TORO,chagas viviendas,total viviendas roceadas,2015-08-01,27,27
URIONDO (A. CONCEPCION),chagas viviendas,total viviendas roceadas,2015-08-01,20,20
VALLEGRANDE,chagas viviendas,total viviendas roceadas,2015-08-01,3,3
VILLA CHARCAS,chagas viviendas,total viviendas roceadas,2015-08-01,17,17
VILLA MONTES,chagas viviendas,total viviendas roceadas,2015-08-01,6,6
VILLA SERRANO,chagas viviendas,total viviendas roceadas,2015-08-01,6,6
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,total viviendas roceadas,2015-08-01,2,2
VILLAZON,chagas viviendas,total viviendas roceadas,2015-08-01,1,1
YACUIBA,chagas viviendas,total viviendas roceadas,2015-08-01,115,115
YOTALA,chagas viviendas,total viviendas roceadas,2015-08-01,24,24
ZUDAÑEZ,chagas viviendas,total viviendas roceadas,2015-08-01,14,14
AIQUILE,chagas viviendas,total viviendas roceadas,2015-09-01,325,325
ANZALDO,chagas viviendas,total viviendas roceadas,2015-09-01,14,14
ARBIETO,chagas viviendas,total viviendas roceadas,2015-09-01,5,5
