municipality,group,variable,month,Total Viviendas Evaluadas,TOTAL
VITICHI,chagas viviendas,total viviendas evaluadas,2015-11-01,190,190
YACUIBA,chagas viviendas,total viviendas evaluadas,2015-11-01,383,383
YOTALA,chagas viviendas,total viviendas evaluadas,2015-11-01,870,870
ZUDAÑEZ,chagas viviendas,total viviendas evaluadas,2015-11-01,450,450
ACACIO,chagas viviendas,total viviendas evaluadas,2015-12-01,176,176
AIQUILE,chagas viviendas,total viviendas evaluadas,2015-12-01,637,637
ALCALA,chagas viviendas,total viviendas evaluadas,2015-12-01,170,170
ANZALDO,chagas viviendas,total viviendas evaluadas,2015-12-01,88,88
ARAMPAMPA,chagas viviendas,total viviendas evaluadas,2015-12-01,132,132
ARANI,chagas viviendas,total viviendas evaluadas,2015-12-01,626,626
ARBIETO,chagas viviendas,total viviendas evaluadas,2015-12-01,4,4
ARQUE,chagas viviendas,total viviendas evaluadas,2015-12-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,total viviendas evaluadas,2015-12-01,143,143
BETANZOS,chagas viviendas,total viviendas evaluadas,2015-12-01,188,188
CAMARGO,chagas viviendas,total viviendas evaluadas,2015-12-01,399,399
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,total viviendas evaluadas,2015-12-01,141,141
CAPINOTA,chagas viviendas,total viviendas evaluadas,2015-12-01,244,244
CKOCHAS,chagas viviendas,total viviendas evaluadas,2015-12-01,74,74
CLIZA,chagas viviendas,total viviendas evaluadas,2015-12-01,394,394
COCHABAMBA,chagas viviendas,total viviendas evaluadas,2015-12-01,843,843
COLQUECHACA,chagas viviendas,total viviendas evaluadas,2015-12-01,70,70
CUATRO CAÑADAS,chagas viviendas,total viviendas evaluadas,2015-12-01,16,16
EL PUENTE(TJA),chagas viviendas,total viviendas evaluadas,2015-12-01,242,242
EL TORNO,chagas viviendas,total viviendas evaluadas,2015-12-01,267,267
EL VILLAR,chagas viviendas,total viviendas evaluadas,2015-12-01,240,240
HUACARETA,chagas viviendas,total viviendas evaluadas,2015-12-01,279,279
ICLA,chagas viviendas,total viviendas evaluadas,2015-12-01,65,65
LURIBAY,chagas viviendas,total viviendas evaluadas,2015-12-01,226,226
MACHARETI,chagas viviendas,total viviendas evaluadas,2015-12-01,183,183
MOJOCOYA,chagas viviendas,total viviendas evaluadas,2015-12-01,292,292
MONTERO,chagas viviendas,total viviendas evaluadas,2015-12-01,0,0
OCURI,chagas viviendas,total viviendas evaluadas,2015-12-01,342,342
OMEREQUE,chagas viviendas,total viviendas evaluadas,2015-12-01,359,359
PADCAYA,chagas viviendas,total viviendas evaluadas,2015-12-01,247,247
PADILLA,chagas viviendas,total viviendas evaluadas,2015-12-01,469,469
PASORAPA,chagas viviendas,total viviendas evaluadas,2015-12-01,104,104
POCONA,chagas viviendas,total viviendas evaluadas,2015-12-01,107,107
POJO (CBBA),chagas viviendas,total viviendas evaluadas,2015-12-01,406,406
POROMA,chagas viviendas,total viviendas evaluadas,2015-12-01,650,650
PRESTO,chagas viviendas,total viviendas evaluadas,2015-12-01,349,349
PUCARA,chagas viviendas,total viviendas evaluadas,2015-12-01,29,29
RAVELO,chagas viviendas,total viviendas evaluadas,2015-12-01,437,437
SACABA,chagas viviendas,total viviendas evaluadas,2015-12-01,403,403
SAIPINA,chagas viviendas,total viviendas evaluadas,2015-12-01,33,33
SAN BENITO,chagas viviendas,total viviendas evaluadas,2015-12-01,235,235
SAN LORENZO(TJA),chagas viviendas,total viviendas evaluadas,2015-12-01,74,74
SAN LUCAS,chagas viviendas,total viviendas evaluadas,2015-12-01,441,441
SAN PEDRO DE BUENA VISTA,chagas viviendas,total viviendas evaluadas,2015-12-01,550,550
SAPAHAQUI,chagas viviendas,total viviendas evaluadas,2015-12-01,769,769
SICAYA,chagas viviendas,total viviendas evaluadas,2015-12-01,155,155
SIPE SIPE,chagas viviendas,total viviendas evaluadas,2015-12-01,714,714
SOPACHUY,chagas viviendas,total viviendas evaluadas,2015-12-01,223,223
SUCRE,chagas viviendas,total viviendas evaluadas,2015-12-01,206,206
TACACHI,chagas viviendas,total viviendas evaluadas,2015-12-01,140,140
TACOPAYA,chagas viviendas,total viviendas evaluadas,2015-12-01,248,248
TAPACARI,chagas viviendas,total viviendas evaluadas,2015-12-01,150,150
TARABUCO,chagas viviendas,total viviendas evaluadas,2015-12-01,205,205
TARATA,chagas viviendas,total viviendas evaluadas,2015-12-01,204,204
TARIJA,chagas viviendas,total viviendas evaluadas,2015-12-01,2,2
TARVITA,chagas viviendas,total viviendas evaluadas,2015-12-01,470,470
TIQUIPAYA,chagas viviendas,total viviendas evaluadas,2015-12-01,330,330
TOCO,chagas viviendas,total viviendas evaluadas,2015-12-01,193,193
TOLATA,chagas viviendas,total viviendas evaluadas,2015-12-01,224,224
TOMAVE,chagas viviendas,total viviendas evaluadas,2015-12-01,39,39
TORO TORO,chagas viviendas,total viviendas evaluadas,2015-12-01,91,91
TOTORA(CBBA),chagas viviendas,total viviendas evaluadas,2015-12-01,160,160
TUPIZA,chagas viviendas,total viviendas evaluadas,2015-12-01,54,54
VALLEGRANDE,chagas viviendas,total viviendas evaluadas,2015-12-01,76,76
VILLA MONTES,chagas viviendas,total viviendas evaluadas,2015-12-01,86,86
VILLA RIVERO,chagas viviendas,total viviendas evaluadas,2015-12-01,305,305
VILLA SERRANO,chagas viviendas,total viviendas evaluadas,2015-12-01,935,935
VINTO,chagas viviendas,total viviendas evaluadas,2015-12-01,285,285
YACUIBA,chagas viviendas,total viviendas evaluadas,2015-12-01,1,1
YOTALA,chagas viviendas,total viviendas evaluadas,2015-12-01,223,223
ZUDAÑEZ,chagas viviendas,total viviendas evaluadas,2015-12-01,485,485
