municipality,group,variable,month,6. Viviendas Evaluadas,TOTAL
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2024-11-01,230,230
CUEVO,chagas viviendas,viviendas evaluadas,2024-11-01,96,96
CULPINA,chagas viviendas,viviendas evaluadas,2024-11-01,67,67
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2024-11-01,92,92
EL VILLAR,chagas viviendas,viviendas evaluadas,2024-11-01,10,10
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas evaluadas,2024-11-01,80,80
HUACARETA,chagas viviendas,viviendas evaluadas,2024-11-01,93,93
ICLA,chagas viviendas,viviendas evaluadas,2024-11-01,79,79
LAGUNILLAS,chagas viviendas,viviendas evaluadas,2024-11-01,228,228
LAS CARRERAS,chagas viviendas,viviendas evaluadas,2024-11-01,54,54
LURIBAY,chagas viviendas,viviendas evaluadas,2024-11-01,556,556
MACHARETI,chagas viviendas,viviendas evaluadas,2024-11-01,19,19
MONTEAGUDO,chagas viviendas,viviendas evaluadas,2024-11-01,104,104
OCURI,chagas viviendas,viviendas evaluadas,2024-11-01,77,77
OMEREQUE,chagas viviendas,viviendas evaluadas,2024-11-01,170,170
PADILLA,chagas viviendas,viviendas evaluadas,2024-11-01,223,223
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2024-11-01,57,57
PASORAPA,chagas viviendas,viviendas evaluadas,2024-11-01,75,75
POCONA,chagas viviendas,viviendas evaluadas,2024-11-01,257,257
POJO (CBBA),chagas viviendas,viviendas evaluadas,2024-11-01,352,352
POROMA,chagas viviendas,viviendas evaluadas,2024-11-01,363,363
PRESTO,chagas viviendas,viviendas evaluadas,2024-11-01,80,80
PUCARA,chagas viviendas,viviendas evaluadas,2024-11-01,18,18
PUNA,chagas viviendas,viviendas evaluadas,2024-11-01,265,265
PUNATA,chagas viviendas,viviendas evaluadas,2024-11-01,342,342
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2024-11-01,755,755
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2024-11-01,65,65
RAVELO,chagas viviendas,viviendas evaluadas,2024-11-01,199,199
SACABA,chagas viviendas,viviendas evaluadas,2024-11-01,1443,1443
SAMAIPATA,chagas viviendas,viviendas evaluadas,2024-11-01,71,71
SAN BENITO,chagas viviendas,viviendas evaluadas,2024-11-01,320,320
SAN LUCAS,chagas viviendas,viviendas evaluadas,2024-11-01,218,218
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas evaluadas,2024-11-01,362,362
SANTA CRUZ DE LA SIERRA,chagas viviendas,viviendas evaluadas,2024-11-01,2,2
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2024-11-01,101,101
SAPAHAQUI,chagas viviendas,viviendas evaluadas,2024-11-01,549,549
SICAYA,chagas viviendas,viviendas evaluadas,2024-11-01,48,48
SIPE SIPE,chagas viviendas,viviendas evaluadas,2024-11-01,405,405
SOPACHUY,chagas viviendas,viviendas evaluadas,2024-11-01,39,39
SUCRE,chagas viviendas,viviendas evaluadas,2024-11-01,385,385
TACACHI,chagas viviendas,viviendas evaluadas,2024-11-01,100,100
TACOBAMBA,chagas viviendas,viviendas evaluadas,2024-11-01,82,82
TACOPAYA,chagas viviendas,viviendas evaluadas,2024-11-01,276,276
TAPACARI,chagas viviendas,viviendas evaluadas,2024-11-01,213,213
TARATA,chagas viviendas,viviendas evaluadas,2024-11-01,74,74
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2024-11-01,256,256
TOCO,chagas viviendas,viviendas evaluadas,2024-11-01,206,206
TOLATA,chagas viviendas,viviendas evaluadas,2024-11-01,112,112
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2024-11-01,274,274
TUPIZA,chagas viviendas,viviendas evaluadas,2024-11-01,906,906
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2024-11-01,215,215
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2024-11-01,171,171
VILA VILA,chagas viviendas,viviendas evaluadas,2024-11-01,124,124
VILLA MONTES,chagas viviendas,viviendas evaluadas,2024-11-01,59,59
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2024-11-01,44,44
VILLA SERRANO,chagas viviendas,viviendas evaluadas,2024-11-01,223,223
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,viviendas evaluadas,2024-11-01,28,28
VILLAZON,chagas viviendas,viviendas evaluadas,2024-11-01,122,122
VINTO,chagas viviendas,viviendas evaluadas,2024-11-01,342,342
VITICHI,chagas viviendas,viviendas evaluadas,2024-11-01,214,214
YAMPARAEZ,chagas viviendas,viviendas evaluadas,2024-11-01,155,155
YOTALA,chagas viviendas,viviendas evaluadas,2024-11-01,75,75
YUNCHARA,chagas viviendas,viviendas evaluadas,2024-11-01,118,118
ZUDAÑEZ,chagas viviendas,viviendas evaluadas,2024-11-01,49,49
ACACIO,chagas viviendas,viviendas evaluadas,2024-12-01,281,281
AIQUILE,chagas viviendas,viviendas evaluadas,2024-12-01,549,549
ALCALA,chagas viviendas,viviendas evaluadas,2024-12-01,272,272
ANZALDO,chagas viviendas,viviendas evaluadas,2024-12-01,126,126
APOLO,chagas viviendas,viviendas evaluadas,2024-12-01,82,82
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2024-12-01,57,57
ARANI,chagas viviendas,viviendas evaluadas,2024-12-01,302,302
ARBIETO,chagas viviendas,viviendas evaluadas,2024-12-01,156,156
ARQUE,chagas viviendas,viviendas evaluadas,2024-12-01,37,37
BETANZOS,chagas viviendas,viviendas evaluadas,2024-12-01,427,427
"CAIZA ""D""",chagas viviendas,viviendas evaluadas,2024-12-01,265,265
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2024-12-01,70,70
CAPINOTA,chagas viviendas,viviendas evaluadas,2024-12-01,448,448
CARAPARI,chagas viviendas,viviendas evaluadas,2024-12-01,174,174
CKOCHAS,chagas viviendas,viviendas evaluadas,2024-12-01,467,467
CLIZA,chagas viviendas,viviendas evaluadas,2024-12-01,197,197
COCHABAMBA,chagas viviendas,viviendas evaluadas,2024-12-01,178,178
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2024-12-01,366,366
COTAGAITA,chagas viviendas,viviendas evaluadas,2024-12-01,115,115
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2024-12-01,152,152
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2024-12-01,56,56
EL TORNO,chagas viviendas,viviendas evaluadas,2024-12-01,9,9
GAIOC JATUN AYLLU YURA,chagas viviendas,viviendas evaluadas,2024-12-01,233,233
LURIBAY,chagas viviendas,viviendas evaluadas,2024-12-01,112,112
MIZQUE,chagas viviendas,viviendas evaluadas,2024-12-01,1324,1324
PADCAYA,chagas viviendas,viviendas evaluadas,2024-12-01,133,133
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2024-12-01,58,58
PASORAPA,chagas viviendas,viviendas evaluadas,2024-12-01,69,69
POCONA,chagas viviendas,viviendas evaluadas,2024-12-01,264,264
POJO (CBBA),chagas viviendas,viviendas evaluadas,2024-12-01,282,282
POROMA,chagas viviendas,viviendas evaluadas,2024-12-01,344,344
PUCARA,chagas viviendas,viviendas evaluadas,2024-12-01,23,23
PUNA,chagas viviendas,viviendas evaluadas,2024-12-01,574,574
PUNATA,chagas viviendas,viviendas evaluadas,2024-12-01,329,329
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2024-12-01,361,361
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2024-12-01,19,19
SACABA,chagas viviendas,viviendas evaluadas,2024-12-01,1459,1459
SAN BENITO,chagas viviendas,viviendas evaluadas,2024-12-01,373,373
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2024-12-01,495,495
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2024-12-01,181,181
SAPAHAQUI,chagas viviendas,viviendas evaluadas,2024-12-01,128,128
SIPE SIPE,chagas viviendas,viviendas evaluadas,2024-12-01,67,67
TACACHI,chagas viviendas,viviendas evaluadas,2024-12-01,171,171
TACOBAMBA,chagas viviendas,viviendas evaluadas,2024-12-01,85,85
TACOPAYA,chagas viviendas,viviendas evaluadas,2024-12-01,301,301
TAPACARI,chagas viviendas,viviendas evaluadas,2024-12-01,270,270
TARATA,chagas viviendas,viviendas evaluadas,2024-12-01,33,33
TARIJA,chagas viviendas,viviendas evaluadas,2024-12-01,1,1
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2024-12-01,318,318
TOCO,chagas viviendas,viviendas evaluadas,2024-12-01,227,227
TORO TORO,chagas viviendas,viviendas evaluadas,2024-12-01,220,220
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2024-12-01,51,51
TRINIDAD,chagas viviendas,viviendas evaluadas,2024-12-01,2,2
TUPIZA,chagas viviendas,viviendas evaluadas,2024-12-01,580,580
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2024-12-01,175,175
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2024-12-01,211,211
VILA VILA,chagas viviendas,viviendas evaluadas,2024-12-01,147,147
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2024-12-01,283,283
VILLAZON,chagas viviendas,viviendas evaluadas,2024-12-01,168,168
VINTO,chagas viviendas,viviendas evaluadas,2024-12-01,406,406
VITICHI,chagas viviendas,viviendas evaluadas,2024-12-01,370,370
YAMPARAEZ,chagas viviendas,viviendas evaluadas,2024-12-01,271,271
YUNCHARA,chagas viviendas,viviendas evaluadas,2024-12-01,154,154
ZUDAÑEZ,chagas viviendas,viviendas evaluadas,2024-12-01,68,68
