,group,variable,month,CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTALES,TOTALES,TOTALES
HUACHACALLA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,0,4,0,4,4
HUANUNI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,31,233,31,233,264
HUARACAJE,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,9,50,9,50,59
HUAYLLAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,3,49,3,49,52
ICHOCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,15,29,15,29,44
ICLA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,15,145,15,145,160
INCAHUASI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,48,392,48,392,440
INGAVI (HUMAITA),control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,1,2,1,2,3
INQUISIVI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,18,83,18,83,101
IRUPANA (VILLA DE LANZA),control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,31,154,31,154,185
IXIAMAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,20,109,20,109,129
JESUS DE MACHACA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,24,127,24,127,151
LA ASUNTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,64,123,64,123,187
LA GUARDIA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,123,688,123,688,811
LA PAZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,2438,4570,2438,4570,7008
LA RIVERA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,2,0,2,0,2
LAGUNILLAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,10,80,10,80,90
LAJA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,33,163,33,163,196
LAS CARRERAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,9,46,9,46,55
LICOMA PAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,4,26,4,26,30
LLALLAGUA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,124,301,124,301,425
LLICA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,2,44,2,44,46
LORETO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,25,28,25,28,53
LURIBAY,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,15,102,15,102,117
MACHACAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,17,64,17,64,81
MACHARETI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,13,128,13,128,141
MAGDALENA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,29,121,29,121,150
MAIRANA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,21,101,21,101,122
MALLA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,4,34,4,34,38
MAPIRI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,30,164,30,164,194
MECAPACA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,44,59,44,59,103
MINEROS,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,91,217,91,217,308
MIZQUE,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,86,207,86,207,293
MOCOMOCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,35,114,35,114,149
MOJINETE,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,2,7,2,7,9
MOJOCOYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,9,76,9,76,85
MONTEAGUDO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,49,328,49,328,377
MONTERO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,212,1043,212,1043,1255
MORO MORO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,1,29,1,29,30
MOROCHATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,167,164,167,164,331
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,12,22,12,22,34
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,6,2,6,2,8
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,7,13,7,13,20
OCURI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,67,291,67,291,358
OKINAWA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,17,140,17,140,157
OMEREQUE,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,4,57,4,57,61
ORURO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,1033,2127,1033,2127,3160
PADCAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,35,181,35,181,216
PADILLA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,19,154,19,154,173
PAILON,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,45,208,45,208,253
PALCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,34,93,34,93,127
PALOS BLANCOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,50,289,50,289,339
PAMPA AULLAGAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,15,13,15,13,28
PAMPA GRANDE,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,7,60,7,60,67
PAPEL PAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,21,32,21,32,53
PASORAPA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,9,33,9,33,42
PATACAMAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,121,105,121,105,226
PAZÑA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,12,69,12,69,81
PELECHUCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,16,37,16,37,53
POCOATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,38,227,38,227,265
POCONA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,80,51,80,51,131
POJO (CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,51,131,51,131,182
POOPO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,29,55,29,55,84
PORCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,88,85,88,85,173
POROMA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,34,236,34,236,270
PORONGO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,36,32,36,32,68
PORTACHUELO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,52,287,52,287,339
PORVENIR,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,27,82,27,82,109
POSTRER VALLE,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,1,19,1,19,20
POTOSI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,745,1658,745,1658,2403
PRESTO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,17,146,17,146,163
PUCARA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,2,18,2,18,20
PUCARANI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,57,240,57,240,297
PUERTO ACOSTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,73,143,73,143,216
PUERTO CARABUCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,55,138,55,138,193
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,9,70,9,70,79
PUERTO PEREZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,10,63,10,63,73
PUERTO QUIJARRO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,51,129,51,129,180
PUERTO RICO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,9,77,9,77,86
PUERTO SILES,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,10,9,10,9,19
PUERTO SUAREZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,34,145,34,145,179
PUERTO VILLARROEL,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,147,595,147,595,742
PUNA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,102,354,102,354,456
PUNATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,303,167,303,167,470
QUIABAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,3,10,3,10,13
QUILLACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,637,415,637,415,1052
QUIME,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,19,107,19,107,126
QUIRUSILLAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,0,9,0,9,9
RAVELO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,38,349,38,349,387
REYES,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,19,154,19,154,173
RIBERALTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,526,1494,526,1494,2020
ROBORE,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,35,108,35,108,143
RURRENABAQUE,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,38,159,38,159,197
SABAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,3,28,3,28,31
SACABA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,505,649,505,649,1154
SACABAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,13,21,13,21,34
SACACA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,40,277,40,277,317
SAIPINA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,10,65,10,65,75
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,14,117,14,117,131
SAMAIPATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,19,92,19,92,111
SAN AGUSTIN,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,1,24,1,24,25
SAN ANDRES,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,33,108,33,108,141
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,3,32,3,32,35
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,1,18,1,18,19
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,8,114,8,114,122
SAN BENITO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,29,45,29,45,74
SAN BORJA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,90,542,90,542,632
SAN BUENA VENTURA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,32,120,32,120,152
SAN CARLOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,60,231,60,231,291
SAN IGNACIO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,115,208,115,208,323
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,133,752,133,752,885
SAN JAVIER(BNI),control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,22,17,22,17,39
SAN JAVIER(STC),control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,25,148,25,148,173
SAN JOAQUIN,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,18,56,18,56,74
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,68,116,68,116,184
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,17,119,17,119,136
SAN JULIAN,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,79,286,79,286,365
SAN LORENZO(PND),control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,6,53,6,53,59
SAN LORENZO(TJA),control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,51,165,51,165,216
SAN LUCAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,81,618,81,618,699
SAN MATIAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,43,145,43,145,188
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,31,138,31,138,169
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,4,27,4,27,31
SAN PEDRO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,47,160,47,160,207
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,58,292,58,292,350
SAN PEDRO DE CURAHUARA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,10,49,10,49,59
SAN PEDRO DE QUEMES,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,3,0,3,0,3
SAN PEDRO DE TIQUINA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,4,34,4,34,38
SAN PEDRO(PND),control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,4,24,4,24,28
SAN RAFAEL,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,11,97,11,97,108
SAN RAMON,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,15,68,15,68,83
SAN RAMON,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,5,48,5,48,53
SANTA ANA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,48,237,48,237,285
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,2428,3394,2428,3394,5822
SANTA ROSA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,20,90,20,90,110
SANTA ROSA DEL SARA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,34,135,34,135,169
SANTIAGO DE CALLAPA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,11,21,11,21,32
SANTIAGO DE HUARI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,7,73,7,73,80
SANTIVAÑES,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,9,41,9,41,50
SANTUARIO DE QUILLACAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,5,28,5,28,33
SAPAHAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,15,83,15,83,98
SENA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,1,3,1,3,4
SICA SICA (VILLA AROMA),control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,24,196,24,196,220
SICAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,5,10,5,10,15
SIPE SIPE,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,210,447,210,447,657
SOPACHUY,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,10,134,10,134,144
SORACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,20,105,20,105,125
SORATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,54,145,54,145,199
SUCRE,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,1134,2043,1134,2043,3177
TACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,1,13,1,13,14
TACACOMA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,20,53,20,53,73
TACOBAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,10,83,10,83,93
TACOPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,11,97,11,97,108
TAHUA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,2,7,2,7,9
TAPACARI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,145,261,145,261,406
TARABUCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,39,325,39,325,364
TARACO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,8,30,8,30,38
TARATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,31,81,31,81,112
TARIJA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,1079,1622,1079,1622,2701
TARVITA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,44,302,44,302,346
TEOPONTE,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,11,102,11,102,113
TIAWANACU,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,26,135,26,135,161
TINGUIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,62,164,62,164,226
TIPUANI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,12,117,12,117,129
TIQUIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,182,122,182,122,304
TIRAQUE (CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,260,206,260,206,466
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,1,12,1,12,13
TOCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,29,21,29,21,50
TODOS SANTOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,1,2,1,2,3
TOLATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,11,27,11,27,38
TOLEDO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,11,71,11,71,82
TOMAVE,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,27,91,27,91,118
TOMINA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,23,145,23,145,168
TORO TORO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,21,177,21,177,198
TOTORA(CBBA),control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,32,44,32,44,76
TOTORA(ORR),control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,9,45,9,45,54
TRIGAL,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,6,16,6,16,22
TRINIDAD,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,749,692,749,692,1441
TUPIZA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,63,388,63,388,451
TURCO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,7,42,7,42,49
UMALA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,19,66,19,66,85
UNCIA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,98,184,98,184,282
URIONDO (A. CONCEPCION),control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,45,204,45,204,249
URUBICHA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,25,121,25,121,146
UYUNI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,40,258,40,258,298
VACAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,17,41,17,41,58
VALLEGRANDE,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,11,159,11,159,170
VIACHA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,113,368,113,368,481
VILA VILA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,20,41,20,41,61
VILLA MONTES,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,103,342,103,342,445
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,4,19,4,19,23
VILLA RIVERO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,36,30,36,30,66
VILLA SERRANO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,12,182,12,182,194
VILLA TUNARI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,329,555,329,555,884
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,9,102,9,102,111
VILLAZON,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,87,266,87,266,353
VINTO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,430,52,430,52,482
VITICHI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,14,0,14,0,14
WALDO BALLIVIAN,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,5,25,5,25,30
WARNES,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,185,405,185,405,590
YACO,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,16,66,16,66,82
YACUIBA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,190,592,190,592,782
YAMPARAEZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,18,139,18,139,157
YANACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,5,60,5,60,65
YAPACANI,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,71,532,71,532,603
YOCALLA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,12,59,12,59,71
YOTALA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,15,116,15,116,131
YUNCHARA,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,20,73,20,73,93
ZUDAÑEZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-06-01,14,93,14,93,107
ACACIO,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,20,89,20,89,109
ACHACACHI,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,127,390,127,390,517
ACHOCALLA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,29,74,29,74,103
AIQUILE,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,73,258,73,258,331
ALALAY,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,7,20,7,20,27
ALCALA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,4,42,4,42,46
ANCORAIMES,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,21,99,21,99,120
ANDAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,6,49,6,49,55
ANTEQUERA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,7,54,7,54,61
ANZALDO,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,32,19,32,19,51
APOLO,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,84,165,84,165,249
ARAMPAMPA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,8,59,8,59,67
ARANI,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,48,31,48,31,79
ARBIETO,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,16,88,16,88,104
ARQUE,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,25,89,25,89,114
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,74,2,74,2,76
ATOCHA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,35,154,35,154,189
AUCAPATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,14,13,14,13,27
AYATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,19,90,19,90,109
AYO AYO,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,14,53,14,53,67
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,73,163,73,163,236
AZURDUY,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,23,230,23,230,253
BATALLAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,40,148,40,148,188
BAURES,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,7,62,7,62,69
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,0,7,0,7,7
BELEN DE URMIRI,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,5,5,5,5,10
BELLA FLOR,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,4,32,4,32,36
BERMEJO,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,72,111,72,111,183
BETANZOS,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,40,349,40,349,389
BOLIVAR,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,10,136,10,136,146
BOLPEBRA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,9,7,9,7,16
BOYUIBE,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,9,23,9,23,32
BUENA VISTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,16,106,16,106,122
CABEZAS,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,33,148,33,148,181
CAIROMA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,10,113,10,113,123
"CAIZA ""D""",control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,25,100,25,100,125
CAJUATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,14,116,14,116,130
CALACOTO,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,9,66,9,66,75
CALAMARCA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,23,156,23,156,179
CAMARGO,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,27,198,27,198,225
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,1,51,1,51,52
CAMIRI,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,208,436,208,436,644
CAPINOTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,187,92,187,92,279
CAQUIAVIRI,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,20,67,20,67,87
CARACOLLO,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,31,173,31,173,204
CARANAVI,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,245,495,245,495,740
CARAPARI,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,21,111,21,111,132
CARIPUYO,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,17,89,17,89,106
CARMEN RIVERO TORREZ,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,16,34,16,34,50
CATACORA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,1,1,1,1,2
CHALLAPATA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,64,298,64,298,362
CHAQUI,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,15,60,15,60,75
CHARAGUA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,43,277,43,277,320
CHARAÑA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,4,26,4,26,30
CHAYANTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,40,121,40,121,161
CHIMORE,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,41,42,41,42,83
CHIPAYA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,3,11,3,11,14
CHOQUE COTA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,0,10,0,10,10
CHULUMANI (V. DE LA LIBERTAD),control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,57,75,57,75,132
CHUMA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,23,100,23,100,123
CLIZA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,85,189,85,189,274
COBIJA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,110,416,110,416,526
COCHABAMBA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,2198,2640,2198,2640,4838
COIPASA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,2,7,2,7,9
COLCAPIRHUA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,251,328,251,328,579
"COLCHA ""K""",control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,14,95,14,95,109
COLLANA,control de crecimiento infantil,control del nino menor de 1 ano,2008-07-01,4,4,4,4,8
