,group,variable,month,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,CONTROL DEL NIÑO (A) DE 1 AÑO A MENOR DE 2 AÑOS NUEVO,TOTALES,TOTALES,TOTALES
LORETO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,17,8,17,8,25
LURIBAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,7,119,7,119,126
MACHACAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,16,29,16,29,45
MACHARETI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,4,142,4,142,146
MAGDALENA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,3,55,3,55,58
MAIRANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,5,58,5,58,63
MALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,6,12,6,12,18
MAPIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,1,127,1,127,128
MECAPACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,8,52,8,52,60
MINEROS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,3,141,3,141,144
MIZQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,34,168,34,168,202
MOCOMOCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,16,84,16,84,100
MOJINETE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,6,0,6,6
MOJOCOYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,1,106,1,106,107
MONTEAGUDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,5,419,5,419,424
MONTERO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,41,750,41,750,791
MORO MORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,5,11,5,11,16
MOROCHATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,104,121,104,121,225
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,26,0,26,26
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,2,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,13,0,13,13
OCURI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,24,394,24,394,418
OKINAWA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,1,99,1,99,100
OMEREQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,9,37,9,37,46
ORURO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,479,2055,479,2055,2534
PADCAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,22,238,22,238,260
PADILLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,216,0,216,216
PAILON,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,14,127,14,127,141
PALCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,2,71,2,71,73
PALOS BLANCOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,33,247,33,247,280
PAMPA AULLAGAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,6,22,6,22,28
PAMPA GRANDE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,1,18,1,18,19
PAPEL PAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,6,7,6,7,13
PASORAPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,2,30,2,30,32
PATACAMAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,6,64,6,64,70
PAZÑA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,26,44,26,44,70
PELECHUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,4,58,4,58,62
POCOATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,41,299,41,299,340
POCONA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,53,50,53,50,103
POJO (CBBA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,18,79,18,79,97
POOPO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,5,22,5,22,27
PORCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,17,43,17,43,60
POROMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,30,259,30,259,289
PORONGO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,16,32,16,32,48
PORTACHUELO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,171,0,171,171
PORVENIR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,98,0,98,98
POSTRER VALLE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,11,0,11,11
POTOSI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,149,782,149,782,931
PRESTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,14,124,14,124,138
PUCARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,1,9,1,9,10
PUCARANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,54,94,54,94,148
PUERTO ACOSTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,46,144,46,144,190
PUERTO CARABUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,19,120,19,120,139
PUERTO GONZALO MORENO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,13,45,13,45,58
PUERTO PEREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,2,27,2,27,29
PUERTO QUIJARRO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,5,69,5,69,74
PUERTO RICO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,9,96,9,96,105
PUERTO SILES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,8,1,8,1,9
PUERTO SUAREZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,12,91,12,91,103
PUERTO VILLARROEL,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,92,270,92,270,362
PUNA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,54,373,54,373,427
PUNATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,104,122,104,122,226
QUIABAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,11,25,11,25,36
QUILLACOLLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,306,191,306,191,497
QUIME,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,10,84,10,84,94
QUIRUSILLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,8,0,8,8
RAVELO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,337,0,337,337
REYES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,101,0,101,101
RIBERALTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,279,1027,279,1027,1306
ROBORE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,14,94,14,94,108
RURRENABAQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,106,0,106,106
SABAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,5,15,5,15,20
SACABA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,297,328,297,328,625
SACABAMBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,2,37,2,37,39
SACACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,8,242,8,242,250
SAIPINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,33,0,33,33
SALINAS DE GARCI MENDOZA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,6,75,6,75,81
SAMAIPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,47,0,47,47
SAN AGUSTIN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,4,10,4,10,14
SAN ANDRES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,40,121,40,121,161
SAN ANDRES DE MACHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,1,11,1,11,12
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,7,0,7,7
SAN ANTONIO DE LOMERIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,107,0,107,107
SAN BENITO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,22,17,22,17,39
SAN BORJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,428,0,428,428
SAN BUENA VENTURA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,7,42,7,42,49
SAN CARLOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,9,158,9,158,167
SAN IGNACIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,16,295,16,295,311
SAN IGNACIO DE VELASCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,148,533,148,533,681
SAN JAVIER(BNI),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,18,25,18,25,43
SAN JAVIER(STC),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,1,86,1,86,87
SAN JOAQUIN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,17,33,17,33,50
SAN JOSE DE CHIQUITOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,153,0,153,153
SAN JUAN DE YAPACANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,185,0,185,185
SAN JULIAN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,28,296,28,296,324
SAN LORENZO(PND),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,8,79,8,79,87
SAN LORENZO(TJA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,16,115,16,115,131
SAN LUCAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,8,771,8,771,779
SAN MATIAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,14,99,14,99,113
SAN MIGUEL DE VELASCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,11,53,11,53,64
SAN PABLO DE LIPEZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,18,0,18,18
SAN PEDRO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,19,128,19,128,147
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,46,403,46,403,449
SAN PEDRO DE CURAHUARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,28,0,28,28
SAN PEDRO DE QUEMES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,4,0,4,0,4
SAN PEDRO DE TIQUINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,13,0,13,13
SAN PEDRO(PND),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,2,8,2,8,10
SAN RAFAEL,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,16,81,16,81,97
SAN RAMON,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,43,0,43,43
SAN RAMON,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,2,43,2,43,45
SANTA ANA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,19,140,19,140,159
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,1767,2675,1767,2675,4442
SANTA ROSA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,34,105,34,105,139
SANTA ROSA DEL SARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,22,102,22,102,124
SANTIAGO DE CALLAPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,25,0,25,25
SANTIAGO DE HUARI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,12,78,12,78,90
SANTIAGO DE MACHACA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,3,20,3,20,23
SANTIVAÑES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,11,13,11,13,24
SANTUARIO DE QUILLACAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,2,36,2,36,38
SAPAHAQUI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,10,73,10,73,83
SENA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,2,19,2,19,21
SICA SICA (VILLA AROMA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,196,0,196,196
SICAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,6,6,6,6,12
SIPE SIPE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,74,201,74,201,275
SOPACHUY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,1,157,1,157,158
SORACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,15,130,15,130,145
SORATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,7,98,7,98,105
SUCRE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,207,1459,207,1459,1666
TACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,1,0,1,1
TACACOMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,1,33,1,33,34
TACOBAMBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,52,0,52,52
TACOPAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,33,143,33,143,176
TAHUA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,1,0,1,1
TAPACARI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,67,226,67,226,293
TARABUCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,3,371,3,371,374
TARACO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,2,35,2,35,37
TARATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,13,39,13,39,52
TARIJA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,857,1413,857,1413,2270
TARVITA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,6,346,6,346,352
TEOPONTE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,24,72,24,72,96
TIAWANACU,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,1,67,1,67,68
TINGUIPAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,1,131,1,131,132
TIPUANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,15,67,15,67,82
TIQUIPAYA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,112,83,112,83,195
TIRAQUE (CBBA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,131,144,131,144,275
TITO YUPANQUI (PARQUIPUJIO),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,9,0,9,9
TOCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,7,28,7,28,35
TOLATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,4,11,4,11,15
TOLEDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,7,58,7,58,65
TOMAVE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,74,0,74,74
TOMINA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,2,195,2,195,197
TORO TORO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,23,193,23,193,216
TOTORA(CBBA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,12,77,12,77,89
TOTORA(ORR),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,8,32,8,32,40
TRIGAL,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,1,16,1,16,17
TRINIDAD,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,286,531,286,531,817
TUPIZA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,297,0,297,297
TURCO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,7,69,7,69,76
UMALA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,22,50,22,50,72
UNCIA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,43,156,43,156,199
URIONDO (A. CONCEPCION),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,25,187,25,187,212
UYUNI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,132,0,132,132
VACAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,25,29,25,29,54
VALLEGRANDE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,22,72,22,72,94
VIACHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,53,233,53,233,286
VILA VILA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,24,39,24,39,63
VILLA MONTES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,23,198,23,198,221
VILLA NUEVA (LOMA ALTA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,3,19,3,19,22
VILLA RIVERO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,12,15,12,15,27
VILLA SERRANO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,157,0,157,157
VILLA TUNARI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,167,452,167,452,619
VILLA VACA GUZMAN (MUYUPAMPA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,1,91,1,91,92
VILLAZON,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,11,266,11,266,277
VINTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,86,54,86,54,140
VITICHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,7,140,7,140,147
WALDO BALLIVIAN,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,15,0,15,15
WARNES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,187,274,187,274,461
YACO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,0,37,0,37,37
YACUIBA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,71,410,71,410,481
YAMPARAEZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,2,146,2,146,148
YANACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,2,22,2,22,24
YAPACANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,18,379,18,379,397
YOCALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,1,64,1,64,65
YOTALA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,6,112,6,112,118
YUNCHARA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,10,84,10,84,94
ZUDAÑEZ,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-07-01,2,120,2,120,122
ACACIO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,4,52,4,52,56
ACHACACHI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,17,285,17,285,302
ACHOCALLA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,5,38,5,38,43
AIQUILE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,33,181,33,181,214
ALALAY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,5,19,5,19,24
ALCALA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,0,56,0,56,56
ANCORAIMES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,12,66,12,66,78
ANDAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,8,42,8,42,50
ANTEQUERA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,2,35,2,35,37
ANZALDO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,40,14,40,14,54
APOLO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,81,133,81,133,214
ARAMPAMPA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,5,81,5,81,86
ARANI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,21,33,21,33,54
ARBIETO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,6,103,6,103,109
ARQUE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,1,87,1,87,88
ASCENCION DE GUARAYOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,4,431,4,431,435
ATOCHA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,3,97,3,97,100
AUCAPATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,15,30,15,30,45
AYATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,7,62,7,62,69
AYO AYO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,4,34,4,34,38
AYOPAYA (V. DE INDEPENDENCIA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,18,172,18,172,190
AZURDUY,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,2,204,2,204,206
BATALLAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,10,98,10,98,108
BAURES,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,0,45,0,45,45
BELEN DE ANDAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,2,5,2,5,7
BELEN DE URMIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,0,19,0,19,19
BELLA FLOR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,7,47,7,47,54
BERMEJO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,60,180,60,180,240
BETANZOS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,9,457,9,457,466
BOLIVAR,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,14,120,14,120,134
BOLPEBRA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,3,21,3,21,24
BOYUIBE,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,5,34,5,34,39
BUENA VISTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,20,142,20,142,162
CABEZAS,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,34,109,34,109,143
CAIROMA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,51,108,51,108,159
"CAIZA ""D""",control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,5,79,5,79,84
CAJUATA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,10,93,10,93,103
CALACOTO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,0,58,0,58,58
CALAMARCA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,10,159,10,159,169
CAMARGO,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,7,239,7,239,246
CAMATAQUI (C. VILLA ABECIA),control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,0,58,0,58,58
CAMIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,72,254,72,254,326
CAPINOTA,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,160,114,160,114,274
CAQUIAVIRI,control de crecimiento infantil,control del nino (a) de 1 ano a menor de 2 anos,2008-08-01,0,56,0,56,56
