municipality,group,variable,month,Otros,TOTAL
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,48,48
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,44,44
RIBERALTA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,114,114
ROBORE,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,4,4
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,2,2
SACABA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,29,29
SACACA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,3,3
SAN BORJA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,3,3
SAN BUENA VENTURA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,4,4
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,13,13
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,7,7
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,81,81
SAN JAVIER(STC),diagnostico de egreso en menores de 5 anos,otros,2006-08-01,2,2
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,3,3
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,2,2
SAN JULIAN,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,12,12
SAN LORENZO(TJA),diagnostico de egreso en menores de 5 anos,otros,2006-08-01,13,13
SAN LUCAS,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,4,4
SAN MATIAS,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,2,2
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,3,3
SAN PEDRO DE BUENA VISTA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,1,1
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,5,5
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,1,1
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,3,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,1857,1857
SANTA ROSA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,3,3
SOPACHUY,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,5,5
SUCRE,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,192,192
TARABUCO,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,6,6
TARIJA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,45,45
TEOPONTE,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,1,1
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,otros,2006-08-01,7,7
TOTORA(CBBA),diagnostico de egreso en menores de 5 anos,otros,2006-08-01,1,1
TRINIDAD,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,272,272
TUPIZA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,84,84
UNCIA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,104,104
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,4,4
VILLA MONTES,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,22,22
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,29,29
VILLAZON,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,17,17
WARNES,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,7,7
YACUIBA,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,50,50
YAMPARAEZ,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,1,1
YANACACHI,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,1,1
YAPACANI,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,6,6
ZUDAÑEZ,diagnostico de egreso en menores de 5 anos,otros,2006-08-01,3,3
ACHACACHI,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,2,2
AIQUILE,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,5,5
APOLO,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,2,2
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,18,18
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,otros,2006-09-01,1,1
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,15,15
BOYUIBE,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,2,2
CAMARGO,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,15,15
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,55,55
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,6,6
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,4,4
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,7,7
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,otros,2006-09-01,6,6
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,12,12
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,242,242
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,6,6
"COLCHA ""K""",diagnostico de egreso en menores de 5 anos,otros,2006-09-01,5,5
COLOMI,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,2,2
COMARAPA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,6,6
COROICO,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,7,7
COTOCA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,3,3
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,152,152
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,221,221
HUANUNI,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,5,5
LA ASUNTA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,1,1
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,588,588
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,27,27
LORETO,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,9,9
MAGDALENA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,7,7
MIZQUE,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,2,2
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,8,8
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,105,105
ORURO,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,90,90
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,5,5
PALOS BLANCOS,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,19,19
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,67,67
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,1,1
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,17,17
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,56,56
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,40,40
RIBERALTA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,74,74
SACABA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,45,45
SACACA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,1,1
SAMAIPATA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,1,1
SAN ANTONIO DE LOMERIO,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,1,1
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,3,3
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,5,5
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,111,111
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,5,5
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,1,1
SAN JULIAN,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,2,2
SAN LUCAS,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,6,6
SAN MATIAS,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,5,5
SAN PEDRO,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,4,4
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,1,1
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,3,3
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,1699,1699
SANTA ROSA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,1,1
SANTA ROSA DEL SARA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,1,1
SOPACHUY,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,2,2
SUCRE,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,199,199
TACACOMA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,3,3
TARABUCO,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,5,5
TARIJA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,77,77
TIPUANI,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,1,1
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,3,3
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,otros,2006-09-01,82,82
TOLEDO,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,2,2
TRINIDAD,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,280,280
TUPIZA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,80,80
UNCIA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,30,30
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,6,6
VIACHA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,1,1
VILLA MONTES,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,2,2
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,15,15
VILLAZON,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,17,17
VINTO,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,2,2
WARNES,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,4,4
YACUIBA,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,72,72
YAMPARAEZ,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,1,1
YAPACANI,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,5,5
ZUDAÑEZ,diagnostico de egreso en menores de 5 anos,otros,2006-09-01,1,1
ACHACACHI,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,4,4
AIQUILE,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,3,3
APOLO,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,3,3
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,17,17
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,otros,2006-10-01,3,3
BAURES,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,1,1
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,9,9
BOYUIBE,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,2,2
CAMARGO,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,24,24
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,61,61
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,8,8
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,9,9
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,6,6
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,otros,2006-10-01,6,6
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,18,18
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,260,260
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,8,8
COMARAPA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,4,4
COROICO,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,12,12
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,114,114
EL PUENTE(TJA),diagnostico de egreso en menores de 5 anos,otros,2006-10-01,1,1
EL TORNO,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,3,3
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,199,199
HUANUNI,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,3,3
LA ASUNTA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,7,7
LA GUARDIA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,3,3
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,643,643
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,35,35
LORETO,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,2,2
MAGDALENA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,10,10
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,10,10
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,106,106
ORURO,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,81,81
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,8,8
PORTACHUELO,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,1,1
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,71,71
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,3,3
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,24,24
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,62,62
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,70,70
RIBERALTA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,83,83
ROBORE,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,3,3
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,6,6
SACABA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,44,44
SACACA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,1,1
SAN BORJA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,2,2
SAN BUENA VENTURA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,1,1
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,3,3
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,12,12
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,93,93
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,5,5
SAN JULIAN,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,10,10
SAN LUCAS,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,4,4
SAN MATIAS,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,5,5
SAN RAFAEL,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,1,1
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,1466,1466
SANTA ROSA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,2,2
SOPACHUY,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,2,2
SUCRE,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,162,162
TARABUCO,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,7,7
TARIJA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,85,85
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,8,8
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,otros,2006-10-01,21,21
TOTORA(CBBA),diagnostico de egreso en menores de 5 anos,otros,2006-10-01,1,1
TRINIDAD,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,257,257
TUPIZA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,18,18
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,5,5
VILLA MONTES,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,23,23
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,15,15
VILLAZON,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,16,16
WARNES,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,4,4
YACUIBA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,51,51
YAPACANI,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,8,8
YOTALA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,2,2
YUNCHARA,diagnostico de egreso en menores de 5 anos,otros,2006-10-01,1,1
ACHACACHI,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,6,6
AIQUILE,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,8,8
APOLO,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,36,36
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,otros,2006-11-01,1,1
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,10,10
CAMARGO,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,20,20
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,56,56
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,10,10
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,2,2
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,5,5
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,otros,2006-11-01,8,8
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,23,23
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,170,170
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,3,3
COROICO,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,9,9
COTAGAITA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,2,2
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,155,155
EL VILLAR,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,1,1
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,215,215
HUANUNI,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,4,4
LA ASUNTA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,5,5
LA GUARDIA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,2,2
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,678,678
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,38,38
MAGDALENA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,7,7
MAIRANA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,1,1
MIZQUE,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,13,13
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,15,15
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,102,102
ORURO,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,78,78
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,6,6
PALOS BLANCOS,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,2,2
PORTACHUELO,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,3,3
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,69,69
PUERTO SILES,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,4,4
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,2,2
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,15,15
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,68,68
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,66,66
RIBERALTA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,41,41
ROBORE,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,1,1
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,4,4
SACABA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,50,50
SACACA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,1,1
SAN BORJA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,1,1
SAN CARLOS,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,4,4
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,3,3
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,100,100
SAN JOAQUIN,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,4,4
SAN JOSE DE CHIQUITOS,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,3,3
SAN JULIAN,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,31,31
SAN LORENZO(TJA),diagnostico de egreso en menores de 5 anos,otros,2006-11-01,1,1
SAN LUCAS,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,1,1
SAN MATIAS,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,1,1
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,3,3
SAN PEDRO DE BUENA VISTA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,1,1
SAN RAMON,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,1,1
SANTA ANA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,3,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,3952,3952
SUCRE,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,121,121
TARABUCO,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,8,8
TARIJA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,86,86
TIQUIPAYA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,3,3
TIRAQUE (CBBA),diagnostico de egreso en menores de 5 anos,otros,2006-11-01,22,22
TOLEDO,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,1,1
TRINIDAD,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,236,236
TUPIZA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,44,44
UNCIA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,1,1
VALLEGRANDE,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,6,6
VILLA MONTES,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,28,28
VILLA SERRANO,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,1,1
VILLA TUNARI,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,16,16
VILLAZON,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,19,19
VINTO,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,1,1
WARNES,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,17,17
YACUIBA,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,89,89
YAPACANI,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,11,11
ZUDAÑEZ,diagnostico de egreso en menores de 5 anos,otros,2006-11-01,1,1
ACHACACHI,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,3,3
AIQUILE,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,3,3
APOLO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,4,4
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,13,13
ATOCHA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,5,5
BERMEJO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,6,6
BOYUIBE,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,1,1
CABEZAS,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,1,1
CAMARGO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,10,10
CAMIRI,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,52,52
CARANAVI,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,16,16
CHALLAPATA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,5,5
CHARAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,18,18
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,otros,2006-12-01,2,2
COBIJA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,10,10
COCHABAMBA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,334,334
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,6,6
COMARAPA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,2,2
CONCEPCION,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,3,3
COROICO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,6,6
CUEVO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,1,1
CULPINA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,30,30
EL ALTO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,93,93
EL TORNO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,4,4
ENTRE RIOS,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,1,1
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,196,196
GUTIERREZ,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,1,1
HUANUNI,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,1,1
LA GUARDIA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,6,6
LA PAZ,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,618,618
LLALLAGUA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,33,33
LORETO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,4,4
MAGDALENA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,6,6
MAIRANA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,3,3
MIZQUE,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,1,1
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,9,9
MONTERO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,94,94
ORURO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,64,64
PADILLA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,4,4
PORTACHUELO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,7,7
POTOSI,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,76,76
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,1,1
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,20,20
PUNATA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,71,71
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,75,75
RIBERALTA,diagnostico de egreso en menores de 5 anos,otros,2006-12-01,33,33
