municipality,group,variable,month,Partos atendidos por partera empírica,TOTAL
TIQUIPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
TORO TORO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
VINTO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-07-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,3,3
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,23,23
CAMIRI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,1,1
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,2,2
COCAPATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,2,2
CUEVO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,2,2
LA PAZ,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,1,1
MAGDALENA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,1,1
PAMPA AULLAGAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,1,1
PELECHUCO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,1,1
POCOATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,2,2
RIBERALTA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,1,1
SAN ANDRES,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,2,2
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,9,9
SAN BUENA VENTURA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,1,1
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,1,1
SUCRE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,1,1
TAPACARI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,1,1
TINGUIPAYA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-08-01,1,1
ANCORAIMES,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,1,1
CABEZAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,24,24
CAMIRI,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,2,2
CHALLAPATA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,2,2
CHIMORE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,1,1
COLQUECHACA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,9,9
COTAGAITA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,4,4
GUTIERREZ,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,2,2
PAMPA AULLAGAS,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,1,1
PELECHUCO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,4,4
ROBORE,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,1,1
SAN BORJA,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,5,5
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por partera empirica,2016-09-01,3,3
