municipality,group,variable,month,Viviendas rociadas,TOTAL
TAPACARI,chagas,viviendas rociadas,2005-12-01,455,455
TARATA,chagas,viviendas rociadas,2005-12-01,1,1
TARIJA,chagas,viviendas rociadas,2005-12-01,301,301
TARVITA,chagas,viviendas rociadas,2005-12-01,152,152
TIQUIPAYA,chagas,viviendas rociadas,2005-12-01,2,2
TOCO,chagas,viviendas rociadas,2005-12-01,1,1
TOLATA,chagas,viviendas rociadas,2005-12-01,2,2
TOMAVE,chagas,viviendas rociadas,2005-12-01,127,127
TOMINA,chagas,viviendas rociadas,2005-12-01,364,364
TORO TORO,chagas,viviendas rociadas,2005-12-01,29,29
TUPIZA,chagas,viviendas rociadas,2005-12-01,28,28
URIONDO (A. CONCEPCION),chagas,viviendas rociadas,2005-12-01,142,142
VILA VILA,chagas,viviendas rociadas,2005-12-01,623,623
VILLA MONTES,chagas,viviendas rociadas,2005-12-01,577,577
VILLA SERRANO,chagas,viviendas rociadas,2005-12-01,427,427
VILLAZON,chagas,viviendas rociadas,2005-12-01,32,32
VINTO,chagas,viviendas rociadas,2005-12-01,5,5
VITICHI,chagas,viviendas rociadas,2005-12-01,189,189
YACUIBA,chagas,viviendas rociadas,2005-12-01,785,785
YAMPARAEZ,chagas,viviendas rociadas,2005-12-01,281,281
YOTALA,chagas,viviendas rociadas,2005-12-01,88,88
