,group,variable,month,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS PRIMERA,NIÑOS DE 1 A 4 AÑOS PRIMERA,TOTALES,TOTALES,TOTALES
VITICHI,consulta externa,ninos  de 1 a 4 anos,2024-06-01,79,69,1,0,4,7,148,1,149
WALDO BALLIVIAN,consulta externa,ninos  de 1 a 4 anos,2024-06-01,10,6,19,12,0,0,16,31,47
WARNES,consulta externa,ninos  de 1 a 4 anos,2024-06-01,1340,1224,179,143,3,3,2564,322,2886
YACO,consulta externa,ninos  de 1 a 4 anos,2024-06-01,98,90,11,5,0,0,188,16,204
YACUIBA,consulta externa,ninos  de 1 a 4 anos,2024-06-01,1201,1147,136,145,152,164,2348,281,2629
YAMPARAEZ,consulta externa,ninos  de 1 a 4 anos,2024-06-01,104,104,8,6,1,2,208,14,222
YANACACHI,consulta externa,ninos  de 1 a 4 anos,2024-06-01,50,49,1,1,1,0,99,2,101
YAPACANI,consulta externa,ninos  de 1 a 4 anos,2024-06-01,546,453,69,54,7,6,999,123,1122
YOCALLA,consulta externa,ninos  de 1 a 4 anos,2024-06-01,50,48,0,2,5,2,98,2,100
YOTALA,consulta externa,ninos  de 1 a 4 anos,2024-06-01,140,123,29,21,6,6,263,50,313
YUNCHARA,consulta externa,ninos  de 1 a 4 anos,2024-06-01,83,88,3,4,0,0,171,7,178
YUNGUYO DE LITORAL,consulta externa,ninos  de 1 a 4 anos,2024-06-01,2,3,0,0,0,0,5,0,5
ZUDAÑEZ,consulta externa,ninos  de 1 a 4 anos,2024-06-01,100,91,18,21,0,0,191,39,230
ACACIO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,26,33,0,0,0,0,59,0,59
ACHACACHI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,175,198,51,63,0,0,373,114,487
ACHOCALLA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,138,141,82,90,0,0,279,172,451
AIQUILE,consulta externa,ninos  de 1 a 4 anos,2024-07-01,127,143,128,126,46,38,270,254,524
ALALAY,consulta externa,ninos  de 1 a 4 anos,2024-07-01,11,20,9,7,2,5,31,16,47
ALCALA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,47,37,3,6,3,2,84,9,93
ALTO BENI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,167,162,6,6,0,0,329,12,341
ANCORAIMES,consulta externa,ninos  de 1 a 4 anos,2024-07-01,39,29,22,11,8,3,68,33,101
ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,21,17,7,0,0,0,38,7,45
ANTEQUERA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,11,20,3,3,0,0,31,6,37
ANZALDO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,43,40,10,12,0,1,83,22,105
APOLO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,218,196,62,47,10,12,414,109,523
ARAMPAMPA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,18,20,1,3,0,0,38,4,42
ARANI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,62,48,7,8,0,0,110,15,125
ARBIETO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,281,302,28,37,0,0,583,65,648
ARQUE,consulta externa,ninos  de 1 a 4 anos,2024-07-01,138,117,0,3,0,0,255,3,258
ASCENCION DE GUARAYOS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,188,177,18,8,167,113,365,26,391
ATOCHA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,152,141,20,15,4,4,293,35,328
AUCAPATA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,65,60,1,3,13,7,125,4,129
AYATA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,73,70,2,2,6,7,143,4,147
AYO AYO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,62,56,11,12,0,0,118,23,141
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos  de 1 a 4 anos,2024-07-01,272,279,16,12,15,11,551,28,579
AZURDUY,consulta externa,ninos  de 1 a 4 anos,2024-07-01,226,190,38,55,0,0,416,93,509
BATALLAS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,47,43,35,46,1,1,90,81,171
BAURES,consulta externa,ninos  de 1 a 4 anos,2024-07-01,69,48,4,0,0,0,117,4,121
BELEN DE ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,13,12,2,1,0,0,25,3,28
BELEN DE URMIRI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,12,4,0,0,0,4,16,0,16
BELLA FLOR,consulta externa,ninos  de 1 a 4 anos,2024-07-01,44,57,14,17,0,0,101,31,132
BERMEJO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,591,619,86,92,3,4,1210,178,1388
BETANZOS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,196,199,18,7,0,0,395,25,420
BOLIVAR,consulta externa,ninos  de 1 a 4 anos,2024-07-01,29,31,18,16,0,0,60,34,94
BOLPEBRA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,21,21,7,3,0,0,42,10,52
BOYUIBE,consulta externa,ninos  de 1 a 4 anos,2024-07-01,62,37,3,6,0,0,99,9,108
BUENA VISTA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,125,86,3,2,1,0,211,5,216
CABEZAS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,207,247,25,28,5,3,454,53,507
CAIROMA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,99,87,6,3,0,0,186,9,195
"CAIZA ""D""",consulta externa,ninos  de 1 a 4 anos,2024-07-01,73,75,5,3,0,0,148,8,156
CAJUATA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,90,100,6,4,12,17,190,10,200
CALACOTO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,33,44,1,2,0,0,77,3,80
CALAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,96,76,4,3,0,0,172,7,179
CAMARGO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,169,149,30,25,0,0,318,55,373
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos  de 1 a 4 anos,2024-07-01,36,28,1,0,0,0,64,1,65
CAMIRI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,187,224,47,32,0,0,411,79,490
CAPINOTA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,292,286,35,15,0,0,578,50,628
CAQUIAVIRI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,83,68,12,8,0,0,151,20,171
CARACOLLO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,255,213,8,8,10,12,468,16,484
CARANAVI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,525,423,152,98,10,3,948,250,1198
CARANGAS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,7,2,0,0,0,0,9,0,9
CARAPARI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,204,171,16,20,5,10,375,36,411
CARIPUYO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,62,49,0,1,0,0,111,1,112
CARMEN RIVERO TORREZ,consulta externa,ninos  de 1 a 4 anos,2024-07-01,49,38,4,7,1,1,87,11,98
CATACORA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,9,17,2,3,0,0,26,5,31
CHACARILLA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,20,14,0,0,0,0,34,0,34
CHALLAPATA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,148,132,23,20,17,23,280,43,323
CHAQUI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,49,61,0,1,0,0,110,1,111
CHARAGUA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,432,420,77,53,0,0,852,130,982
CHARAÑA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,26,24,5,1,0,0,50,6,56
CHAYANTA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,84,104,12,24,36,28,188,36,224
CHIMORE,consulta externa,ninos  de 1 a 4 anos,2024-07-01,467,438,47,26,0,0,905,73,978
CHIPAYA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,14,13,0,0,0,0,27,0,27
CHOQUE COTA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,15,13,0,1,0,0,28,1,29
CHUA COCANI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,16,10,29,17,0,0,26,46,72
CHULUMANI (V. DE LA LIBERTAD),consulta externa,ninos  de 1 a 4 anos,2024-07-01,123,125,11,12,5,5,248,23,271
CHUMA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,83,69,4,3,7,7,152,7,159
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,57,58,1,1,0,0,115,2,117
CKOCHAS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,76,69,3,2,2,0,145,5,150
CLIZA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,157,153,96,98,0,0,310,194,504
COBIJA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,609,561,232,217,2,0,1170,449,1619
COCAPATA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,388,382,4,3,0,0,770,7,777
COCHABAMBA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,6187,5756,2045,1837,209,192,11943,3882,15825
COIPASA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,2,2,0,0,0,0,4,0,4
COLCAPIRHUA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,388,327,162,131,0,0,715,293,1008
"COLCHA ""K""",consulta externa,ninos  de 1 a 4 anos,2024-07-01,123,100,4,3,39,22,223,7,230
COLLANA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,32,7,6,0,0,0,39,6,45
COLOMI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,153,142,6,4,11,16,295,10,305
COLPA BELGICA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,71,87,12,10,7,1,158,22,180
COLQUECHACA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,112,117,0,0,1,2,229,0,229
COLQUENCHA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,95,78,19,32,0,0,173,51,224
COLQUIRI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,107,86,5,7,14,3,193,12,205
COMANCHE,consulta externa,ninos  de 1 a 4 anos,2024-07-01,18,12,0,0,0,0,30,0,30
COMARAPA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,132,156,22,21,0,0,288,43,331
COMBAYA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,21,10,5,3,0,0,31,8,39
CONCEPCION,consulta externa,ninos  de 1 a 4 anos,2024-07-01,138,133,25,24,1,3,271,49,320
COPACABANA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,50,42,4,6,0,0,92,10,102
CORIPATA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,151,111,21,19,3,2,262,40,302
CORO CORO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,74,62,4,4,0,0,136,8,144
COROICO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,183,170,30,20,15,7,353,50,403
CORQUE,consulta externa,ninos  de 1 a 4 anos,2024-07-01,37,49,12,9,0,0,86,21,107
COTAGAITA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,206,216,13,15,11,8,422,28,450
COTOCA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,642,548,60,39,58,54,1190,99,1289
CRUZ DE MACHACAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,1,0,0,0,0,0,1,0,1
CUATRO CAÑADAS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,166,196,14,35,5,4,362,49,411
CUCHUMUELA (V. G. VILLARROEL),consulta externa,ninos  de 1 a 4 anos,2024-07-01,18,12,5,11,0,0,30,16,46
CUEVO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,35,29,30,26,0,0,64,56,120
CULPINA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,118,124,19,6,0,0,242,25,267
CURAHUARA DE CARANGAS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,20,14,1,1,3,2,34,2,36
CURVA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,32,23,2,1,1,2,55,3,58
DESAGUADERO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,32,19,7,6,2,1,51,13,64
EL ALTO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,5361,5053,1864,1788,357,263,10414,3652,14066
EL CHORO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,42,29,0,0,1,2,71,0,71
EL PUENTE(STC),consulta externa,ninos  de 1 a 4 anos,2024-07-01,102,98,7,3,2,1,200,10,210
EL PUENTE(TJA),consulta externa,ninos  de 1 a 4 anos,2024-07-01,104,133,3,7,28,38,237,10,247
EL TORNO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,655,639,275,273,0,0,1294,548,1842
EL VILLAR,consulta externa,ninos  de 1 a 4 anos,2024-07-01,69,65,3,5,0,0,134,8,142
ENTRE RIOS TRJ,consulta externa,ninos  de 1 a 4 anos,2024-07-01,269,235,7,4,0,0,504,11,515
ENTRE RIOS CBBA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,456,421,39,29,0,0,877,68,945
ESCARA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,5,2,1,0,0,0,7,1,8
ESCOMA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,49,30,0,1,0,0,79,1,80
ESMERALDA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,1,3,0,0,2,2,4,0,4
EUCALIPTUS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,23,20,0,2,4,3,43,2,45
EUREKA (SANTOS MERCADO),consulta externa,ninos  de 1 a 4 anos,2024-07-01,12,5,0,0,0,0,17,0,17
EXALTACION,consulta externa,ninos  de 1 a 4 anos,2024-07-01,34,45,3,1,0,0,79,4,83
FERNANDEZ ALONSO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,190,177,25,22,1,0,367,47,414
FILADELFIA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,53,53,0,0,48,51,106,0,106
GAIOC JATUN AYLLU YURA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,31,44,0,1,0,0,75,1,76
GENERAL SAAVEDRA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,249,262,44,30,0,0,511,74,585
GIA-TIM,consulta externa,ninos  de 1 a 4 anos,2024-07-01,15,21,1,1,14,13,36,2,38
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,ninos  de 1 a 4 anos,2024-07-01,95,53,22,21,0,0,148,43,191
GUANAY,consulta externa,ninos  de 1 a 4 anos,2024-07-01,109,96,106,115,0,0,205,221,426
GUAQUI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,25,32,3,7,6,5,57,10,67
GUAYARAMERIN,consulta externa,ninos  de 1 a 4 anos,2024-07-01,380,365,41,30,43,23,745,71,816
GUTIERREZ,consulta externa,ninos  de 1 a 4 anos,2024-07-01,141,174,7,10,0,0,315,17,332
HUACARAJE,consulta externa,ninos  de 1 a 4 anos,2024-07-01,39,30,11,6,0,0,69,17,86
HUACARETA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,72,70,29,14,0,0,142,43,185
HUACAYA (VILLA DE HUACAYA),consulta externa,ninos  de 1 a 4 anos,2024-07-01,22,31,5,3,0,0,53,8,61
HUACHACALLA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,2,5,2,5,0,2,7,7,14
HUANUNI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,145,134,38,37,1,4,279,75,354
HUARINA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,35,33,35,28,0,0,68,63,131
HUATAJATA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,14,11,18,26,0,0,25,44,69
HUAYLLAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,18,20,7,9,0,0,38,16,54
HUMANATA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,18,18,23,16,0,0,36,39,75
ICHOCA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,61,54,4,2,8,4,115,6,121
ICLA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,82,99,35,32,0,0,181,67,248
INCAHUASI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,178,195,3,1,4,1,373,4,377
INGAVI (HUMAITA),consulta externa,ninos  de 1 a 4 anos,2024-07-01,23,23,3,1,0,0,46,4,50
INQUISIVI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,110,88,4,6,4,3,198,10,208
IRUPANA (VILLA DE LANZA),consulta externa,ninos  de 1 a 4 anos,2024-07-01,162,183,81,91,0,0,345,172,517
IXIAMAS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,136,177,41,48,0,0,313,89,402
JESUS DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,55,42,50,32,0,0,97,82,179
LA ASUNTA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,336,360,51,37,145,160,696,88,784
LA GUARDIA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,924,876,448,431,21,20,1800,879,2679
LA PAZ,consulta externa,ninos  de 1 a 4 anos,2024-07-01,5192,4784,1979,1736,359,328,9976,3715,13691
LA RIVERA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,0,2,0,0,0,0,2,0,2
LAGUNILLAS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,81,73,39,25,0,0,154,64,218
LAJA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,101,92,45,27,0,0,193,72,265
LAS CARRERAS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,36,38,0,1,0,0,74,1,75
LICOMA PAMPA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,23,22,1,0,0,0,45,1,46
LLALLAGUA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,333,336,4,7,14,14,669,11,680
LLICA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,19,17,4,1,0,0,36,5,41
LORETO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,27,27,22,22,1,1,54,44,98
LURIBAY,consulta externa,ninos  de 1 a 4 anos,2024-07-01,60,94,6,7,0,0,154,13,167
MACHACAMARCA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,26,20,4,2,0,1,46,6,52
MACHARETI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,78,83,4,4,2,6,161,8,169
MAGDALENA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,49,35,12,10,30,29,84,22,106
MAIRANA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,69,83,6,14,0,0,152,20,172
MALLA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,28,22,1,3,0,0,50,4,54
MAPIRI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,144,141,25,27,0,0,285,52,337
MECAPACA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,60,55,38,25,0,0,115,63,178
MINEROS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,133,152,18,23,11,9,285,41,326
MIZQUE,consulta externa,ninos  de 1 a 4 anos,2024-07-01,216,209,67,64,20,18,425,131,556
MOCOMOCO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,69,73,16,17,0,0,142,33,175
MOJINETE,consulta externa,ninos  de 1 a 4 anos,2024-07-01,4,7,3,2,0,0,11,5,16
MOJOCOYA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,66,54,7,4,0,0,120,11,131
MONTEAGUDO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,234,270,90,69,4,8,504,159,663
MONTERO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,1461,1210,242,200,7,2,2671,442,3113
MORO MORO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,15,19,1,5,0,0,34,6,40
MOROCHATA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,81,65,1,1,0,0,146,2,148
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,ninos  de 1 a 4 anos,2024-07-01,59,59,2,2,0,0,118,4,122
NAZACARA DE PACAJES,consulta externa,ninos  de 1 a 4 anos,2024-07-01,4,2,5,5,0,0,6,10,16
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,ninos  de 1 a 4 anos,2024-07-01,25,40,0,0,8,17,65,0,65
OCURI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,93,87,2,2,0,0,180,4,184
OKINAWA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,106,90,32,32,0,0,196,64,260
OMEREQUE,consulta externa,ninos  de 1 a 4 anos,2024-07-01,72,71,15,9,0,0,143,24,167
ORURO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,2845,2384,794,669,384,340,5229,1463,6692
PADCAYA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,250,221,16,17,43,30,471,33,504
PADILLA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,152,155,19,12,1,2,307,31,338
PAILON,consulta externa,ninos  de 1 a 4 anos,2024-07-01,266,270,80,76,0,0,536,156,692
PALCA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,154,139,5,5,61,64,293,10,303
PALOS BLANCOS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,479,418,39,36,0,0,897,75,972
PAMPA AULLAGAS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,18,18,5,4,0,0,36,9,45
PAMPA GRANDE,consulta externa,ninos  de 1 a 4 anos,2024-07-01,67,53,3,1,0,0,120,4,124
PAPEL PAMPA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,44,41,4,4,0,0,85,8,93
PASORAPA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,32,20,11,18,2,2,52,29,81
PATACAMAYA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,117,98,24,22,0,0,215,46,261
PAZÑA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,32,31,3,1,0,0,63,4,67
PELECHUCO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,123,93,6,9,2,1,216,15,231
POCOATA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,171,162,4,0,2,0,333,4,337
POCONA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,91,81,3,1,0,0,172,4,176
POJO (CBBA),consulta externa,ninos  de 1 a 4 anos,2024-07-01,89,83,25,21,0,0,172,46,218
POOPO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,54,46,19,6,0,1,100,25,125
PORCO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,87,87,2,1,2,1,174,3,177
POROMA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,187,178,8,6,2,3,365,14,379
PORONGO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,86,77,37,44,0,0,163,81,244
PORTACHUELO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,80,55,67,64,11,10,135,131,266
PORVENIR,consulta externa,ninos  de 1 a 4 anos,2024-07-01,91,67,3,2,0,0,158,5,163
POSTRER VALLE,consulta externa,ninos  de 1 a 4 anos,2024-07-01,7,12,1,0,0,0,19,1,20
POTOSI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,2194,1782,258,197,184,162,3976,455,4431
PRESTO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,91,98,3,0,0,0,189,3,192
PUCARA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,16,13,4,2,0,0,29,6,35
PUCARANI,consulta externa,ninos  de 1 a 4 anos,2024-07-01,213,215,18,12,0,0,428,30,458
PUERTO ACOSTA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,58,25,12,11,0,0,83,23,106
PUERTO CARABUCO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,65,74,10,8,0,0,139,18,157
PUERTO GONZALO MORENO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,134,120,32,43,5,12,254,75,329
PUERTO PEREZ,consulta externa,ninos  de 1 a 4 anos,2024-07-01,39,27,13,10,0,0,66,23,89
PUERTO QUIJARRO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,157,170,11,21,19,8,327,32,359
PUERTO RICO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,99,94,1,1,0,0,193,2,195
PUERTO SILES,consulta externa,ninos  de 1 a 4 anos,2024-07-01,11,12,0,2,0,0,23,2,25
PUERTO SUAREZ,consulta externa,ninos  de 1 a 4 anos,2024-07-01,156,159,19,5,17,16,315,24,339
PUERTO VILLARROEL,consulta externa,ninos  de 1 a 4 anos,2024-07-01,1194,1189,77,82,0,0,2383,159,2542
PUNA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,113,113,1,0,26,20,226,1,227
PUNATA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,347,364,307,302,7,3,711,609,1320
QUIABAYA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,35,34,3,6,0,0,69,9,78
QUILLACOLLO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,1489,1394,499,480,8,10,2883,979,3862
QUIME,consulta externa,ninos  de 1 a 4 anos,2024-07-01,54,34,22,29,1,0,88,51,139
QUIRUSILLAS,consulta externa,ninos  de 1 a 4 anos,2024-07-01,8,21,0,2,0,0,29,2,31
RAQAYPAMPA(ETA),consulta externa,ninos  de 1 a 4 anos,2024-07-01,53,64,18,15,15,20,117,33,150
RAVELO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,95,96,0,0,0,0,191,0,191
REYES,consulta externa,ninos  de 1 a 4 anos,2024-07-01,173,141,0,0,0,0,314,0,314
RIBERALTA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,1087,1060,111,93,139,129,2147,204,2351
ROBORE,consulta externa,ninos  de 1 a 4 anos,2024-07-01,115,150,29,24,8,6,265,53,318
RURRENABAQUE,consulta externa,ninos  de 1 a 4 anos,2024-07-01,247,227,22,8,14,9,474,30,504
SABAYA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,22,26,3,5,4,3,48,8,56
SACABA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,1745,1621,342,319,319,281,3366,661,4027
SACABAMBA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,23,24,2,4,0,0,47,6,53
SACACA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,140,139,2,2,0,0,279,4,283
SAIPINA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,50,47,9,8,0,0,97,17,114
SALINAS DE GARCI MENDOZA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,57,50,4,2,8,6,107,6,113
SAMAIPATA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,94,80,27,20,0,0,174,47,221
SAN AGUSTIN,consulta externa,ninos  de 1 a 4 anos,2024-07-01,19,17,0,0,0,0,36,0,36
SAN ANDRES,consulta externa,ninos  de 1 a 4 anos,2024-07-01,155,160,46,35,2,5,315,81,396
SAN ANDRES DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,21,26,6,7,0,0,47,13,60
SAN ANTONIO DE ESMORUCO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,11,13,0,0,0,0,24,0,24
SAN ANTONIO DE LOMERIO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,57,62,1,2,0,0,119,3,122
SAN BENITO,consulta externa,ninos  de 1 a 4 anos,2024-07-01,131,112,21,12,0,0,243,33,276
SAN BORJA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,537,455,159,154,141,119,992,313,1305
SAN BUENA VENTURA,consulta externa,ninos  de 1 a 4 anos,2024-07-01,91,86,18,14,0,0,177,32,209
