,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
MALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,0,0,9,2,9,2,11
MAPIRI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,16,8,121,145,137,153,290
MECAPACA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,10,10,61,65,71,75,146
MINEROS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,23,19,177,146,200,165,365
MIZQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,18,32,132,128,150,160,310
MOCOMOCO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,2,1,40,37,42,38,80
MOJINETE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,0,0,3,1,3,1,4
MOJOCOYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,5,3,23,30,28,33,61
MONTEAGUDO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,10,21,138,130,148,151,299
MONTERO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,169,148,869,789,1038,937,1975
MORO MORO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,2,1,11,20,13,21,34
MOROCHATA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,5,3,38,35,43,38,81
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,1,1,29,15,30,16,46
NAZACARA DE PACAJES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,1,0,4,1,5,1,6
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,1,0,7,7,8,7,15
OCURI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,2,4,41,33,43,37,80
OKINAWA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,6,2,88,62,94,64,158
OMEREQUE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,3,2,47,37,50,39,89
ORURO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,516,466,1735,1581,2251,2047,4298
PADCAYA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,4,9,98,89,102,98,200
PADILLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,14,15,55,44,69,59,128
PAILON,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,78,51,219,174,297,225,522
PALCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,55,21,82,113,137,134,271
PALOS BLANCOS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,55,58,156,136,211,194,405
PAMPA AULLAGAS,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2020-01-01,3,0,20,12,23,12,35
