municipality,group,variable,month,Total 25.6 Viviendas Evaluadas,TOTAL
CLIZA,chagas viviendas,       viviendas evaluadas,2014-11-01,328,328
COCHABAMBA,chagas viviendas,       viviendas evaluadas,2014-11-01,144,144
COLCAPIRHUA,chagas viviendas,       viviendas evaluadas,2014-11-01,185,185
COLQUECHACA,chagas viviendas,       viviendas evaluadas,2014-11-01,141,141
COMARAPA,chagas viviendas,       viviendas evaluadas,2014-11-01,8,8
COTAGAITA,chagas viviendas,       viviendas evaluadas,2014-11-01,535,535
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,       viviendas evaluadas,2014-11-01,157,157
CULPINA,chagas viviendas,       viviendas evaluadas,2014-11-01,170,170
EL TORNO,chagas viviendas,       viviendas evaluadas,2014-11-01,8,8
EL VILLAR,chagas viviendas,       viviendas evaluadas,2014-11-01,211,211
HUACARETA,chagas viviendas,       viviendas evaluadas,2014-11-01,639,639
HUACAYA (VILLA DE HUACAYA),chagas viviendas,       viviendas evaluadas,2014-11-01,42,42
LAGUNILLAS,chagas viviendas,       viviendas evaluadas,2014-11-01,15,15
LURIBAY,chagas viviendas,       viviendas evaluadas,2014-11-01,363,363
MACHARETI,chagas viviendas,       viviendas evaluadas,2014-11-01,543,543
MAIRANA,chagas viviendas,       viviendas evaluadas,2014-11-01,105,105
MIZQUE,chagas viviendas,       viviendas evaluadas,2014-11-01,304,304
MOJOCOYA,chagas viviendas,       viviendas evaluadas,2014-11-01,52,52
MOROCHATA,chagas viviendas,       viviendas evaluadas,2014-11-01,94,94
OCURI,chagas viviendas,       viviendas evaluadas,2014-11-01,236,236
OMEREQUE,chagas viviendas,       viviendas evaluadas,2014-11-01,179,179
PADCAYA,chagas viviendas,       viviendas evaluadas,2014-11-01,219,219
PADILLA,chagas viviendas,       viviendas evaluadas,2014-11-01,461,461
PAILON,chagas viviendas,       viviendas evaluadas,2014-11-01,48,48
PAMPA GRANDE,chagas viviendas,       viviendas evaluadas,2014-11-01,145,145
PASORAPA,chagas viviendas,       viviendas evaluadas,2014-11-01,262,262
POCOATA,chagas viviendas,       viviendas evaluadas,2014-11-01,102,102
POCONA,chagas viviendas,       viviendas evaluadas,2014-11-01,133,133
POJO (CBBA),chagas viviendas,       viviendas evaluadas,2014-11-01,110,110
POROMA,chagas viviendas,       viviendas evaluadas,2014-11-01,279,279
POSTRER VALLE,chagas viviendas,       viviendas evaluadas,2014-11-01,32,32
PRESTO,chagas viviendas,       viviendas evaluadas,2014-11-01,242,242
PUCARA,chagas viviendas,       viviendas evaluadas,2014-11-01,150,150
PUNATA,chagas viviendas,       viviendas evaluadas,2014-11-01,870,870
QUILLACOLLO,chagas viviendas,       viviendas evaluadas,2014-11-01,39,39
RAVELO,chagas viviendas,       viviendas evaluadas,2014-11-01,690,690
SACABA,chagas viviendas,       viviendas evaluadas,2014-11-01,307,307
SACABAMBA,chagas viviendas,       viviendas evaluadas,2014-11-01,788,788
SAIPINA,chagas viviendas,       viviendas evaluadas,2014-11-01,88,88
SAN BENITO,chagas viviendas,       viviendas evaluadas,2014-11-01,515,515
SAN JULIAN,chagas viviendas,       viviendas evaluadas,2014-11-01,5,5
SAN LORENZO(TJA),chagas viviendas,       viviendas evaluadas,2014-11-01,82,82
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas evaluadas,2014-11-01,924,924
SANTIVAÑES,chagas viviendas,       viviendas evaluadas,2014-11-01,98,98
SICAYA,chagas viviendas,       viviendas evaluadas,2014-11-01,67,67
SIPE SIPE,chagas viviendas,       viviendas evaluadas,2014-11-01,130,130
SUCRE,chagas viviendas,       viviendas evaluadas,2014-11-01,612,612
TACOPAYA,chagas viviendas,       viviendas evaluadas,2014-11-01,199,199
TAPACARI,chagas viviendas,       viviendas evaluadas,2014-11-01,153,153
TARABUCO,chagas viviendas,       viviendas evaluadas,2014-11-01,298,298
TARATA,chagas viviendas,       viviendas evaluadas,2014-11-01,261,261
TARIJA,chagas viviendas,       viviendas evaluadas,2014-11-01,1,1
TIQUIPAYA,chagas viviendas,       viviendas evaluadas,2014-11-01,316,316
TOCO,chagas viviendas,       viviendas evaluadas,2014-11-01,134,134
TOLATA,chagas viviendas,       viviendas evaluadas,2014-11-01,184,184
TOMAVE,chagas viviendas,       viviendas evaluadas,2014-11-01,143,143
TOMINA,chagas viviendas,       viviendas evaluadas,2014-11-01,401,401
TORO TORO,chagas viviendas,       viviendas evaluadas,2014-11-01,280,280
TOTORA(CBBA),chagas viviendas,       viviendas evaluadas,2014-11-01,205,205
TRIGAL,chagas viviendas,       viviendas evaluadas,2014-11-01,139,139
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas evaluadas,2014-11-01,50,50
VILLA CHARCAS,chagas viviendas,       viviendas evaluadas,2014-11-01,208,208
VILLA MONTES,chagas viviendas,       viviendas evaluadas,2014-11-01,26,26
VILLA RIVERO,chagas viviendas,       viviendas evaluadas,2014-11-01,239,239
VILLA SERRANO,chagas viviendas,       viviendas evaluadas,2014-11-01,683,683
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,       viviendas evaluadas,2014-11-01,631,631
VILLAZON,chagas viviendas,       viviendas evaluadas,2014-11-01,142,142
YACUIBA,chagas viviendas,       viviendas evaluadas,2014-11-01,363,363
YAMPARAEZ,chagas viviendas,       viviendas evaluadas,2014-11-01,87,87
YOTALA,chagas viviendas,       viviendas evaluadas,2014-11-01,655,655
YUNCHARA,chagas viviendas,       viviendas evaluadas,2014-11-01,141,141
ZUDAÑEZ,chagas viviendas,       viviendas evaluadas,2014-11-01,156,156
ACACIO,chagas viviendas,       viviendas evaluadas,2014-12-01,518,518
AIQUILE,chagas viviendas,       viviendas evaluadas,2014-12-01,530,530
ANZALDO,chagas viviendas,       viviendas evaluadas,2014-12-01,70,70
ARAMPAMPA,chagas viviendas,       viviendas evaluadas,2014-12-01,160,160
ARANI,chagas viviendas,       viviendas evaluadas,2014-12-01,250,250
ARBIETO,chagas viviendas,       viviendas evaluadas,2014-12-01,308,308
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,       viviendas evaluadas,2014-12-01,125,125
BETANZOS,chagas viviendas,       viviendas evaluadas,2014-12-01,359,359
CAPINOTA,chagas viviendas,       viviendas evaluadas,2014-12-01,164,164
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,       viviendas evaluadas,2014-12-01,562,562
CLIZA,chagas viviendas,       viviendas evaluadas,2014-12-01,730,730
COLCAPIRHUA,chagas viviendas,       viviendas evaluadas,2014-12-01,210,210
COLQUECHACA,chagas viviendas,       viviendas evaluadas,2014-12-01,73,73
COMARAPA,chagas viviendas,       viviendas evaluadas,2014-12-01,23,23
EL TORNO,chagas viviendas,       viviendas evaluadas,2014-12-01,50,50
EL VILLAR,chagas viviendas,       viviendas evaluadas,2014-12-01,49,49
GUTIERREZ,chagas viviendas,       viviendas evaluadas,2014-12-01,19,19
HUACARETA,chagas viviendas,       viviendas evaluadas,2014-12-01,266,266
HUACAYA (VILLA DE HUACAYA),chagas viviendas,       viviendas evaluadas,2014-12-01,169,169
ICLA,chagas viviendas,       viviendas evaluadas,2014-12-01,283,283
LAGUNILLAS,chagas viviendas,       viviendas evaluadas,2014-12-01,5,5
MIZQUE,chagas viviendas,       viviendas evaluadas,2014-12-01,183,183
MORO MORO,chagas viviendas,       viviendas evaluadas,2014-12-01,337,337
PADCAYA,chagas viviendas,       viviendas evaluadas,2014-12-01,337,337
PASORAPA,chagas viviendas,       viviendas evaluadas,2014-12-01,79,79
POCOATA,chagas viviendas,       viviendas evaluadas,2014-12-01,53,53
POCONA,chagas viviendas,       viviendas evaluadas,2014-12-01,74,74
POROMA,chagas viviendas,       viviendas evaluadas,2014-12-01,408,408
PUCARA,chagas viviendas,       viviendas evaluadas,2014-12-01,105,105
PUNATA,chagas viviendas,       viviendas evaluadas,2014-12-01,520,520
RAVELO,chagas viviendas,       viviendas evaluadas,2014-12-01,517,517
SACABA,chagas viviendas,       viviendas evaluadas,2014-12-01,442,442
SACABAMBA,chagas viviendas,       viviendas evaluadas,2014-12-01,479,479
SAIPINA,chagas viviendas,       viviendas evaluadas,2014-12-01,120,120
SAN BENITO,chagas viviendas,       viviendas evaluadas,2014-12-01,250,250
SAN LORENZO(TJA),chagas viviendas,       viviendas evaluadas,2014-12-01,171,171
SAN LUCAS,chagas viviendas,       viviendas evaluadas,2014-12-01,109,109
SAN PEDRO DE BUENA VISTA,chagas viviendas,       viviendas evaluadas,2014-12-01,1011,1011
SANTIVAÑES,chagas viviendas,       viviendas evaluadas,2014-12-01,49,49
SUCRE,chagas viviendas,       viviendas evaluadas,2014-12-01,740,740
TACOPAYA,chagas viviendas,       viviendas evaluadas,2014-12-01,219,219
TAPACARI,chagas viviendas,       viviendas evaluadas,2014-12-01,88,88
TARATA,chagas viviendas,       viviendas evaluadas,2014-12-01,243,243
TEOPONTE,chagas viviendas,       viviendas evaluadas,2014-12-01,131,131
TIQUIPAYA,chagas viviendas,       viviendas evaluadas,2014-12-01,350,350
TOCO,chagas viviendas,       viviendas evaluadas,2014-12-01,30,30
TOLATA,chagas viviendas,       viviendas evaluadas,2014-12-01,220,220
TOMAVE,chagas viviendas,       viviendas evaluadas,2014-12-01,258,258
TOMINA,chagas viviendas,       viviendas evaluadas,2014-12-01,114,114
TORO TORO,chagas viviendas,       viviendas evaluadas,2014-12-01,231,231
URIONDO (A. CONCEPCION),chagas viviendas,       viviendas evaluadas,2014-12-01,421,421
VILLA CHARCAS,chagas viviendas,       viviendas evaluadas,2014-12-01,672,672
VILLA MONTES,chagas viviendas,       viviendas evaluadas,2014-12-01,114,114
VILLA RIVERO,chagas viviendas,       viviendas evaluadas,2014-12-01,244,244
VILLA SERRANO,chagas viviendas,       viviendas evaluadas,2014-12-01,240,240
VILLA VACA GUZMAN (MUYUPAMPA),chagas viviendas,       viviendas evaluadas,2014-12-01,154,154
VILLAZON,chagas viviendas,       viviendas evaluadas,2014-12-01,391,391
YACUIBA,chagas viviendas,       viviendas evaluadas,2014-12-01,382,382
YAMPARAEZ,chagas viviendas,       viviendas evaluadas,2014-12-01,289,289
YOTALA,chagas viviendas,       viviendas evaluadas,2014-12-01,592,592
ZUDAÑEZ,chagas viviendas,       viviendas evaluadas,2014-12-01,142,142
