,group,variable,month,13. 2 INGRESOS ESPONTÁNEOS CANTIDAD,13. 2 INGRESOS ESPONTÁNEOS CANTIDAD,TOTALES,TOTALES,TOTALES
PADILLA,internaciones,2      ingresos espontaneos,2014-10-01,24,51,24,51,75
PAILON,internaciones,2      ingresos espontaneos,2014-10-01,28,68,28,68,96
PALCA,internaciones,2      ingresos espontaneos,2014-10-01,0,3,0,3,3
PALOS BLANCOS,internaciones,2      ingresos espontaneos,2014-10-01,12,42,12,42,54
PAMPA AULLAGAS,internaciones,2      ingresos espontaneos,2014-10-01,0,1,0,1,1
PAMPA GRANDE,internaciones,2      ingresos espontaneos,2014-10-01,4,21,4,21,25
PAPEL PAMPA,internaciones,2      ingresos espontaneos,2014-10-01,0,3,0,3,3
PASORAPA,internaciones,2      ingresos espontaneos,2014-10-01,2,1,2,1,3
PATACAMAYA,internaciones,2      ingresos espontaneos,2014-10-01,3,50,3,50,53
PAZÑA,internaciones,2      ingresos espontaneos,2014-10-01,0,1,0,1,1
POCOATA,internaciones,2      ingresos espontaneos,2014-10-01,2,9,2,9,11
POCONA,internaciones,2      ingresos espontaneos,2014-10-01,1,11,1,11,12
POJO (CBBA),internaciones,2      ingresos espontaneos,2014-10-01,4,20,4,20,24
POOPO,internaciones,2      ingresos espontaneos,2014-10-01,0,2,0,2,2
POROMA,internaciones,2      ingresos espontaneos,2014-10-01,1,7,1,7,8
PORONGO,internaciones,2      ingresos espontaneos,2014-10-01,0,1,0,1,1
PORTACHUELO,internaciones,2      ingresos espontaneos,2014-10-01,74,174,74,174,248
PORVENIR,internaciones,2      ingresos espontaneos,2014-10-01,7,11,7,11,18
POSTRER VALLE,internaciones,2      ingresos espontaneos,2014-10-01,3,2,3,2,5
POTOSI,internaciones,2      ingresos espontaneos,2014-10-01,671,1969,671,1969,2640
PRESTO,internaciones,2      ingresos espontaneos,2014-10-01,1,3,1,3,4
PUCARANI,internaciones,2      ingresos espontaneos,2014-10-01,3,13,3,13,16
PUERTO ACOSTA,internaciones,2      ingresos espontaneos,2014-10-01,0,1,0,1,1
PUERTO CARABUCO,internaciones,2      ingresos espontaneos,2014-10-01,0,2,0,2,2
PUERTO GONZALO MORENO,internaciones,2      ingresos espontaneos,2014-10-01,6,11,6,11,17
PUERTO PEREZ,internaciones,2      ingresos espontaneos,2014-10-01,0,1,0,1,1
PUERTO QUIJARRO,internaciones,2      ingresos espontaneos,2014-10-01,28,24,28,24,52
PUERTO RICO,internaciones,2      ingresos espontaneos,2014-10-01,8,34,8,34,42
PUERTO VILLARROEL,internaciones,2      ingresos espontaneos,2014-10-01,79,188,79,188,267
PUNA,internaciones,2      ingresos espontaneos,2014-10-01,0,11,0,11,11
PUNATA,internaciones,2      ingresos espontaneos,2014-10-01,83,136,83,136,219
QUILLACOLLO,internaciones,2      ingresos espontaneos,2014-10-01,31,290,31,290,321
QUIME,internaciones,2      ingresos espontaneos,2014-10-01,1,5,1,5,6
QUIRUSILLAS,internaciones,2      ingresos espontaneos,2014-10-01,1,1,1,1,2
REYES,internaciones,2      ingresos espontaneos,2014-10-01,9,43,9,43,52
RIBERALTA,internaciones,2      ingresos espontaneos,2014-10-01,383,672,383,672,1055
ROBORE,internaciones,2      ingresos espontaneos,2014-10-01,36,83,36,83,119
RURRENABAQUE,internaciones,2      ingresos espontaneos,2014-10-01,47,99,47,99,146
SACABA,internaciones,2      ingresos espontaneos,2014-10-01,107,387,107,387,494
SACABAMBA,internaciones,2      ingresos espontaneos,2014-10-01,3,9,3,9,12
SACACA,internaciones,2      ingresos espontaneos,2014-10-01,0,5,0,5,5
SAIPINA,internaciones,2      ingresos espontaneos,2014-10-01,0,11,0,11,11
SALINAS DE GARCI MENDOZA,internaciones,2      ingresos espontaneos,2014-10-01,0,3,0,3,3
SAMAIPATA,internaciones,2      ingresos espontaneos,2014-10-01,7,35,7,35,42
SAN ANDRES,internaciones,2      ingresos espontaneos,2014-10-01,0,8,0,8,8
SAN ANTONIO DE LOMERIO,internaciones,2      ingresos espontaneos,2014-10-01,9,12,9,12,21
SAN BENITO,internaciones,2      ingresos espontaneos,2014-10-01,2,12,2,12,14
SAN BORJA,internaciones,2      ingresos espontaneos,2014-10-01,45,124,45,124,169
SAN BUENA VENTURA,internaciones,2      ingresos espontaneos,2014-10-01,6,28,6,28,34
SAN CARLOS,internaciones,2      ingresos espontaneos,2014-10-01,0,6,0,6,6
SAN IGNACIO,internaciones,2      ingresos espontaneos,2014-10-01,37,65,37,65,102
SAN IGNACIO DE VELASCO,internaciones,2      ingresos espontaneos,2014-10-01,82,239,82,239,321
SAN JOAQUIN,internaciones,2      ingresos espontaneos,2014-10-01,13,27,13,27,40
SAN JOSE DE CHIQUITOS,internaciones,2      ingresos espontaneos,2014-10-01,55,141,55,141,196
SAN JULIAN,internaciones,2      ingresos espontaneos,2014-10-01,48,177,48,177,225
SAN LORENZO(TJA),internaciones,2      ingresos espontaneos,2014-10-01,0,8,0,8,8
SAN LUCAS,internaciones,2      ingresos espontaneos,2014-10-01,8,39,8,39,47
SAN MATIAS,internaciones,2      ingresos espontaneos,2014-10-01,16,50,16,50,66
SAN MIGUEL DE VELASCO,internaciones,2      ingresos espontaneos,2014-10-01,6,18,6,18,24
SAN PEDRO,internaciones,2      ingresos espontaneos,2014-10-01,14,19,14,19,33
SAN PEDRO DE BUENA VISTA,internaciones,2      ingresos espontaneos,2014-10-01,1,13,1,13,14
SAN PEDRO DE TIQUINA,internaciones,2      ingresos espontaneos,2014-10-01,0,2,0,2,2
SAN RAFAEL,internaciones,2      ingresos espontaneos,2014-10-01,15,21,15,21,36
SAN RAMON BENI,internaciones,2      ingresos espontaneos,2014-10-01,7,32,7,32,39
SAN RAMON SCZ,internaciones,2      ingresos espontaneos,2014-10-01,4,30,4,30,34
SANTA ANA,internaciones,2      ingresos espontaneos,2014-10-01,54,119,54,119,173
SANTA CRUZ DE LA SIERRA,internaciones,2      ingresos espontaneos,2014-10-01,2762,6043,2762,6043,8805
SANTA ROSA,internaciones,2      ingresos espontaneos,2014-10-01,14,17,14,17,31
SANTA ROSA DEL SARA,internaciones,2      ingresos espontaneos,2014-10-01,5,27,5,27,32
SANTIAGO DE CALLAPA,internaciones,2      ingresos espontaneos,2014-10-01,0,2,0,2,2
SANTIAGO DE HUARI,internaciones,2      ingresos espontaneos,2014-10-01,0,2,0,2,2
SANTIAGO DE HUATA,internaciones,2      ingresos espontaneos,2014-10-01,0,5,0,5,5
SANTIAGO DE MACHACA,internaciones,2      ingresos espontaneos,2014-10-01,0,3,0,3,3
SANTIVAÑES,internaciones,2      ingresos espontaneos,2014-10-01,0,4,0,4,4
SANTUARIO DE QUILLACAS,internaciones,2      ingresos espontaneos,2014-10-01,0,3,0,3,3
SAPAHAQUI,internaciones,2      ingresos espontaneos,2014-10-01,0,1,0,1,1
SENA,internaciones,2      ingresos espontaneos,2014-10-01,12,37,12,37,49
SHINAOTA,internaciones,2      ingresos espontaneos,2014-10-01,12,51,12,51,63
SICA SICA (VILLA AROMA),internaciones,2      ingresos espontaneos,2014-10-01,0,14,0,14,14
SICAYA,internaciones,2      ingresos espontaneos,2014-10-01,0,4,0,4,4
SIPE SIPE,internaciones,2      ingresos espontaneos,2014-10-01,0,48,0,48,48
SOPACHUY,internaciones,2      ingresos espontaneos,2014-10-01,3,23,3,23,26
SORACACHI,internaciones,2      ingresos espontaneos,2014-10-01,0,1,0,1,1
SORATA,internaciones,2      ingresos espontaneos,2014-10-01,0,8,0,8,8
SUCRE,internaciones,2      ingresos espontaneos,2014-10-01,1779,2171,1779,2171,3950
TACACOMA,internaciones,2      ingresos espontaneos,2014-10-01,0,4,0,4,4
TACOPAYA,internaciones,2      ingresos espontaneos,2014-10-01,1,9,1,9,10
TAPACARI,internaciones,2      ingresos espontaneos,2014-10-01,0,4,0,4,4
TARABUCO,internaciones,2      ingresos espontaneos,2014-10-01,7,30,7,30,37
TARACO,internaciones,2      ingresos espontaneos,2014-10-01,0,1,0,1,1
TARATA,internaciones,2      ingresos espontaneos,2014-10-01,0,8,0,8,8
TARIJA,internaciones,2      ingresos espontaneos,2014-10-01,810,1431,810,1431,2241
TARVITA,internaciones,2      ingresos espontaneos,2014-10-01,6,17,6,17,23
TEOPONTE,internaciones,2      ingresos espontaneos,2014-10-01,7,15,7,15,22
TIAWANACU,internaciones,2      ingresos espontaneos,2014-10-01,1,1,1,1,2
TIPUANI,internaciones,2      ingresos espontaneos,2014-10-01,13,33,13,33,46
TIQUIPAYA,internaciones,2      ingresos espontaneos,2014-10-01,24,185,24,185,209
TIRAQUE (CBBA),internaciones,2      ingresos espontaneos,2014-10-01,0,22,0,22,22
TOCO,internaciones,2      ingresos espontaneos,2014-10-01,0,3,0,3,3
TOLATA,internaciones,2      ingresos espontaneos,2014-10-01,5,0,5,0,5
TOMINA,internaciones,2      ingresos espontaneos,2014-10-01,5,10,5,10,15
TORO TORO,internaciones,2      ingresos espontaneos,2014-10-01,4,5,4,5,9
TOTORA(CBBA),internaciones,2      ingresos espontaneos,2014-10-01,7,29,7,29,36
TOTORA(ORR),internaciones,2      ingresos espontaneos,2014-10-01,0,2,0,2,2
TRIGAL,internaciones,2      ingresos espontaneos,2014-10-01,5,2,5,2,7
TRINIDAD,internaciones,2      ingresos espontaneos,2014-10-01,479,963,479,963,1442
TUPIZA,internaciones,2      ingresos espontaneos,2014-10-01,57,125,57,125,182
UNCIA,internaciones,2      ingresos espontaneos,2014-10-01,34,68,34,68,102
URUBICHA,internaciones,2      ingresos espontaneos,2014-10-01,13,21,13,21,34
UYUNI,internaciones,2      ingresos espontaneos,2014-10-01,44,141,44,141,185
VACAS,internaciones,2      ingresos espontaneos,2014-10-01,1,3,1,3,4
VALLEGRANDE,internaciones,2      ingresos espontaneos,2014-10-01,50,103,50,103,153
VIACHA,internaciones,2      ingresos espontaneos,2014-10-01,0,12,0,12,12
VILA VILA,internaciones,2      ingresos espontaneos,2014-10-01,1,4,1,4,5
VILLA CHARCAS,internaciones,2      ingresos espontaneos,2014-10-01,0,26,0,26,26
VILLA MONTES,internaciones,2      ingresos espontaneos,2014-10-01,86,215,86,215,301
VILLA RIVERO,internaciones,2      ingresos espontaneos,2014-10-01,4,13,4,13,17
VILLA SERRANO,internaciones,2      ingresos espontaneos,2014-10-01,0,2,0,2,2
VILLA TUNARI,internaciones,2      ingresos espontaneos,2014-10-01,134,237,134,237,371
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,2      ingresos espontaneos,2014-10-01,1,9,1,9,10
VILLAZON,internaciones,2      ingresos espontaneos,2014-10-01,72,172,72,172,244
VINTO,internaciones,2      ingresos espontaneos,2014-10-01,58,106,58,106,164
WARNES,internaciones,2      ingresos espontaneos,2014-10-01,48,118,48,118,166
YACO,internaciones,2      ingresos espontaneos,2014-10-01,0,1,0,1,1
YACUIBA,internaciones,2      ingresos espontaneos,2014-10-01,240,408,240,408,648
YAMPARAEZ,internaciones,2      ingresos espontaneos,2014-10-01,0,5,0,5,5
YANACACHI,internaciones,2      ingresos espontaneos,2014-10-01,0,1,0,1,1
YAPACANI,internaciones,2      ingresos espontaneos,2014-10-01,130,98,130,98,228
YOTALA,internaciones,2      ingresos espontaneos,2014-10-01,5,6,5,6,11
ZUDAÑEZ,internaciones,2      ingresos espontaneos,2014-10-01,5,26,5,26,31
ACHACACHI,internaciones,2      ingresos espontaneos,2014-11-01,7,58,7,58,65
AIQUILE,internaciones,2      ingresos espontaneos,2014-11-01,36,90,36,90,126
ALCALA,internaciones,2      ingresos espontaneos,2014-11-01,0,4,0,4,4
ALTO BENI,internaciones,2      ingresos espontaneos,2014-11-01,0,10,0,10,10
ANTEQUERA,internaciones,2      ingresos espontaneos,2014-11-01,1,1,1,1,2
ANZALDO,internaciones,2      ingresos espontaneos,2014-11-01,0,4,0,4,4
APOLO,internaciones,2      ingresos espontaneos,2014-11-01,5,23,5,23,28
ARANI,internaciones,2      ingresos espontaneos,2014-11-01,0,15,0,15,15
ARBIETO,internaciones,2      ingresos espontaneos,2014-11-01,0,15,0,15,15
ARQUE,internaciones,2      ingresos espontaneos,2014-11-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,2      ingresos espontaneos,2014-11-01,42,144,42,144,186
ATOCHA,internaciones,2      ingresos espontaneos,2014-11-01,75,93,75,93,168
AUCAPATA,internaciones,2      ingresos espontaneos,2014-11-01,1,1,1,1,2
AYO AYO,internaciones,2      ingresos espontaneos,2014-11-01,1,3,1,3,4
AYOPAYA (V. DE INDEPENDENCIA),internaciones,2      ingresos espontaneos,2014-11-01,16,46,16,46,62
AZURDUY,internaciones,2      ingresos espontaneos,2014-11-01,5,14,5,14,19
BAURES,internaciones,2      ingresos espontaneos,2014-11-01,9,13,9,13,22
BELLA FLOR,internaciones,2      ingresos espontaneos,2014-11-01,0,2,0,2,2
BERMEJO,internaciones,2      ingresos espontaneos,2014-11-01,115,202,115,202,317
BETANZOS,internaciones,2      ingresos espontaneos,2014-11-01,0,25,0,25,25
BOLIVAR,internaciones,2      ingresos espontaneos,2014-11-01,1,1,1,1,2
BOYUIBE,internaciones,2      ingresos espontaneos,2014-11-01,11,30,11,30,41
CABEZAS,internaciones,2      ingresos espontaneos,2014-11-01,9,27,9,27,36
CAIROMA,internaciones,2      ingresos espontaneos,2014-11-01,2,2,2,2,4
"CAIZA ""D""",internaciones,2      ingresos espontaneos,2014-11-01,0,1,0,1,1
CAJUATA,internaciones,2      ingresos espontaneos,2014-11-01,0,8,0,8,8
CALACOTO,internaciones,2      ingresos espontaneos,2014-11-01,0,1,0,1,1
CALAMARCA,internaciones,2      ingresos espontaneos,2014-11-01,0,8,0,8,8
CAMARGO,internaciones,2      ingresos espontaneos,2014-11-01,26,57,26,57,83
CAMATAQUI (C. VILLA ABECIA),internaciones,2      ingresos espontaneos,2014-11-01,0,2,0,2,2
CAMIRI,internaciones,2      ingresos espontaneos,2014-11-01,85,196,85,196,281
CAPINOTA,internaciones,2      ingresos espontaneos,2014-11-01,5,21,5,21,26
CAQUIAVIRI,internaciones,2      ingresos espontaneos,2014-11-01,0,1,0,1,1
CARACOLLO,internaciones,2      ingresos espontaneos,2014-11-01,3,22,3,22,25
CARANAVI,internaciones,2      ingresos espontaneos,2014-11-01,34,145,34,145,179
CARAPARI,internaciones,2      ingresos espontaneos,2014-11-01,2,5,2,5,7
CARMEN RIVERO TORREZ,internaciones,2      ingresos espontaneos,2014-11-01,4,11,4,11,15
CATACORA,internaciones,2      ingresos espontaneos,2014-11-01,0,1,0,1,1
CHALLAPATA,internaciones,2      ingresos espontaneos,2014-11-01,17,95,17,95,112
CHAQUI,internaciones,2      ingresos espontaneos,2014-11-01,0,2,0,2,2
CHARAGUA,internaciones,2      ingresos espontaneos,2014-11-01,10,28,10,28,38
CHARAÑA,internaciones,2      ingresos espontaneos,2014-11-01,0,1,0,1,1
CHAYANTA,internaciones,2      ingresos espontaneos,2014-11-01,3,17,3,17,20
CHIMORE,internaciones,2      ingresos espontaneos,2014-11-01,1,9,1,9,10
CHIPAYA,internaciones,2      ingresos espontaneos,2014-11-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,2      ingresos espontaneos,2014-11-01,47,95,47,95,142
CKOCHAS,internaciones,2      ingresos espontaneos,2014-11-01,0,1,0,1,1
CLIZA,internaciones,2      ingresos espontaneos,2014-11-01,11,48,11,48,59
COBIJA,internaciones,2      ingresos espontaneos,2014-11-01,175,164,175,164,339
COCAPATA,internaciones,2      ingresos espontaneos,2014-11-01,0,4,0,4,4
COCHABAMBA,internaciones,2      ingresos espontaneos,2014-11-01,3012,5224,3012,5224,8236
COLCAPIRHUA,internaciones,2      ingresos espontaneos,2014-11-01,40,94,40,94,134
COLOMI,internaciones,2      ingresos espontaneos,2014-11-01,0,16,0,16,16
COLPA BELGICA,internaciones,2      ingresos espontaneos,2014-11-01,21,27,21,27,48
COLQUECHACA,internaciones,2      ingresos espontaneos,2014-11-01,0,7,0,7,7
COLQUENCHA,internaciones,2      ingresos espontaneos,2014-11-01,0,1,0,1,1
COLQUIRI,internaciones,2      ingresos espontaneos,2014-11-01,0,15,0,15,15
COMARAPA,internaciones,2      ingresos espontaneos,2014-11-01,13,24,13,24,37
CONCEPCION,internaciones,2      ingresos espontaneos,2014-11-01,3,2,3,2,5
COPACABANA,internaciones,2      ingresos espontaneos,2014-11-01,1,10,1,10,11
CORIPATA,internaciones,2      ingresos espontaneos,2014-11-01,0,15,0,15,15
COROICO,internaciones,2      ingresos espontaneos,2014-11-01,71,47,71,47,118
COTAGAITA,internaciones,2      ingresos espontaneos,2014-11-01,2,6,2,6,8
COTOCA,internaciones,2      ingresos espontaneos,2014-11-01,22,143,22,143,165
CUATRO CAÑADAS,internaciones,2      ingresos espontaneos,2014-11-01,14,47,14,47,61
CUEVO,internaciones,2      ingresos espontaneos,2014-11-01,6,5,6,5,11
CULPINA,internaciones,2      ingresos espontaneos,2014-11-01,13,23,13,23,36
CURAHUARA DE CARANGAS,internaciones,2      ingresos espontaneos,2014-11-01,0,6,0,6,6
DESAGUADERO,internaciones,2      ingresos espontaneos,2014-11-01,0,10,0,10,10
EL ALTO,internaciones,2      ingresos espontaneos,2014-11-01,1125,2623,1125,2623,3748
EL CHORO,internaciones,2      ingresos espontaneos,2014-11-01,0,2,0,2,2
EL PUENTE(STC),internaciones,2      ingresos espontaneos,2014-11-01,12,29,12,29,41
EL TORNO,internaciones,2      ingresos espontaneos,2014-11-01,242,326,242,326,568
EL VILLAR,internaciones,2      ingresos espontaneos,2014-11-01,0,4,0,4,4
ENTRE RIOS CBBA,internaciones,2      ingresos espontaneos,2014-11-01,16,37,16,37,53
ESCOMA,internaciones,2      ingresos espontaneos,2014-11-01,7,6,7,6,13
EUCALIPTUS,internaciones,2      ingresos espontaneos,2014-11-01,0,2,0,2,2
FERNANDEZ ALONSO,internaciones,2      ingresos espontaneos,2014-11-01,15,28,15,28,43
FILADELFIA,internaciones,2      ingresos espontaneos,2014-11-01,0,2,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),internaciones,2      ingresos espontaneos,2014-11-01,0,4,0,4,4
GUANAY,internaciones,2      ingresos espontaneos,2014-11-01,0,18,0,18,18
GUAQUI,internaciones,2      ingresos espontaneos,2014-11-01,0,2,0,2,2
GUAYARAMERIN,internaciones,2      ingresos espontaneos,2014-11-01,152,413,152,413,565
GUTIERREZ,internaciones,2      ingresos espontaneos,2014-11-01,3,13,3,13,16
HUACARETA,internaciones,2      ingresos espontaneos,2014-11-01,12,43,12,43,55
HUACAYA (VILLA DE HUACAYA),internaciones,2      ingresos espontaneos,2014-11-01,0,4,0,4,4
HUANUNI,internaciones,2      ingresos espontaneos,2014-11-01,82,117,82,117,199
HUARACAJE,internaciones,2      ingresos espontaneos,2014-11-01,4,15,4,15,19
HUARINA,internaciones,2      ingresos espontaneos,2014-11-01,2,5,2,5,7
HUAYLLAMARCA,internaciones,2      ingresos espontaneos,2014-11-01,2,4,2,4,6
HUMANATA,internaciones,2      ingresos espontaneos,2014-11-01,0,3,0,3,3
ICLA,internaciones,2      ingresos espontaneos,2014-11-01,0,6,0,6,6
INCAHUASI,internaciones,2      ingresos espontaneos,2014-11-01,1,9,1,9,10
INQUISIVI,internaciones,2      ingresos espontaneos,2014-11-01,1,2,1,2,3
IRUPANA (VILLA DE LANZA),internaciones,2      ingresos espontaneos,2014-11-01,11,22,11,22,33
IXIAMAS,internaciones,2      ingresos espontaneos,2014-11-01,5,19,5,19,24
JESUS DE MACHACA,internaciones,2      ingresos espontaneos,2014-11-01,0,11,0,11,11
LA ASUNTA,internaciones,2      ingresos espontaneos,2014-11-01,1,50,1,50,51
LA GUARDIA,internaciones,2      ingresos espontaneos,2014-11-01,37,84,37,84,121
LA PAZ,internaciones,2      ingresos espontaneos,2014-11-01,3320,6201,3320,6201,9521
LAGUNILLAS,internaciones,2      ingresos espontaneos,2014-11-01,1,12,1,12,13
LAJA,internaciones,2      ingresos espontaneos,2014-11-01,0,6,0,6,6
LAS CARRERAS,internaciones,2      ingresos espontaneos,2014-11-01,0,3,0,3,3
LLALLAGUA,internaciones,2      ingresos espontaneos,2014-11-01,76,192,76,192,268
LLICA,internaciones,2      ingresos espontaneos,2014-11-01,0,4,0,4,4
MACHACAMARCA,internaciones,2      ingresos espontaneos,2014-11-01,0,2,0,2,2
MACHARETI,internaciones,2      ingresos espontaneos,2014-11-01,2,5,2,5,7
MAGDALENA,internaciones,2      ingresos espontaneos,2014-11-01,28,62,28,62,90
MAIRANA,internaciones,2      ingresos espontaneos,2014-11-01,7,43,7,43,50
MAPIRI,internaciones,2      ingresos espontaneos,2014-11-01,3,27,3,27,30
MINEROS,internaciones,2      ingresos espontaneos,2014-11-01,7,25,7,25,32
MIZQUE,internaciones,2      ingresos espontaneos,2014-11-01,11,50,11,50,61
MOCOMOCO,internaciones,2      ingresos espontaneos,2014-11-01,0,4,0,4,4
MOJOCOYA,internaciones,2      ingresos espontaneos,2014-11-01,2,8,2,8,10
MONTEAGUDO,internaciones,2      ingresos espontaneos,2014-11-01,70,133,70,133,203
MONTERO,internaciones,2      ingresos espontaneos,2014-11-01,177,348,177,348,525
MORO MORO,internaciones,2      ingresos espontaneos,2014-11-01,1,3,1,3,4
MOROCHATA,internaciones,2      ingresos espontaneos,2014-11-01,0,5,0,5,5
OCURI,internaciones,2      ingresos espontaneos,2014-11-01,0,7,0,7,7
OKINAWA,internaciones,2      ingresos espontaneos,2014-11-01,5,20,5,20,25
OMEREQUE,internaciones,2      ingresos espontaneos,2014-11-01,3,13,3,13,16
ORURO,internaciones,2      ingresos espontaneos,2014-11-01,824,1596,824,1596,2420
PADILLA,internaciones,2      ingresos espontaneos,2014-11-01,27,48,27,48,75
PAILON,internaciones,2      ingresos espontaneos,2014-11-01,12,68,12,68,80
PALCA,internaciones,2      ingresos espontaneos,2014-11-01,0,3,0,3,3
PALOS BLANCOS,internaciones,2      ingresos espontaneos,2014-11-01,5,44,5,44,49
PAMPA AULLAGAS,internaciones,2      ingresos espontaneos,2014-11-01,0,1,0,1,1
PAMPA GRANDE,internaciones,2      ingresos espontaneos,2014-11-01,5,12,5,12,17
PASORAPA,internaciones,2      ingresos espontaneos,2014-11-01,3,3,3,3,6
PATACAMAYA,internaciones,2      ingresos espontaneos,2014-11-01,10,24,10,24,34
PAZÑA,internaciones,2      ingresos espontaneos,2014-11-01,0,1,0,1,1
PELECHUCO,internaciones,2      ingresos espontaneos,2014-11-01,0,2,0,2,2
POCOATA,internaciones,2      ingresos espontaneos,2014-11-01,2,5,2,5,7
POCONA,internaciones,2      ingresos espontaneos,2014-11-01,0,8,0,8,8
POJO (CBBA),internaciones,2      ingresos espontaneos,2014-11-01,2,14,2,14,16
POOPO,internaciones,2      ingresos espontaneos,2014-11-01,0,1,0,1,1
POROMA,internaciones,2      ingresos espontaneos,2014-11-01,1,8,1,8,9
PORONGO,internaciones,2      ingresos espontaneos,2014-11-01,1,4,1,4,5
PORTACHUELO,internaciones,2      ingresos espontaneos,2014-11-01,67,205,67,205,272
PORVENIR,internaciones,2      ingresos espontaneos,2014-11-01,0,11,0,11,11
POSTRER VALLE,internaciones,2      ingresos espontaneos,2014-11-01,1,2,1,2,3
POTOSI,internaciones,2      ingresos espontaneos,2014-11-01,425,930,425,930,1355
PRESTO,internaciones,2      ingresos espontaneos,2014-11-01,0,5,0,5,5
PUCARA,internaciones,2      ingresos espontaneos,2014-11-01,0,1,0,1,1
PUCARANI,internaciones,2      ingresos espontaneos,2014-11-01,0,12,0,12,12
PUERTO ACOSTA,internaciones,2      ingresos espontaneos,2014-11-01,0,2,0,2,2
PUERTO CARABUCO,internaciones,2      ingresos espontaneos,2014-11-01,0,1,0,1,1
PUERTO GONZALO MORENO,internaciones,2      ingresos espontaneos,2014-11-01,0,7,0,7,7
PUERTO QUIJARRO,internaciones,2      ingresos espontaneos,2014-11-01,30,38,30,38,68
PUERTO RICO,internaciones,2      ingresos espontaneos,2014-11-01,10,28,10,28,38
PUERTO SUAREZ,internaciones,2      ingresos espontaneos,2014-11-01,31,90,31,90,121
PUERTO VILLARROEL,internaciones,2      ingresos espontaneos,2014-11-01,64,160,64,160,224
PUNA,internaciones,2      ingresos espontaneos,2014-11-01,1,15,1,15,16
PUNATA,internaciones,2      ingresos espontaneos,2014-11-01,92,156,92,156,248
QUILLACOLLO,internaciones,2      ingresos espontaneos,2014-11-01,45,375,45,375,420
QUIME,internaciones,2      ingresos espontaneos,2014-11-01,1,3,1,3,4
QUIRUSILLAS,internaciones,2      ingresos espontaneos,2014-11-01,0,3,0,3,3
REYES,internaciones,2      ingresos espontaneos,2014-11-01,15,20,15,20,35
RIBERALTA,internaciones,2      ingresos espontaneos,2014-11-01,227,261,227,261,488
ROBORE,internaciones,2      ingresos espontaneos,2014-11-01,24,70,24,70,94
RURRENABAQUE,internaciones,2      ingresos espontaneos,2014-11-01,39,121,39,121,160
SABAYA,internaciones,2      ingresos espontaneos,2014-11-01,0,1,0,1,1
SACABA,internaciones,2      ingresos espontaneos,2014-11-01,113,385,113,385,498
SACABAMBA,internaciones,2      ingresos espontaneos,2014-11-01,5,18,5,18,23
SACACA,internaciones,2      ingresos espontaneos,2014-11-01,1,14,1,14,15
SAIPINA,internaciones,2      ingresos espontaneos,2014-11-01,0,10,0,10,10
SALINAS DE GARCI MENDOZA,internaciones,2      ingresos espontaneos,2014-11-01,0,8,0,8,8
SAMAIPATA,internaciones,2      ingresos espontaneos,2014-11-01,7,26,7,26,33
SAN ANDRES,internaciones,2      ingresos espontaneos,2014-11-01,0,8,0,8,8
SAN ANTONIO DE LOMERIO,internaciones,2      ingresos espontaneos,2014-11-01,0,3,0,3,3
SAN BENITO,internaciones,2      ingresos espontaneos,2014-11-01,6,10,6,10,16
SAN BORJA,internaciones,2      ingresos espontaneos,2014-11-01,32,133,32,133,165
SAN BUENA VENTURA,internaciones,2      ingresos espontaneos,2014-11-01,5,20,5,20,25
SAN CARLOS,internaciones,2      ingresos espontaneos,2014-11-01,0,10,0,10,10
SAN IGNACIO,internaciones,2      ingresos espontaneos,2014-11-01,25,66,25,66,91
SAN IGNACIO DE VELASCO,internaciones,2      ingresos espontaneos,2014-11-01,78,237,78,237,315
SAN JAVIER(STC),internaciones,2      ingresos espontaneos,2014-11-01,9,41,9,41,50
SAN JOAQUIN,internaciones,2      ingresos espontaneos,2014-11-01,11,21,11,21,32
SAN JOSE DE CHIQUITOS,internaciones,2      ingresos espontaneos,2014-11-01,65,122,65,122,187
SAN JULIAN,internaciones,2      ingresos espontaneos,2014-11-01,58,176,58,176,234
SAN LORENZO(TJA),internaciones,2      ingresos espontaneos,2014-11-01,0,16,0,16,16
SAN LUCAS,internaciones,2      ingresos espontaneos,2014-11-01,13,30,13,30,43
SAN MATIAS,internaciones,2      ingresos espontaneos,2014-11-01,16,54,16,54,70
SAN MIGUEL DE VELASCO,internaciones,2      ingresos espontaneos,2014-11-01,20,39,20,39,59
SAN PEDRO,internaciones,2      ingresos espontaneos,2014-11-01,15,23,15,23,38
SAN PEDRO DE BUENA VISTA,internaciones,2      ingresos espontaneos,2014-11-01,1,10,1,10,11
SAN RAFAEL,internaciones,2      ingresos espontaneos,2014-11-01,6,17,6,17,23
SAN RAMON BENI,internaciones,2      ingresos espontaneos,2014-11-01,7,17,7,17,24
SAN RAMON SCZ,internaciones,2      ingresos espontaneos,2014-11-01,20,29,20,29,49
SANTA ANA,internaciones,2      ingresos espontaneos,2014-11-01,27,88,27,88,115
SANTA CRUZ DE LA SIERRA,internaciones,2      ingresos espontaneos,2014-11-01,2747,5819,2747,5819,8566
SANTA ROSA,internaciones,2      ingresos espontaneos,2014-11-01,1,13,1,13,14
