,group,variable,month,13. 3 EGRESOS CANTIDAD,13. 3 EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
BERMEJO,internaciones,3      egresos,2014-07-01,82,159,82,159,241
BETANZOS,internaciones,3      egresos,2014-07-01,1,27,1,27,28
BOYUIBE,internaciones,3      egresos,2014-07-01,7,23,7,23,30
CABEZAS,internaciones,3      egresos,2014-07-01,6,14,6,14,20
CAIROMA,internaciones,3      egresos,2014-07-01,2,6,2,6,8
"CAIZA ""D""",internaciones,3      egresos,2014-07-01,0,1,0,1,1
CAJUATA,internaciones,3      egresos,2014-07-01,0,4,0,4,4
CALAMARCA,internaciones,3      egresos,2014-07-01,0,7,0,7,7
CAMARGO,internaciones,3      egresos,2014-07-01,34,61,34,61,95
CAMATAQUI (C. VILLA ABECIA),internaciones,3      egresos,2014-07-01,0,6,0,6,6
CAMIRI,internaciones,3      egresos,2014-07-01,86,307,86,307,393
CAPINOTA,internaciones,3      egresos,2014-07-01,8,33,8,33,41
CAQUIAVIRI,internaciones,3      egresos,2014-07-01,0,2,0,2,2
CARACOLLO,internaciones,3      egresos,2014-07-01,1,27,1,27,28
CARANAVI,internaciones,3      egresos,2014-07-01,32,158,32,158,190
CARAPARI,internaciones,3      egresos,2014-07-01,0,3,0,3,3
CARMEN RIVERO TORREZ,internaciones,3      egresos,2014-07-01,3,21,3,21,24
CHALLAPATA,internaciones,3      egresos,2014-07-01,18,105,18,105,123
CHAQUI,internaciones,3      egresos,2014-07-01,0,7,0,7,7
CHARAGUA,internaciones,3      egresos,2014-07-01,50,133,50,133,183
CHAYANTA,internaciones,3      egresos,2014-07-01,0,12,0,12,12
CHIMORE,internaciones,3      egresos,2014-07-01,0,12,0,12,12
CHULUMANI (V. DE LA LIBERTAD),internaciones,3      egresos,2014-07-01,43,66,43,66,109
CKOCHAS,internaciones,3      egresos,2014-07-01,0,3,0,3,3
CLIZA,internaciones,3      egresos,2014-07-01,17,77,17,77,94
COBIJA,internaciones,3      egresos,2014-07-01,220,146,220,146,366
COCAPATA,internaciones,3      egresos,2014-07-01,1,2,1,2,3
COCHABAMBA,internaciones,3      egresos,2014-07-01,3264,5574,3264,5574,8838
COLCAPIRHUA,internaciones,3      egresos,2014-07-01,46,64,46,64,110
"COLCHA ""K""",internaciones,3      egresos,2014-07-01,2,1,2,1,3
COLLANA,internaciones,3      egresos,2014-07-01,0,4,0,4,4
COLOMI,internaciones,3      egresos,2014-07-01,0,21,0,21,21
COLPA BELGICA,internaciones,3      egresos,2014-07-01,14,21,14,21,35
COLQUECHACA,internaciones,3      egresos,2014-07-01,0,2,0,2,2
COLQUENCHA,internaciones,3      egresos,2014-07-01,0,6,0,6,6
COLQUIRI,internaciones,3      egresos,2014-07-01,1,1,1,1,2
COMARAPA,internaciones,3      egresos,2014-07-01,8,39,8,39,47
COMBAYA,internaciones,3      egresos,2014-07-01,0,1,0,1,1
CONCEPCION,internaciones,3      egresos,2014-07-01,22,52,22,52,74
COPACABANA,internaciones,3      egresos,2014-07-01,2,13,2,13,15
CORIPATA,internaciones,3      egresos,2014-07-01,0,10,0,10,10
CORO CORO,internaciones,3      egresos,2014-07-01,0,3,0,3,3
COROICO,internaciones,3      egresos,2014-07-01,46,94,46,94,140
CORQUE,internaciones,3      egresos,2014-07-01,4,4,4,4,8
COTAGAITA,internaciones,3      egresos,2014-07-01,2,14,2,14,16
COTOCA,internaciones,3      egresos,2014-07-01,20,72,20,72,92
CUATRO CAÑADAS,internaciones,3      egresos,2014-07-01,1,12,1,12,13
CUCHUMUELA (V. G. VILLARROEL),internaciones,3      egresos,2014-07-01,3,2,3,2,5
CUEVO,internaciones,3      egresos,2014-07-01,0,8,0,8,8
CULPINA,internaciones,3      egresos,2014-07-01,15,38,15,38,53
CURAHUARA DE CARANGAS,internaciones,3      egresos,2014-07-01,0,5,0,5,5
DESAGUADERO,internaciones,3      egresos,2014-07-01,0,4,0,4,4
EL ALTO,internaciones,3      egresos,2014-07-01,1144,2860,1144,2860,4004
EL PUENTE(STC),internaciones,3      egresos,2014-07-01,24,27,24,27,51
EL PUENTE(TJA),internaciones,3      egresos,2014-07-01,0,6,0,6,6
EL TORNO,internaciones,3      egresos,2014-07-01,204,363,204,363,567
EL VILLAR,internaciones,3      egresos,2014-07-01,0,1,0,1,1
ENTRE RIOS TRJ,internaciones,3      egresos,2014-07-01,5,38,5,38,43
ENTRE RIOS CBBA,internaciones,3      egresos,2014-07-01,24,14,24,14,38
ESCOMA,internaciones,3      egresos,2014-07-01,6,13,6,13,19
EUCALIPTUS,internaciones,3      egresos,2014-07-01,0,4,0,4,4
EXALTACION,internaciones,3      egresos,2014-07-01,0,1,0,1,1
FERNANDEZ ALONSO,internaciones,3      egresos,2014-07-01,9,16,9,16,25
GENERAL SAAVEDRA,internaciones,3      egresos,2014-07-01,0,44,0,44,44
GRAL. J.J. PEREZ (CHARAZANI),internaciones,3      egresos,2014-07-01,0,2,0,2,2
GUANAY,internaciones,3      egresos,2014-07-01,0,11,0,11,11
GUAQUI,internaciones,3      egresos,2014-07-01,0,2,0,2,2
GUAYARAMERIN,internaciones,3      egresos,2014-07-01,185,351,185,351,536
GUTIERREZ,internaciones,3      egresos,2014-07-01,7,39,7,39,46
HUACARETA,internaciones,3      egresos,2014-07-01,1,1,1,1,2
HUACAYA (VILLA DE HUACAYA),internaciones,3      egresos,2014-07-01,0,2,0,2,2
HUACHACALLA,internaciones,3      egresos,2014-07-01,4,0,4,0,4
HUANUNI,internaciones,3      egresos,2014-07-01,93,127,93,127,220
HUARACAJE,internaciones,3      egresos,2014-07-01,2,10,2,10,12
HUAYLLAMARCA,internaciones,3      egresos,2014-07-01,3,4,3,4,7
HUMANATA,internaciones,3      egresos,2014-07-01,0,1,0,1,1
ICLA,internaciones,3      egresos,2014-07-01,5,11,5,11,16
INCAHUASI,internaciones,3      egresos,2014-07-01,0,12,0,12,12
INQUISIVI,internaciones,3      egresos,2014-07-01,0,4,0,4,4
IRUPANA (VILLA DE LANZA),internaciones,3      egresos,2014-07-01,9,23,9,23,32
IXIAMAS,internaciones,3      egresos,2014-07-01,3,20,3,20,23
JESUS DE MACHACA,internaciones,3      egresos,2014-07-01,1,27,1,27,28
LA ASUNTA,internaciones,3      egresos,2014-07-01,5,82,5,82,87
LA GUARDIA,internaciones,3      egresos,2014-07-01,31,74,31,74,105
LA PAZ,internaciones,3      egresos,2014-07-01,2792,5238,2792,5238,8030
LAGUNILLAS,internaciones,3      egresos,2014-07-01,3,5,3,5,8
LAJA,internaciones,3      egresos,2014-07-01,1,1,1,1,2
LAS CARRERAS,internaciones,3      egresos,2014-07-01,0,4,0,4,4
LLALLAGUA,internaciones,3      egresos,2014-07-01,55,180,55,180,235
LLICA,internaciones,3      egresos,2014-07-01,0,6,0,6,6
LURIBAY,internaciones,3      egresos,2014-07-01,0,4,0,4,4
MACHACAMARCA,internaciones,3      egresos,2014-07-01,0,4,0,4,4
MACHARETI,internaciones,3      egresos,2014-07-01,0,12,0,12,12
MAGDALENA,internaciones,3      egresos,2014-07-01,30,72,30,72,102
MAIRANA,internaciones,3      egresos,2014-07-01,5,45,5,45,50
MAPIRI,internaciones,3      egresos,2014-07-01,5,31,5,31,36
MECAPACA,internaciones,3      egresos,2014-07-01,0,1,0,1,1
MINEROS,internaciones,3      egresos,2014-07-01,5,13,5,13,18
MIZQUE,internaciones,3      egresos,2014-07-01,9,42,9,42,51
MOCOMOCO,internaciones,3      egresos,2014-07-01,0,1,0,1,1
MOJOCOYA,internaciones,3      egresos,2014-07-01,3,12,3,12,15
MONTEAGUDO,internaciones,3      egresos,2014-07-01,71,143,71,143,214
MONTERO,internaciones,3      egresos,2014-07-01,84,94,84,94,178
MORO MORO,internaciones,3      egresos,2014-07-01,0,1,0,1,1
MOROCHATA,internaciones,3      egresos,2014-07-01,1,10,1,10,11
OCURI,internaciones,3      egresos,2014-07-01,0,5,0,5,5
OKINAWA,internaciones,3      egresos,2014-07-01,9,35,9,35,44
OMEREQUE,internaciones,3      egresos,2014-07-01,7,7,7,7,14
ORURO,internaciones,3      egresos,2014-07-01,1177,1990,1177,1990,3167
PADILLA,internaciones,3      egresos,2014-07-01,44,78,44,78,122
PAILON,internaciones,3      egresos,2014-07-01,19,81,19,81,100
PALCA,internaciones,3      egresos,2014-07-01,0,8,0,8,8
PALOS BLANCOS,internaciones,3      egresos,2014-07-01,10,40,10,40,50
PAMPA GRANDE,internaciones,3      egresos,2014-07-01,3,21,3,21,24
PASORAPA,internaciones,3      egresos,2014-07-01,3,9,3,9,12
PATACAMAYA,internaciones,3      egresos,2014-07-01,4,68,4,68,72
PAZÑA,internaciones,3      egresos,2014-07-01,0,3,0,3,3
PELECHUCO,internaciones,3      egresos,2014-07-01,0,1,0,1,1
POCOATA,internaciones,3      egresos,2014-07-01,1,11,1,11,12
POCONA,internaciones,3      egresos,2014-07-01,0,14,0,14,14
POJO (CBBA),internaciones,3      egresos,2014-07-01,0,24,0,24,24
POOPO,internaciones,3      egresos,2014-07-01,0,5,0,5,5
POROMA,internaciones,3      egresos,2014-07-01,0,6,0,6,6
PORONGO,internaciones,3      egresos,2014-07-01,6,8,6,8,14
PORTACHUELO,internaciones,3      egresos,2014-07-01,96,112,96,112,208
PORVENIR,internaciones,3      egresos,2014-07-01,2,11,2,11,13
POSTRER VALLE,internaciones,3      egresos,2014-07-01,0,1,0,1,1
POTOSI,internaciones,3      egresos,2014-07-01,806,1398,806,1398,2204
PRESTO,internaciones,3      egresos,2014-07-01,1,5,1,5,6
PUCARANI,internaciones,3      egresos,2014-07-01,0,14,0,14,14
PUERTO ACOSTA,internaciones,3      egresos,2014-07-01,0,2,0,2,2
PUERTO GONZALO MORENO,internaciones,3      egresos,2014-07-01,0,7,0,7,7
PUERTO QUIJARRO,internaciones,3      egresos,2014-07-01,22,54,22,54,76
PUERTO RICO,internaciones,3      egresos,2014-07-01,19,11,19,11,30
PUERTO SUAREZ,internaciones,3      egresos,2014-07-01,46,123,46,123,169
PUERTO VILLARROEL,internaciones,3      egresos,2014-07-01,85,189,85,189,274
PUNA,internaciones,3      egresos,2014-07-01,0,12,0,12,12
PUNATA,internaciones,3      egresos,2014-07-01,112,211,112,211,323
QUILLACOLLO,internaciones,3      egresos,2014-07-01,36,264,36,264,300
QUIME,internaciones,3      egresos,2014-07-01,2,7,2,7,9
QUIRUSILLAS,internaciones,3      egresos,2014-07-01,0,1,0,1,1
REYES,internaciones,3      egresos,2014-07-01,10,36,10,36,46
RIBERALTA,internaciones,3      egresos,2014-07-01,280,684,280,684,964
ROBORE,internaciones,3      egresos,2014-07-01,26,62,26,62,88
RURRENABAQUE,internaciones,3      egresos,2014-07-01,67,107,67,107,174
SACABA,internaciones,3      egresos,2014-07-01,115,468,115,468,583
SACABAMBA,internaciones,3      egresos,2014-07-01,3,11,3,11,14
SACACA,internaciones,3      egresos,2014-07-01,1,10,1,10,11
SAIPINA,internaciones,3      egresos,2014-07-01,0,11,0,11,11
SAMAIPATA,internaciones,3      egresos,2014-07-01,9,25,9,25,34
SAN ANDRES,internaciones,3      egresos,2014-07-01,27,0,27,0,27
SAN ANTONIO DE LOMERIO,internaciones,3      egresos,2014-07-01,0,5,0,5,5
SAN BORJA,internaciones,3      egresos,2014-07-01,37,145,37,145,182
SAN BUENA VENTURA,internaciones,3      egresos,2014-07-01,8,23,8,23,31
SAN CARLOS,internaciones,3      egresos,2014-07-01,47,86,47,86,133
SAN IGNACIO,internaciones,3      egresos,2014-07-01,25,57,25,57,82
SAN IGNACIO DE VELASCO,internaciones,3      egresos,2014-07-01,105,241,105,241,346
SAN JAVIER(STC),internaciones,3      egresos,2014-07-01,15,33,15,33,48
SAN JOAQUIN,internaciones,3      egresos,2014-07-01,3,33,3,33,36
SAN JOSE DE CHIQUITOS,internaciones,3      egresos,2014-07-01,46,97,46,97,143
SAN JULIAN,internaciones,3      egresos,2014-07-01,94,102,94,102,196
SAN LORENZO(TJA),internaciones,3      egresos,2014-07-01,0,10,0,10,10
SAN LUCAS,internaciones,3      egresos,2014-07-01,20,59,20,59,79
SAN MATIAS,internaciones,3      egresos,2014-07-01,17,55,17,55,72
SAN MIGUEL DE VELASCO,internaciones,3      egresos,2014-07-01,3,22,3,22,25
SAN PEDRO,internaciones,3      egresos,2014-07-01,7,25,7,25,32
SAN PEDRO DE BUENA VISTA,internaciones,3      egresos,2014-07-01,2,22,2,22,24
SAN PEDRO DE TIQUINA,internaciones,3      egresos,2014-07-01,0,3,0,3,3
SAN RAFAEL,internaciones,3      egresos,2014-07-01,11,21,11,21,32
SAN RAMON BENI,internaciones,3      egresos,2014-07-01,6,16,6,16,22
SAN RAMON SCZ,internaciones,3      egresos,2014-07-01,5,26,5,26,31
SANTA ANA,internaciones,3      egresos,2014-07-01,41,126,41,126,167
SANTA CRUZ DE LA SIERRA,internaciones,3      egresos,2014-07-01,4687,7357,4687,7357,12044
SANTA ROSA,internaciones,3      egresos,2014-07-01,9,29,9,29,38
SANTA ROSA DEL SARA,internaciones,3      egresos,2014-07-01,2,15,2,15,17
SANTIAGO DE CALLAPA,internaciones,3      egresos,2014-07-01,0,3,0,3,3
SANTIAGO DE HUARI,internaciones,3      egresos,2014-07-01,0,13,0,13,13
SANTIAGO DE HUATA,internaciones,3      egresos,2014-07-01,0,1,0,1,1
SANTIVAÑES,internaciones,3      egresos,2014-07-01,0,3,0,3,3
SANTUARIO DE QUILLACAS,internaciones,3      egresos,2014-07-01,0,1,0,1,1
SAPAHAQUI,internaciones,3      egresos,2014-07-01,0,5,0,5,5
SENA,internaciones,3      egresos,2014-07-01,11,15,11,15,26
SHINAOTA,internaciones,3      egresos,2014-07-01,24,79,24,79,103
SICA SICA (VILLA AROMA),internaciones,3      egresos,2014-07-01,0,13,0,13,13
SICAYA,internaciones,3      egresos,2014-07-01,0,1,0,1,1
SIPE SIPE,internaciones,3      egresos,2014-07-01,0,45,0,45,45
SOPACHUY,internaciones,3      egresos,2014-07-01,5,19,5,19,24
SORACACHI,internaciones,3      egresos,2014-07-01,0,2,0,2,2
SORATA,internaciones,3      egresos,2014-07-01,2,15,2,15,17
SUCRE,internaciones,3      egresos,2014-07-01,2057,1785,2057,1785,3842
TACACOMA,internaciones,3      egresos,2014-07-01,0,7,0,7,7
TACOPAYA,internaciones,3      egresos,2014-07-01,1,5,1,5,6
TAPACARI,internaciones,3      egresos,2014-07-01,0,2,0,2,2
TARABUCO,internaciones,3      egresos,2014-07-01,11,59,11,59,70
TARACO,internaciones,3      egresos,2014-07-01,0,1,0,1,1
TARATA,internaciones,3      egresos,2014-07-01,0,7,0,7,7
TARIJA,internaciones,3      egresos,2014-07-01,772,1361,772,1361,2133
TARVITA,internaciones,3      egresos,2014-07-01,4,24,4,24,28
TEOPONTE,internaciones,3      egresos,2014-07-01,0,13,0,13,13
TIAWANACU,internaciones,3      egresos,2014-07-01,0,11,0,11,11
TIPUANI,internaciones,3      egresos,2014-07-01,17,22,17,22,39
TIQUIPAYA,internaciones,3      egresos,2014-07-01,19,166,19,166,185
TIRAQUE (CBBA),internaciones,3      egresos,2014-07-01,0,30,0,30,30
TOCO,internaciones,3      egresos,2014-07-01,0,2,0,2,2
TOLATA,internaciones,3      egresos,2014-07-01,2,6,2,6,8
TOLEDO,internaciones,3      egresos,2014-07-01,0,1,0,1,1
TOMINA,internaciones,3      egresos,2014-07-01,1,12,1,12,13
TORO TORO,internaciones,3      egresos,2014-07-01,0,6,0,6,6
TOTORA(CBBA),internaciones,3      egresos,2014-07-01,6,30,6,30,36
TOTORA(ORR),internaciones,3      egresos,2014-07-01,0,5,0,5,5
TRIGAL,internaciones,3      egresos,2014-07-01,4,4,4,4,8
TRINIDAD,internaciones,3      egresos,2014-07-01,803,1008,803,1008,1811
TUPIZA,internaciones,3      egresos,2014-07-01,144,289,144,289,433
TURCO,internaciones,3      egresos,2014-07-01,0,2,0,2,2
UNCIA,internaciones,3      egresos,2014-07-01,1,13,1,13,14
URUBICHA,internaciones,3      egresos,2014-07-01,8,18,8,18,26
UYUNI,internaciones,3      egresos,2014-07-01,37,114,37,114,151
VACAS,internaciones,3      egresos,2014-07-01,0,7,0,7,7
VALLEGRANDE,internaciones,3      egresos,2014-07-01,36,93,36,93,129
VIACHA,internaciones,3      egresos,2014-07-01,38,187,38,187,225
VILLA CHARCAS,internaciones,3      egresos,2014-07-01,0,23,0,23,23
VILLA MONTES,internaciones,3      egresos,2014-07-01,63,238,63,238,301
VILLA RIVERO,internaciones,3      egresos,2014-07-01,7,9,7,9,16
VILLA SERRANO,internaciones,3      egresos,2014-07-01,0,1,0,1,1
VILLA TUNARI,internaciones,3      egresos,2014-07-01,103,290,103,290,393
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,3      egresos,2014-07-01,3,7,3,7,10
VILLAZON,internaciones,3      egresos,2014-07-01,70,161,70,161,231
VINTO,internaciones,3      egresos,2014-07-01,22,127,22,127,149
VITICHI,internaciones,3      egresos,2014-07-01,0,3,0,3,3
WARNES,internaciones,3      egresos,2014-07-01,41,101,41,101,142
YACO,internaciones,3      egresos,2014-07-01,0,2,0,2,2
YACUIBA,internaciones,3      egresos,2014-07-01,221,487,221,487,708
YAMPARAEZ,internaciones,3      egresos,2014-07-01,1,8,1,8,9
YANACACHI,internaciones,3      egresos,2014-07-01,0,3,0,3,3
YAPACANI,internaciones,3      egresos,2014-07-01,82,93,82,93,175
YOTALA,internaciones,3      egresos,2014-07-01,2,14,2,14,16
ZUDAÑEZ,internaciones,3      egresos,2014-07-01,12,20,12,20,32
ACACIO,internaciones,3      egresos,2014-08-01,0,2,0,2,2
ACHACACHI,internaciones,3      egresos,2014-08-01,13,51,13,51,64
ACHOCALLA,internaciones,3      egresos,2014-08-01,0,6,0,6,6
AIQUILE,internaciones,3      egresos,2014-08-01,33,83,33,83,116
ALCALA,internaciones,3      egresos,2014-08-01,0,3,0,3,3
ALTO BENI,internaciones,3      egresos,2014-08-01,0,10,0,10,10
ANCORAIMES,internaciones,3      egresos,2014-08-01,0,4,0,4,4
ANZALDO,internaciones,3      egresos,2014-08-01,16,21,16,21,37
APOLO,internaciones,3      egresos,2014-08-01,3,25,3,25,28
ARAMPAMPA,internaciones,3      egresos,2014-08-01,1,0,1,0,1
ARANI,internaciones,3      egresos,2014-08-01,1,6,1,6,7
ARBIETO,internaciones,3      egresos,2014-08-01,0,16,0,16,16
ARQUE,internaciones,3      egresos,2014-08-01,0,5,0,5,5
ASCENCION DE GUARAYOS,internaciones,3      egresos,2014-08-01,57,154,57,154,211
ATOCHA,internaciones,3      egresos,2014-08-01,62,83,62,83,145
AYATA,internaciones,3      egresos,2014-08-01,0,4,0,4,4
AYO AYO,internaciones,3      egresos,2014-08-01,0,3,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones,3      egresos,2014-08-01,20,29,20,29,49
AZURDUY,internaciones,3      egresos,2014-08-01,4,9,4,9,13
BAURES,internaciones,3      egresos,2014-08-01,8,19,8,19,27
BELLA FLOR,internaciones,3      egresos,2014-08-01,2,2,2,2,4
BERMEJO,internaciones,3      egresos,2014-08-01,101,158,101,158,259
BETANZOS,internaciones,3      egresos,2014-08-01,5,38,5,38,43
BOLIVAR,internaciones,3      egresos,2014-08-01,0,2,0,2,2
BOYUIBE,internaciones,3      egresos,2014-08-01,6,21,6,21,27
BUENA VISTA,internaciones,3      egresos,2014-08-01,15,10,15,10,25
CABEZAS,internaciones,3      egresos,2014-08-01,4,16,4,16,20
CAIROMA,internaciones,3      egresos,2014-08-01,0,5,0,5,5
"CAIZA ""D""",internaciones,3      egresos,2014-08-01,0,2,0,2,2
CAJUATA,internaciones,3      egresos,2014-08-01,0,4,0,4,4
CALACOTO,internaciones,3      egresos,2014-08-01,0,1,0,1,1
CALAMARCA,internaciones,3      egresos,2014-08-01,0,4,0,4,4
CAMIRI,internaciones,3      egresos,2014-08-01,139,350,139,350,489
CAPINOTA,internaciones,3      egresos,2014-08-01,11,29,11,29,40
CAQUIAVIRI,internaciones,3      egresos,2014-08-01,0,2,0,2,2
CARACOLLO,internaciones,3      egresos,2014-08-01,4,34,4,34,38
CARANAVI,internaciones,3      egresos,2014-08-01,41,182,41,182,223
CARMEN RIVERO TORREZ,internaciones,3      egresos,2014-08-01,9,19,9,19,28
CHALLAPATA,internaciones,3      egresos,2014-08-01,25,103,25,103,128
CHAQUI,internaciones,3      egresos,2014-08-01,0,1,0,1,1
CHARAGUA,internaciones,3      egresos,2014-08-01,48,132,48,132,180
CHAYANTA,internaciones,3      egresos,2014-08-01,0,10,0,10,10
CHIMORE,internaciones,3      egresos,2014-08-01,0,3,0,3,3
CHULUMANI (V. DE LA LIBERTAD),internaciones,3      egresos,2014-08-01,43,78,43,78,121
CHUMA,internaciones,3      egresos,2014-08-01,1,2,1,2,3
CKOCHAS,internaciones,3      egresos,2014-08-01,0,2,0,2,2
CLIZA,internaciones,3      egresos,2014-08-01,20,80,20,80,100
COBIJA,internaciones,3      egresos,2014-08-01,217,440,217,440,657
COCHABAMBA,internaciones,3      egresos,2014-08-01,3154,5166,3154,5166,8320
COIPASA,internaciones,3      egresos,2014-08-01,0,1,0,1,1
COLCAPIRHUA,internaciones,3      egresos,2014-08-01,44,82,44,82,126
"COLCHA ""K""",internaciones,3      egresos,2014-08-01,0,2,0,2,2
COLOMI,internaciones,3      egresos,2014-08-01,0,22,0,22,22
COLPA BELGICA,internaciones,3      egresos,2014-08-01,5,14,5,14,19
COLQUECHACA,internaciones,3      egresos,2014-08-01,0,12,0,12,12
COLQUENCHA,internaciones,3      egresos,2014-08-01,0,2,0,2,2
COLQUIRI,internaciones,3      egresos,2014-08-01,2,5,2,5,7
COMANCHE,internaciones,3      egresos,2014-08-01,0,1,0,1,1
COMARAPA,internaciones,3      egresos,2014-08-01,16,39,16,39,55
CONCEPCION,internaciones,3      egresos,2014-08-01,15,49,15,49,64
COPACABANA,internaciones,3      egresos,2014-08-01,1,10,1,10,11
CORIPATA,internaciones,3      egresos,2014-08-01,0,7,0,7,7
COROICO,internaciones,3      egresos,2014-08-01,44,96,44,96,140
CORQUE,internaciones,3      egresos,2014-08-01,3,4,3,4,7
COTAGAITA,internaciones,3      egresos,2014-08-01,1,18,1,18,19
COTOCA,internaciones,3      egresos,2014-08-01,23,135,23,135,158
CUATRO CAÑADAS,internaciones,3      egresos,2014-08-01,14,7,14,7,21
CUCHUMUELA (V. G. VILLARROEL),internaciones,3      egresos,2014-08-01,1,1,1,1,2
CUEVO,internaciones,3      egresos,2014-08-01,2,3,2,3,5
CULPINA,internaciones,3      egresos,2014-08-01,6,23,6,23,29
CURAHUARA DE CARANGAS,internaciones,3      egresos,2014-08-01,0,6,0,6,6
DESAGUADERO,internaciones,3      egresos,2014-08-01,0,10,0,10,10
EL ALTO,internaciones,3      egresos,2014-08-01,1048,2711,1048,2711,3759
EL PUENTE(STC),internaciones,3      egresos,2014-08-01,15,23,15,23,38
EL PUENTE(TJA),internaciones,3      egresos,2014-08-01,0,5,0,5,5
EL TORNO,internaciones,3      egresos,2014-08-01,171,302,171,302,473
EL VILLAR,internaciones,3      egresos,2014-08-01,1,2,1,2,3
ENTRE RIOS TRJ,internaciones,3      egresos,2014-08-01,10,34,10,34,44
ENTRE RIOS CBBA,internaciones,3      egresos,2014-08-01,5,36,5,36,41
ESCOMA,internaciones,3      egresos,2014-08-01,6,29,6,29,35
EUCALIPTUS,internaciones,3      egresos,2014-08-01,0,4,0,4,4
EXALTACION,internaciones,3      egresos,2014-08-01,4,3,4,3,7
FERNANDEZ ALONSO,internaciones,3      egresos,2014-08-01,14,21,14,21,35
GENERAL SAAVEDRA,internaciones,3      egresos,2014-08-01,0,70,0,70,70
GRAL. J.J. PEREZ (CHARAZANI),internaciones,3      egresos,2014-08-01,2,2,2,2,4
GUANAY,internaciones,3      egresos,2014-08-01,0,17,0,17,17
GUAQUI,internaciones,3      egresos,2014-08-01,0,3,0,3,3
GUAYARAMERIN,internaciones,3      egresos,2014-08-01,171,350,171,350,521
GUTIERREZ,internaciones,3      egresos,2014-08-01,10,30,10,30,40
HUACARETA,internaciones,3      egresos,2014-08-01,20,17,20,17,37
HUACAYA (VILLA DE HUACAYA),internaciones,3      egresos,2014-08-01,2,4,2,4,6
HUACHACALLA,internaciones,3      egresos,2014-08-01,0,3,0,3,3
HUANUNI,internaciones,3      egresos,2014-08-01,75,112,75,112,187
HUARACAJE,internaciones,3      egresos,2014-08-01,3,10,3,10,13
HUARINA,internaciones,3      egresos,2014-08-01,0,2,0,2,2
HUATAJATA,internaciones,3      egresos,2014-08-01,0,1,0,1,1
HUAYLLAMARCA,internaciones,3      egresos,2014-08-01,4,3,4,3,7
HUMANATA,internaciones,3      egresos,2014-08-01,0,1,0,1,1
ICLA,internaciones,3      egresos,2014-08-01,2,7,2,7,9
INCAHUASI,internaciones,3      egresos,2014-08-01,0,13,0,13,13
INQUISIVI,internaciones,3      egresos,2014-08-01,2,7,2,7,9
IRUPANA (VILLA DE LANZA),internaciones,3      egresos,2014-08-01,9,20,9,20,29
IXIAMAS,internaciones,3      egresos,2014-08-01,9,12,9,12,21
JESUS DE MACHACA,internaciones,3      egresos,2014-08-01,2,15,2,15,17
LA ASUNTA,internaciones,3      egresos,2014-08-01,3,64,3,64,67
LA GUARDIA,internaciones,3      egresos,2014-08-01,40,106,40,106,146
LA PAZ,internaciones,3      egresos,2014-08-01,3823,7068,3823,7068,10891
LAGUNILLAS,internaciones,3      egresos,2014-08-01,2,8,2,8,10
LAJA,internaciones,3      egresos,2014-08-01,0,11,0,11,11
LLALLAGUA,internaciones,3      egresos,2014-08-01,40,195,40,195,235
MACHACAMARCA,internaciones,3      egresos,2014-08-01,3,3,3,3,6
MACHARETI,internaciones,3      egresos,2014-08-01,3,7,3,7,10
MAGDALENA,internaciones,3      egresos,2014-08-01,42,76,42,76,118
MAIRANA,internaciones,3      egresos,2014-08-01,3,46,3,46,49
MAPIRI,internaciones,3      egresos,2014-08-01,5,37,5,37,42
MECAPACA,internaciones,3      egresos,2014-08-01,0,4,0,4,4
MINEROS,internaciones,3      egresos,2014-08-01,19,27,19,27,46
MIZQUE,internaciones,3      egresos,2014-08-01,11,51,11,51,62
MOCOMOCO,internaciones,3      egresos,2014-08-01,0,2,0,2,2
MOJOCOYA,internaciones,3      egresos,2014-08-01,1,1,1,1,2
MONTEAGUDO,internaciones,3      egresos,2014-08-01,54,130,54,130,184
MONTERO,internaciones,3      egresos,2014-08-01,325,607,325,607,932
MORO MORO,internaciones,3      egresos,2014-08-01,0,2,0,2,2
MOROCHATA,internaciones,3      egresos,2014-08-01,1,5,1,5,6
OCURI,internaciones,3      egresos,2014-08-01,0,5,0,5,5
OKINAWA,internaciones,3      egresos,2014-08-01,4,30,4,30,34
OMEREQUE,internaciones,3      egresos,2014-08-01,2,10,2,10,12
ORURO,internaciones,3      egresos,2014-08-01,951,2193,951,2193,3144
PADILLA,internaciones,3      egresos,2014-08-01,40,55,40,55,95
PAILON,internaciones,3      egresos,2014-08-01,22,62,22,62,84
PALCA,internaciones,3      egresos,2014-08-01,0,5,0,5,5
PALOS BLANCOS,internaciones,3      egresos,2014-08-01,11,50,11,50,61
PAMPA GRANDE,internaciones,3      egresos,2014-08-01,8,12,8,12,20
PAPEL PAMPA,internaciones,3      egresos,2014-08-01,0,5,0,5,5
PASORAPA,internaciones,3      egresos,2014-08-01,3,9,3,9,12
PATACAMAYA,internaciones,3      egresos,2014-08-01,7,21,7,21,28
PAZÑA,internaciones,3      egresos,2014-08-01,0,4,0,4,4
PELECHUCO,internaciones,3      egresos,2014-08-01,0,3,0,3,3
POCOATA,internaciones,3      egresos,2014-08-01,2,7,2,7,9
