municipality,group,variable,month,Mujeres puérperas que recibieron 90 tabletas de hi,TOTAL
SAN BUENA VENTURA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,22,22
SAN CARLOS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,60,60
SAN IGNACIO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,28,28
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,118,118
SAN JAVIER(BNI),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,1,1
SAN JOAQUIN,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,13,13
SAN JOSE DE CHIQUITOS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,26,26
SAN JUAN DE YAPACANI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,19,19
SAN JULIAN,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,16,16
SAN LORENZO(PND),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,8,8
SAN LORENZO(TJA),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,22,22
SAN LUCAS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,67,67
SAN MATIAS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,6,6
SAN PABLO DE LIPEZ,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,4,4
SAN PEDRO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,16,16
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,28,28
SAN PEDRO DE CURAHUARA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,11,11
SAN PEDRO DE TIQUINA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,2,2
SAN PEDRO(PND),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,7,7
SAN RAFAEL,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,5,5
SAN RAMON,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,4,4
