municipality,group,variable,month,Niños (as) de 6 m. a menores de 2 años que reciben alimento complementario Nutribebé,TOTAL
RAVELO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,466,466
REYES,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,1,1
RIBERALTA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,392,392
ROBORE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,309,309
SABAYA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,32,32
SACABA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,1579,1579
SACACA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,554,554
SAIPINA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,1,1
SALINAS DE GARCI MENDOZA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,237,237
SAN AGUSTIN,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,31,31
SAN BENITO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,43,43
SAN BORJA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,29,29
SAN IGNACIO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,268,268
SAN JAVIER(BNI),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,2,2
SAN JOAQUIN,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,51,51
SAN JOSE DE CHIQUITOS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,64,64
SAN JUAN DE YAPACANI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,40,40
SAN JULIAN,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,2,2
SAN LORENZO(TJA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,138,138
SAN LUCAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,1150,1150
SAN MATIAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,61,61
SAN MIGUEL DE VELASCO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,100,100
SAN PABLO DE LIPEZ,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,11,11
SAN PEDRO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,169,169
SAN PEDRO DE BUENA VISTA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,686,686
SAN PEDRO DE QUEMES,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,4,4
SAN PEDRO DE TIQUINA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,71,71
SAN RAFAEL,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,135,135
SAN RAMON BENI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,20,20
SANTA ANA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,40,40
SANTA CRUZ DE LA SIERRA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,1828,1828
SANTA ROSA DEL SARA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,91,91
SANTIAGO DE CALLAPA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,84,84
SANTIAGO DE HUARI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,153,153
SANTIAGO DE HUATA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,12,12
SANTUARIO DE QUILLACAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,56,56
SENA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,30,30
SHINAOTA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,128,128
SICA SICA (VILLA AROMA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,9,9
SICAYA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,31,31
SOPACHUY,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,200,200
SUCRE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,370,370
TACOBAMBA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,298,298
TACOPAYA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,241,241
TAHUA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,12,12
TAPACARI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,438,438
TARACO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,55,55
TARATA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,119,119
TARIJA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,507,507
TARVITA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,340,340
TIAWANACU,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,135,135
TINGUIPAYA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,4,4
TIPUANI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,2,2
TIQUIPAYA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,416,416
TIRAQUE (CBBA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,289,289
TITO YUPANQUI (PARQUIPUJIO),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,5,5
TOCO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,8,8
TODOS SANTOS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,9,9
TOLATA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,96,96
TOLEDO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,91,91
TOMAVE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,191,191
TOMINA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,224,224
TORO TORO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,3,3
TOTORA(ORR),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,76,76
TRIGAL,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,1,1
TRINIDAD,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,29,29
TUPIZA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,231,231
TURCO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,63,63
UMALA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,149,149
UNCIA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,8,8
URIONDO (A. CONCEPCION),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,316,316
URUBICHA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,51,51
UYUNI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,305,305
VACAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,126,126
VILA VILA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,96,96
VILLA CHARCAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,326,326
VILLA MONTES,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,807,807
VILLA NUEVA (LOMA ALTA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,1,1
VILLA RIVERO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,41,41
VILLA SERRANO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,162,162
VILLA TUNARI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,169,169
VILLAZON,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,46,46
VINTO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,281,281
VITICHI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,246,246
WALDO BALLIVIAN,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,41,41
YACUIBA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,644,644
YAMPARAEZ,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,173,173
YOCALLA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,146,146
YOTALA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,187,187
YUNCHARA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,164,164
ZUDAÑEZ,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-06-01,130,130
ACACIO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,145,145
ACHACACHI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,38,38
AIQUILE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,410,410
ALALAY,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,88,88
ALCALA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,70,70
ALTO BENI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,3,3
ANCORAIMES,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,29,29
ANDAMARCA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,65,65
ANTEQUERA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,66,66
ANZALDO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,60,60
ARANI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,170,170
ARBIETO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,52,52
ARQUE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,139,139
ASCENCION DE GUARAYOS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,18,18
ATOCHA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,116,116
AYATA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,137,137
AYO AYO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,121,121
AZURDUY,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,142,142
BAURES,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,52,52
BELEN DE ANDAMARCA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,6,6
BELEN DE URMIRI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,9,9
BELLA FLOR,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,44,44
BERMEJO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,116,116
BETANZOS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,826,826
BOLIVAR,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,209,209
BOYUIBE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,53,53
CAIROMA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,100,100
"CAIZA ""D""",micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,94,94
CALACOTO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,90,90
CAMARGO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,26,26
CAMATAQUI (C. VILLA ABECIA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,25,25
CAMIRI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,4,4
CAPINOTA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,252,252
CARACOLLO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,38,38
CARAPARI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,309,309
CATACORA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,13,13
CHACARILLA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,16,16
CHALLAPATA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,695,695
CHAQUI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,175,175
CHARAGUA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,109,109
CHAYANTA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,34,34
CHIMORE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,76,76
CHIPAYA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,42,42
CKOCHAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,144,144
CLIZA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,272,272
COBIJA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,758,758
COCHABAMBA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,2876,2876
COIPASA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,12,12
"COLCHA ""K""",micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,86,86
COLLANA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,23,23
COLOMI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,346,346
COLPA BELGICA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,68,68
COLQUECHACA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,989,989
COMANCHE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,31,31
COMARAPA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,177,177
COMBAYA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,19,19
CORO CORO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,141,141
CORQUE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,86,86
COTAGAITA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,465,465
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,10,10
CULPINA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,128,128
CURAHUARA DE CARANGAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,72,72
CURVA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,32,32
EL ALTO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,1333,1333
EL CHORO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,77,77
EL PUENTE(STC),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,251,251
EL PUENTE(TJA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,98,98
EL VILLAR,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,139,139
ENTRE RIOS TRJ,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,211,211
ESCARA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,4,4
ESMERALDA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,2,2
EUCALIPTUS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,82,82
EUREKA (SANTOS MERCADO),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,2,2
EXALTACION,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,16,16
FERNANDEZ ALONSO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,82,82
GENERAL SAAVEDRA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,74,74
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,29,29
GUAQUI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,22,22
GUAYARAMERIN,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,77,77
GUTIERREZ,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,222,222
HUACARETA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,120,120
HUACHACALLA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,11,11
HUANUNI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,84,84
HUARINA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,17,17
HUAYLLAMARCA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,93,93
ICLA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,217,217
INCAHUASI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,80,80
INQUISIVI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,58,58
IXIAMAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,4,4
LA PAZ,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,572,572
LA RIVERA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,2,2
LAGUNILLAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,10,10
LAJA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,97,97
LAS CARRERAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,58,58
LLALLAGUA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,432,432
LORETO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,53,53
LURIBAY,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,7,7
MACHACAMARCA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,112,112
MACHARETI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,13,13
MAIRANA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,147,147
MINEROS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,310,310
MIZQUE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,258,258
MOJINETE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,2,2
MOJOCOYA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,106,106
MONTEAGUDO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,452,452
MONTERO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,10,10
MORO MORO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,35,35
MOROCHATA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,21,21
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,30,30
OCURI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,461,461
ORURO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,2007,2007
PADCAYA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,67,67
PADILLA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,220,220
PAILON,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,21,21
PAMPA AULLAGAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,56,56
PAMPA GRANDE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,2,2
PAPEL PAMPA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,7,7
PASORAPA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,34,34
PATACAMAYA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,20,20
PAZÑA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,126,126
POCOATA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,307,307
POCONA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,269,269
POROMA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,338,338
POTOSI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,98,98
PRESTO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-07-01,247,247
