,group,variable,month,1. NACIDOS VIVOS SERV/DOM,1. NACIDOS VIVOS SERV/DOM,TOTALES,TOTALES,TOTALES
GUAQUI,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,3,1,3,1,4
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,60,0,60,0,60
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,7,2,7,2,9
HUACARAJE,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,3,0,3,0,3
HUACARETA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,0,2,0,2
HUACAYA (VILLA DE HUACAYA),recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,3,2,3,2,5
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,12,0,12,0,12
HUARINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,1,2,1,3
HUAYLLAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,4,0,4,0,4
HUMANATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,3,1,3,1,4
ICHOCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,0,2,0,2,2
ICLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,3,0,3,0,3
INCAHUASI,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,7,11,7,11,18
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,0,1,0,1,1
INQUISIVI,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,5,7,5,7,12
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,6,1,6,1,7
IXIAMAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,5,1,5,1,6
JESUS DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,4,3,4,3,7
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,44,2,44,2,46
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,60,0,60,0,60
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1037,3,1037,3,1040
LAGUNILLAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,1,2,1,3
LAJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,10,8,10,8,18
LICOMA PAMPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,0,2,0,2
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,56,1,56,1,57
LLICA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,0,1,0,1,1
LURIBAY,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,3,0,3,0,3
MACHARETI,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,1,2,1,3
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,8,3,8,3,11
MAIRANA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,13,0,13,0,13
MALLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,3,1,3,4
MAPIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,6,0,6,0,6
MINEROS,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,18,0,18,0,18
MIZQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,12,0,12,0,12
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,0,7,0,7,7
MOJOCOYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,0,2,0,2
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,29,1,29,1,30
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,27,0,27,0,27
MORO MORO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,0,1,0,1
MOROCHATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,5,2,5,2,7
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,0,1,0,1
NAZACARA DE PACAJES,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,0,1,0,1
OCURI,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,5,8,5,8,13
OKINAWA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,3,0,3,0,3
OMEREQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,6,0,6,0,6
ORURO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,499,9,499,9,508
PADCAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,5,1,5,1,6
PADILLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,8,0,8,0,8
PAILON,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,23,3,23,3,26
PALCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,6,1,6,7
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,12,6,12,6,18
PAMPA GRANDE,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,1,2,1,3
PAPEL PAMPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,0,1,0,1,1
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,30,9,30,9,39
PAZÑA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,1,1,1,2
PELECHUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,7,1,7,8
POCOATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,8,9,8,9,17
POCONA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,5,1,5,1,6
POJO (CBBA),recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,9,0,9,0,9
POOPO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,1,1,1,2
PORCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,10,1,10,1,11
POROMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,7,4,7,4,11
PORONGO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,0,1,0,1
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,24,0,24,0,24
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,418,4,418,4,422
PRESTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,1,2,1,3
PUCARANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,8,21,8,21,29
PUERTO ACOSTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,8,2,8,10
PUERTO CARABUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,5,5,5,5,10
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,3,1,3,1,4
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,13,0,13,0,13
PUERTO SILES,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,0,2,0,2
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,13,0,13,0,13
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,117,2,117,2,119
PUNA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,11,2,11,2,13
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,76,1,76,1,77
QUIABAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,1,1,1,2
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,189,3,189,3,192
QUIME,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,10,1,10,1,11
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,5,1,5,6
RAVELO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,5,2,5,2,7
REYES,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,12,1,12,1,13
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,193,1,193,1,194
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,16,0,16,0,16
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,28,1,28,1,29
SABAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,186,1,186,1,187
SACABAMBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,0,1,0,1,1
SACACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,6,10,6,10,16
SAIPINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,0,2,0,2
SAMAIPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,4,1,4,1,5
SAN ANDRES,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,6,0,6,0,6
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,3,1,3,1,4
SAN BENITO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,0,2,0,2
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,46,17,46,17,63
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,10,0,10,0,10
SAN CARLOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,20,0,20,0,20
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,11,4,11,4,15
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,93,6,93,6,99
SAN JAVIER(BNI),recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,0,1,0,1,1
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,15,1,15,1,16
SAN JOAQUIN,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,6,0,6,0,6
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,18,0,18,0,18
SAN JUAN DE YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,0,2,0,2
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,57,0,57,0,57
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,7,2,7,2,9
SAN LORENZO(TJA),recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,5,0,5,0,5
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,22,12,22,12,34
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,7,0,7,0,7
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,11,0,11,0,11
SAN PEDRO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,11,22,11,22,33
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,0,4,0,4,4
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,12,9,12,9,21
SAN PEDRO DE TIQUINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,2,1,2,3
SAN RAFAEL,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,5,0,5,0,5
SAN RAMON SCZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,4,2,4,2,6
SANTA ANA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,34,0,34,0,34
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2098,2,2098,2,2100
SANTA ROSA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,4,1,4,1,5
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,3,1,3,1,4
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,0,2,0,2,2
SANTIAGO DE HUARI,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,2,2,2,4
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,0,1,0,1,1
SANTIAGO DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,2,1,2,3
SAPAHAQUI,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,4,2,4,2,6
SENA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,6,2,6,2,8
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,35,0,35,0,35
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,7,9,7,9,16
SICAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,0,1,0,1
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,25,7,25,7,32
SOPACHUY,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,6,0,6,0,6
SORACACHI,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,2,1,2,3
SORATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,5,7,5,7,12
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,410,2,410,2,412
TACACOMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,5,1,5,6
TACOBAMBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,3,2,3,2,5
TACOPAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,8,2,8,10
TAHUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,0,1,0,1,1
TAPACARI,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,4,7,4,7,11
TARABUCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,5,5,5,5,10
TARACO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,3,2,3,5
TARATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,4,1,4,1,5
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,268,1,268,1,269
TARVITA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,7,2,7,2,9
TEOPONTE,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,0,2,0,2
TIAHUANACU,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,9,1,9,1,10
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,10,2,10,12
TIPUANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,0,2,0,2
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,58,4,58,4,62
TIRAQUE (CBBA),recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,8,1,8,1,9
TOCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,0,2,0,2
TOLATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,0,2,0,2
TOLEDO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,0,1,0,1
TOMAVE,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,0,2,0,2
TOMINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,4,0,4,0,4
TORO TORO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,5,4,5,4,9
TOTORA(CBBA),recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,15,3,15,3,18
TOTORA(ORR),recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,0,1,0,1,1
TRIGAL,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,175,2,175,2,177
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,56,5,56,5,61
TURCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,1,1,1,2
UMALA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,0,4,0,4,4
UNCIA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,31,5,31,5,36
URIONDO (A. CONCEPCION),recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,3,1,3,1,4
URUBICHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,35,1,35,1,36
VACAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,5,1,5,1,6
VALLEGRANDE,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,20,0,20,0,20
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,71,6,71,6,77
VILA VILA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,1,1,1,2
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,13,8,13,8,21
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,51,2,51,2,53
VILLA SERRANO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,1,2,1,3
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,117,9,117,9,126
VILLA VACA GUZMAN (MUYUPAMPA),recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,3,0,3,0,3
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,46,0,46,0,46
VINTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,55,3,55,3,58
VITICHI,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,3,1,3,1,4
WALDO BALLIVIAN,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,130,1,130,1,131
YACO,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,5,7,5,7,12
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,74,1,74,1,75
YAMPARAEZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,0,2,0,2
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,61,1,61,1,62
YOCALLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,1,1,1,2
YOTALA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,5,1,5,1,6
YUNCHARA,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,1,0,1,0,1
ZUDAÑEZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-07-01,2,1,2,1,3
ACACIO,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,1,2,1,2,3
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,34,12,34,12,46
ACHOCALLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,7,4,7,4,11
AIQUILE,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,27,1,27,1,28
ALCALA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,1,0,1,0,1
ALTO BENI,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,7,0,7,0,7
ANCORAIMES,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,1,9,1,9,10
ANZALDO,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,1,2,1,2,3
APOLO,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,13,6,13,6,19
ARAMPAMPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,1,5,1,5,6
ARANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,5,0,5,0,5
ARBIETO,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,7,0,7,0,7
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,0,7,0,7,7
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,36,0,36,0,36
ATOCHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,5,0,5,0,5
AUCAPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,0,1,0,1,1
AYATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,1,4,1,4,5
AYO AYO,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,2,4,2,4,6
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,18,13,18,13,31
AZURDUY,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,7,3,7,3,10
BATALLAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,6,10,6,10,16
BAURES,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,2,0,2,0,2
BELEN DE ANDAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,1,0,1,0,1
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,28,0,28,0,28
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,17,2,17,2,19
BOLIVAR,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,0,4,0,4,4
BOYUIBE,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,2,0,2,0,2
BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,3,0,3,0,3
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,14,7,14,7,21
CAIROMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,3,5,3,5,8
"CAIZA ""D""",recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,9,0,9,0,9
CAJUATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,7,0,7,0,7
CALAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,1,2,1,2,3
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,23,1,23,1,24
CAMATAQUI (C. VILLA ABECIA),recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,39,0,39,0,39
CAPINOTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,8,0,8,0,8
CAQUIAVIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,0,3,0,3,3
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,16,4,16,4,20
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,62,2,62,2,64
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,3,2,3,2,5
CARIPUYO,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,4,1,4,1,5
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,2,0,2,0,2
CHACARILLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,1,0,1,0,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,43,7,43,7,50
CHAQUI,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,2,7,2,7,9
CHARAGUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,25,7,25,7,32
CHARAÑA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,1,0,1,0,1
CHAYANTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,4,6,4,6,10
CHIMORE,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,24,2,24,2,26
CHIPAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,1,1,1,1,2
CHUA COCANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,2,2,2,2,4
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,16,2,16,2,18
CHUMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,1,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,5,2,5,2,7
CKOCHAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,2,4,2,4,6
CLIZA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,27,0,27,0,27
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,83,0,83,0,83
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,3,4,3,4,7
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,956,4,956,4,960
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,35,0,35,0,35
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,5,4,5,4,9
COLLANA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,0,3,0,3,3
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,13,2,13,2,15
COLPA BELGICA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,1,0,1,0,1
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,15,9,15,9,24
COLQUENCHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,4,2,4,2,6
COLQUIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,5,6,5,6,11
COMANCHE,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,0,1,0,1,1
COMARAPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,17,1,17,1,18
COMBAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,0,1,0,1,1
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,35,1,35,1,36
COPACABANA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,6,1,6,1,7
CORIPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,12,0,12,0,12
CORO CORO,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,2,0,2,0,2
COROICO,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,30,3,30,3,33
CORQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,6,0,6,0,6
COTAGAITA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,10,0,10,0,10
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,47,5,47,5,52
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,23,0,23,0,23
CUEVO,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,3,0,3,0,3
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,7,6,7,6,13
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,1,0,1,0,1
CURVA,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,0,1,0,1,1
DESAGUADERO,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,7,0,7,0,7
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-08-01,1042,25,1042,25,1067
