,group,variable,month,19. RN CON ALOJAMIENTO CONJUNTO SERV/DOM,19. RN CON ALOJAMIENTO CONJUNTO SERV/DOM,TOTALES,TOTALES,TOTALES
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,1,0,1,0,1
SAMAIPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,4,1,4,1,5
SAN ANDRES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,6,0,6,0,6
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,3,1,3,1,4
SAN BENITO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,2,0,2,0,2
SAN BORJA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,44,11,44,11,55
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,8,0,8,0,8
SAN CARLOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,5,0,5,0,5
SAN IGNACIO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,11,4,11,4,15
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,67,5,67,5,72
SAN JAVIER(STC),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,15,1,15,1,16
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,18,0,18,0,18
SAN JULIAN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,57,0,57,0,57
SAN LORENZO(PND),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,7,2,7,2,9
SAN LUCAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,21,12,21,12,33
SAN MATIAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,7,0,7,0,7
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,11,0,11,0,11
SAN PEDRO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,11,16,11,16,27
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,0,4,0,4,4
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,12,9,12,9,21
SAN PEDRO DE TIQUINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,1,2,1,2,3
SAN RAFAEL,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,5,0,5,0,5
SAN RAMON SCZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,4,2,4,2,6
SANTA ANA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,34,0,34,0,34
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,1464,0,1464,0,1464
SANTA ROSA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,4,1,4,1,5
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,3,0,3,0,3
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,0,2,0,2,2
SANTIAGO DE HUARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,2,2,2,2,4
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,0,1,0,1,1
SANTIAGO DE MACHACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,1,1,1,1,2
SAPAHAQUI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,4,2,4,2,6
SENA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,6,2,6,2,8
SHINAOTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,32,0,32,0,32
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,4,3,4,3,7
SICAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,1,0,1,0,1
SIPE SIPE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,25,0,25,0,25
SOPACHUY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,5,0,5,0,5
SORACACHI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,1,2,1,2,3
SORATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,5,5,5,5,10
SUCRE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,385,2,385,2,387
TACACOMA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,0,2,0,2,2
TACOBAMBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,3,2,3,2,5
TACOPAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,2,4,2,4,6
TAHUA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,0,1,0,1,1
TAPACARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,4,0,4,0,4
TARABUCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,5,5,5,5,10
TARACO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,2,3,2,3,5
TARATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,4,1,4,1,5
TARIJA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,249,0,249,0,249
TARVITA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,7,2,7,2,9
TEOPONTE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,2,0,2,0,2
TIAHUANACU,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,9,4,9,4,13
TINGUIPAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,2,4,2,4,6
TIPUANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,2,0,2,0,2
TIQUIPAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,58,4,58,4,62
TOCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,2,0,2,0,2
TOLATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,2,0,2,0,2
TOLEDO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,1,0,1,0,1
TOMAVE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,2,0,2,0,2
TOMINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,4,0,4,0,4
TORO TORO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,5,2,5,2,7
TOTORA(CBBA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,15,1,15,1,16
TOTORA(ORR),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,0,1,0,1,1
TRIGAL,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,140,1,140,1,141
TUPIZA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,55,5,55,5,60
TURCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,1,1,1,1,2
UMALA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,0,3,0,3,3
UNCIA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,31,5,31,5,36
URIONDO (A. CONCEPCION),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,3,0,3,0,3
URUBICHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,33,1,33,1,34
VALLEGRANDE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,19,0,19,0,19
VIACHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,69,3,69,3,72
VILA VILA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,1,2,1,2,3
VILLA CHARCAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,12,8,12,8,20
VILLA MONTES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,46,1,46,1,47
VILLA SERRANO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,2,1,2,1,3
VILLA TUNARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,105,6,105,6,111
VILLA VACA GUZMAN (MUYUPAMPA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,2,0,2,0,2
VILLAZON,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,43,1,43,1,44
VINTO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,56,0,56,0,56
VITICHI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,3,1,3,1,4
WALDO BALLIVIAN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,1,0,1,0,1
WARNES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,130,0,130,0,130
YACO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,5,7,5,7,12
YACUIBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,63,0,63,0,63
YAMPARAEZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,2,0,2,0,2
YAPACANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,61,1,61,1,62
YOCALLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,1,1,1,1,2
YOTALA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,5,1,5,1,6
YUNCHARA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,1,0,1,0,1
ZUDAÑEZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-07-01,2,0,2,0,2
ACACIO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,2,1,2,3
ACHACACHI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,32,9,32,9,41
ACHOCALLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,7,4,7,4,11
AIQUILE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,27,0,27,0,27
ALCALA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,0,1,0,1
ALTO BENI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,7,0,7,0,7
ANCORAIMES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,9,1,9,10
ANZALDO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,0,1,0,1
ARAMPAMPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,5,1,5,6
ARANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,4,0,4,0,4
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,36,0,36,0,36
ATOCHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,5,0,5,0,5
AYO AYO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,2,4,2,4,6
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,18,4,18,4,22
AZURDUY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,7,3,7,3,10
BATALLAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,5,5,5,5,10
BAURES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,2,0,2,0,2
BELEN DE ANDAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,0,1,0,1
BERMEJO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,21,0,21,0,21
BETANZOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,17,0,17,0,17
BOLIVAR,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,0,3,0,3,3
BOYUIBE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,2,0,2,0,2
BUENA VISTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,3,0,3,0,3
CABEZAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,13,7,13,7,20
CAIROMA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,3,3,3,3,6
"CAIZA ""D""",recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,9,0,9,0,9
CAJUATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,4,0,4,0,4
CALAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,2,1,2,3
CAMARGO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,22,1,22,1,23
CAPINOTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,8,0,8,0,8
CAQUIAVIRI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,0,2,0,2,2
CARACOLLO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,11,0,11,0,11
CARANAVI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,59,1,59,1,60
CARAPARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,3,0,3,0,3
CARIPUYO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,4,1,4,1,5
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,2,0,2,0,2
CHACARILLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,0,1,0,1
CHALLAPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,43,4,43,4,47
CHAQUI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,2,7,2,7,9
CHARAGUA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,22,6,22,6,28
CHARAÑA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,0,1,0,1
CHAYANTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,4,5,4,5,9
CHIMORE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,2,1,2,1,3
CHIPAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,16,1,16,1,17
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,2,1,2,3
CKOCHAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,2,4,2,4,6
CLIZA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,27,0,27,0,27
COBIJA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,77,0,77,0,77
COCAPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,3,4,3,4,7
COCHABAMBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,917,0,917,0,917
COLCAPIRHUA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,35,0,35,0,35
"COLCHA ""K""",recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,6,0,6,0,6
COLLANA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,0,1,0,1,1
COLOMI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,13,1,13,1,14
COLQUECHACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,15,9,15,9,24
COLQUENCHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,4,2,4,2,6
COLQUIRI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,3,2,3,2,5
COMARAPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,17,0,17,0,17
CONCEPCION,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,35,1,35,1,36
CORIPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,11,0,11,0,11
CORO CORO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,2,0,2,0,2
COROICO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,30,0,30,0,30
CORQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,6,0,6,0,6
COTAGAITA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,10,0,10,0,10
COTOCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,48,4,48,4,52
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,23,0,23,0,23
CUEVO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,3,0,3,0,3
CULPINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,6,6,6,6,12
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,675,25,675,25,700
EL CHORO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,1,1,1,2
EL PUENTE(STC),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,2,0,2,0,2
EL PUENTE(TJA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,0,1,0,1
EL TORNO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,57,1,57,1,58
EL VILLAR,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,2,0,2,0,2
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,14,0,14,0,14
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,14,0,14,0,14
ESCOMA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,0,1,0,1,1
EUCALIPTUS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,0,1,0,1,1
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,6,0,6,0,6
FILADELFIA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,0,1,0,1
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,2,0,2,0,2
GIA-TIM,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,0,1,0,1,1
GUAQUI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,3,1,3,1,4
GUAYARAMERIN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,52,0,52,0,52
GUTIERREZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,5,1,5,1,6
HUACARAJE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,5,0,5,0,5
HUACARETA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,5,1,5,1,6
HUANUNI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,19,0,19,0,19
HUARINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,3,3,3,3,6
HUATAJATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,0,1,0,1
HUMANATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,2,0,2,0,2
ICHOCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,2,3,2,3,5
ICLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,5,1,5,6
INCAHUASI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,8,6,8,6,14
INQUISIVI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,3,0,3,0,3
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,6,1,6,1,7
JESUS DE MACHACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,4,1,4,1,5
LA ASUNTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,50,2,50,2,52
LA GUARDIA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,48,0,48,0,48
LA PAZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,634,2,634,2,636
LAGUNILLAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,3,0,3,0,3
LAJA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,5,1,5,6
LICOMA PAMPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,2,0,2,0,2
LLALLAGUA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,56,0,56,0,56
LLICA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,3,0,3,0,3
LURIBAY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,11,0,11,0,11
MACHACAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,2,0,2,0,2
MACHARETI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,3,0,3,0,3
MAGDALENA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,9,0,9,0,9
MAIRANA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,14,0,14,0,14
MALLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,0,2,0,2,2
MAPIRI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,10,0,10,0,10
MECAPACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,0,1,0,1
MINEROS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,3,0,3,0,3
MIZQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,22,0,22,0,22
MOCOMOCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,6,1,6,7
MOJOCOYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,6,0,6,0,6
MONTEAGUDO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,23,0,23,0,23
MONTERO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,6,0,6,0,6
MORO MORO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,0,1,0,1
MOROCHATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,2,4,2,4,6
NAZACARA DE PACAJES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,0,2,0,2,2
OCURI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,5,7,5,7,12
OMEREQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,3,0,3,0,3
ORURO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,400,5,400,5,405
PADCAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,4,0,4,0,4
PADILLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,14,0,14,0,14
PAILON,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,17,2,17,2,19
PALCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,2,9,2,9,11
PALOS BLANCOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,20,17,20,17,37
PAMPA GRANDE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,4,0,4,0,4
PATACAMAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,24,4,24,4,28
PAZÑA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,3,1,3,4
POCOATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,5,14,5,14,19
POCONA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,4,0,4,0,4
POJO (CBBA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,7,0,7,0,7
POOPO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,0,1,0,1
PORCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,10,2,10,2,12
POROMA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,2,2,2,2,4
PORONGO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,0,1,0,1
PORTACHUELO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,21,0,21,0,21
PORVENIR,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,358,0,358,0,358
PRESTO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,4,1,4,1,5
PUCARANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,10,9,10,9,19
PUERTO ACOSTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,2,9,2,9,11
PUERTO CARABUCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,3,4,3,4,7
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,4,0,4,0,4
PUERTO PEREZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,1,3,1,3,4
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,12,0,12,0,12
PUERTO RICO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,5,0,5,0,5
PUERTO SUAREZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,19,0,19,0,19
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-08-01,102,0,102,0,102
