municipality,group,variable,month,Primer Control Post Parto,TOTAL
SAN RAMON SCZ,atencion de partos en servicios,primer control post parto,2022-06-01,10,10
SANTA ANA,atencion de partos en servicios,primer control post parto,2022-06-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,primer control post parto,2022-06-01,326,326
SANTA ROSA,atencion de partos en servicios,primer control post parto,2022-06-01,6,6
SANTA ROSA DEL SARA,atencion de partos en servicios,primer control post parto,2022-06-01,5,5
SANTIAGO DE HUARI,atencion de partos en servicios,primer control post parto,2022-06-01,1,1
SANTIAGO DE HUATA,atencion de partos en servicios,primer control post parto,2022-06-01,1,1
SANTIVAÑES,atencion de partos en servicios,primer control post parto,2022-06-01,1,1
SENA,atencion de partos en servicios,primer control post parto,2022-06-01,6,6
SHINAOTA,atencion de partos en servicios,primer control post parto,2022-06-01,69,69
SICA SICA (VILLA AROMA),atencion de partos en servicios,primer control post parto,2022-06-01,11,11
SICAYA,atencion de partos en servicios,primer control post parto,2022-06-01,1,1
SIPE SIPE,atencion de partos en servicios,primer control post parto,2022-06-01,30,30
SORACACHI,atencion de partos en servicios,primer control post parto,2022-06-01,4,4
SORATA,atencion de partos en servicios,primer control post parto,2022-06-01,9,9
SUCRE,atencion de partos en servicios,primer control post parto,2022-06-01,453,453
TACACOMA,atencion de partos en servicios,primer control post parto,2022-06-01,1,1
TAHUA,atencion de partos en servicios,primer control post parto,2022-06-01,2,2
TARABUCO,atencion de partos en servicios,primer control post parto,2022-06-01,8,8
TARATA,atencion de partos en servicios,primer control post parto,2022-06-01,5,5
TARIJA,atencion de partos en servicios,primer control post parto,2022-06-01,62,62
TARVITA,atencion de partos en servicios,primer control post parto,2022-06-01,6,6
TEOPONTE,atencion de partos en servicios,primer control post parto,2022-06-01,2,2
TIAHUANACU,atencion de partos en servicios,primer control post parto,2022-06-01,7,7
TINGUIPAYA,atencion de partos en servicios,primer control post parto,2022-06-01,1,1
TIPUANI,atencion de partos en servicios,primer control post parto,2022-06-01,2,2
TIQUIPAYA,atencion de partos en servicios,primer control post parto,2022-06-01,6,6
TIRAQUE (CBBA),atencion de partos en servicios,primer control post parto,2022-06-01,18,18
TOCO,atencion de partos en servicios,primer control post parto,2022-06-01,2,2
TODOS SANTOS,atencion de partos en servicios,primer control post parto,2022-06-01,1,1
TOLATA,atencion de partos en servicios,primer control post parto,2022-06-01,5,5
TOLEDO,atencion de partos en servicios,primer control post parto,2022-06-01,1,1
TOMAVE,atencion de partos en servicios,primer control post parto,2022-06-01,7,7
TOMINA,atencion de partos en servicios,primer control post parto,2022-06-01,3,3
TORO TORO,atencion de partos en servicios,primer control post parto,2022-06-01,4,4
TOTORA(ORR),atencion de partos en servicios,primer control post parto,2022-06-01,6,6
TRINIDAD,atencion de partos en servicios,primer control post parto,2022-06-01,6,6
TUPIZA,atencion de partos en servicios,primer control post parto,2022-06-01,55,55
TURCO,atencion de partos en servicios,primer control post parto,2022-06-01,1,1
UNCIA,atencion de partos en servicios,primer control post parto,2022-06-01,10,10
URIONDO (A. CONCEPCION),atencion de partos en servicios,primer control post parto,2022-06-01,6,6
URUBICHA,atencion de partos en servicios,primer control post parto,2022-06-01,2,2
UYUNI,atencion de partos en servicios,primer control post parto,2022-06-01,6,6
VACAS,atencion de partos en servicios,primer control post parto,2022-06-01,1,1
VALLEGRANDE,atencion de partos en servicios,primer control post parto,2022-06-01,1,1
VIACHA,atencion de partos en servicios,primer control post parto,2022-06-01,23,23
VILA VILA,atencion de partos en servicios,primer control post parto,2022-06-01,3,3
VILLA CHARCAS,atencion de partos en servicios,primer control post parto,2022-06-01,1,1
VILLA MONTES,atencion de partos en servicios,primer control post parto,2022-06-01,18,18
VILLA NUEVA (LOMA ALTA),atencion de partos en servicios,primer control post parto,2022-06-01,1,1
VILLA SERRANO,atencion de partos en servicios,primer control post parto,2022-06-01,5,5
VILLA TUNARI,atencion de partos en servicios,primer control post parto,2022-06-01,38,38
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,primer control post parto,2022-06-01,3,3
VILLAZON,atencion de partos en servicios,primer control post parto,2022-06-01,42,42
VINTO,atencion de partos en servicios,primer control post parto,2022-06-01,64,64
VITICHI,atencion de partos en servicios,primer control post parto,2022-06-01,8,8
WARNES,atencion de partos en servicios,primer control post parto,2022-06-01,104,104
YACO,atencion de partos en servicios,primer control post parto,2022-06-01,2,2
YACUIBA,atencion de partos en servicios,primer control post parto,2022-06-01,37,37
YAMPARAEZ,atencion de partos en servicios,primer control post parto,2022-06-01,4,4
YAPACANI,atencion de partos en servicios,primer control post parto,2022-06-01,70,70
YOTALA,atencion de partos en servicios,primer control post parto,2022-06-01,4,4
ZUDAÑEZ,atencion de partos en servicios,primer control post parto,2022-06-01,8,8
ACACIO,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
ACHACACHI,atencion de partos en servicios,primer control post parto,2022-07-01,37,37
ACHOCALLA,atencion de partos en servicios,primer control post parto,2022-07-01,15,15
AIQUILE,atencion de partos en servicios,primer control post parto,2022-07-01,26,26
ALTO BENI,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
ANCORAIMES,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
ANDAMARCA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
ANTEQUERA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
ANZALDO,atencion de partos en servicios,primer control post parto,2022-07-01,5,5
APOLO,atencion de partos en servicios,primer control post parto,2022-07-01,8,8
ARANI,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
ARBIETO,atencion de partos en servicios,primer control post parto,2022-07-01,17,17
ARQUE,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicios,primer control post parto,2022-07-01,55,55
ATOCHA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
AYATA,atencion de partos en servicios,primer control post parto,2022-07-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,primer control post parto,2022-07-01,5,5
AZURDUY,atencion de partos en servicios,primer control post parto,2022-07-01,4,4
BATALLAS,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
BAURES,atencion de partos en servicios,primer control post parto,2022-07-01,7,7
BERMEJO,atencion de partos en servicios,primer control post parto,2022-07-01,47,47
BOLIVAR,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
BOYUIBE,atencion de partos en servicios,primer control post parto,2022-07-01,6,6
BUENA VISTA,atencion de partos en servicios,primer control post parto,2022-07-01,7,7
CABEZAS,atencion de partos en servicios,primer control post parto,2022-07-01,11,11
"CAIZA ""D""",atencion de partos en servicios,primer control post parto,2022-07-01,6,6
CAJUATA,atencion de partos en servicios,primer control post parto,2022-07-01,3,3
CAMARGO,atencion de partos en servicios,primer control post parto,2022-07-01,6,6
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,primer control post parto,2022-07-01,1,1
CAMIRI,atencion de partos en servicios,primer control post parto,2022-07-01,50,50
CAPINOTA,atencion de partos en servicios,primer control post parto,2022-07-01,3,3
CARACOLLO,atencion de partos en servicios,primer control post parto,2022-07-01,12,12
CARANAVI,atencion de partos en servicios,primer control post parto,2022-07-01,36,36
CARAPARI,atencion de partos en servicios,primer control post parto,2022-07-01,4,4
CARIPUYO,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
CHALLAPATA,atencion de partos en servicios,primer control post parto,2022-07-01,31,31
CHAQUI,atencion de partos en servicios,primer control post parto,2022-07-01,4,4
CHARAGUA,atencion de partos en servicios,primer control post parto,2022-07-01,5,5
CHAYANTA,atencion de partos en servicios,primer control post parto,2022-07-01,4,4
CHIMORE,atencion de partos en servicios,primer control post parto,2022-07-01,17,17
CHIPAYA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,primer control post parto,2022-07-01,12,12
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
CKOCHAS,atencion de partos en servicios,primer control post parto,2022-07-01,3,3
CLIZA,atencion de partos en servicios,primer control post parto,2022-07-01,7,7
COBIJA,atencion de partos en servicios,primer control post parto,2022-07-01,15,15
COCAPATA,atencion de partos en servicios,primer control post parto,2022-07-01,3,3
COCHABAMBA,atencion de partos en servicios,primer control post parto,2022-07-01,410,410
COLCAPIRHUA,atencion de partos en servicios,primer control post parto,2022-07-01,8,8
"COLCHA ""K""",atencion de partos en servicios,primer control post parto,2022-07-01,6,6
COLOMI,atencion de partos en servicios,primer control post parto,2022-07-01,14,14
COLPA BELGICA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
COLQUECHACA,atencion de partos en servicios,primer control post parto,2022-07-01,11,11
COMARAPA,atencion de partos en servicios,primer control post parto,2022-07-01,10,10
COMBAYA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
CONCEPCION,atencion de partos en servicios,primer control post parto,2022-07-01,28,28
COPACABANA,atencion de partos en servicios,primer control post parto,2022-07-01,7,7
CORIPATA,atencion de partos en servicios,primer control post parto,2022-07-01,15,15
CORO CORO,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
COROICO,atencion de partos en servicios,primer control post parto,2022-07-01,15,15
COTAGAITA,atencion de partos en servicios,primer control post parto,2022-07-01,4,4
CUATRO CAÑADAS,atencion de partos en servicios,primer control post parto,2022-07-01,14,14
CUEVO,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
CULPINA,atencion de partos en servicios,primer control post parto,2022-07-01,11,11
DESAGUADERO,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
EL ALTO,atencion de partos en servicios,primer control post parto,2022-07-01,670,670
EL PUENTE(STC),atencion de partos en servicios,primer control post parto,2022-07-01,10,10
EL PUENTE(TJA),atencion de partos en servicios,primer control post parto,2022-07-01,4,4
EL TORNO,atencion de partos en servicios,primer control post parto,2022-07-01,23,23
EL VILLAR,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
ENTRE RIOS TRJ,atencion de partos en servicios,primer control post parto,2022-07-01,12,12
ENTRE RIOS CBBA,atencion de partos en servicios,primer control post parto,2022-07-01,12,12
ESCOMA,atencion de partos en servicios,primer control post parto,2022-07-01,9,9
FERNANDEZ ALONSO,atencion de partos en servicios,primer control post parto,2022-07-01,8,8
FILADELFIA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
GAIOC JATUN AYLLU YURA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
GENERAL SAAVEDRA,atencion de partos en servicios,primer control post parto,2022-07-01,10,10
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en servicios,primer control post parto,2022-07-01,1,1
GUANAY,atencion de partos en servicios,primer control post parto,2022-07-01,13,13
GUAQUI,atencion de partos en servicios,primer control post parto,2022-07-01,3,3
GUAYARAMERIN,atencion de partos en servicios,primer control post parto,2022-07-01,20,20
GUTIERREZ,atencion de partos en servicios,primer control post parto,2022-07-01,13,13
HUACARETA,atencion de partos en servicios,primer control post parto,2022-07-01,4,4
HUACAYA (VILLA DE HUACAYA),atencion de partos en servicios,primer control post parto,2022-07-01,1,1
HUANUNI,atencion de partos en servicios,primer control post parto,2022-07-01,25,25
HUARINA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
HUMANATA,atencion de partos en servicios,primer control post parto,2022-07-01,4,4
ICLA,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
INGAVI (HUMAITA),atencion de partos en servicios,primer control post parto,2022-07-01,1,1
INQUISIVI,atencion de partos en servicios,primer control post parto,2022-07-01,3,3
IRUPANA (VILLA DE LANZA),atencion de partos en servicios,primer control post parto,2022-07-01,6,6
IXIAMAS,atencion de partos en servicios,primer control post parto,2022-07-01,8,8
JESUS DE MACHACA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
LA ASUNTA,atencion de partos en servicios,primer control post parto,2022-07-01,31,31
LA GUARDIA,atencion de partos en servicios,primer control post parto,2022-07-01,57,57
LA PAZ,atencion de partos en servicios,primer control post parto,2022-07-01,217,217
LAJA,atencion de partos en servicios,primer control post parto,2022-07-01,6,6
LLALLAGUA,atencion de partos en servicios,primer control post parto,2022-07-01,6,6
LLICA,atencion de partos en servicios,primer control post parto,2022-07-01,3,3
LURIBAY,atencion de partos en servicios,primer control post parto,2022-07-01,3,3
MACHACAMARCA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
MACHARETI,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
MAGDALENA,atencion de partos en servicios,primer control post parto,2022-07-01,9,9
MAIRANA,atencion de partos en servicios,primer control post parto,2022-07-01,14,14
MECAPACA,atencion de partos en servicios,primer control post parto,2022-07-01,5,5
MINEROS,atencion de partos en servicios,primer control post parto,2022-07-01,17,17
MIZQUE,atencion de partos en servicios,primer control post parto,2022-07-01,10,10
MOCOMOCO,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
MOJOCOYA,atencion de partos en servicios,primer control post parto,2022-07-01,4,4
MONTEAGUDO,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
MONTERO,atencion de partos en servicios,primer control post parto,2022-07-01,63,63
NUEVO MANOA (NUEVA ESPERANZA),atencion de partos en servicios,primer control post parto,2022-07-01,2,2
OCURI,atencion de partos en servicios,primer control post parto,2022-07-01,3,3
OKINAWA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
ORURO,atencion de partos en servicios,primer control post parto,2022-07-01,282,282
PADCAYA,atencion de partos en servicios,primer control post parto,2022-07-01,8,8
PADILLA,atencion de partos en servicios,primer control post parto,2022-07-01,6,6
PAILON,atencion de partos en servicios,primer control post parto,2022-07-01,23,23
PALCA,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
PALOS BLANCOS,atencion de partos en servicios,primer control post parto,2022-07-01,4,4
PAMPA GRANDE,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
PAPEL PAMPA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
PATACAMAYA,atencion de partos en servicios,primer control post parto,2022-07-01,28,28
PAZÑA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
POCOATA,atencion de partos en servicios,primer control post parto,2022-07-01,9,9
POCONA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
PORCO,atencion de partos en servicios,primer control post parto,2022-07-01,14,14
POROMA,atencion de partos en servicios,primer control post parto,2022-07-01,5,5
PORONGO,atencion de partos en servicios,primer control post parto,2022-07-01,3,3
PORTACHUELO,atencion de partos en servicios,primer control post parto,2022-07-01,12,12
PORVENIR,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
POSTRER VALLE,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
POTOSI,atencion de partos en servicios,primer control post parto,2022-07-01,140,140
PRESTO,atencion de partos en servicios,primer control post parto,2022-07-01,5,5
PUCARANI,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
PUERTO ACOSTA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
PUERTO GONZALO MORENO,atencion de partos en servicios,primer control post parto,2022-07-01,4,4
PUERTO RICO,atencion de partos en servicios,primer control post parto,2022-07-01,4,4
PUERTO VILLARROEL,atencion de partos en servicios,primer control post parto,2022-07-01,7,7
PUNA,atencion de partos en servicios,primer control post parto,2022-07-01,11,11
PUNATA,atencion de partos en servicios,primer control post parto,2022-07-01,44,44
QUILLACOLLO,atencion de partos en servicios,primer control post parto,2022-07-01,58,58
RAQAYPAMPA(ETA),atencion de partos en servicios,primer control post parto,2022-07-01,2,2
RAVELO,atencion de partos en servicios,primer control post parto,2022-07-01,6,6
REYES,atencion de partos en servicios,primer control post parto,2022-07-01,14,14
RIBERALTA,atencion de partos en servicios,primer control post parto,2022-07-01,206,206
ROBORE,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
RURRENABAQUE,atencion de partos en servicios,primer control post parto,2022-07-01,13,13
SABAYA,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
SACABA,atencion de partos en servicios,primer control post parto,2022-07-01,86,86
SACABAMBA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
SACACA,atencion de partos en servicios,primer control post parto,2022-07-01,3,3
SAIPINA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
SALINAS DE GARCI MENDOZA,atencion de partos en servicios,primer control post parto,2022-07-01,3,3
SAMAIPATA,atencion de partos en servicios,primer control post parto,2022-07-01,5,5
SAN ANTONIO DE LOMERIO,atencion de partos en servicios,primer control post parto,2022-07-01,6,6
SAN BENITO,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
SAN BORJA,atencion de partos en servicios,primer control post parto,2022-07-01,10,10
SAN BUENA VENTURA,atencion de partos en servicios,primer control post parto,2022-07-01,28,28
SAN CARLOS,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
SAN IGNACIO,atencion de partos en servicios,primer control post parto,2022-07-01,25,25
SAN IGNACIO DE VELASCO,atencion de partos en servicios,primer control post parto,2022-07-01,48,48
SAN JAVIER(STC),atencion de partos en servicios,primer control post parto,2022-07-01,27,27
SAN JOSE DE CHIQUITOS,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
SAN JULIAN,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
SAN LORENZO(PND),atencion de partos en servicios,primer control post parto,2022-07-01,3,3
SAN LORENZO(TJA),atencion de partos en servicios,primer control post parto,2022-07-01,12,12
SAN LUCAS,atencion de partos en servicios,primer control post parto,2022-07-01,23,23
SAN MATIAS,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en servicios,primer control post parto,2022-07-01,6,6
SAN PEDRO,atencion de partos en servicios,primer control post parto,2022-07-01,3,3
SAN PEDRO DE BUENA VISTA,atencion de partos en servicios,primer control post parto,2022-07-01,8,8
SAN PEDRO DE CURAHUARA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
SAN PEDRO DE MACHA,atencion de partos en servicios,primer control post parto,2022-07-01,17,17
SAN RAFAEL,atencion de partos en servicios,primer control post parto,2022-07-01,3,3
SAN RAMON SCZ,atencion de partos en servicios,primer control post parto,2022-07-01,10,10
SANTA CRUZ DE LA SIERRA,atencion de partos en servicios,primer control post parto,2022-07-01,378,378
SANTA ROSA,atencion de partos en servicios,primer control post parto,2022-07-01,6,6
SANTA ROSA DEL SARA,atencion de partos en servicios,primer control post parto,2022-07-01,5,5
SANTIAGO DE HUARI,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
SANTUARIO DE QUILLACAS,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
SENA,atencion de partos en servicios,primer control post parto,2022-07-01,10,10
SHINAOTA,atencion de partos en servicios,primer control post parto,2022-07-01,28,28
SICA SICA (VILLA AROMA),atencion de partos en servicios,primer control post parto,2022-07-01,2,2
SICAYA,atencion de partos en servicios,primer control post parto,2022-07-01,4,4
SIPE SIPE,atencion de partos en servicios,primer control post parto,2022-07-01,23,23
SOPACHUY,atencion de partos en servicios,primer control post parto,2022-07-01,4,4
SORATA,atencion de partos en servicios,primer control post parto,2022-07-01,7,7
SUCRE,atencion de partos en servicios,primer control post parto,2022-07-01,501,501
TACACHI,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
TAHUA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
TAPACARI,atencion de partos en servicios,primer control post parto,2022-07-01,9,9
TARABUCO,atencion de partos en servicios,primer control post parto,2022-07-01,10,10
TARATA,atencion de partos en servicios,primer control post parto,2022-07-01,4,4
TARIJA,atencion de partos en servicios,primer control post parto,2022-07-01,74,74
TARVITA,atencion de partos en servicios,primer control post parto,2022-07-01,6,6
TIAHUANACU,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
TINGUIPAYA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
TIQUIPAYA,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
TIRAQUE (CBBA),atencion de partos en servicios,primer control post parto,2022-07-01,18,18
TOCO,atencion de partos en servicios,primer control post parto,2022-07-01,3,3
TOLATA,atencion de partos en servicios,primer control post parto,2022-07-01,6,6
TOLEDO,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
TOMAVE,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
TOMINA,atencion de partos en servicios,primer control post parto,2022-07-01,7,7
TORO TORO,atencion de partos en servicios,primer control post parto,2022-07-01,4,4
TOTORA(CBBA),atencion de partos en servicios,primer control post parto,2022-07-01,12,12
TOTORA(ORR),atencion de partos en servicios,primer control post parto,2022-07-01,1,1
TRINIDAD,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
UMALA,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
UNCIA,atencion de partos en servicios,primer control post parto,2022-07-01,10,10
URIONDO (A. CONCEPCION),atencion de partos en servicios,primer control post parto,2022-07-01,4,4
URUBICHA,atencion de partos en servicios,primer control post parto,2022-07-01,6,6
UYUNI,atencion de partos en servicios,primer control post parto,2022-07-01,7,7
VALLEGRANDE,atencion de partos en servicios,primer control post parto,2022-07-01,25,25
VIACHA,atencion de partos en servicios,primer control post parto,2022-07-01,25,25
VILLA MONTES,atencion de partos en servicios,primer control post parto,2022-07-01,22,22
VILLA RIVERO,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
VILLA SERRANO,atencion de partos en servicios,primer control post parto,2022-07-01,2,2
VILLA TUNARI,atencion de partos en servicios,primer control post parto,2022-07-01,24,24
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en servicios,primer control post parto,2022-07-01,1,1
VILLAZON,atencion de partos en servicios,primer control post parto,2022-07-01,35,35
VINTO,atencion de partos en servicios,primer control post parto,2022-07-01,64,64
VITICHI,atencion de partos en servicios,primer control post parto,2022-07-01,5,5
WARNES,atencion de partos en servicios,primer control post parto,2022-07-01,115,115
YACO,atencion de partos en servicios,primer control post parto,2022-07-01,1,1
YACUIBA,atencion de partos en servicios,primer control post parto,2022-07-01,30,30
YAMPARAEZ,atencion de partos en servicios,primer control post parto,2022-07-01,5,5
YAPACANI,atencion de partos en servicios,primer control post parto,2022-07-01,65,65
YOTALA,atencion de partos en servicios,primer control post parto,2022-07-01,3,3
ZUDAÑEZ,atencion de partos en servicios,primer control post parto,2022-07-01,11,11
ACACIO,atencion de partos en servicios,primer control post parto,2022-08-01,3,3
ACHACACHI,atencion de partos en servicios,primer control post parto,2022-08-01,29,29
ACHOCALLA,atencion de partos en servicios,primer control post parto,2022-08-01,28,28
AIQUILE,atencion de partos en servicios,primer control post parto,2022-08-01,27,27
ANTEQUERA,atencion de partos en servicios,primer control post parto,2022-08-01,1,1
ANZALDO,atencion de partos en servicios,primer control post parto,2022-08-01,8,8
APOLO,atencion de partos en servicios,primer control post parto,2022-08-01,18,18
ARAMPAMPA,atencion de partos en servicios,primer control post parto,2022-08-01,2,2
ARBIETO,atencion de partos en servicios,primer control post parto,2022-08-01,14,14
ARQUE,atencion de partos en servicios,primer control post parto,2022-08-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicios,primer control post parto,2022-08-01,63,63
ATOCHA,atencion de partos en servicios,primer control post parto,2022-08-01,1,1
AUCAPATA,atencion de partos en servicios,primer control post parto,2022-08-01,2,2
AYATA,atencion de partos en servicios,primer control post parto,2022-08-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicios,primer control post parto,2022-08-01,9,9
AZURDUY,atencion de partos en servicios,primer control post parto,2022-08-01,12,12
BATALLAS,atencion de partos en servicios,primer control post parto,2022-08-01,2,2
BAURES,atencion de partos en servicios,primer control post parto,2022-08-01,4,4
BELLA FLOR,atencion de partos en servicios,primer control post parto,2022-08-01,1,1
BERMEJO,atencion de partos en servicios,primer control post parto,2022-08-01,59,59
BETANZOS,atencion de partos en servicios,primer control post parto,2022-08-01,1,1
BOLIVAR,atencion de partos en servicios,primer control post parto,2022-08-01,1,1
BOYUIBE,atencion de partos en servicios,primer control post parto,2022-08-01,3,3
BUENA VISTA,atencion de partos en servicios,primer control post parto,2022-08-01,6,6
CABEZAS,atencion de partos en servicios,primer control post parto,2022-08-01,12,12
CAIROMA,atencion de partos en servicios,primer control post parto,2022-08-01,3,3
"CAIZA ""D""",atencion de partos en servicios,primer control post parto,2022-08-01,2,2
CAJUATA,atencion de partos en servicios,primer control post parto,2022-08-01,7,7
CAMARGO,atencion de partos en servicios,primer control post parto,2022-08-01,11,11
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicios,primer control post parto,2022-08-01,5,5
CAMIRI,atencion de partos en servicios,primer control post parto,2022-08-01,59,59
CAPINOTA,atencion de partos en servicios,primer control post parto,2022-08-01,5,5
CAQUIAVIRI,atencion de partos en servicios,primer control post parto,2022-08-01,1,1
CARACOLLO,atencion de partos en servicios,primer control post parto,2022-08-01,18,18
CARANAVI,atencion de partos en servicios,primer control post parto,2022-08-01,34,34
CARAPARI,atencion de partos en servicios,primer control post parto,2022-08-01,3,3
CARIPUYO,atencion de partos en servicios,primer control post parto,2022-08-01,3,3
CHALLAPATA,atencion de partos en servicios,primer control post parto,2022-08-01,52,52
CHAQUI,atencion de partos en servicios,primer control post parto,2022-08-01,6,6
CHARAGUA,atencion de partos en servicios,primer control post parto,2022-08-01,3,3
CHAYANTA,atencion de partos en servicios,primer control post parto,2022-08-01,2,2
CHIMORE,atencion de partos en servicios,primer control post parto,2022-08-01,13,13
CHOQUE COTA,atencion de partos en servicios,primer control post parto,2022-08-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicios,primer control post parto,2022-08-01,17,17
CHUMA,atencion de partos en servicios,primer control post parto,2022-08-01,3,3
CKOCHAS,atencion de partos en servicios,primer control post parto,2022-08-01,2,2
CLIZA,atencion de partos en servicios,primer control post parto,2022-08-01,12,12
COBIJA,atencion de partos en servicios,primer control post parto,2022-08-01,15,15
COCAPATA,atencion de partos en servicios,primer control post parto,2022-08-01,1,1
COCHABAMBA,atencion de partos en servicios,primer control post parto,2022-08-01,460,460
COLCAPIRHUA,atencion de partos en servicios,primer control post parto,2022-08-01,18,18
"COLCHA ""K""",atencion de partos en servicios,primer control post parto,2022-08-01,2,2
COLOMI,atencion de partos en servicios,primer control post parto,2022-08-01,14,14
COLPA BELGICA,atencion de partos en servicios,primer control post parto,2022-08-01,1,1
COLQUECHACA,atencion de partos en servicios,primer control post parto,2022-08-01,8,8
COMARAPA,atencion de partos en servicios,primer control post parto,2022-08-01,10,10
CONCEPCION,atencion de partos en servicios,primer control post parto,2022-08-01,29,29
COPACABANA,atencion de partos en servicios,primer control post parto,2022-08-01,1,1
CORIPATA,atencion de partos en servicios,primer control post parto,2022-08-01,15,15
COROICO,atencion de partos en servicios,primer control post parto,2022-08-01,20,20
COTAGAITA,atencion de partos en servicios,primer control post parto,2022-08-01,5,5
COTOCA,atencion de partos en servicios,primer control post parto,2022-08-01,1,1
CUATRO CAÑADAS,atencion de partos en servicios,primer control post parto,2022-08-01,8,8
CUCHUMUELA (V. G. VILLARROEL),atencion de partos en servicios,primer control post parto,2022-08-01,1,1
CULPINA,atencion de partos en servicios,primer control post parto,2022-08-01,18,18
CURAHUARA DE CARANGAS,atencion de partos en servicios,primer control post parto,2022-08-01,1,1
EL ALTO,atencion de partos en servicios,primer control post parto,2022-08-01,676,676
EL PUENTE(STC),atencion de partos en servicios,primer control post parto,2022-08-01,5,5
EL PUENTE(TJA),atencion de partos en servicios,primer control post parto,2022-08-01,4,4
EL TORNO,atencion de partos en servicios,primer control post parto,2022-08-01,16,16
EL VILLAR,atencion de partos en servicios,primer control post parto,2022-08-01,4,4
ENTRE RIOS TRJ,atencion de partos en servicios,primer control post parto,2022-08-01,10,10
ENTRE RIOS CBBA,atencion de partos en servicios,primer control post parto,2022-08-01,8,8
