,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES
PRESTO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,5,12,17
PUCARA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,2,0,2
PUCARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,19,0,19
PUERTO ACOSTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,7,3,10
PUERTO CARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,9,4,13
PUERTO GONZALO MORENO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,3,0,3
PUERTO PEREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,8,0,8
PUERTO QUIJARRO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,22,0,22
PUERTO RICO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,20,0,20
PUERTO SUAREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,17,0,17
PUERTO VILLARROEL,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,60,0,60
PUNA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,14,4,18
PUNATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,34,0,34
QUIABAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,9,0,9
QUILLACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,187,7,194
QUIME,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,10,0,10
QUIRUSILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,2,0,2
RAVELO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,9,4,13
REYES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,22,2,24
RIBERALTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,225,4,229
ROBORE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,4,0,4
RURRENABAQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,26,0,26
SABAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,1,1,2
SACABA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,192,0,192
SACABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,2,0,2
SACACA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,23,1,24
SAIPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,10,0,10
SALINAS DE GARCI MENDOZA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,8,4,12
SAMAIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,12,0,12
SAN AGUSTIN,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,0,1,1
SAN ANDRES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,8,0,8
SAN ANDRES DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,2,2,4
SAN ANTONIO DE ESMORUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,2,1,3
SAN ANTONIO DE LOMERIO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,2,1,3
SAN BENITO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,14,0,14
SAN BORJA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,59,0,59
SAN BUENA VENTURA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,24,0,24
SAN CARLOS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,29,0,29
SAN IGNACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,26,2,28
SAN IGNACIO DE VELASCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,52,3,55
SAN JAVIER(BNI),consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,3,1,4
SAN JAVIER(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,22,0,22
SAN JOAQUIN,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,13,0,13
SAN JOSE DE CHIQUITOS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,17,0,17
SAN JUAN DE YAPACANI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,12,0,12
SAN JULIAN,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,83,2,85
SAN LORENZO(PND),consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,4,5,9
SAN LORENZO(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,15,1,16
SAN LUCAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,66,12,78
SAN MATIAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,54,0,54
SAN MIGUEL DE VELASCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,10,1,11
SAN PABLO DE LIPEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,6,1,7
SAN PEDRO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,27,0,27
SAN PEDRO DE BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,20,4,24
SAN PEDRO DE CURAHUARA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,1,2,3
SAN PEDRO DE TIQUINA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,2,0,2
SAN RAFAEL,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,9,1,10
SAN RAMON BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,19,0,19
SAN RAMON SCZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,7,0,7
SANTA ANA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,25,0,25
SANTA CRUZ DE LA SIERRA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,1535,3,1538
SANTA ROSA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,17,0,17
SANTA ROSA DEL SARA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,16,0,16
SANTIAGO DE CALLAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,1,3,4
SANTIAGO DE HUARI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,6,0,6
SANTIAGO DE HUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,4,2,6
SANTIAGO DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,1,0,1
SANTIVAÑES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,7,0,7
SANTUARIO DE QUILLACAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,0,1,1
SAPAHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,3,1,4
SENA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,3,0,3
SHINAOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,33,0,33
SICA SICA (VILLA AROMA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,27,0,27
SICAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,5,0,5
SIPE SIPE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,93,1,94
SOPACHUY,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,8,2,10
SORACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,7,5,12
SORATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,15,1,16
SUCRE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,622,4,626
TACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,1,0,1
TACACOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,13,1,14
TACOBAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,6,3,9
TACOPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,9,1,10
TAHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,1,1,2
TAPACARI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,16,4,20
TARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,24,6,30
TARACO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,4,1,5
TARATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,6,1,7
TARIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,354,3,357
TARVITA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,25,7,32
TEOPONTE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,14,0,14
TIAWANACU,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,7,0,7
TINGUIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,14,6,20
TIPUANI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,15,0,15
TIQUIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,98,7,105
TIRAQUE (CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,21,0,21
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,2,0,2
TOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,1,0,1
TOLATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,1,0,1
TOLEDO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,3,0,3
TOMAVE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,4,6,10
TOMINA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,28,1,29
TORO TORO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,16,3,19
TOTORA(CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,49,1,50
TRIGAL,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,3,0,3
TRINIDAD,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,231,0,231
TUPIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,60,4,64
TURCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,3,0,3
UMALA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,6,3,9
UNCIA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,21,1,22
URIONDO (A. CONCEPCION),consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,25,1,26
URUBICHA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,12,0,12
UYUNI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,40,1,41
VACAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,6,1,7
VALLEGRANDE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,14,0,14
VIACHA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,69,22,91
VILLA CHARCAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,23,8,31
VILLA MONTES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,83,2,85
VILLA NUEVA (LOMA ALTA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,2,0,2
VILLA RIVERO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,9,1,10
VILLA SERRANO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,6,7,13
VILLA TUNARI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,98,0,98
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,14,5,19
VILLAZON,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,46,4,50
VINTO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,96,0,96
VITICHI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,10,4,14
WALDO BALLIVIAN,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,3,1,4
WARNES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,149,1,150
YACO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,6,0,6
YACUIBA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,225,0,225
YAMPARAEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,14,3,17
YANACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,3,0,3
YAPACANI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,92,0,92
YOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,6,1,7
YOTALA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,9,3,12
YUNCHARA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,3,8,11
ZUDAÑEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-06-01,7,5,12
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,6,1,7
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,49,4,53
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,7,2,9
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,40,2,42
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,0,2,2
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,5,0,5
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,15,0,15
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,17,3,20
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,2,0,2
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,4,2,6
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,4,4,8
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,28,3,31
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,3,1,4
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,28,0,28
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,12,5,17
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,10,2,12
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,41,0,41
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,17,0,17
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,4,2,6
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,4,0,4
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,19,2,21
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,13,8,21
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,19,0,19
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,6,0,6
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,3,2,5
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,64,1,65
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,28,2,30
BOLIVAR,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,2,1,3
BOLPEBRA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,1,2,3
BOYUIBE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,2,0,2
BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,5,1,6
CABEZAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,36,0,36
CAIROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,5,0,5
"CAIZA ""D""",consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,13,3,16
CAJUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,6,1,7
CALACOTO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,3,0,3
CALAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,7,1,8
CAMARGO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,32,5,37
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,2,1,3
CAMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,52,0,52
CAPINOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,24,0,24
CAQUIAVIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,2,2,4
CARACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,26,1,27
CARANAVI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,87,4,91
CARAPARI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,20,0,20
CARIPUYO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,6,5,11
CARMEN RIVERO TORREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,5,1,6
CATACORA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,2,0,2
CHACARILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,1,0,1
CHALLAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,51,6,57
CHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,11,0,11
CHARAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,56,0,56
CHAYANTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,17,0,17
CHIMORE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,35,2,37
CHIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,3,0,3
CHOQUE COTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,47,1,48
CHUMA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,11,0,11
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,12,2,14
CKOCHAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,21,0,21
CLIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,28,0,28
COBIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,105,2,107
COCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,11,13,24
COCHABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,1201,4,1205
COLCAPIRHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,148,0,148
"COLCHA ""K""",consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,26,1,27
COLOMI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,17,0,17
COLPA BELGICA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,11,0,11
COLQUECHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,27,11,38
COLQUENCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,10,0,10
COLQUIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,14,20,34
COMARAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,34,0,34
COMBAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,3,1,4
CONCEPCION,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,29,1,30
COPACABANA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,16,2,18
CORIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,18,0,18
CORO CORO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,7,0,7
COROICO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,22,0,22
CORQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,4,3,7
COTAGAITA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,32,4,36
COTOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,62,0,62
CUATRO CAÑADAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,29,0,29
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,4,1,5
CUEVO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,2,0,2
CULPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,26,6,32
CURAHUARA DE CARANGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,8,0,8
CURVA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,2,0,2
DESAGUADERO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,10,5,15
EL ALTO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,1192,9,1201
EL CHORO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,8,5,13
EL PUENTE(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,18,0,18
EL PUENTE(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,9,2,11
EL TORNO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,104,0,104
EL VILLAR,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,4,0,4
ENTRE RIOS TRJ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,27,3,30
ENTRE RIOS CBBA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,54,0,54
ESCOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,3,0,3
EUCALIPTUS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,5,0,5
EUREKA (SANTOS MERCADO),consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,1,1,2
EXALTACION,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,3,0,3
FERNANDEZ ALONSO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,22,0,22
FILADELFIA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,3,0,3
GENERAL SAAVEDRA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,19,7,26
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,8,4,12
GUANAY,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,19,1,20
GUAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,4,2,6
GUAYARAMERIN,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,95,0,95
GUTIERREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,9,0,9
HUACARETA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,16,3,19
HUACAYA (VILLA DE HUACAYA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,3,2,5
HUACHACALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,1,0,1
HUANUNI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,43,0,43
HUARACAJE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,3,0,3
HUARINA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,6,0,6
HUATAJATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,3,0,3
HUMANATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,1,2,3
ICHOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,1,5,6
ICLA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,9,0,9
INCAHUASI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,9,11,20
INQUISIVI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,6,6,12
IRUPANA (VILLA DE LANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,5,1,6
IXIAMAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,13,0,13
JESUS DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,15,1,16
LA ASUNTA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,78,0,78
LA GUARDIA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,60,0,60
LA PAZ,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,1138,0,1138
LAGUNILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,4,0,4
LAJA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,12,1,13
LAS CARRERAS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,0,1,1
LLALLAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,75,2,77
LLICA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,3,0,3
LORETO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,5,0,5
LURIBAY,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,7,0,7
MACHACAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,7,0,7
MACHARETI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,10,0,10
MAGDALENA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,18,0,18
MAIRANA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,9,0,9
MALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,0,1,1
MAPIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,40,0,40
MECAPACA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,9,0,9
MINEROS,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,31,0,31
MIZQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,44,0,44
MOCOMOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,14,1,15
MOJOCOYA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,9,1,10
MONTEAGUDO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,46,4,50
MONTERO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,197,0,197
MORO MORO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,0,1,1
MOROCHATA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,14,3,17
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,4,3,7
OCURI,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,13,6,19
OKINAWA,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,25,0,25
OMEREQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,6,0,6
ORURO,consultas prenatales,mujeres con 4ta consulta prenatal,2013-07-01,464,0,464
