municipality,group,variable,month,Repetidas,TOTAL
YOCALLA,consultas prenatales,repetidas,2006-06-01,22,22
YOTALA,consultas prenatales,repetidas,2006-06-01,62,62
YUNCHARA,consultas prenatales,repetidas,2006-06-01,26,26
ZUDAÑEZ,consultas prenatales,repetidas,2006-06-01,50,50
ACACIO,consultas prenatales,repetidas,2006-07-01,42,42
ACHACACHI,consultas prenatales,repetidas,2006-07-01,211,211
ACHOCALLA,consultas prenatales,repetidas,2006-07-01,41,41
AIQUILE,consultas prenatales,repetidas,2006-07-01,163,163
ALALAY,consultas prenatales,repetidas,2006-07-01,7,7
ALCALA,consultas prenatales,repetidas,2006-07-01,38,38
ANCORAIMES,consultas prenatales,repetidas,2006-07-01,76,76
ANDAMARCA,consultas prenatales,repetidas,2006-07-01,8,8
ANTEQUERA,consultas prenatales,repetidas,2006-07-01,25,25
ANZALDO,consultas prenatales,repetidas,2006-07-01,14,14
APOLO,consultas prenatales,repetidas,2006-07-01,97,97
ARAMPAMPA,consultas prenatales,repetidas,2006-07-01,28,28
ARANI,consultas prenatales,repetidas,2006-07-01,34,34
ARBIETO,consultas prenatales,repetidas,2006-07-01,13,13
ARQUE,consultas prenatales,repetidas,2006-07-01,33,33
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2006-07-01,213,213
ATOCHA,consultas prenatales,repetidas,2006-07-01,68,68
AUCAPATA,consultas prenatales,repetidas,2006-07-01,8,8
AYATA,consultas prenatales,repetidas,2006-07-01,24,24
AYO AYO,consultas prenatales,repetidas,2006-07-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2006-07-01,131,131
AZURDUY,consultas prenatales,repetidas,2006-07-01,131,131
BATALLAS,consultas prenatales,repetidas,2006-07-01,47,47
BAURES,consultas prenatales,repetidas,2006-07-01,35,35
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2006-07-01,6,6
BELEN DE URMIRI,consultas prenatales,repetidas,2006-07-01,9,9
BELLA FLOR,consultas prenatales,repetidas,2006-07-01,9,9
BERMEJO,consultas prenatales,repetidas,2006-07-01,235,235
BETANZOS,consultas prenatales,repetidas,2006-07-01,227,227
BOLIVAR,consultas prenatales,repetidas,2006-07-01,33,33
BOLPEBRA,consultas prenatales,repetidas,2006-07-01,7,7
BOYUIBE,consultas prenatales,repetidas,2006-07-01,12,12
BUENA VISTA,consultas prenatales,repetidas,2006-07-01,68,68
CABEZAS,consultas prenatales,repetidas,2006-07-01,61,61
CAIROMA,consultas prenatales,repetidas,2006-07-01,69,69
"CAIZA ""D""",consultas prenatales,repetidas,2006-07-01,37,37
CAJUATA,consultas prenatales,repetidas,2006-07-01,45,45
CALACOTO,consultas prenatales,repetidas,2006-07-01,10,10
CALAMARCA,consultas prenatales,repetidas,2006-07-01,61,61
CAMARGO,consultas prenatales,repetidas,2006-07-01,137,137
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2006-07-01,23,23
CAMIRI,consultas prenatales,repetidas,2006-07-01,225,225
CAPINOTA,consultas prenatales,repetidas,2006-07-01,125,125
CAQUIAVIRI,consultas prenatales,repetidas,2006-07-01,22,22
CARACOLLO,consultas prenatales,repetidas,2006-07-01,110,110
CARANAVI,consultas prenatales,repetidas,2006-07-01,292,292
CARAPARI,consultas prenatales,repetidas,2006-07-01,47,47
CARIPUYO,consultas prenatales,repetidas,2006-07-01,43,43
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2006-07-01,11,11
CATACORA,consultas prenatales,repetidas,2006-07-01,5,5
CHACARILLA,consultas prenatales,repetidas,2006-07-01,1,1
CHALLAPATA,consultas prenatales,repetidas,2006-07-01,161,161
CHAQUI,consultas prenatales,repetidas,2006-07-01,28,28
CHARAGUA,consultas prenatales,repetidas,2006-07-01,116,116
CHARAÑA,consultas prenatales,repetidas,2006-07-01,9,9
CHAYANTA,consultas prenatales,repetidas,2006-07-01,93,93
CHIMORE,consultas prenatales,repetidas,2006-07-01,87,87
CHIPAYA,consultas prenatales,repetidas,2006-07-01,6,6
CHOQUE COTA,consultas prenatales,repetidas,2006-07-01,3,3
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2006-07-01,159,159
CHUMA,consultas prenatales,repetidas,2006-07-01,147,147
CLIZA,consultas prenatales,repetidas,2006-07-01,120,120
COBIJA,consultas prenatales,repetidas,2006-07-01,351,351
COCHABAMBA,consultas prenatales,repetidas,2006-07-01,4783,4783
COIPASA,consultas prenatales,repetidas,2006-07-01,1,1
COLCAPIRHUA,consultas prenatales,repetidas,2006-07-01,417,417
"COLCHA ""K""",consultas prenatales,repetidas,2006-07-01,44,44
COLLANA,consultas prenatales,repetidas,2006-07-01,3,3
COLOMI,consultas prenatales,repetidas,2006-07-01,105,105
COLPA BELGICA,consultas prenatales,repetidas,2006-07-01,34,34
COLQUECHACA,consultas prenatales,repetidas,2006-07-01,165,165
COLQUENCHA,consultas prenatales,repetidas,2006-07-01,27,27
COLQUIRI,consultas prenatales,repetidas,2006-07-01,141,141
COMANCHE,consultas prenatales,repetidas,2006-07-01,4,4
COMARAPA,consultas prenatales,repetidas,2006-07-01,151,151
COMBAYA,consultas prenatales,repetidas,2006-07-01,4,4
CONCEPCION,consultas prenatales,repetidas,2006-07-01,120,120
COPACABANA,consultas prenatales,repetidas,2006-07-01,51,51
CORIPATA,consultas prenatales,repetidas,2006-07-01,115,115
CORO CORO,consultas prenatales,repetidas,2006-07-01,28,28
COROICO,consultas prenatales,repetidas,2006-07-01,102,102
CORQUE,consultas prenatales,repetidas,2006-07-01,31,31
COTAGAITA,consultas prenatales,repetidas,2006-07-01,150,150
COTOCA,consultas prenatales,repetidas,2006-07-01,306,306
CUATRO CAÑADAS,consultas prenatales,repetidas,2006-07-01,68,68
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2006-07-01,4,4
CUEVO,consultas prenatales,repetidas,2006-07-01,34,34
CULPINA,consultas prenatales,repetidas,2006-07-01,118,118
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2006-07-01,26,26
CURVA,consultas prenatales,repetidas,2006-07-01,10,10
DESAGUADERO,consultas prenatales,repetidas,2006-07-01,35,35
EL ALTO,consultas prenatales,repetidas,2006-07-01,4834,4834
EL CHORO,consultas prenatales,repetidas,2006-07-01,9,9
EL PUENTE(STC),consultas prenatales,repetidas,2006-07-01,79,79
EL PUENTE(TJA),consultas prenatales,repetidas,2006-07-01,68,68
EL TORNO,consultas prenatales,repetidas,2006-07-01,241,241
EL VILLAR,consultas prenatales,repetidas,2006-07-01,43,43
ENTRE RIOS,consultas prenatales,repetidas,2006-07-01,108,108
ENTRE RIOS,consultas prenatales,repetidas,2006-07-01,90,90
ESCARA,consultas prenatales,repetidas,2006-07-01,2,2
EUCALIPTUS,consultas prenatales,repetidas,2006-07-01,40,40
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2006-07-01,5,5
EXALTACION,consultas prenatales,repetidas,2006-07-01,11,11
FERNANDEZ ALONSO,consultas prenatales,repetidas,2006-07-01,143,143
FILADELFIA,consultas prenatales,repetidas,2006-07-01,12,12
GENERAL SAAVEDRA,consultas prenatales,repetidas,2006-07-01,108,108
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2006-07-01,36,36
GUANAY,consultas prenatales,repetidas,2006-07-01,99,99
GUAQUI,consultas prenatales,repetidas,2006-07-01,44,44
GUAYARAMERIN,consultas prenatales,repetidas,2006-07-01,361,361
GUTIERREZ,consultas prenatales,repetidas,2006-07-01,47,47
HUACARETA,consultas prenatales,repetidas,2006-07-01,71,71
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2006-07-01,18,18
HUACHACALLA,consultas prenatales,repetidas,2006-07-01,3,3
HUANUNI,consultas prenatales,repetidas,2006-07-01,199,199
HUARACAJE,consultas prenatales,repetidas,2006-07-01,30,30
HUAYLLAMARCA,consultas prenatales,repetidas,2006-07-01,13,13
ICHOCA,consultas prenatales,repetidas,2006-07-01,23,23
ICLA,consultas prenatales,repetidas,2006-07-01,106,106
INCAHUASI,consultas prenatales,repetidas,2006-07-01,119,119
INGAVI (HUMAITA),consultas prenatales,repetidas,2006-07-01,4,4
INQUISIVI,consultas prenatales,repetidas,2006-07-01,47,47
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2006-07-01,92,92
IXIAMAS,consultas prenatales,repetidas,2006-07-01,63,63
JESUS DE MACHACA,consultas prenatales,repetidas,2006-07-01,46,46
LA ASUNTA,consultas prenatales,repetidas,2006-07-01,204,204
LA GUARDIA,consultas prenatales,repetidas,2006-07-01,398,398
LA PAZ,consultas prenatales,repetidas,2006-07-01,7022,7022
LAGUNILLAS,consultas prenatales,repetidas,2006-07-01,21,21
LAJA,consultas prenatales,repetidas,2006-07-01,36,36
LAS CARRERAS,consultas prenatales,repetidas,2006-07-01,23,23
LICOMA PAMPA,consultas prenatales,repetidas,2006-07-01,5,5
LLALLAGUA,consultas prenatales,repetidas,2006-07-01,284,284
LLICA,consultas prenatales,repetidas,2006-07-01,22,22
LORETO,consultas prenatales,repetidas,2006-07-01,11,11
LURIBAY,consultas prenatales,repetidas,2006-07-01,43,43
MACHACAMARCA,consultas prenatales,repetidas,2006-07-01,14,14
MACHARETI,consultas prenatales,repetidas,2006-07-01,56,56
MAGDALENA,consultas prenatales,repetidas,2006-07-01,69,69
MAIRANA,consultas prenatales,repetidas,2006-07-01,72,72
MALLA,consultas prenatales,repetidas,2006-07-01,10,10
MAPIRI,consultas prenatales,repetidas,2006-07-01,116,116
MECAPACA,consultas prenatales,repetidas,2006-07-01,39,39
MINEROS,consultas prenatales,repetidas,2006-07-01,131,131
MIZQUE,consultas prenatales,repetidas,2006-07-01,164,164
MOCOMOCO,consultas prenatales,repetidas,2006-07-01,40,40
MOJINETE,consultas prenatales,repetidas,2006-07-01,5,5
MOJOCOYA,consultas prenatales,repetidas,2006-07-01,40,40
MONTEAGUDO,consultas prenatales,repetidas,2006-07-01,229,229
MONTERO,consultas prenatales,repetidas,2006-07-01,774,774
MORO MORO,consultas prenatales,repetidas,2006-07-01,13,13
MOROCHATA,consultas prenatales,repetidas,2006-07-01,89,89
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2006-07-01,9,9
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2006-07-01,5,5
OCURI,consultas prenatales,repetidas,2006-07-01,145,145
OKINAWA,consultas prenatales,repetidas,2006-07-01,124,124
OMEREQUE,consultas prenatales,repetidas,2006-07-01,15,15
ORURO,consultas prenatales,repetidas,2006-07-01,2048,2048
PADCAYA,consultas prenatales,repetidas,2006-07-01,96,96
PADILLA,consultas prenatales,repetidas,2006-07-01,140,140
PAILON,consultas prenatales,repetidas,2006-07-01,76,76
PALCA,consultas prenatales,repetidas,2006-07-01,20,20
PALOS BLANCOS,consultas prenatales,repetidas,2006-07-01,142,142
PAMPA AULLAGAS,consultas prenatales,repetidas,2006-07-01,14,14
PAMPA GRANDE,consultas prenatales,repetidas,2006-07-01,49,49
PAPEL PAMPA,consultas prenatales,repetidas,2006-07-01,11,11
PASORAPA,consultas prenatales,repetidas,2006-07-01,19,19
PATACAMAYA,consultas prenatales,repetidas,2006-07-01,116,116
PAZÑA,consultas prenatales,repetidas,2006-07-01,21,21
PELECHUCO,consultas prenatales,repetidas,2006-07-01,17,17
POCOATA,consultas prenatales,repetidas,2006-07-01,128,128
POCONA,consultas prenatales,repetidas,2006-07-01,62,62
POJO (CBBA),consultas prenatales,repetidas,2006-07-01,61,61
POOPO,consultas prenatales,repetidas,2006-07-01,27,27
PORCO,consultas prenatales,repetidas,2006-07-01,75,75
POROMA,consultas prenatales,repetidas,2006-07-01,125,125
PORONGO,consultas prenatales,repetidas,2006-07-01,23,23
PORTACHUELO,consultas prenatales,repetidas,2006-07-01,160,160
PORVENIR,consultas prenatales,repetidas,2006-07-01,35,35
POSTRER VALLE,consultas prenatales,repetidas,2006-07-01,6,6
POTOSI,consultas prenatales,repetidas,2006-07-01,1651,1651
PRESTO,consultas prenatales,repetidas,2006-07-01,53,53
PUCARA,consultas prenatales,repetidas,2006-07-01,3,3
PUCARANI,consultas prenatales,repetidas,2006-07-01,97,97
PUERTO ACOSTA,consultas prenatales,repetidas,2006-07-01,79,79
PUERTO CARABUCO,consultas prenatales,repetidas,2006-07-01,31,31
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2006-07-01,34,34
PUERTO PEREZ,consultas prenatales,repetidas,2006-07-01,9,9
PUERTO QUIJARRO,consultas prenatales,repetidas,2006-07-01,61,61
PUERTO RICO,consultas prenatales,repetidas,2006-07-01,35,35
PUERTO SILES,consultas prenatales,repetidas,2006-07-01,8,8
PUERTO SUAREZ,consultas prenatales,repetidas,2006-07-01,70,70
PUERTO VILLARROEL,consultas prenatales,repetidas,2006-07-01,272,272
PUNA,consultas prenatales,repetidas,2006-07-01,223,223
PUNATA,consultas prenatales,repetidas,2006-07-01,240,240
QUIABAYA,consultas prenatales,repetidas,2006-07-01,3,3
QUILLACOLLO,consultas prenatales,repetidas,2006-07-01,575,575
QUIME,consultas prenatales,repetidas,2006-07-01,34,34
QUIRUSILLAS,consultas prenatales,repetidas,2006-07-01,7,7
RAVELO,consultas prenatales,repetidas,2006-07-01,112,112
REYES,consultas prenatales,repetidas,2006-07-01,83,83
RIBERALTA,consultas prenatales,repetidas,2006-07-01,1004,1004
ROBORE,consultas prenatales,repetidas,2006-07-01,66,66
RURRENABAQUE,consultas prenatales,repetidas,2006-07-01,82,82
SABAYA,consultas prenatales,repetidas,2006-07-01,13,13
SACABA,consultas prenatales,repetidas,2006-07-01,499,499
SACABAMBA,consultas prenatales,repetidas,2006-07-01,19,19
SACACA,consultas prenatales,repetidas,2006-07-01,130,130
SAIPINA,consultas prenatales,repetidas,2006-07-01,40,40
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2006-07-01,50,50
SAMAIPATA,consultas prenatales,repetidas,2006-07-01,47,47
SAN AGUSTIN,consultas prenatales,repetidas,2006-07-01,16,16
SAN ANDRES,consultas prenatales,repetidas,2006-07-01,52,52
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2006-07-01,7,7
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2006-07-01,5,5
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2006-07-01,53,53
SAN BENITO,consultas prenatales,repetidas,2006-07-01,55,55
SAN BORJA,consultas prenatales,repetidas,2006-07-01,250,250
SAN BUENA VENTURA,consultas prenatales,repetidas,2006-07-01,61,61
SAN CARLOS,consultas prenatales,repetidas,2006-07-01,137,137
SAN IGNACIO,consultas prenatales,repetidas,2006-07-01,131,131
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2006-07-01,435,435
SAN JAVIER(BNI),consultas prenatales,repetidas,2006-07-01,22,22
SAN JAVIER(STC),consultas prenatales,repetidas,2006-07-01,67,67
SAN JOAQUIN,consultas prenatales,repetidas,2006-07-01,28,28
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2006-07-01,79,79
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2006-07-01,60,60
SAN JULIAN,consultas prenatales,repetidas,2006-07-01,110,110
SAN LORENZO(PND),consultas prenatales,repetidas,2006-07-01,35,35
SAN LORENZO(TJA),consultas prenatales,repetidas,2006-07-01,88,88
SAN LUCAS,consultas prenatales,repetidas,2006-07-01,354,354
SAN MATIAS,consultas prenatales,repetidas,2006-07-01,78,78
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2006-07-01,62,62
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2006-07-01,18,18
SAN PEDRO,consultas prenatales,repetidas,2006-07-01,119,119
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2006-07-01,98,98
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2006-07-01,7,7
SAN PEDRO DE QUEMES,consultas prenatales,repetidas,2006-07-01,3,3
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2006-07-01,16,16
SAN PEDRO(PND),consultas prenatales,repetidas,2006-07-01,4,4
SAN RAFAEL,consultas prenatales,repetidas,2006-07-01,37,37
SAN RAMON,consultas prenatales,repetidas,2006-07-01,17,17
SAN RAMON,consultas prenatales,repetidas,2006-07-01,42,42
SANTA ANA,consultas prenatales,repetidas,2006-07-01,126,126
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2006-07-01,8021,8021
SANTA ROSA,consultas prenatales,repetidas,2006-07-01,53,53
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2006-07-01,160,160
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2006-07-01,10,10
SANTIAGO DE HUARI,consultas prenatales,repetidas,2006-07-01,35,35
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2006-07-01,7,7
SANTIVAÑES,consultas prenatales,repetidas,2006-07-01,16,16
SANTUARIO DE QUILLACAS,consultas prenatales,repetidas,2006-07-01,3,3
SAPAHAQUI,consultas prenatales,repetidas,2006-07-01,12,12
SENA,consultas prenatales,repetidas,2006-07-01,37,37
SICA SICA (VILLA AROMA),consultas prenatales,repetidas,2006-07-01,66,66
SICAYA,consultas prenatales,repetidas,2006-07-01,9,9
SIPE SIPE,consultas prenatales,repetidas,2006-07-01,247,247
SOPACHUY,consultas prenatales,repetidas,2006-07-01,77,77
SORACACHI,consultas prenatales,repetidas,2006-07-01,15,15
SORATA,consultas prenatales,repetidas,2006-07-01,84,84
SUCRE,consultas prenatales,repetidas,2006-07-01,2402,2402
TACACHI,consultas prenatales,repetidas,2006-07-01,2,2
TACACOMA,consultas prenatales,repetidas,2006-07-01,27,27
TACOBAMBA,consultas prenatales,repetidas,2006-07-01,19,19
TACOPAYA,consultas prenatales,repetidas,2006-07-01,67,67
TAHUA,consultas prenatales,repetidas,2006-07-01,2,2
TAPACARI,consultas prenatales,repetidas,2006-07-01,107,107
TARABUCO,consultas prenatales,repetidas,2006-07-01,209,209
TARACO,consultas prenatales,repetidas,2006-07-01,11,11
TARATA,consultas prenatales,repetidas,2006-07-01,54,54
TARIJA,consultas prenatales,repetidas,2006-07-01,1100,1100
TARVITA,consultas prenatales,repetidas,2006-07-01,190,190
TEOPONTE,consultas prenatales,repetidas,2006-07-01,23,23
TIAWANACU,consultas prenatales,repetidas,2006-07-01,53,53
TINGUIPAYA,consultas prenatales,repetidas,2006-07-01,117,117
TIPUANI,consultas prenatales,repetidas,2006-07-01,67,67
TIQUIPAYA,consultas prenatales,repetidas,2006-07-01,329,329
TIRAQUE (CBBA),consultas prenatales,repetidas,2006-07-01,322,322
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,repetidas,2006-07-01,10,10
TOCO,consultas prenatales,repetidas,2006-07-01,13,13
TOLATA,consultas prenatales,repetidas,2006-07-01,11,11
TOLEDO,consultas prenatales,repetidas,2006-07-01,31,31
TOMAVE,consultas prenatales,repetidas,2006-07-01,31,31
TOMINA,consultas prenatales,repetidas,2006-07-01,92,92
TORO TORO,consultas prenatales,repetidas,2006-07-01,49,49
TOTORA(CBBA),consultas prenatales,repetidas,2006-07-01,54,54
TOTORA(ORR),consultas prenatales,repetidas,2006-07-01,8,8
TRIGAL,consultas prenatales,repetidas,2006-07-01,1,1
TRINIDAD,consultas prenatales,repetidas,2006-07-01,834,834
TUPIZA,consultas prenatales,repetidas,2006-07-01,338,338
TURCO,consultas prenatales,repetidas,2006-07-01,27,27
UMALA,consultas prenatales,repetidas,2006-07-01,4,4
UNCIA,consultas prenatales,repetidas,2006-07-01,211,211
URIONDO (A. CONCEPCION),consultas prenatales,repetidas,2006-07-01,66,66
URUBICHA,consultas prenatales,repetidas,2006-07-01,45,45
UYUNI,consultas prenatales,repetidas,2006-07-01,125,125
VACAS,consultas prenatales,repetidas,2006-07-01,69,69
VALLEGRANDE,consultas prenatales,repetidas,2006-07-01,101,101
VIACHA,consultas prenatales,repetidas,2006-07-01,195,195
VILA VILA,consultas prenatales,repetidas,2006-07-01,15,15
VILLA MONTES,consultas prenatales,repetidas,2006-07-01,225,225
VILLA NUEVA (LOMA ALTA),consultas prenatales,repetidas,2006-07-01,9,9
VILLA RIVERO,consultas prenatales,repetidas,2006-07-01,18,18
VILLA SERRANO,consultas prenatales,repetidas,2006-07-01,61,61
VILLA TUNARI,consultas prenatales,repetidas,2006-07-01,471,471
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,repetidas,2006-07-01,63,63
VILLAZON,consultas prenatales,repetidas,2006-07-01,297,297
VINTO,consultas prenatales,repetidas,2006-07-01,146,146
VITICHI,consultas prenatales,repetidas,2006-07-01,52,52
WALDO BALLIVIAN,consultas prenatales,repetidas,2006-07-01,19,19
WARNES,consultas prenatales,repetidas,2006-07-01,381,381
YACO,consultas prenatales,repetidas,2006-07-01,25,25
YACUIBA,consultas prenatales,repetidas,2006-07-01,357,357
YAMPARAEZ,consultas prenatales,repetidas,2006-07-01,54,54
YANACACHI,consultas prenatales,repetidas,2006-07-01,13,13
YAPACANI,consultas prenatales,repetidas,2006-07-01,281,281
YOCALLA,consultas prenatales,repetidas,2006-07-01,13,13
YOTALA,consultas prenatales,repetidas,2006-07-01,63,63
YUNCHARA,consultas prenatales,repetidas,2006-07-01,30,30
ZUDAÑEZ,consultas prenatales,repetidas,2006-07-01,80,80
ACACIO,consultas prenatales,repetidas,2006-08-01,35,35
ACHACACHI,consultas prenatales,repetidas,2006-08-01,272,272
ACHOCALLA,consultas prenatales,repetidas,2006-08-01,66,66
AIQUILE,consultas prenatales,repetidas,2006-08-01,207,207
ALCALA,consultas prenatales,repetidas,2006-08-01,40,40
ANCORAIMES,consultas prenatales,repetidas,2006-08-01,89,89
ANDAMARCA,consultas prenatales,repetidas,2006-08-01,11,11
ANTEQUERA,consultas prenatales,repetidas,2006-08-01,15,15
ANZALDO,consultas prenatales,repetidas,2006-08-01,15,15
APOLO,consultas prenatales,repetidas,2006-08-01,93,93
ARAMPAMPA,consultas prenatales,repetidas,2006-08-01,31,31
ARANI,consultas prenatales,repetidas,2006-08-01,9,9
ARBIETO,consultas prenatales,repetidas,2006-08-01,16,16
ARQUE,consultas prenatales,repetidas,2006-08-01,39,39
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2006-08-01,199,199
ATOCHA,consultas prenatales,repetidas,2006-08-01,72,72
AUCAPATA,consultas prenatales,repetidas,2006-08-01,12,12
AYATA,consultas prenatales,repetidas,2006-08-01,17,17
AYO AYO,consultas prenatales,repetidas,2006-08-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2006-08-01,105,105
AZURDUY,consultas prenatales,repetidas,2006-08-01,117,117
BATALLAS,consultas prenatales,repetidas,2006-08-01,46,46
BAURES,consultas prenatales,repetidas,2006-08-01,27,27
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2006-08-01,5,5
BELEN DE URMIRI,consultas prenatales,repetidas,2006-08-01,7,7
BELLA FLOR,consultas prenatales,repetidas,2006-08-01,10,10
BERMEJO,consultas prenatales,repetidas,2006-08-01,247,247
BETANZOS,consultas prenatales,repetidas,2006-08-01,230,230
BOLIVAR,consultas prenatales,repetidas,2006-08-01,21,21
BOLPEBRA,consultas prenatales,repetidas,2006-08-01,10,10
BOYUIBE,consultas prenatales,repetidas,2006-08-01,16,16
BUENA VISTA,consultas prenatales,repetidas,2006-08-01,66,66
CABEZAS,consultas prenatales,repetidas,2006-08-01,72,72
CAIROMA,consultas prenatales,repetidas,2006-08-01,47,47
"CAIZA ""D""",consultas prenatales,repetidas,2006-08-01,50,50
CAJUATA,consultas prenatales,repetidas,2006-08-01,51,51
CALACOTO,consultas prenatales,repetidas,2006-08-01,20,20
CALAMARCA,consultas prenatales,repetidas,2006-08-01,49,49
CAMARGO,consultas prenatales,repetidas,2006-08-01,80,80
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2006-08-01,31,31
CAMIRI,consultas prenatales,repetidas,2006-08-01,147,147
CAPINOTA,consultas prenatales,repetidas,2006-08-01,127,127
CAQUIAVIRI,consultas prenatales,repetidas,2006-08-01,25,25
CARACOLLO,consultas prenatales,repetidas,2006-08-01,110,110
CARANAVI,consultas prenatales,repetidas,2006-08-01,299,299
CARAPARI,consultas prenatales,repetidas,2006-08-01,55,55
CARIPUYO,consultas prenatales,repetidas,2006-08-01,50,50
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2006-08-01,15,15
CATACORA,consultas prenatales,repetidas,2006-08-01,5,5
CHACARILLA,consultas prenatales,repetidas,2006-08-01,1,1
CHALLAPATA,consultas prenatales,repetidas,2006-08-01,158,158
CHAQUI,consultas prenatales,repetidas,2006-08-01,22,22
CHARAGUA,consultas prenatales,repetidas,2006-08-01,141,141
CHARAÑA,consultas prenatales,repetidas,2006-08-01,5,5
CHAYANTA,consultas prenatales,repetidas,2006-08-01,83,83
CHIMORE,consultas prenatales,repetidas,2006-08-01,72,72
CHIPAYA,consultas prenatales,repetidas,2006-08-01,4,4
CHOQUE COTA,consultas prenatales,repetidas,2006-08-01,1,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2006-08-01,115,115
CHUMA,consultas prenatales,repetidas,2006-08-01,19,19
CLIZA,consultas prenatales,repetidas,2006-08-01,158,158
COBIJA,consultas prenatales,repetidas,2006-08-01,477,477
COCHABAMBA,consultas prenatales,repetidas,2006-08-01,5309,5309
COIPASA,consultas prenatales,repetidas,2006-08-01,5,5
COLCAPIRHUA,consultas prenatales,repetidas,2006-08-01,432,432
"COLCHA ""K""",consultas prenatales,repetidas,2006-08-01,50,50
COLLANA,consultas prenatales,repetidas,2006-08-01,7,7
COLOMI,consultas prenatales,repetidas,2006-08-01,134,134
COLPA BELGICA,consultas prenatales,repetidas,2006-08-01,34,34
COLQUECHACA,consultas prenatales,repetidas,2006-08-01,148,148
COLQUENCHA,consultas prenatales,repetidas,2006-08-01,22,22
COLQUIRI,consultas prenatales,repetidas,2006-08-01,109,109
COMANCHE,consultas prenatales,repetidas,2006-08-01,9,9
COMARAPA,consultas prenatales,repetidas,2006-08-01,143,143
COMBAYA,consultas prenatales,repetidas,2006-08-01,9,9
CONCEPCION,consultas prenatales,repetidas,2006-08-01,113,113
COPACABANA,consultas prenatales,repetidas,2006-08-01,59,59
CORIPATA,consultas prenatales,repetidas,2006-08-01,119,119
CORO CORO,consultas prenatales,repetidas,2006-08-01,32,32
COROICO,consultas prenatales,repetidas,2006-08-01,134,134
CORQUE,consultas prenatales,repetidas,2006-08-01,29,29
COTAGAITA,consultas prenatales,repetidas,2006-08-01,147,147
COTOCA,consultas prenatales,repetidas,2006-08-01,291,291
CUATRO CAÑADAS,consultas prenatales,repetidas,2006-08-01,76,76
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2006-08-01,9,9
CUEVO,consultas prenatales,repetidas,2006-08-01,31,31
CULPINA,consultas prenatales,repetidas,2006-08-01,139,139
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2006-08-01,14,14
CURVA,consultas prenatales,repetidas,2006-08-01,11,11
DESAGUADERO,consultas prenatales,repetidas,2006-08-01,24,24
EL ALTO,consultas prenatales,repetidas,2006-08-01,5371,5371
EL CHORO,consultas prenatales,repetidas,2006-08-01,7,7
EL PUENTE(STC),consultas prenatales,repetidas,2006-08-01,83,83
EL PUENTE(TJA),consultas prenatales,repetidas,2006-08-01,58,58
EL TORNO,consultas prenatales,repetidas,2006-08-01,335,335
EL VILLAR,consultas prenatales,repetidas,2006-08-01,34,34
ENTRE RIOS,consultas prenatales,repetidas,2006-08-01,88,88
ENTRE RIOS,consultas prenatales,repetidas,2006-08-01,104,104
