,group,variable,month,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,17,17
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,5,6
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,29,30
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,212,819,1031
SANTIVAÑES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,7,7
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,15,16
SIPE SIPE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,103,103
SOPACHUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,14,14
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,53,531,584
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,37,37
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,41,138,179
TARVITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,6,48,54
TOLATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,10,11
TOMINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,39,39
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,13,48,61
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,17,17
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,4,4,8
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,17,17
URIONDO (A. CONCEPCION),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,3,3
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,66,66
VILLA CHARCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,9,10
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,2,26,28
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,4,204,208
VILLA VACA GUZMAN (MUYUPAMPA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,5,4,9
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,5,91,96
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,4,155,159
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,4,21,25
YAMPARAEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,9,9
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,5,20,25
YOTALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,0,11,11
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,1,2
ZUDAÑEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-05-01,1,5,6
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,1,30,31
AIQUILE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,2,30,32
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,10,10
APOLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,8,28,36
ARQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,1,1,2
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,16,124,140
AYOPAYA (V. DE INDEPENDENCIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,21,21
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,24,24
BATALLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,2,17,19
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,63,63
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,10,10
BUENA VISTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,4,4
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,1,1,2
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,26,45,71
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,1,2,3
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,1,22,23
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,22,9,31
CARAPARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,1,1
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,70,70
CHIMORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,3,45,48
CLIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,34,34
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,2,12,14
COCAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,5,5
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,38,289,327
COLCAPIRHUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,8,26,34
COLOMI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,6,6
COLPA BELGICA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,3,10,13
COLQUIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,1,15,16
COMARAPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,40,40
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,3,59,62
CORQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,1,9,10
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,6,6
CUEVO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,2,2
CULPINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,12,53,65
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,202,1356,1558
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,2,2
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,29,101,130
EL VILLAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,5,5
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,6,11,17
EUCALIPTUS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,6,6
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,3,3
FERNANDEZ ALONSO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,4,4
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,6,6
GENERAL SAAVEDRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,6,6
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,393,186,579
HUACAYA (VILLA DE HUACAYA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,2,2
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,38,38
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,4,4
IRUPANA (VILLA DE LANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,2,9,11
LA ASUNTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,8,50,58
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,18,83,101
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,193,445,638
LICOMA PAMPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,1,3,4
LLALLAGUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,93,93
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,17,17
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,17,17
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,1,58,59
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,5,5
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,11,91,102
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,170,203,373
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,3,3
OKINAWA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,41,41
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,17,288,305
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,14,14
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,1,21,22
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,25,76,101
POROMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,5,5
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,1,11,12
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,20,20
PRESTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,6,6
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,5,5
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,2,2,4
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,4,4
PUERTO SUAREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,26,26
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,31,244,275
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,5,137,142
QUIME,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,3,11,14
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,3,13,16
ROBORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,23,66,89
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,1,39,40
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,4,298,302
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,1,49,50
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,2,43,45
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,15,95,110
SAN JAVIER(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,1,33,34
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,6,10,16
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,3,17,20
SAN JULIAN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,2,14,16
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,2,2
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,2,2
SAN LUCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,85,85
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,15,15
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,2,2,4
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,4,42,46
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,199,648,847
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,1,6,7
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,30,40,70
SIPE SIPE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,2,69,71
SOPACHUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,2,21,23
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,59,754,813
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,2,24,26
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,58,147,205
TARVITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,4,20,24
TOLATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,8,8
TOLEDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,2,7,9
TOMINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,1,7,8
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,11,42,53
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,11,11
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,8,4,12
URUBICHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,8,37,45
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,52,52
VILLA CHARCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,5,5
VILLA MONTES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,1,0,1
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,13,13
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,2,250,252
VILLA VACA GUZMAN (MUYUPAMPA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,2,56,58
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,3,111,114
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,5,165,170
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,6,70,76
YAMPARAEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,4,4
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,11,13,24
YOTALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,10,10
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,1,4,5
ZUDAÑEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-06-01,0,6,6
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,29,30
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,2,2
APOLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,9,52,61
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,14,123,137
AYOPAYA (V. DE INDEPENDENCIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,4,18,22
BATALLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,0,1
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,2,97,99
BOYUIBE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,14,15
BUENA VISTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,6,6
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,28,28
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,5,5
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,11,64,75
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,2,3
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,6,41,47
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,18,80,98
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,2,55,57
CHIMORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,6,39,45
CLIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,3,35,38
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,4,65,69
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,36,580,616
COLCAPIRHUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,10,14,24
COLPA BELGICA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,7,8
COLQUIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,7,50,57
COMARAPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,28,28
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,2,2,4
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,25,25
CUATRO CAÑADAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,30,30
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,202,1413,1615
EL PUENTE(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,13,25,38
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,1,1
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,10,86,96
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,4,4
EUCALIPTUS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,9,9
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,2,4,6
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,13,14
GRAL. J.J. PEREZ (CHARAZANI),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,3,14,17
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,395,397,792
HUACARETA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,8,8
HUACAYA (VILLA DE HUACAYA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,3,3
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,252,252
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,22,22
INCAHUASI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,15,15
IRUPANA (VILLA DE LANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,5,5
LA ASUNTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,2,4,6
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,7,93,100
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,238,567,805
LICOMA PAMPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,5,6
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,34,35
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,28,28
MAPIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,11,11,22
MINEROS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,22,22
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,2,1,3
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,7,7
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,3,71,74
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,7,150,157
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,2,2
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,16,207,223
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,19,19
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,31,32
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,5,88,93
PATACAMAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,36,6,42
POROMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,9,9
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,3,10,13
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,4,3,7
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,10,10
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,11,31,42
PRESTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,2,12,14
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,4,4,8
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,20,20
PUERTO SUAREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,56,57
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,15,36,51
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,8,23,31
QUIME,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,5,9,14
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,8,8
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,59,60
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,19,20
SAN BENITO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,27,27
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,3,79,82
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,21,36,57
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,34,160,194
SAN JAVIER(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,3,25,28
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,2,5,7
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,2,19,21
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,5,5
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,2,3
SAN LUCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,99,99
SAN MATIAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,11,12
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,18,19
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,2,24,26
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,45,46
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,175,812,987
SANTA ROSA DEL SARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,4,4
SANTIVAÑES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,1,1
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,9,9
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,58,79,137
SIPE SIPE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,2,107,109
SOPACHUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,20,20
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,49,887,936
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,2,55,57
TARATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,20,20
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,59,176,235
TARVITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,30,31
TIPUANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,3,24,27
TOLATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,1,12,13
TOLEDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,2,8,10
TOMINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,3,4,7
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,52,143,195
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2011-07-01,0,14,14
