municipality,group,variable,month,Total Días camas disponibles otros servicios,TOTAL
SORACACHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,30,30
SORATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,240,240
SUCRE,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,34980,34980
TACOPAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,90,90
TAPACARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,119,119
TARABUCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,442,442
TARATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,52,52
TARIJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,13421,13421
TARVITA,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,480,480
TEOPONTE,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,30,30
TIPUANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,60,60
TIQUIPAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,720,720
TIRAQUE (CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,90,90
TOCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,90,90
TOLATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,60,60
TOLEDO,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,30,30
TOMINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,553,553
TORO TORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,210,210
TOTORA(CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,720,720
TRINIDAD,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,7567,7567
TUPIZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,2760,2760
UNCIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,90,90
URUBICHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,60,60
UYUNI,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,1200,1200
VACAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,120,120
VALLEGRANDE,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,660,660
VIACHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,1410,1410
VILA VILA,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,90,90
VILLA CHARCAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,90,90
VILLA MONTES,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,1080,1080
VILLA RIVERO,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,120,120
VILLA SERRANO,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,240,240
VILLA TUNARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,2219,2219
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,300,300
VILLAZON,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,1440,1440
VINTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,755,755
VITICHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,31,31
WARNES,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,680,680
YACUIBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,3423,3423
YAMPARAEZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,240,240
YANACACHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,5,5
YAPACANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,1668,1668
YOTALA,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,210,210
ZUDAÑEZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-06-01,180,180
ACACIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,124,124
ACHACACHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,465,465
AIQUILE,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1147,1147
ALALAY,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,31,31
ALCALA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,62,62
ANDAMARCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,31,31
ANZALDO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,372,372
APOLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,279,279
ARAMPAMPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,155,155
ARANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,62,62
ARBIETO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,155,155
ARQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,92,92
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1921,1921
ATOCHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,163,163
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,868,868
AZURDUY,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,255,255
BAURES,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,62,62
BELLA FLOR,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,28,28
BERMEJO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,2645,2645
BETANZOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,218,218
BOYUIBE,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,372,372
BUENA VISTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,307,307
CABEZAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,310,310
"CAIZA ""D""",internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,90,90
CAMARGO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,868,868
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,93,93
CAMIRI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,2728,2728
CAPINOTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,217,217
CARACOLLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,186,186
CARANAVI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1085,1085
CARIPUYO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,155,155
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,293,293
CHALLAPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,713,713
CHAQUI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,93,93
CHARAGUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,273,273
CHAYANTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,120,120
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,899,899
CHUMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,186,186
CLIZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,434,434
COBIJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,2852,2852
COCHABAMBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,50752,50752
COLCAPIRHUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1160,1160
"COLCHA ""K""",internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,62,62
COLOMI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,155,155
COLPA BELGICA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,155,155
COLQUECHACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,124,124
COMARAPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,434,434
CORIPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,31,31
CORO CORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,90,90
COROICO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,992,992
CORQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,62,62
COTOCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,651,651
CUATRO CAÑADAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,637,637
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,31,31
CUEVO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,217,217
CULPINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,381,381
CURAHUARA DE CARANGAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,434,434
EL ALTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,21892,21892
EL PUENTE(STC),internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,155,155
EL TORNO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,3038,3038
EL VILLAR,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,217,217
ENTRE RIOS TRJ,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,496,496
ENTRE RIOS CBBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,155,155
ESCOMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,186,186
EUCALIPTUS,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,155,155
EXALTACION,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,31,31
FILADELFIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,209,209
GENERAL SAAVEDRA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,248,248
GUANAY,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,124,124
GUAYARAMERIN,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,4061,4061
GUTIERREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,640,640
HUACARETA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,674,674
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,147,147
HUACHACALLA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,62,62
HUANUNI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1066,1066
HUARACAJE,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,62,62
HUAYLLAMARCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,31,31
ICLA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,369,369
INCAHUASI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,186,186
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,403,403
IXIAMAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,186,186
LA ASUNTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,31,31
LA GUARDIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1891,1891
LA PAZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,56632,56632
LAGUNILLAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,248,248
LAS CARRERAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,182,182
LLALLAGUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1085,1085
LLICA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,62,62
LURIBAY,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,31,31
MACHACAMARCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,93,93
MACHARETI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,395,395
MAGDALENA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,279,279
MAIRANA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,155,155
MAPIRI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,93,93
MIZQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,837,837
MOJINETE,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,30,30
MOJOCOYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,329,329
MONTEAGUDO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1580,1580
MONTERO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,3727,3727
MORO MORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,93,93
MOROCHATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,341,341
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,60,60
OCURI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,372,372
OMEREQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,93,93
ORURO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,14717,14717
PADILLA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,589,589
PAILON,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,456,456
PALOS BLANCOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,341,341
PAPEL PAMPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,31,31
PASORAPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,124,124
PATACAMAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,120,120
POCOATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,124,124
POCONA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,279,279
POJO (CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,217,217
POOPO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,93,93
POROMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,651,651
PORONGO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,310,310
PORTACHUELO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1054,1054
PORVENIR,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,138,138
POTOSI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,11003,11003
PRESTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,265,265
PUCARANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,186,186
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,81,81
PUERTO QUIJARRO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,137,137
PUERTO RICO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,61,61
PUERTO SUAREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,853,853
PUERTO VILLARROEL,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1797,1797
PUNA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,184,184
PUNATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1612,1612
QUILLACOLLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1112,1112
QUIME,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,186,186
QUIRUSILLAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,62,62
RAVELO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,62,62
REYES,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,186,186
RIBERALTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,2728,2728
ROBORE,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1624,1624
RURRENABAQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,651,651
SACABA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1767,1767
SACABAMBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,217,217
SACACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,310,310
SAIPINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,31,31
SALINAS DE GARCI MENDOZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,62,62
SAMAIPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,93,93
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,121,121
SAN BENITO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,62,62
SAN BORJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,556,556
SAN BUENA VENTURA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,217,217
SAN CARLOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1,1
SAN IGNACIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,775,775
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,2449,2449
SAN JAVIER(BNI),internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,30,30
SAN JAVIER(STC),internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,124,124
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1116,1116
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,694,694
SAN JULIAN,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1049,1049
SAN LORENZO(PND),internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,63,63
SAN LUCAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1114,1114
SAN MATIAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,682,682
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,217,217
SAN PEDRO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,31,31
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,155,155
SAN RAFAEL,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,248,248
SAN RAMON BENI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,217,217
SANTA ANA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,434,434
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,48981,48981
SANTA ROSA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,186,186
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,186,186
SANTIAGO DE HUARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,31,31
SANTIAGO DE MACHACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,62,62
SANTIVAÑES,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,93,93
SANTUARIO DE QUILLACAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,94,94
SENA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,170,170
SHINAOTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,711,711
SICAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,31,31
SOPACHUY,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,961,961
SORATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,248,248
SUCRE,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,34245,34245
TACOPAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,186,186
TAPACARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,183,183
TARABUCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,552,552
TARATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,39,39
TARIJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,13805,13805
TARVITA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,403,403
TEOPONTE,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,62,62
TIAWANACU,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,31,31
TIPUANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,93,93
TIQUIPAYA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,744,744
TIRAQUE (CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,93,93
TOCO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,93,93
TOLATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,62,62
TOMINA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,527,527
TORO TORO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,217,217
TOTORA(CBBA),internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,775,775
TRIGAL,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,4,4
TRINIDAD,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,7473,7473
TUPIZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,2790,2790
UNCIA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,96,96
URUBICHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,186,186
UYUNI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1147,1147
VACAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,93,93
VALLEGRANDE,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,660,660
VIACHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,837,837
VILA VILA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,93,93
VILLA CHARCAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,186,186
VILLA MONTES,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1116,1116
VILLA RIVERO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,124,124
VILLA SERRANO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,279,279
VILLA TUNARI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,2294,2294
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,309,309
VILLAZON,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1488,1488
VINTO,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,775,775
VITICHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,31,31
WARNES,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,744,744
YACUIBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,3490,3490
YAMPARAEZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,248,248
YAPACANI,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,1799,1799
YOTALA,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,217,217
ZUDAÑEZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-07-01,186,186
ACACIO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,124,124
ACHACACHI,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,465,465
AIQUILE,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,1147,1147
ALALAY,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,31,31
ALCALA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,62,62
ANCORAIMES,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,31,31
ANZALDO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,403,403
APOLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,279,279
ARAMPAMPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,155,155
ARBIETO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,152,152
ARQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,31,31
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,1618,1618
ATOCHA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,172,172
AYATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,62,62
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,805,805
AZURDUY,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,421,421
BAURES,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,62,62
BELLA FLOR,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,31,31
BERMEJO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,2631,2631
BETANZOS,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,217,217
BOYUIBE,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,341,341
BUENA VISTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,179,179
CABEZAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,310,310
CAJUATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,31,31
CAMARGO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,775,775
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,93,93
CAMIRI,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,2472,2472
CAPINOTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,310,310
CARACOLLO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,186,186
CARANAVI,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,1085,1085
CARIPUYO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,155,155
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,295,295
CHALLAPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,837,837
CHARAGUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,273,273
CHAYANTA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,149,149
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,899,899
CHUMA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,217,217
CKOCHAS,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,31,31
CLIZA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,465,465
COBIJA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,2418,2418
COCAPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,188,188
COCHABAMBA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,50784,50784
COLCAPIRHUA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,793,793
"COLCHA ""K""",internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,62,62
COLOMI,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,155,155
COLPA BELGICA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,155,155
COLQUECHACA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,124,124
COMARAPA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,434,434
CONCEPCION,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,313,313
COPACABANA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,9,9
CORIPATA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,21,21
COROICO,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,992,992
CORQUE,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,62,62
COTOCA,internaciones dias camas,total dias camas disponibles otros servicios,2015-08-01,620,620
