municipality,group,variable,month,Total Días camas ocupadas otros servicios,TOTAL
CAPINOTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,26,26
CARACOLLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,18,18
CARANAVI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,487,487
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,43,43
CHALLAPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,104,104
CHARAGUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,37,37
CHAYANTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,51,51
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,299,299
CHUMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,18,18
CLIZA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,142,142
COBIJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,2154,2154
COCHABAMBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,35640,35640
COLCAPIRHUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,190,190
COLOMI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,2,2
COLPA BELGICA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,63,63
COMARAPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,144,144
CORO CORO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,1,1
COROICO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,254,254
CORQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,5,5
COTOCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,314,314
CUATRO CAÑADAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,185,185
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,2,2
CUEVO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,2,2
CULPINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,69,69
EL ALTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,10713,10713
EL PUENTE(STC),internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,14,14
EL TORNO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,938,938
ENTRE RIOS TRJ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,62,62
ENTRE RIOS CBBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,8,8
ESCOMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,26,26
EXALTACION,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,2,2
FERNANDEZ ALONSO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,3,3
FILADELFIA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,2,2
GENERAL SAAVEDRA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,56,56
GUANAY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,58,58
GUAYARAMERIN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,1539,1539
GUTIERREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,75,75
HUACARETA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,37,37
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,8,8
HUANUNI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,397,397
HUARACAJE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,11,11
HUAYLLAMARCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,4,4
ICLA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,2,2
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,47,47
IXIAMAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,51,51
LA ASUNTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,1,1
LA GUARDIA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,615,615
LA PAZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,39809,39809
LAGUNILLAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,15,15
LAS CARRERAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,6,6
LLALLAGUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,665,665
MACHARETI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,11,11
MAGDALENA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,126,126
MAIRANA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,39,39
MAPIRI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,14,14
MINEROS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,88,88
MIZQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,51,51
MOJINETE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,1,1
MOJOCOYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,12,12
MONTEAGUDO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,479,479
MONTERO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,1816,1816
MORO MORO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,1,1
MOROCHATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,2,2
NACEBE (SANTA ROSA DEL ABUNA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,60,60
OCURI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,6,6
OKINAWA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,9,9
OMEREQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,56,56
ORURO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,4422,4422
PADILLA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,297,297
PAILON,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,197,197
PALOS BLANCOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,40,40
PAMPA GRANDE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,8,8
PASORAPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,27,27
PATACAMAYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,19,19
POJO (CBBA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,2,2
POROMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,3,3
PORTACHUELO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,492,492
PORVENIR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,17,17
POSTRER VALLE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,4,4
POTOSI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,5308,5308
PRESTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,14,14
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,9,9
PUERTO QUIJARRO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,235,235
PUERTO RICO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,32,32
PUERTO SUAREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,391,391
PUERTO VILLARROEL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,539,539
PUNATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,787,787
QUILLACOLLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,157,157
QUIRUSILLAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,3,3
REYES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,82,82
RIBERALTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,2432,2432
ROBORE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,202,202
RURRENABAQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,347,347
SACABA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,785,785
SACACA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,8,8
SAIPINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,4,4
SAMAIPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,26,26
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,3,3
SAN BENITO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,2,2
SAN BORJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,215,215
SAN BUENA VENTURA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,65,65
SAN IGNACIO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,102,102
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,1130,1130
SAN JAVIER(STC),internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,73,73
SAN JOAQUIN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,34,34
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,308,308
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,173,173
SAN JULIAN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,413,413
SAN LORENZO(PND),internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,27,27
SAN LUCAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,114,114
SAN MATIAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,94,94
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,17,17
SAN PEDRO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,11,11
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,21,21
SAN RAFAEL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,29,29
SAN RAMON BENI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,56,56
SANTA ANA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,169,169
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,33845,33845
SANTA ROSA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,20,20
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,24,24
SANTIAGO DE HUARI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,1,1
SENA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,10,10
SHINAOTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,115,115
SOPACHUY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,57,57
SORATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,5,5
SUCRE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,25000,25000
TACOPAYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,12,12
TARABUCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,129,129
TARATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,23,23
TARIJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,10526,10526
TARVITA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,164,164
TEOPONTE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,6,6
TIAWANACU,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,4,4
TIPUANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,15,15
TIQUIPAYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,299,299
TIRAQUE (CBBA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,1,1
TOLATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,15,15
TOMINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,5,5
TOTORA(CBBA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,80,80
TRIGAL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,1,1
TRINIDAD,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,2608,2608
TUPIZA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,1638,1638
UNCIA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,25,25
URUBICHA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,14,14
UYUNI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,392,392
VALLEGRANDE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,283,283
VIACHA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,223,223
VILLA CHARCAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,31,31
VILLA MONTES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,470,470
VILLA RIVERO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,9,9
VILLA SERRANO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,26,26
VILLA TUNARI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,782,782
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,34,34
VILLAZON,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,838,838
VINTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,256,256
WARNES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,505,505
YACUIBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,2176,2176
YAPACANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,594,594
YOTALA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,36,36
ZUDAÑEZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-07-01,35,35
ACACIO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,1,1
ACHACACHI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,178,178
AIQUILE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,140,140
ALALAY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,1,1
ANZALDO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,42,42
APOLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,14,14
ARAMPAMPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,2,2
ASCENCION DE GUARAYOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,639,639
ATOCHA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,68,68
AYATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,68,68
AZURDUY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,167,167
BAURES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,71,71
BERMEJO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,931,931
BETANZOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,21,21
BOLIVAR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,5,5
BOYUIBE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,55,55
BUENA VISTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,38,38
CABEZAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,50,50
CAIROMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,4,4
CAJUATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,1,1
CAMARGO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,362,362
CAMIRI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,1467,1467
CAPINOTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,26,26
CARACOLLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,6,6
CARANAVI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,441,441
CARMEN RIVERO TORREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,41,41
CHALLAPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,128,128
CHARAGUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,93,93
CHAYANTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,16,16
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,224,224
CHUMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,40,40
CLIZA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,91,91
COBIJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,1501,1501
COCAPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,31,31
COCHABAMBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,35142,35142
COLCAPIRHUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,52,52
COLPA BELGICA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,69,69
COMARAPA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,168,168
CONCEPCION,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,280,280
COROICO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,282,282
COTAGAITA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,3,3
COTOCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,534,534
CUATRO CAÑADAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,77,77
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,2,2
CUEVO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,6,6
CULPINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,129,129
EL ALTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,9351,9351
EL PUENTE(STC),internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,33,33
EL TORNO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,707,707
ENTRE RIOS TRJ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,87,87
ENTRE RIOS CBBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,11,11
ESCOMA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,24,24
EUCALIPTUS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,1,1
EXALTACION,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,1,1
GENERAL SAAVEDRA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,92,92
GUANAY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,46,46
GUAYARAMERIN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,911,911
GUTIERREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,73,73
HUACARETA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,89,89
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,6,6
HUANUNI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,271,271
HUARACAJE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,23,23
HUATAJATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,1,1
HUAYLLAMARCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,10,10
ICLA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,2,2
INCAHUASI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,8,8
IRUPANA (VILLA DE LANZA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,28,28
IXIAMAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,66,66
LA ASUNTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,47,47
LA GUARDIA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,678,678
LA PAZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,46209,46209
LAGUNILLAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,19,19
LLALLAGUA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,453,453
LURIBAY,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,10,10
MACHACAMARCA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,6,6
MACHARETI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,11,11
MAGDALENA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,133,133
MAIRANA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,82,82
MAPIRI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,7,7
MINEROS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,107,107
MIZQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,157,157
MOJOCOYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,9,9
MONTEAGUDO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,653,653
MONTERO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,2898,2898
MORO MORO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,1,1
OCURI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,5,5
OKINAWA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,8,8
OMEREQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,6,6
ORURO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,8892,8892
PADILLA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,270,270
PAILON,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,242,242
PALOS BLANCOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,87,87
PAMPA GRANDE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,3,3
PATACAMAYA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,64,64
POCOATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,4,4
POJO (CBBA),internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,3,3
PORONGO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,1,1
PORTACHUELO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,572,572
PORVENIR,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,15,15
POSTRER VALLE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,3,3
POTOSI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,6963,6963
PRESTO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,8,8
PUCARA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,2,2
PUCARANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,3,3
PUERTO GONZALO MORENO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,10,10
PUERTO PEREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,31,31
PUERTO QUIJARRO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,102,102
PUERTO RICO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,62,62
PUERTO SUAREZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,486,486
PUERTO VILLARROEL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,546,546
PUNATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,744,744
QUILLACOLLO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,297,297
REYES,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,77,77
RIBERALTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,2478,2478
ROBORE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,247,247
RURRENABAQUE,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,375,375
SACABA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,631,631
SACABAMBA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,10,10
SACACA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,10,10
SAIPINA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,5,5
SAMAIPATA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,21,21
SAN ANTONIO DE LOMERIO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,18,18
SAN BENITO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,1,1
SAN BORJA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,283,283
SAN BUENA VENTURA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,92,92
SAN IGNACIO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,183,183
SAN IGNACIO DE VELASCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,757,757
SAN JAVIER(STC),internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,34,34
SAN JOAQUIN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,68,68
SAN JOSE DE CHIQUITOS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,330,330
SAN JUAN DE YAPACANI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,156,156
SAN JULIAN,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,462,462
SAN LUCAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,116,116
SAN MATIAS,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,65,65
SAN MIGUEL DE VELASCO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,31,31
SAN PEDRO,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,7,7
SAN PEDRO DE BUENA VISTA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,27,27
SAN RAFAEL,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,25,25
SAN RAMON BENI,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,67,67
SAN RAMON SCZ,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,27,27
SANTA ANA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,244,244
SANTA CRUZ DE LA SIERRA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,35497,35497
SANTA ROSA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,68,68
SANTA ROSA DEL SARA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,29,29
SENA,internaciones dias camas,total dias camas ocupadas otros servicios,2015-08-01,14,14
