municipality,group,variable,month,Controles nuevos en niños menores de 2 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
AYO AYO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,9,9,12,21
AYOPAYA (V. DE INDEPENDENCIA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,28,28,41,69
AZURDUY,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,25,25,16,41
BATALLAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,25,25,21,46
BAURES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,9,9,4,13
BELEN DE ANDAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2,2,1,3
BELEN DE URMIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2,2,1,3
BELLA FLOR,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,3,3,0,3
BERMEJO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,47,47,42,89
BETANZOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,46,46,45,91
BOLIVAR,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,14,14,13,27
BOLPEBRA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2,2,2,4
BOYUIBE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,6,6,6,12
BUENA VISTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,22,22,12,34
CABEZAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,24,24,27,51
CAIROMA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,9,9,11,20
"CAIZA ""D""",nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,8,8,6,14
CAJUATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,10,10,13,23
CALACOTO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,4,4,2,6
CALAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,12,12,11,23
CAMARGO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,30,30,24,54
CAMATAQUI (C. VILLA ABECIA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,7,7,1,8
CAMIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,55,55,89,144
CAPINOTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,19,19,21,40
CAQUIAVIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,7,7,9,16
CARACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,22,22,27,49
CARANAVI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,109,109,110,219
CARAPARI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,8,8,8,16
CARIPUYO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,16,16,7,23
CARMEN RIVERO TORREZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,10,10,6,16
CATACORA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2,2,1,3
CHACARILLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,3,3,2,5
CHALLAPATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,46,46,51,97
CHAQUI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,17,17,12,29
CHARAGUA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,26,26,32,58
CHARAÑA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2,2,1,3
CHAYANTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,28,28,21,49
CHIMORE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,50,50,61,111
CHIPAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,3,3,0,3
CHULUMANI (V. DE LA LIBERTAD),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,25,25,16,41
CHUMA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,9,9,7,16
CLIZA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,40,40,44,84
COBIJA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,72,72,60,132
COCHABAMBA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,1927,1927,1710,3637
COLCAPIRHUA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,253,253,227,480
"COLCHA ""K""",nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,11,11,17,28
COLLANA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2,2,1,3
COLOMI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,86,86,82,168
COLPA BELGICA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,8,8,15,23
COLQUECHACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,48,48,43,91
COLQUENCHA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,9,9,5,14
COLQUIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,29,29,112,141
COMANCHE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,3,3,2,5
COMARAPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,19,19,23,42
COMBAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2,2,3,5
CONCEPCION,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,13,13,14,27
COPACABANA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,9,9,10,19
CORIPATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,35,35,29,64
CORO CORO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,10,10,8,18
COROICO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,42,42,39,81
CORQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,3,3,5,8
COTAGAITA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,21,21,24,45
COTOCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,64,64,47,111
CUATRO CAÑADAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,61,61,46,107
CUCHUMUELA (V. G. VILLARROEL),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,1,1,0,1
CUEVO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,5,5,5,10
CULPINA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,38,38,31,69
CURAHUARA DE CARANGAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,5,5,1,6
CURVA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2,2,4,6
DESAGUADERO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,5,5,6,11
EL ALTO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2174,2174,2414,4588
EL CHORO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,6,6,4,10
EL PUENTE(STC),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,8,8,7,15
EL PUENTE(TJA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,5,5,6,11
EL TORNO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,126,126,119,245
EL VILLAR,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,7,7,7,14
ENTRE RIOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,42,42,34,76
ENTRE RIOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,82,82,71,153
EUCALIPTUS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,9,9,2,11
EUREKA (SANTOS MERCADO),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,5,5,4,9
EXALTACION,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,4,4,2,6
FERNANDEZ ALONSO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,35,35,17,52
FILADELFIA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2,2,3,5
GENERAL SAAVEDRA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,60,60,56,116
GRAL. J.J. PEREZ (CHARAZANI),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,18,18,7,25
GUANAY,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,28,28,19,47
GUAQUI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,3,3,11,14
GUAYARAMERIN,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,80,80,57,137
GUTIERREZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,16,16,11,27
HUACARETA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,10,10,8,18
HUACAYA (VILLA DE HUACAYA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,3,3,6,9
HUACHACALLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,3,3,3,6
HUANUNI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,34,34,24,58
HUARACAJE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,1,1,4,5
HUAYLLAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,10,10,5,15
ICHOCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,15,15,12,27
ICLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,9,9,4,13
INCAHUASI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,47,47,43,90
INGAVI (HUMAITA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,3,3,6,9
INQUISIVI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,19,19,28,47
IRUPANA (VILLA DE LANZA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,9,9,9,18
IXIAMAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,14,14,17,31
JESUS DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,14,14,12,26
LA ASUNTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,28,28,20,48
LA GUARDIA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,70,70,82,152
LA PAZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,1429,1429,1225,2654
LAGUNILLAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,4,4,9,13
LAJA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,19,19,17,36
LAS CARRERAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2,2,4,6
LICOMA PAMPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,5,5,11,16
LLALLAGUA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,80,80,69,149
LLICA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2,2,5,7
LORETO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,11,11,16,27
LURIBAY,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,21,21,21,42
MACHACAMARCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,3,3,5,8
MACHARETI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,9,9,9,18
MAGDALENA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,14,14,14,28
MAIRANA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,8,8,8,16
MALLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2,2,1,3
MAPIRI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,14,14,14,28
MECAPACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,13,13,6,19
MINEROS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,25,25,36,61
MIZQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,38,38,41,79
MOCOMOCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,15,15,15,30
MOJINETE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,1,1,1,2
MOJOCOYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,11,11,8,19
MONTEAGUDO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,51,51,29,80
MONTERO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,101,101,101,202
MORO MORO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,0,0,2,2
MOROCHATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,195,195,204,399
NACEBE (SANTA ROSA DEL ABUNA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,3,3,3,6
NUEVO MANOA (NUEVA ESPERANZA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2,2,3,5
OCURI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,35,35,24,59
OKINAWA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,30,30,24,54
OMEREQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,16,16,8,24
ORURO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,534,534,513,1047
PADCAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,17,17,15,32
PADILLA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,16,16,6,22
PAILON,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,12,12,17,29
PALCA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,29,29,33,62
PALOS BLANCOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,29,29,31,60
PAMPA AULLAGAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2,2,6,8
PAMPA GRANDE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,10,10,5,15
PAPEL PAMPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,7,7,11,18
PASORAPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,3,3,7,10
PATACAMAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,32,32,28,60
PAZÑA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,7,7,3,10
PELECHUCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,18,18,11,29
POCOATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,20,20,38,58
POCONA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,53,53,44,97
POJO (CBBA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,20,20,21,41
POOPO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2,2,2,4
PORCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,14,14,14,28
POROMA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,37,37,22,59
PORONGO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,9,9,9,18
PORTACHUELO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,38,38,30,68
PORVENIR,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,7,7,6,13
POSTRER VALLE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,3,3,4,7
POTOSI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,209,209,202,411
PRESTO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,9,9,11,20
PUCARA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,3,3,5,8
PUCARANI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,55,55,53,108
PUERTO ACOSTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,28,28,19,47
PUERTO CARABUCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,16,16,5,21
PUERTO GONZALO MORENO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,5,5,3,8
PUERTO PEREZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,15,15,8,23
PUERTO QUIJARRO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,15,15,17,32
PUERTO RICO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,5,5,6,11
PUERTO SILES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2,2,1,3
PUERTO SUAREZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,19,19,16,35
PUERTO VILLARROEL,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,72,72,63,135
PUNA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,49,49,51,100
PUNATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,129,129,148,277
QUIABAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,3,3,7,10
QUILLACOLLO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,369,369,323,692
QUIME,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,11,11,11,22
QUIRUSILLAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,1,1,1,2
RAVELO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,39,39,41,80
REYES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,25,25,27,52
RIBERALTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,146,146,134,280
ROBORE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,18,18,19,37
RURRENABAQUE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,33,33,32,65
SABAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,3,3,4,7
SACABA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,358,358,339,697
SACABAMBA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,24,24,27,51
SACACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,31,31,37,68
SAIPINA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,8,8,5,13
SALINAS DE GARCI MENDOZA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,8,8,6,14
SAMAIPATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,7,7,6,13
SAN AGUSTIN,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,1,1,2,3
SAN ANDRES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,21,21,14,35
SAN ANDRES DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,4,4,2,6
SAN ANTONIO DE ESMORUCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,1,1,2,3
SAN ANTONIO DE LOMERIO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,13,13,9,22
SAN BENITO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,15,15,10,25
SAN BORJA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,74,74,81,155
SAN BUENA VENTURA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,10,10,6,16
SAN CARLOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,20,20,13,33
SAN IGNACIO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,84,84,83,167
SAN IGNACIO DE VELASCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,101,101,72,173
SAN JAVIER(BNI),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,6,6,8,14
SAN JAVIER(STC),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,17,17,13,30
SAN JOAQUIN,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2,2,2,4
SAN JOSE DE CHIQUITOS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,6,6,4,10
SAN JUAN DE YAPACANI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,17,17,11,28
SAN JULIAN,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,66,66,62,128
SAN LORENZO(PND),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,4,4,6,10
SAN LORENZO(TJA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,34,34,23,57
SAN LUCAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,67,67,38,105
SAN MATIAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,28,28,20,48
SAN MIGUEL DE VELASCO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,24,24,19,43
SAN PABLO DE LIPEZ,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,7,7,4,11
SAN PEDRO,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,12,12,15,27
SAN PEDRO DE BUENA VISTA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,48,48,39,87
SAN PEDRO DE CURAHUARA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,9,9,6,15
SAN PEDRO DE TIQUINA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2,2,10,12
SAN PEDRO(PND),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,11,11,17,28
SAN RAFAEL,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,4,4,2,6
SAN RAMON,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,13,13,5,18
SAN RAMON,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,5,5,7,12
SANTA ANA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,36,36,32,68
SANTA CRUZ DE LA SIERRA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,2159,2159,2047,4206
SANTA ROSA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,14,14,9,23
SANTA ROSA DEL SARA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,30,30,28,58
SANTIAGO DE CALLAPA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,8,8,11,19
SANTIAGO DE HUARI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,15,15,6,21
SANTIAGO DE MACHACA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,5,5,4,9
SANTIVAÑES,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,9,9,6,15
SANTUARIO DE QUILLACAS,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,1,1,3,4
SAPAHAQUI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,11,11,14,25
SENA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,4,4,1,5
SICA SICA (VILLA AROMA),nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,17,17,23,40
SICAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,9,9,4,13
SIPE SIPE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,165,165,163,328
SOPACHUY,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,13,13,11,24
SORACACHI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,10,10,11,21
SORATA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,40,40,39,79
SUCRE,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,360,360,403,763
TACACHI,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,3,3,1,4
TACACOMA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,14,14,11,25
TACOBAMBA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,18,18,17,35
TACOPAYA,nutricion y desarrollo infantil,controles nuevos en ninos menores de 2 anos,2005-08-01,18,18,11,29
