municipality,group,variable,month,Consultas nuevas en menores de 5 años,TOTAL
TIAWANACU,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,21,21
TINGUIPAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,83,83
TIPUANI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,16,16
TIQUIPAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,1045,1045
TIRAQUE (CBBA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,83,83
TITO YUPANQUI (PARQUIPUJIO),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,2,2
TOCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,62,62
TOLATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,124,124
TOLEDO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,33,33
TOMAVE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,43,43
TOMINA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,449,449
TORO TORO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,10,10
TOTORA(CBBA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,14,14
TOTORA(ORR),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,16,16
TRIGAL,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,22,22
TRINIDAD,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,162,162
TUPIZA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,113,113
TURCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,27,27
UMALA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,4,4
UNCIA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,80,80
URIONDO (A. CONCEPCION),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,56,56
URUBICHA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,55,55
UYUNI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,77,77
VACAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,34,34
VALLEGRANDE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,89,89
VIACHA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,178,178
VILA VILA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,34,34
VILLA MONTES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,45,45
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,21,21
VILLA RIVERO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,27,27
VILLA SERRANO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,66,66
VILLA TUNARI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,191,191
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,66,66
VILLAZON,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,253,253
VINTO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,93,93
VITICHI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,1,1
WARNES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,181,181
YACO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,11,11
YACUIBA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,137,137
YAMPARAEZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,13,13
YANACACHI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,11,11
YAPACANI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,39,39
YOCALLA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,27,27
YOTALA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,52,52
YUNCHARA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,9,9
ZUDAÑEZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-06-01,133,133
ACACIO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,29,29
ACHACACHI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,154,154
ACHOCALLA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,57,57
AIQUILE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,105,105
ALALAY,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,5,5
ALCALA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,39,39
ANCORAIMES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,128,128
ANDAMARCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,35,35
ANTEQUERA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,15,15
ANZALDO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,10,10
APOLO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,141,141
ARAMPAMPA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,39,39
ARANI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,18,18
ARBIETO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,229,229
ARQUE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,45,45
ASCENCION DE GUARAYOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,10,10
AYATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,23,23
AYO AYO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,15,15
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,27,27
AZURDUY,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,24,24
BATALLAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,36,36
BAURES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,9,9
BELEN DE URMIRI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,4,4
BELLA FLOR,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,64,64
BERMEJO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,43,43
BETANZOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,69,69
BOLIVAR,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,1,1
BOLPEBRA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,20,20
BOYUIBE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,25,25
BUENA VISTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,2,2
CABEZAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,116,116
CAIROMA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,16,16
"CAIZA ""D""",atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,28,28
CAJUATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,6,6
CALACOTO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,60,60
CALAMARCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,72,72
CAMARGO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,203,203
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,44,44
CAMIRI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,227,227
CAPINOTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,46,46
CAQUIAVIRI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,40,40
CARACOLLO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,42,42
CARANAVI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,78,78
CARAPARI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,18,18
CARIPUYO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,84,84
CARMEN RIVERO TORREZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,11,11
CATACORA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,11,11
CHALLAPATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,144,144
CHAQUI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,5,5
CHARAGUA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,79,79
CHARAÑA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,12,12
CHAYANTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,91,91
CHIMORE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,45,45
CHOQUE COTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,6,6
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,234,234
CHUMA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,34,34
CLIZA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,116,116
COBIJA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,442,442
COCHABAMBA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,3248,3248
COIPASA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,8,8
COLCAPIRHUA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,419,419
"COLCHA ""K""",atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,26,26
COLLANA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,22,22
COLOMI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,62,62
COLPA BELGICA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,124,124
COLQUECHACA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,53,53
COLQUIRI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,45,45
COMANCHE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,3,3
COMARAPA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,105,105
COMBAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,20,20
CONCEPCION,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,12,12
COPACABANA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,97,97
CORIPATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,28,28
CORO CORO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,12,12
COROICO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,34,34
CORQUE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,14,14
COTAGAITA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,24,24
COTOCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,16,16
CUATRO CAÑADAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,104,104
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,39,39
CUEVO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,55,55
CULPINA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,85,85
CURAHUARA DE CARANGAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,16,16
CURVA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,10,10
DESAGUADERO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,11,11
EL ALTO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,2979,2979
EL CHORO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,74,74
EL PUENTE(STC),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,45,45
EL PUENTE(TJA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,9,9
EL TORNO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,52,52
EL VILLAR,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,11,11
ENTRE RIOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,36,36
ENTRE RIOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,34,34
EUCALIPTUS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,26,26
FERNANDEZ ALONSO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,50,50
FILADELFIA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,24,24
GENERAL SAAVEDRA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,78,78
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,67,67
GUANAY,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,17,17
GUAQUI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,4,4
GUAYARAMERIN,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,79,79
GUTIERREZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,68,68
HUACARETA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,18,18
HUACHACALLA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,2,2
HUANUNI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,100,100
HUARACAJE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,17,17
HUAYLLAMARCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,9,9
ICLA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,281,281
INCAHUASI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,60,60
INQUISIVI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,11,11
IRUPANA (VILLA DE LANZA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,28,28
IXIAMAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,31,31
JESUS DE MACHACA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,38,38
LA ASUNTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,64,64
LA GUARDIA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,203,203
LA PAZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,5405,5405
LAGUNILLAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,62,62
LAJA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,30,30
LAS CARRERAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,2,2
LICOMA PAMPA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,12,12
LLALLAGUA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,270,270
LLICA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,6,6
LURIBAY,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,19,19
MACHACAMARCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,20,20
MACHARETI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,110,110
MAGDALENA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,10,10
MAIRANA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,57,57
MAPIRI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,65,65
MECAPACA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,16,16
MINEROS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,116,116
MIZQUE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,20,20
MOCOMOCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,12,12
MOJOCOYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,45,45
MONTEAGUDO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,229,229
MONTERO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,499,499
MORO MORO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,52,52
MOROCHATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,107,107
OCURI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,1,1
OKINAWA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,30,30
OMEREQUE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,41,41
ORURO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,1231,1231
PADCAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,10,10
PADILLA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,118,118
PAILON,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,133,133
PALCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,60,60
PALOS BLANCOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,105,105
PAMPA AULLAGAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,14,14
PAMPA GRANDE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,15,15
PASORAPA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,28,28
PATACAMAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,46,46
PAZÑA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,56,56
PELECHUCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,16,16
POCOATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,355,355
POCONA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,35,35
POJO (CBBA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,45,45
POOPO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,20,20
PORCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,30,30
POROMA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,82,82
PORONGO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,24,24
PORTACHUELO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,49,49
PORVENIR,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,29,29
POSTRER VALLE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,34,34
POTOSI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,1051,1051
PRESTO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,82,82
PUCARA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,63,63
PUCARANI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,35,35
PUERTO ACOSTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,10,10
PUERTO CARABUCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,6,6
PUERTO GONZALO MORENO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,88,88
PUERTO PEREZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,3,3
PUERTO QUIJARRO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,65,65
PUERTO RICO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,53,53
PUERTO SUAREZ,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,69,69
PUERTO VILLARROEL,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,118,118
PUNA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,981,981
PUNATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,241,241
QUIABAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,6,6
QUILLACOLLO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,614,614
QUIME,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,34,34
QUIRUSILLAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,30,30
RAVELO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,67,67
REYES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,42,42
RIBERALTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,105,105
ROBORE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,73,73
RURRENABAQUE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,22,22
SABAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,4,4
SACABA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,289,289
SACABAMBA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,69,69
SACACA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,87,87
SAIPINA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,16,16
SALINAS DE GARCI MENDOZA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,126,126
SAMAIPATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,45,45
SAN AGUSTIN,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,2,2
SAN ANDRES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,11,11
SAN ANDRES DE MACHACA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,11,11
SAN ANTONIO DE LOMERIO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,7,7
SAN BENITO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,30,30
SAN BORJA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,192,192
SAN BUENA VENTURA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,25,25
SAN CARLOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,40,40
SAN IGNACIO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,47,47
SAN IGNACIO DE VELASCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,85,85
SAN JAVIER(BNI),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,5,5
SAN JAVIER(STC),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,5,5
SAN JOAQUIN,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,25,25
SAN JOSE DE CHIQUITOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,52,52
SAN JUAN DE YAPACANI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,32,32
SAN JULIAN,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,51,51
SAN LORENZO(PND),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,127,127
SAN LORENZO(TJA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,112,112
SAN LUCAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,189,189
SAN MATIAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,53,53
SAN MIGUEL DE VELASCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,12,12
SAN PEDRO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,18,18
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,48,48
SAN PEDRO DE TIQUINA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,27,27
SAN RAFAEL,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,22,22
SAN RAMON,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,115,115
SAN RAMON,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,1,1
SANTA ANA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,12,12
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,4525,4525
SANTA ROSA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,17,17
SANTA ROSA DEL SARA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,92,92
SANTIAGO DE CALLAPA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,13,13
SANTIAGO DE HUARI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,149,149
SANTIAGO DE MACHACA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,8,8
SANTIVAÑES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,8,8
SANTUARIO DE QUILLACAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,84,84
SAPAHAQUI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,149,149
SENA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,291,291
SICA SICA (VILLA AROMA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,72,72
SICAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,17,17
SIPE SIPE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,171,171
SOPACHUY,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,26,26
SORACACHI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,37,37
SORATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,82,82
SUCRE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,1238,1238
TACACOMA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,27,27
TACOPAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,5,5
TAHUA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,10,10
TAPACARI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,11,11
TARABUCO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,810,810
TARACO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,10,10
TARATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,44,44
TARIJA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,367,367
TARVITA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,89,89
TEOPONTE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,3,3
TIAWANACU,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,33,33
TINGUIPAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,6,6
TIPUANI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,18,18
TIQUIPAYA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2009-07-01,1109,1109
