,group,variable,month,L 22.1 PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,L 22.1 PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES
CHAQUI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,1,0,1
CHIMORE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,2,14,16
CHUMA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,2,9,11
CKOCHAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,9,18,27
CLIZA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,11,54,65
COBIJA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,36,385,421
COCHABAMBA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,63,955,1018
COLPA BELGICA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,7,16,23
COLQUIRI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,5,1,6
COMARAPA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,3,3
COROICO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,1,47,48
COTAGAITA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,22,22
COTOCA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,1,60,61
CULPINA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,43,43
EL ALTO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,220,2269,2489
EL PUENTE(STC),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,33,94,127
EL PUENTE(TJA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,12,12
EL TORNO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,27,170,197
EL VILLAR,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,15,15
ENTRE RIOS TRJ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,5,7,12
ENTRE RIOS CBBA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,3,12,15
ESCOMA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,2,11,13
EUCALIPTUS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,6,6
FILADELFIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,4,15,19
GENERAL SAAVEDRA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,1,27,28
GRAL. J.J. PEREZ (CHARAZANI),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,1,3,4
GUAYARAMERIN,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,47,189,236
GUTIERREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,1,25,26
HUACARETA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,16,16
HUACAYA (VILLA DE HUACAYA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,11,11
HUACHACALLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,1,1
HUANUNI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,1,82,83
ICLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,17,17
INCAHUASI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,17,17
INQUISIVI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,6,6
IRUPANA (VILLA DE LANZA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,20,20
LA ASUNTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,7,51,58
LA GUARDIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,4,156,160
LA PAZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,70,1143,1213
LAS CARRERAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,4,10,14
LLALLAGUA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,4,175,179
MACHACAMARCA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,6,6
MACHARETI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,5,18,23
MAIRANA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,24,24
MAPIRI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,2,2
MECAPACA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,6,6
MINEROS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,2,66,68
MIZQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,2,2,4
MOJOCOYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,20,58,78
MONTEAGUDO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,12,65,77
MONTERO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,53,309,362
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,1,14,15
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,12,24,36
OMEREQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,2,2
ORURO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,32,626,658
PADCAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,19,19
PADILLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,21,21
PAILON,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,6,106,112
PALOS BLANCOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,1,56,57
PATACAMAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,106,35,141
POCOATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,7,38,45
POJO (CBBA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,4,4
POROMA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,1,10,11
PORONGO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,9,5,14
PORTACHUELO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,3,2,5
POSTRER VALLE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,2,2
POTOSI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,281,116,397
PRESTO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,5,5
PUCARANI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,1,17,18
PUERTO GONZALO MORENO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,24,34,58
PUERTO QUIJARRO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,6,6
PUERTO RICO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,8,51,59
PUERTO SUAREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,2,48,50
PUERTO VILLARROEL,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,16,47,63
PUNA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,18,18
PUNATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,3,409,412
QUIME,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,2,12,14
REYES,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,2,2
RIBERALTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,329,329
RURRENABAQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,36,36
SACABA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,3,391,394
SAMAIPATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,16,16
SAN ANDRES,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,3,3
SAN ANTONIO DE LOMERIO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,7,7
SAN BENITO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,20,20
SAN CARLOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,3,51,54
SAN IGNACIO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,6,20,26
SAN IGNACIO DE VELASCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,11,95,106
SAN JAVIER(STC),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,2,45,47
SAN JOSE DE CHIQUITOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,10,6,16
SAN JUAN DE YAPACANI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,23,23
SAN JULIAN,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,1,52,53
SAN LORENZO(PND),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,13,33,46
SAN LORENZO(TJA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,45,45
SAN LUCAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,1,76,77
SAN MATIAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,1,2,3
SAN MIGUEL DE VELASCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,22,22
SAN PEDRO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,1,17,18
SAN RAFAEL,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,1,15,16
SANTA CRUZ DE LA SIERRA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,171,1153,1324
SENA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,8,33,41
SHINAOTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,16,62,78
SIPE SIPE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,37,37
SOPACHUY,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,44,37,81
SUCRE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,18,888,906
TARABUCO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,4,37,41
TARATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,22,22
TARIJA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,108,291,399
TARVITA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,44,44
TIAWANACU,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,14,14
TOLATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,3,13,16
TOLEDO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,2,6,8
TOMINA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,8,8
TOTORA(ORR),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,1,8,9
TRINIDAD,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,191,159,350
TUPIZA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,27,27
UNCIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,3,18,21
URIONDO (A. CONCEPCION),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,2,2
URUBICHA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,4,26,30
VALLEGRANDE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,48,48
VIACHA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,1,52,53
VILLA CHARCAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,5,5
VILLA SERRANO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,1,8,9
VILLA TUNARI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,21,331,352
VILLA VACA GUZMAN (MUYUPAMPA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,23,23
VILLAZON,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,2,13,15
WARNES,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,4,78,82
YACUIBA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,49,262,311
YAMPARAEZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,13,13
YAPACANI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,8,156,164
YOTALA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,12,12
YUNCHARA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,2,5,7
ZUDAÑEZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-07-01,0,19,19
ACHACACHI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,2,0,2
AIQUILE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,3,3,6
ALCALA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,35,52,87
ANZALDO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,1,0,1
APOLO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,3,31,34
ARAMPAMPA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,5,5
ARANI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,1,0,1
ARBIETO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,16,16
ASCENCION DE GUARAYOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,36,156,192
AZURDUY,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,16,16
BERMEJO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,80,80
BETANZOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,2,53,55
BOYUIBE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,1,1
BUENA VISTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,7,7
CABEZAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,2,37,39
CAMARGO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,14,81,95
CAMATAQUI (C. VILLA ABECIA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,50,107,157
CAMIRI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,26,204,230
CAPINOTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,3,3,6
CARACOLLO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,2,5,7
CARANAVI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,16,91,107
CARAPARI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,1,26,27
CARMEN RIVERO TORREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,2,13,15
CHALLAPATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,1,2,3
CHARAGUA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,17,24,41
CHIMORE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,1,2,3
CLIZA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,2,42,44
COBIJA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,21,374,395
COCHABAMBA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,56,1085,1141
COLPA BELGICA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,4,14,18
COLQUIRI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,19,53,72
COMARAPA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,22,22
COROICO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,1,1,2
CORQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,4,2,6
COTAGAITA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,22,22
COTOCA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,2,51,53
CUEVO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,1,9,10
CULPINA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,48,48
EL ALTO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,427,2372,2799
EL PUENTE(STC),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,78,202,280
EL PUENTE(TJA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,15,15
EL TORNO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,65,217,282
EL VILLAR,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,4,4
ENTRE RIOS CBBA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,1,1,2
ESCOMA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,22,22
FERNANDEZ ALONSO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,12,38,50
FILADELFIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,28,55,83
GENERAL SAAVEDRA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,1,39,40
GRAL. J.J. PEREZ (CHARAZANI),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,2,16,18
GUAYARAMERIN,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,89,245,334
GUTIERREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,6,38,44
HUACARETA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,1,1
HUACAYA (VILLA DE HUACAYA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,13,13
HUANUNI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,4,115,119
ICLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,17,17
INCAHUASI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,26,26
INQUISIVI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,3,3
IRUPANA (VILLA DE LANZA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,1,12,13
LA GUARDIA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,4,138,142
LA PAZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,104,1151,1255
LAGUNILLAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,10,10
LAS CARRERAS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,5,5
MACHACAMARCA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,5,5
MACHARETI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,10,13,23
MAIRANA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,23,23
MINEROS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,6,66,72
MIZQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,1,2,3
MOJOCOYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,2,13,15
MONTEAGUDO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,13,77,90
MONTERO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,52,631,683
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,10,10
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,7,9,16
ORURO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,83,674,757
PADCAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,17,17
PADILLA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,25,25
PAILON,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,6,102,108
PALOS BLANCOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,9,51,60
PAMPA GRANDE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,18,18
PATACAMAYA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,12,54,66
POCOATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,10,34,44
POJO (CBBA),vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,1,11,12
POOPO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,1,20,21
POROMA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,20,20
PORONGO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,4,2,6
PORVENIR,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,71,47,118
POTOSI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,20,20
PRESTO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,3,3
PUCARANI,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,1,15,16
PUERTO GONZALO MORENO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,20,66,86
PUERTO QUIJARRO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,13,50,63
PUERTO RICO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,6,6
PUERTO SUAREZ,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,1,48,49
PUERTO VILLARROEL,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,11,279,290
PUNA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,7,27,34
PUNATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,22,135,157
QUIME,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,3,21,24
REYES,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,13,13
RIBERALTA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,490,490
ROBORE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,10,20,30
RURRENABAQUE,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,3,69,72
SACABA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,10,335,345
SAMAIPATA,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,1,12,13
SAN ANTONIO DE LOMERIO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,0,8,8
SAN CARLOS,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,4,80,84
SAN IGNACIO,vih,l 22.1        personas con pre-consejeria realizadas para acceso a la prueba rapida,2012-08-01,12,29,41
