,group,variable,month,L 22.3 N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,L 22.3 N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
URUBICHA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,2,1,3
UYUNI,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,63,63
VALLEGRANDE,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,65,66
VILLA CHARCAS,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,1,1
VILLA MONTES,vih,l 22.3        n de personas con prueba rapida,2012-05-01,13,14,27
VILLA SERRANO,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,23,23
VILLA TUNARI,vih,l 22.3        n de personas con prueba rapida,2012-05-01,11,8,19
VILLA VACA GUZMAN (MUYUPAMPA),vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,11,11
VILLAZON,vih,l 22.3        n de personas con prueba rapida,2012-05-01,14,16,30
WARNES,vih,l 22.3        n de personas con prueba rapida,2012-05-01,8,5,13
YACUIBA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,35,102,137
YAMPARAEZ,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,2,2
YAPACANI,vih,l 22.3        n de personas con prueba rapida,2012-05-01,2,72,74
YOTALA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,1,0,1
YUNCHARA,vih,l 22.3        n de personas con prueba rapida,2012-05-01,0,1,1
ACHACACHI,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,1,1
AIQUILE,vih,l 22.3        n de personas con prueba rapida,2012-06-01,9,11,20
APOLO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,16,76,92
ARBIETO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,2,20,22
ASCENCION DE GUARAYOS,vih,l 22.3        n de personas con prueba rapida,2012-06-01,6,56,62
AYOPAYA (V. DE INDEPENDENCIA),vih,l 22.3        n de personas con prueba rapida,2012-06-01,3,4,7
BELLA FLOR,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,1,1
BERMEJO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,7,6,13
BETANZOS,vih,l 22.3        n de personas con prueba rapida,2012-06-01,7,8,15
CABEZAS,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,4,4
"CAIZA ""D""",vih,l 22.3        n de personas con prueba rapida,2012-06-01,20,21,41
CAMARGO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,6,0,6
CAMATAQUI (C. VILLA ABECIA),vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,7,7
CAMIRI,vih,l 22.3        n de personas con prueba rapida,2012-06-01,7,117,124
CAPINOTA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,7,69,76
CARANAVI,vih,l 22.3        n de personas con prueba rapida,2012-06-01,23,130,153
CARAPARI,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,20,20
CARMEN RIVERO TORREZ,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,6,6
CHALLAPATA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,2,31,33
CHUMA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,3,0,3
CLIZA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,26,26
COBIJA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,13,35,48
COCHABAMBA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,234,481,715
COLPA BELGICA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,5,22,27
COLQUIRI,vih,l 22.3        n de personas con prueba rapida,2012-06-01,10,4,14
COMARAPA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,1,1
CORIPATA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,3,15,18
COROICO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,1,0,1
CORQUE,vih,l 22.3        n de personas con prueba rapida,2012-06-01,3,4,7
COTAGAITA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,1,0,1
COTOCA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,5,65,70
CUATRO CAÑADAS,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,10,10
CULPINA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,2,2
DESAGUADERO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,2,0,2
EL ALTO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,356,1019,1375
EL PUENTE(STC),vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,8,8
EL TORNO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,43,60,103
EL VILLAR,vih,l 22.3        n de personas con prueba rapida,2012-06-01,2,18,20
ENTRE RIOS TRJ,vih,l 22.3        n de personas con prueba rapida,2012-06-01,2,14,16
ENTRE RIOS CBBA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,1,0,1
ESCOMA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,2,0,2
EUCALIPTUS,vih,l 22.3        n de personas con prueba rapida,2012-06-01,2,1,3
EUREKA (SANTOS MERCADO),vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,3,3
FERNANDEZ ALONSO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,8,5,13
GRAL. J.J. PEREZ (CHARAZANI),vih,l 22.3        n de personas con prueba rapida,2012-06-01,1,0,1
GUAYARAMERIN,vih,l 22.3        n de personas con prueba rapida,2012-06-01,9,209,218
GUTIERREZ,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,20,20
HUACARETA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,1,1
HUACAYA (VILLA DE HUACAYA),vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,5,5
ICLA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,4,3,7
INCAHUASI,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,1,1
INGAVI (HUMAITA),vih,l 22.3        n de personas con prueba rapida,2012-06-01,3,9,12
IRUPANA (VILLA DE LANZA),vih,l 22.3        n de personas con prueba rapida,2012-06-01,2,1,3
LA GUARDIA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,6,150,156
LA PAZ,vih,l 22.3        n de personas con prueba rapida,2012-06-01,106,1153,1259
MACHARETI,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,9,9
MAIRANA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,1,3,4
MINEROS,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,86,86
MIZQUE,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,54,54
MOJOCOYA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,9,9,18
MONTEAGUDO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,2,26,28
MONTERO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,100,110,210
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.3        n de personas con prueba rapida,2012-06-01,64,61,125
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.3        n de personas con prueba rapida,2012-06-01,31,35,66
ORURO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,204,341,545
PADCAYA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,22,22
PADILLA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,6,6
PAILON,vih,l 22.3        n de personas con prueba rapida,2012-06-01,5,96,101
PALOS BLANCOS,vih,l 22.3        n de personas con prueba rapida,2012-06-01,4,29,33
PAMPA GRANDE,vih,l 22.3        n de personas con prueba rapida,2012-06-01,1,0,1
PATACAMAYA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,2,10,12
POCOATA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,35,7,42
POOPO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,7,7
POROMA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,6,6
PORONGO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,4,2,6
PORTACHUELO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,4,1,5
PORVENIR,vih,l 22.3        n de personas con prueba rapida,2012-06-01,13,1,14
POSTRER VALLE,vih,l 22.3        n de personas con prueba rapida,2012-06-01,1,5,6
POTOSI,vih,l 22.3        n de personas con prueba rapida,2012-06-01,133,145,278
PRESTO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,6,6
PUCARANI,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,17,17
PUERTO GONZALO MORENO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,11,33,44
PUERTO QUIJARRO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,2,5,7
PUERTO RICO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,258,127,385
PUERTO SUAREZ,vih,l 22.3        n de personas con prueba rapida,2012-06-01,3,0,3
PUERTO VILLARROEL,vih,l 22.3        n de personas con prueba rapida,2012-06-01,8,243,251
PUNA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,13,13
PUNATA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,13,119,132
QUIME,vih,l 22.3        n de personas con prueba rapida,2012-06-01,2,1,3
RIBERALTA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,21,19,40
ROBORE,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,8,8
RURRENABAQUE,vih,l 22.3        n de personas con prueba rapida,2012-06-01,3,46,49
SACABA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,12,240,252
SAN AGUSTIN,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,95,95
SAN CARLOS,vih,l 22.3        n de personas con prueba rapida,2012-06-01,3,7,10
SAN IGNACIO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,3,40,43
SAN IGNACIO DE VELASCO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,14,69,83
SAN JAVIER(STC),vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,39,39
SAN JOSE DE CHIQUITOS,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,2,2
SAN JUAN DE YAPACANI,vih,l 22.3        n de personas con prueba rapida,2012-06-01,3,18,21
SAN JULIAN,vih,l 22.3        n de personas con prueba rapida,2012-06-01,19,10,29
SAN LORENZO(PND),vih,l 22.3        n de personas con prueba rapida,2012-06-01,15,33,48
SAN LORENZO(TJA),vih,l 22.3        n de personas con prueba rapida,2012-06-01,1,0,1
SAN LUCAS,vih,l 22.3        n de personas con prueba rapida,2012-06-01,2,1,3
SAN PEDRO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,4,14,18
SAN RAFAEL,vih,l 22.3        n de personas con prueba rapida,2012-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,115,667,782
SANTA ROSA DEL SARA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,2,1,3
SENA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,1,21,22
SHINAOTA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,1,1,2
SIPE SIPE,vih,l 22.3        n de personas con prueba rapida,2012-06-01,2,32,34
SOPACHUY,vih,l 22.3        n de personas con prueba rapida,2012-06-01,1,17,18
SUCRE,vih,l 22.3        n de personas con prueba rapida,2012-06-01,52,175,227
TARABUCO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,15,26,41
TARATA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,2,0,2
TARIJA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,22,221,243
TIPUANI,vih,l 22.3        n de personas con prueba rapida,2012-06-01,7,0,7
TOLATA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,8,8
TOLEDO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,1,1
TOMINA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,20,20
TOTORA(ORR),vih,l 22.3        n de personas con prueba rapida,2012-06-01,3,4,7
TRINIDAD,vih,l 22.3        n de personas con prueba rapida,2012-06-01,41,59,100
TUPIZA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,2,2
UNCIA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,1,0,1
URUBICHA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,31,28,59
UYUNI,vih,l 22.3        n de personas con prueba rapida,2012-06-01,2,24,26
VALLEGRANDE,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,32,32
VILLA CHARCAS,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,27,27
VILLA MONTES,vih,l 22.3        n de personas con prueba rapida,2012-06-01,14,16,30
VILLA SERRANO,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,21,21
VILLA TUNARI,vih,l 22.3        n de personas con prueba rapida,2012-06-01,11,10,21
VILLA VACA GUZMAN (MUYUPAMPA),vih,l 22.3        n de personas con prueba rapida,2012-06-01,1,12,13
VILLAZON,vih,l 22.3        n de personas con prueba rapida,2012-06-01,8,27,35
YACUIBA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,28,69,97
YAMPARAEZ,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,5,5
YOTALA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,0,1,1
YUNCHARA,vih,l 22.3        n de personas con prueba rapida,2012-06-01,1,16,17
ACHACACHI,vih,l 22.3        n de personas con prueba rapida,2012-07-01,2,40,42
AIQUILE,vih,l 22.3        n de personas con prueba rapida,2012-07-01,2,48,50
ALCALA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,1,1
APOLO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,36,87,123
ARAMPAMPA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,34,42,76
ARBIETO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,2,16,18
ASCENCION DE GUARAYOS,vih,l 22.3        n de personas con prueba rapida,2012-07-01,14,30,44
AYOPAYA (V. DE INDEPENDENCIA),vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,4,4
AZURDUY,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,14,14
BELLA FLOR,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,3,3
BERMEJO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,3,39,42
BETANZOS,vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,48,49
BOYUIBE,vih,l 22.3        n de personas con prueba rapida,2012-07-01,2,1,3
CABEZAS,vih,l 22.3        n de personas con prueba rapida,2012-07-01,17,12,29
"CAIZA ""D""",vih,l 22.3        n de personas con prueba rapida,2012-07-01,10,15,25
CAMARGO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,2,0,2
CAMATAQUI (C. VILLA ABECIA),vih,l 22.3        n de personas con prueba rapida,2012-07-01,4,3,7
CAMIRI,vih,l 22.3        n de personas con prueba rapida,2012-07-01,10,91,101
CAPINOTA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,5,58,63
CARACOLLO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,3,8,11
CARANAVI,vih,l 22.3        n de personas con prueba rapida,2012-07-01,18,218,236
CARAPARI,vih,l 22.3        n de personas con prueba rapida,2012-07-01,2,31,33
CARMEN RIVERO TORREZ,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,5,5
CHALLAPATA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,3,120,123
CHIMORE,vih,l 22.3        n de personas con prueba rapida,2012-07-01,2,3,5
CHULUMANI (V. DE LA LIBERTAD),vih,l 22.3        n de personas con prueba rapida,2012-07-01,4,7,11
CHUMA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,2,0,2
CKOCHAS,vih,l 22.3        n de personas con prueba rapida,2012-07-01,15,23,38
CLIZA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,11,9,20
COBIJA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,37,225,262
COCHABAMBA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,66,498,564
COLPA BELGICA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,7,31,38
COLQUIRI,vih,l 22.3        n de personas con prueba rapida,2012-07-01,5,30,35
COMARAPA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,3,3
COROICO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,3,4
CORQUE,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,4,4
COTOCA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,2,3
CUATRO CAÑADAS,vih,l 22.3        n de personas con prueba rapida,2012-07-01,2,15,17
EL ALTO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,73,954,1027
EL PUENTE(STC),vih,l 22.3        n de personas con prueba rapida,2012-07-01,33,94,127
EL TORNO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,27,40,67
EL VILLAR,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,15,15
ENTRE RIOS TRJ,vih,l 22.3        n de personas con prueba rapida,2012-07-01,9,40,49
ENTRE RIOS CBBA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,5,39,44
ESCOMA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,2,0,2
EUCALIPTUS,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,2,2
FERNANDEZ ALONSO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,3,2,5
FILADELFIA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,4,11,15
GENERAL SAAVEDRA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,28,29
GRAL. J.J. PEREZ (CHARAZANI),vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,1,1
GUAYARAMERIN,vih,l 22.3        n de personas con prueba rapida,2012-07-01,48,120,168
GUTIERREZ,vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,12,13
HUACAYA (VILLA DE HUACAYA),vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,5,5
HUANUNI,vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,2,3
INCAHUASI,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,17,17
LA ASUNTA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,7,8,15
LA GUARDIA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,4,72,76
LA PAZ,vih,l 22.3        n de personas con prueba rapida,2012-07-01,171,1220,1391
LAGUNILLAS,vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,2,3
LAS CARRERAS,vih,l 22.3        n de personas con prueba rapida,2012-07-01,4,9,13
LLALLAGUA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,4,175,179
MACHARETI,vih,l 22.3        n de personas con prueba rapida,2012-07-01,5,18,23
MINEROS,vih,l 22.3        n de personas con prueba rapida,2012-07-01,2,3,5
MIZQUE,vih,l 22.3        n de personas con prueba rapida,2012-07-01,2,53,55
MOJOCOYA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,20,50,70
MONTEAGUDO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,12,22,34
MONTERO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,59,173,232
NACEBE (SANTA ROSA DEL ABUNA),vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,14,15
NUEVO MANOA (NUEVA ESPERANZA),vih,l 22.3        n de personas con prueba rapida,2012-07-01,12,24,36
ORURO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,32,355,387
PADCAYA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,19,19
PADILLA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,7,7
PAILON,vih,l 22.3        n de personas con prueba rapida,2012-07-01,6,112,118
PALOS BLANCOS,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,8,8
PATACAMAYA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,106,56,162
POCOATA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,7,25,32
POJO (CBBA),vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,4,4
POROMA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,10,11
PORONGO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,9,4,13
PORTACHUELO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,3,2,5
POTOSI,vih,l 22.3        n de personas con prueba rapida,2012-07-01,265,96,361
PRESTO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,2,2
PUCARANI,vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,17,18
PUERTO GONZALO MORENO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,24,34,58
PUERTO QUIJARRO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,23,23
PUERTO RICO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,7,51,58
PUERTO SUAREZ,vih,l 22.3        n de personas con prueba rapida,2012-07-01,2,4,6
PUERTO VILLARROEL,vih,l 22.3        n de personas con prueba rapida,2012-07-01,16,251,267
PUNA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,9,9
PUNATA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,3,409,412
QUIME,vih,l 22.3        n de personas con prueba rapida,2012-07-01,2,0,2
REYES,vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,6,7
RURRENABAQUE,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,31,31
SACABA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,3,206,209
SAMAIPATA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,0,1
SAN CARLOS,vih,l 22.3        n de personas con prueba rapida,2012-07-01,3,15,18
SAN IGNACIO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,6,16,22
SAN IGNACIO DE VELASCO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,11,18,29
SAN JAVIER(STC),vih,l 22.3        n de personas con prueba rapida,2012-07-01,2,45,47
SAN JOSE DE CHIQUITOS,vih,l 22.3        n de personas con prueba rapida,2012-07-01,2,7,9
SAN JUAN DE YAPACANI,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,2,2
SAN JULIAN,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,52,52
SAN LORENZO(PND),vih,l 22.3        n de personas con prueba rapida,2012-07-01,13,29,42
SAN LORENZO(TJA),vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,7,7
SAN LUCAS,vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,3,4
SAN MATIAS,vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,10,11
SAN PEDRO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,17,18
SAN RAFAEL,vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,15,16
SANTA CRUZ DE LA SIERRA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,208,562,770
SANTA ROSA DEL SARA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,1,1
SENA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,8,33,41
SHINAOTA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,16,44,60
SIPE SIPE,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,53,53
SOPACHUY,vih,l 22.3        n de personas con prueba rapida,2012-07-01,44,37,81
SUCRE,vih,l 22.3        n de personas con prueba rapida,2012-07-01,15,106,121
TARABUCO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,4,0,4
TARATA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,2,2
TARIJA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,108,211,319
TARVITA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,8,8
TIAWANACU,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,14,14
TOLATA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,3,13,16
TOLEDO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,1,2
TOTORA(ORR),vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,8,9
TRINIDAD,vih,l 22.3        n de personas con prueba rapida,2012-07-01,125,116,241
TUPIZA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,1,2
UNCIA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,3,1,4
URUBICHA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,4,2,6
UYUNI,vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,15,16
VALLEGRANDE,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,48,48
VILLA CHARCAS,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,32,32
VILLA MONTES,vih,l 22.3        n de personas con prueba rapida,2012-07-01,7,11,18
VILLA SERRANO,vih,l 22.3        n de personas con prueba rapida,2012-07-01,1,8,9
VILLA TUNARI,vih,l 22.3        n de personas con prueba rapida,2012-07-01,21,31,52
VILLA VACA GUZMAN (MUYUPAMPA),vih,l 22.3        n de personas con prueba rapida,2012-07-01,7,32,39
VILLAZON,vih,l 22.3        n de personas con prueba rapida,2012-07-01,2,17,19
WARNES,vih,l 22.3        n de personas con prueba rapida,2012-07-01,4,13,17
YACUIBA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,42,105,147
YAMPARAEZ,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,1,1
YAPACANI,vih,l 22.3        n de personas con prueba rapida,2012-07-01,8,17,25
YOCALLA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,2,2
YOTALA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,1,1
YUNCHARA,vih,l 22.3        n de personas con prueba rapida,2012-07-01,2,5,7
ZUDAÑEZ,vih,l 22.3        n de personas con prueba rapida,2012-07-01,0,3,3
ACHACACHI,vih,l 22.3        n de personas con prueba rapida,2012-08-01,2,0,2
AIQUILE,vih,l 22.3        n de personas con prueba rapida,2012-08-01,3,62,65
ALCALA,vih,l 22.3        n de personas con prueba rapida,2012-08-01,35,47,82
APOLO,vih,l 22.3        n de personas con prueba rapida,2012-08-01,0,31,31
ARAMPAMPA,vih,l 22.3        n de personas con prueba rapida,2012-08-01,0,5,5
ARANI,vih,l 22.3        n de personas con prueba rapida,2012-08-01,1,0,1
ASCENCION DE GUARAYOS,vih,l 22.3        n de personas con prueba rapida,2012-08-01,36,69,105
AYOPAYA (V. DE INDEPENDENCIA),vih,l 22.3        n de personas con prueba rapida,2012-08-01,2,3,5
AZURDUY,vih,l 22.3        n de personas con prueba rapida,2012-08-01,0,15,15
BERMEJO,vih,l 22.3        n de personas con prueba rapida,2012-08-01,27,110,137
BETANZOS,vih,l 22.3        n de personas con prueba rapida,2012-08-01,2,50,52
BOYUIBE,vih,l 22.3        n de personas con prueba rapida,2012-08-01,2,0,2
BUENA VISTA,vih,l 22.3        n de personas con prueba rapida,2012-08-01,0,2,2
CABEZAS,vih,l 22.3        n de personas con prueba rapida,2012-08-01,2,3,5
CAMARGO,vih,l 22.3        n de personas con prueba rapida,2012-08-01,14,22,36
CAMATAQUI (C. VILLA ABECIA),vih,l 22.3        n de personas con prueba rapida,2012-08-01,51,107,158
CAMIRI,vih,l 22.3        n de personas con prueba rapida,2012-08-01,26,194,220
CAPINOTA,vih,l 22.3        n de personas con prueba rapida,2012-08-01,3,39,42
CARACOLLO,vih,l 22.3        n de personas con prueba rapida,2012-08-01,26,0,26
CARANAVI,vih,l 22.3        n de personas con prueba rapida,2012-08-01,16,12,28
CARAPARI,vih,l 22.3        n de personas con prueba rapida,2012-08-01,1,27,28
CARMEN RIVERO TORREZ,vih,l 22.3        n de personas con prueba rapida,2012-08-01,2,4,6
CHALLAPATA,vih,l 22.3        n de personas con prueba rapida,2012-08-01,1,98,99
CHARAGUA,vih,l 22.3        n de personas con prueba rapida,2012-08-01,17,24,41
CHIMORE,vih,l 22.3        n de personas con prueba rapida,2012-08-01,1,15,16
