municipality,group,variable,month,Controles repetidos en niños menores de 2 años NUEVO,TOTAL-NUEVO,TOTAL-REPETIDO,TOTAL
LURIBAY,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,138,138,102,240
MACHACAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,22,22,27,49
MACHARETI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,108,108,108,216
MAGDALENA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,101,101,88,189
MAIRANA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,78,78,84,162
MALLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,29,29,28,57
MAPIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,120,120,154,274
MECAPACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,92,92,59,151
MINEROS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,211,211,211,422
MIZQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,201,201,206,407
MOCOMOCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,107,107,97,204
MOJINETE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,9,9,5,14
MOJOCOYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,102,102,88,190
MONTEAGUDO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,165,165,128,293
MONTERO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,965,965,932,1897
MORO MORO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,14,14,18,32
MOROCHATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,96,96,80,176
NACEBE (SANTA ROSA DEL ABUNA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,16,16,28,44
NUEVO MANOA (NUEVA ESPERANZA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,21,21,8,29
OCURI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,267,267,223,490
OKINAWA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,137,137,142,279
OMEREQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,33,33,40,73
ORURO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,1311,1311,1185,2496
PADCAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,162,162,139,301
PADILLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,182,182,154,336
PAILON,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,64,64,64,128
PALCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,67,67,79,146
PALOS BLANCOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,240,240,244,484
PAMPA AULLAGAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,18,18,30,48
PAMPA GRANDE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,72,72,83,155
PAPEL PAMPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,26,26,22,48
PASORAPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,55,55,47,102
PATACAMAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,284,284,241,525
PAZÑA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,30,30,36,66
PELECHUCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,25,25,23,48
POCOATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,186,186,177,363
POCONA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,72,72,61,133
POJO (CBBA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,123,123,143,266
POOPO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,47,47,43,90
PORCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,62,62,62,124
POROMA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,234,234,205,439
PORONGO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,34,34,41,75
PORTACHUELO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,371,371,216,587
PORVENIR,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,41,41,52,93
POSTRER VALLE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,25,25,24,49
POTOSI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,1074,1074,885,1959
PRESTO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,102,102,93,195
PUCARA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,10,10,5,15
PUCARANI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,168,168,176,344
PUERTO ACOSTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,126,126,136,262
PUERTO CARABUCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,115,115,90,205
PUERTO GONZALO MORENO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,57,57,40,97
PUERTO PEREZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,56,56,55,111
PUERTO QUIJARRO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,91,91,91,182
PUERTO RICO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,82,82,62,144
PUERTO SILES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,27,27,24,51
PUERTO SUAREZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,79,79,138,217
PUERTO VILLARROEL,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,144,144,101,245
PUNA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,341,341,317,658
PUNATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,160,160,168,328
QUIABAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,28,28,26,54
QUILLACOLLO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,347,347,279,626
QUIME,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,79,79,84,163
QUIRUSILLAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,36,36,17,53
RAVELO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,345,345,309,654
REYES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,122,122,125,247
RIBERALTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,1036,1036,979,2015
ROBORE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,32,32,33,65
RURRENABAQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,106,106,86,192
SABAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,25,25,19,44
SACABA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,354,354,278,632
SACABAMBA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,15,15,13,28
SACACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,237,237,233,470
SAIPINA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,87,87,72,159
SALINAS DE GARCI MENDOZA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,83,83,64,147
SAMAIPATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,67,67,62,129
SAN AGUSTIN,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,16,16,10,26
SAN ANDRES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,131,131,104,235
SAN ANDRES DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,38,38,24,62
SAN ANTONIO DE ESMORUCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,4,4,17,21
SAN ANTONIO DE LOMERIO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,138,138,137,275
SAN BENITO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,41,41,46,87
SAN BORJA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,381,381,381,762
SAN BUENA VENTURA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,85,85,86,171
SAN CARLOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,206,206,235,441
SAN IGNACIO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,230,230,209,439
SAN IGNACIO DE VELASCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,438,438,409,847
SAN JAVIER(BNI),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,46,46,44,90
SAN JAVIER(STC),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,126,126,123,249
SAN JOAQUIN,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,23,23,23,46
SAN JOSE DE CHIQUITOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,83,83,80,163
SAN JUAN DE YAPACANI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,126,126,102,228
SAN JULIAN,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,222,222,229,451
SAN LORENZO(PND),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,17,17,19,36
SAN LORENZO(TJA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,193,193,169,362
SAN LUCAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,533,533,507,1040
SAN MATIAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,117,117,121,238
SAN MIGUEL DE VELASCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,127,127,105,232
SAN PABLO DE LIPEZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,12,12,15,27
SAN PEDRO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,201,201,172,373
SAN PEDRO DE BUENA VISTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,197,197,188,385
SAN PEDRO DE CURAHUARA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,31,31,41,72
SAN PEDRO DE QUEMES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,7,7,9,16
SAN PEDRO DE TIQUINA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,27,27,37,64
SAN PEDRO(PND),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,5,5,6,11
SAN RAFAEL,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,50,50,60,110
SAN RAMON,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,58,58,55,113
SAN RAMON,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,79,79,65,144
SANTA ANA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,137,137,125,262
SANTA CRUZ DE LA SIERRA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,4257,4257,3842,8099
SANTA ROSA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,54,54,50,104
SANTA ROSA DEL SARA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,136,136,119,255
SANTIAGO DE CALLAPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,20,20,22,42
SANTIAGO DE HUARI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,56,56,45,101
SANTIAGO DE MACHACA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,24,24,16,40
SANTIVAÑES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,48,48,41,89
SANTUARIO DE QUILLACAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,10,10,17,27
SAPAHAQUI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,100,100,95,195
SENA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,60,60,57,117
SICA SICA (VILLA AROMA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,182,182,158,340
SICAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,24,24,20,44
SIPE SIPE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,162,162,158,320
SOPACHUY,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,148,148,135,283
SORACACHI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,53,53,59,112
SORATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,129,129,119,248
SUCRE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,1477,1477,1401,2878
TACACHI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,9,9,7,16
TACACOMA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,59,59,35,94
TACOBAMBA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,94,94,113,207
TACOPAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,108,108,90,198
TAHUA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,6,6,1,7
TAPACARI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,310,310,309,619
TARABUCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,305,305,265,570
TARACO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,11,11,6,17
TARATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,44,44,56,100
TARIJA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,837,837,771,1608
TARVITA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,318,318,319,637
TEOPONTE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,92,92,90,182
TIAWANACU,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,83,83,64,147
TINGUIPAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,169,169,168,337
TIPUANI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,67,67,54,121
TIQUIPAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,124,124,111,235
TIRAQUE (CBBA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,150,150,153,303
TITO YUPANQUI (PARQUIPUJIO),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,13,13,16,29
TOCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,30,30,15,45
TOLATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,9,9,10,19
TOLEDO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,30,30,24,54
TOMAVE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,76,76,69,145
TOMINA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,212,212,163,375
TORO TORO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,158,158,131,289
TOTORA(CBBA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,77,77,78,155
TOTORA(ORR),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,21,21,22,43
TRIGAL,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,15,15,9,24
TRINIDAD,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,498,498,408,906
TUPIZA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,413,413,379,792
TURCO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,14,14,19,33
UMALA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,24,24,21,45
UNCIA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,196,196,156,352
URIONDO (A. CONCEPCION),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,190,190,161,351
UYUNI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,250,250,180,430
VACAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,56,56,59,115
VALLEGRANDE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,135,135,144,279
VIACHA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,178,178,163,341
VILA VILA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,13,13,19,32
VILLA MONTES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,122,122,118,240
VILLA NUEVA (LOMA ALTA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,20,20,23,43
VILLA RIVERO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,29,29,26,55
VILLA SERRANO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,187,187,193,380
VILLA TUNARI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,311,311,301,612
VILLA VACA GUZMAN (MUYUPAMPA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,134,134,150,284
VILLAZON,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,302,302,203,505
VINTO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,170,170,121,291
VITICHI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,97,97,112,209
WALDO BALLIVIAN,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,10,10,16,26
WARNES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,515,515,464,979
YACO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,59,59,46,105
YACUIBA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,247,247,219,466
YAMPARAEZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,148,148,149,297
YANACACHI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,20,20,18,38
YAPACANI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,458,458,419,877
YOCALLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,26,26,16,42
YOTALA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,121,121,106,227
YUNCHARA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,61,61,70,131
ZUDAÑEZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-07-01,115,115,86,201
ACACIO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,101,101,81,182
ACHACACHI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,364,364,369,733
ACHOCALLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,48,48,39,87
AIQUILE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,135,135,99,234
ALCALA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,55,55,51,106
ANCORAIMES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,105,105,110,215
ANDAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,26,26,31,57
ANTEQUERA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,25,25,25,50
ANZALDO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,13,13,10,23
APOLO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,128,128,127,255
ARAMPAMPA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,83,83,68,151
ARANI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,52,52,28,80
ARBIETO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,35,35,22,57
ARQUE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,81,81,84,165
ASCENCION DE GUARAYOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,335,335,337,672
ATOCHA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,85,85,81,166
AUCAPATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,47,47,27,74
AYATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,114,114,90,204
AYO AYO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,42,42,51,93
AYOPAYA (V. DE INDEPENDENCIA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,225,225,206,431
AZURDUY,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,290,290,247,537
BATALLAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,145,145,117,262
BAURES,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,60,60,59,119
BELEN DE ANDAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,14,14,12,26
BELEN DE URMIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,26,26,24,50
BELLA FLOR,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,21,21,21,42
BERMEJO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,132,132,136,268
BETANZOS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,284,284,276,560
BOLIVAR,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,105,105,84,189
BOLPEBRA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,18,18,13,31
BOYUIBE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,53,53,39,92
BUENA VISTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,216,216,152,368
CABEZAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,179,179,138,317
CAIROMA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,150,150,129,279
"CAIZA ""D""",nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,92,92,83,175
CAJUATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,101,101,89,190
CALACOTO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,51,51,45,96
CALAMARCA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,176,176,172,348
CAMARGO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,67,67,86,153
CAMATAQUI (C. VILLA ABECIA),nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,47,47,36,83
CAMIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,231,231,288,519
CAPINOTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,108,108,124,232
CAQUIAVIRI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,60,60,78,138
CARACOLLO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,96,96,65,161
CARANAVI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,559,559,481,1040
CARANGAS,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,1,1,1,2
CARAPARI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,105,105,102,207
CARIPUYO,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,142,142,169,311
CARMEN RIVERO TORREZ,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,35,35,36,71
CATACORA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,2,2,1,3
CHACARILLA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,14,14,9,23
CHALLAPATA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,206,206,192,398
CHAQUI,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,83,83,59,142
CHARAGUA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,215,215,203,418
CHARAÑA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,6,6,13,19
CHAYANTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,158,158,168,326
CHIMORE,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,40,40,54,94
CHIPAYA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,11,11,13,24
CHOQUE COTA,nutricion y desarrollo infantil,controles repetidos en ninos menores de 2 anos,2006-08-01,10,10,8,18
