municipality,group,variable,month,10. Días camas disponibles otros servicios,TOTAL
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,124,124
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,2364,2364
BETANZOS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,589,589
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,124,124
BOLPEBRA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1,1
BOYUIBE,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,496,496
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,228,228
CABEZAS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,216,216
CAIROMA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,246,246
"CAIZA ""D""",internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,274,274
CAMARGO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1238,1238
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,185,185
CAMIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1870,1870
CAPINOTA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,806,806
CAQUIAVIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,31,31
CARACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,155,155
CARANAVI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,868,868
CARAPARI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,558,558
CARIPUYO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,62,62
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,328,328
CHALLAPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1860,1860
CHAQUI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,217,217
CHARAGUA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,775,775
CHARAÑA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,61,61
CHAYANTA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,124,124
CHIMORE,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,772,772
CHOQUE COTA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,124,124
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,806,806
CHUMA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,31,31
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,30,30
CKOCHAS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,309,309
CLIZA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,558,558
COBIJA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,5722,5722
COCAPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,279,279
COCHABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,51849,51849
COLCAPIRHUA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,6603,6603
"COLCHA ""K""",internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,616,616
COLLANA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,2,2
COLOMI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,217,217
COLPA BELGICA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,93,93
COLQUECHACA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,494,494
COLQUENCHA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,31,31
COLQUIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,189,189
COMARAPA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,434,434
CONCEPCION,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,530,530
CORIPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,62,62
COROICO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,992,992
CORQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,434,434
COTAGAITA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,273,273
COTOCA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1860,1860
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,496,496
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,155,155
CUEVO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,186,186
CULPINA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,434,434
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,279,279
DESAGUADERO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,62,62
EL ALTO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,24019,24019
EL PUENTE(STC),internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,186,186
EL TORNO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,899,899
EL VILLAR,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,248,248
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,496,496
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1270,1270
ESCOMA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,248,248
EUCALIPTUS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,62,62
EXALTACION,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,93,93
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,144,144
GAIOC JATUN AYLLU YURA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,149,149
GUANAY,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,186,186
GUAQUI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,31,31
GUAYARAMERIN,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1736,1736
GUTIERREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,620,620
HUACARAJE,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,62,62
HUACARETA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,686,686
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,279,279
HUACHACALLA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,93,93
HUANUNI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1736,1736
HUARINA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,155,155
HUATAJATA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,124,124
ICLA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,496,496
INCAHUASI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,434,434
IXIAMAS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,173,173
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,288,288
LA ASUNTA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,31,31
LA GUARDIA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,2567,2567
LA PAZ,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,81948,81948
LA RIVERA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,29,29
LAGUNILLAS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,6,6
LAS CARRERAS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,372,372
LLALLAGUA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1085,1085
LLICA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,29,29
LORETO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,21,21
LURIBAY,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,124,124
MACHACAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,62,62
MACHARETI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,434,434
MAGDALENA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,248,248
MAIRANA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,155,155
MAPIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,64,64
MINEROS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,567,567
MIZQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,868,868
MOCOMOCO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,2,2
MOJOCOYA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,310,310
MONTEAGUDO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,2203,2203
MONTERO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,11591,11591
MORO MORO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,31,31
MOROCHATA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,91,91
OCURI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1333,1333
OKINAWA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,372,372
OMEREQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,186,186
ORURO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,28234,28234
PADILLA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,589,589
PAILON,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,292,292
PALCA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,93,93
PALOS BLANCOS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,186,186
PAMPA AULLAGAS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,93,93
PAMPA GRANDE,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,62,62
PASORAPA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,183,183
PATACAMAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,102,102
PAZÑA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,124,124
POCOATA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,744,744
POCONA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,341,341
POJO (CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,279,279
POOPO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,92,92
PORCO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,62,62
POROMA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,992,992
PORONGO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,390,390
PORTACHUELO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,2497,2497
POTOSI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,18231,18231
PRESTO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,527,527
PUCARANI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,465,465
PUERTO ACOSTA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,30,30
PUERTO CARABUCO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,31,31
PUERTO GONZALO MORENO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,56,56
PUERTO QUIJARRO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,616,616
PUERTO RICO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,318,318
PUERTO SILES,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,9,9
PUERTO SUAREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,218,218
PUERTO VILLARROEL,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,2449,2449
PUNA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,651,651
PUNATA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,3224,3224
QUILLACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,4140,4140
QUIRUSILLAS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,62,62
RAQAYPAMPA(ETA),internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,186,186
RAVELO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,651,651
REYES,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,186,186
RIBERALTA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,4123,4123
ROBORE,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1384,1384
RURRENABAQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,620,620
SABAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,124,124
SACABA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,4897,4897
SACABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,93,93
SACACA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,434,434
SAIPINA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,280,280
SALINAS DE GARCI MENDOZA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,310,310
SAMAIPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,93,93
SAN ANTONIO DE LOMERIO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,109,109
SAN BORJA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,676,676
SAN BUENA VENTURA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1056,1056
SAN CARLOS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,31,31
SAN IGNACIO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,372,372
SAN IGNACIO DE VELASCO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,2759,2759
SAN JAVIER(BNI),internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,30,30
SAN JAVIER(STC),internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,330,330
SAN JOAQUIN,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,248,248
SAN JOSE DE CHIQUITOS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,852,852
SAN JULIAN,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,2614,2614
SAN LORENZO(PND),internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,5,5
SAN LUCAS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1238,1238
SAN MATIAS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,390,390
SAN MIGUEL DE VELASCO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,310,310
SAN PEDRO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,313,313
SAN PEDRO DE BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,155,155
SAN PEDRO DE MACHA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,434,434
SAN PEDRO DE TIQUINA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,92,92
SAN RAFAEL,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,186,186
SAN RAMON BENI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,372,372
SAN RAMON SCZ,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,310,310
SANTA ANA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,620,620
SANTA CRUZ DE LA SIERRA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,58193,58193
SANTA ROSA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,397,397
SANTA ROSA DEL SARA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,295,295
SANTIVAÑES,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,279,279
SANTUARIO DE QUILLACAS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,123,123
SENA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,81,81
SHINAOTA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1054,1054
SICA SICA (VILLA AROMA),internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,62,62
SOPACHUY,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,403,403
SORACACHI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,31,31
SORATA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,310,310
SUCRE,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,39949,39949
TACOBAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,214,214
TACOPAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,341,341
TAPACARI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,61,61
TARABUCO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,682,682
TARATA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,62,62
TARIJA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,18507,18507
TARVITA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,868,868
TIPUANI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,93,93
TIQUIPAYA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1149,1149
TIRAQUE (CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,93,93
TOCO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,186,186
TOLATA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,60,60
TOLEDO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,93,93
TOMAVE,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,30,30
TOMINA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,289,289
TORO TORO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,309,309
TOTORA(CBBA),internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,899,899
TOTORA(ORR),internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,155,155
TRINIDAD,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,5770,5770
TUPIZA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,2666,2666
UMALA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,31,31
UNCIA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,62,62
URUBICHA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,31,31
UYUNI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1270,1270
VACAS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,124,124
VALLEGRANDE,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1162,1162
VIACHA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1235,1235
VILA VILA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,94,94
VILLA CHARCAS,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,403,403
VILLA MONTES,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1302,1302
VILLA RIVERO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,93,93
VILLA SERRANO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,434,434
VILLA TUNARI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,4196,4196
VILLA VACA GUZMAN (MUYUPAMPA),internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,155,155
VILLAZON,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1550,1550
VINTO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1612,1612
VITICHI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,93,93
WARNES,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,2079,2079
YACO,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,62,62
YACUIBA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,8953,8953
YAMPARAEZ,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,248,248
YANACACHI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,31,31
YAPACANI,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,1147,1147
YOTALA,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,186,186
ZUDAÑEZ,internaciones dias camas,dias camas disponibles otros servicios,2024-07-01,248,248
ACHACACHI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,31,31
AIQUILE,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,806,806
ALALAY,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,124,124
ALCALA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,93,93
ALTO BENI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,31,31
ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,93,93
ANTEQUERA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,277,277
APOLO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,310,310
ARAMPAMPA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,62,62
ARANI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,31,31
ARBIETO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,372,372
ARQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,93,93
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,2169,2169
ATOCHA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,400,400
AYATA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,31,31
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,682,682
AZURDUY,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,775,775
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,155,155
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,2364,2364
BETANZOS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,589,589
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,124,124
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,244,244
CABEZAS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,216,216
CAIROMA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,243,243
"CAIZA ""D""",internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,340,340
CAJUATA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,93,93
CAMARGO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1269,1269
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,186,186
CAMIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1271,1271
CAPINOTA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,806,806
CAQUIAVIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,31,31
CARACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,155,155
CARANAVI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,868,868
CARAPARI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,775,775
CARIPUYO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,62,62
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,363,363
CHALLAPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1860,1860
CHAQUI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,217,217
CHARAGUA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,775,775
CHARAÑA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,62,62
CHAYANTA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,124,124
CHIMORE,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,744,744
CHOQUE COTA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,124,124
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,806,806
CHUMA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,248,248
CHUQUIHUTA AYLLU JUCUMANI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,30,30
CKOCHAS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,341,341
CLIZA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,558,558
COBIJA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,5485,5485
COCAPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,310,310
COCHABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,47133,47133
COLCAPIRHUA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,6603,6603
"COLCHA ""K""",internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,616,616
COLLANA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,31,31
COLOMI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,217,217
COLQUECHACA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,496,496
COLQUENCHA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,31,31
COLQUIRI,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,360,360
COMARAPA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,434,434
CONCEPCION,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,350,350
CORIPATA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,93,93
CORO CORO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,3,3
COROICO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,992,992
CORQUE,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,434,434
COTAGAITA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,93,93
COTOCA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1860,1860
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,434,434
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,155,155
CUEVO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,248,248
CULPINA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,438,438
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,279,279
DESAGUADERO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,62,62
EL ALTO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,20572,20572
EL PUENTE(STC),internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,186,186
EL TORNO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,889,889
EL VILLAR,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,248,248
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,496,496
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,1333,1333
ESCARA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,31,31
ESCOMA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,248,248
ESMERALDA,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,31,31
EUCALIPTUS,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,62,62
EXALTACION,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,93,93
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles otros servicios,2024-08-01,66,66
